,question,answer,response,mapping,response_answer,flag
10,3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them.How many more storks than birds are sitting on the fence?,1.0,"There were originally 3 birds on the fence. 6 more storks and 2 more birds joined them, making a total of 3 + 6 + 2 = 11 animals on the fence. Out of these 11 animals, there are 6 storks and 5 birds. Therefore, there are 6 - 5 = 1 more stork than bird sitting on the fence. The answer is 1.",,1.0,0
11,They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairsHow many chairs do they have in the backyard?,143.0,"If they have 11 sets of tables and each set has 13 chairs, then they have a total of 11 x 13 = 143 chairs in the backyard. The answer is 143.",,143.0,0
12,In a school there are 458 more girls than boys. If there are 692 girlsHow many pupils are there in that school?,926.0,"Let's use algebra to solve this problem. Let's say the number of boys in the school is x. Then the number of girls in the school is x + 458 (since there are 458 more girls than boys). We also know that there are 692 girls in the school. So we can set up an equation:

x + 458 = 692

Subtracting 458 from both sides, we get:

x = 234

So there are 234 boys in the school. To find the total number of pupils, we add the number of boys and girls:

234 + (234 + 458) = 926

So there are 926 pupils in the school.",,926.0,1
13,After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feetHow deep was the water?,255.0,"If Ron is standing at 13 feet, then Dean must be 4 feet taller, which means he is standing at 13 + 4 = 17 feet. 

The depth of the water is 15 times Dean's height, so it is 15 x 17 = 255 feet deep. 

Therefore, the water is 255 feet deep.",,255.0,1
14,6 birds were sitting on the fence. 4 more birds and 8 more storks came to join them.How many birds are sitting on the fence?,10.0,"There were originally 6 birds on the fence. 4 more birds joined, making a total of 6 + 4 = 10 birds. Then 8 storks joined, but the question only asks for the number of birds on the fence, so we don't need to include them. The answer is 10 birds.",,10.0,0
15,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 36 pounds. On the way back Marco ' dad lost 8 pounds of strawberries. Marco's strawberries now weighed 12 pounds.How much did his dad's strawberries weigh now?,16.0,"If Marco's strawberries weighed 12 pounds, and they originally collected 36 pounds, then his dad's strawberries must have weighed 36 - 12 = 24 pounds. After losing 8 pounds, his dad's strawberries weighed 24 - 8 = 16 pounds. The answer is 16 pounds.",,16.0,0
16,In a school there are 697 girls and the rest are boys. If there are 228 more girls than boysHow many boys are there in that school?,469.0,"We can start by using algebra to solve for the number of boys. Let's call the number of boys ""b"". 

We know that there are 697 girls, so the total number of students in the school is 697 + b. 

We also know that there are 228 more girls than boys, so we can write an equation: 

697 = b + 228 

To solve for b, we can subtract 228 from both sides: 

469 = b 

So there are 469 boys in the school.",,469.0,1
17,In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school.How many girls are there in the school now?,1414.0,"There were originally 732 girls and 761 boys, so the total number of students was 732 + 761 = 1493. After 682 more girls and 8 more boys joined, the total number of students became 1493 + 682 + 8 = 2183. To find out how many girls there are now, we need to subtract the number of boys from the total number of students: 2183 - 769 = 1414. Therefore, there are 1414 girls in the school now.",,1414.0,1
18,Danny collects bottle caps and wrappers. He found 22 bottle caps and 30 wrappers at the park. Now he has 17 bottle caps and 57 wrappers in his collection.How many wrappers did danny have at first?,27.0,"Danny had 22 + 30 = 52 bottle caps and wrappers at the park.
He now has 17 + 57 = 74 bottle caps and wrappers in his collection.
Therefore, he had 74 - 52 = 22 wrappers at first.",,22.0,1
19,Paul got a box of 457 erasers and 617 crayons for his birthday. At the end of the school year he only had 523 crayons left while not having lost a single eraser.How many more crayons than erasers did he have left?,66.0,"Paul started with 457 erasers and 617 crayons, so he had 617 - 457 = 160 more crayons than erasers.
At the end of the school year, he had 523 crayons left, so he had 523 - 457 = 66 crayons less than he started with.
Since he didn't lose any erasers, he still had 457 erasers left.
Therefore, he had 523 - 457 = 66 more erasers than crayons left.",,66.0,1
20,Baker made 121 cakes. He sold 105 of them and bought 170 new cakes.How many cakes does baker still have?,186.0,"Baker originally had 121 cakes. He sold 105 of them, so he was left with 121 - 105 = 16 cakes. Then he bought 170 new cakes, so he now has a total of 16 + 170 = 186 cakes. The answer is 186.",,186.0,0
21,An industrial machine worked for 5 minutes. It can make 4 shirts a minute.How many shirts did machine make?,20.0,"The machine can make 4 shirts in 1 minute, so in 5 minutes it can make 4 x 5 = 20 shirts. Therefore, the machine made 20 shirts in 5 minutes.",,5.0,1
22,The bananas in Philip's collection are organized into groups of size 18. If there are a total of 180 bananas in Philip's banana collectionHow many groups are there?,10.0,"To find the number of groups, we need to divide the total number of bananas by the size of each group: 

180 ÷ 18 = 10 

Therefore, there are 10 groups in Philip's banana collection.",,10.0,1
23,There were some birds sitting on the fence. 4 more birds came to join them. If there are a total of 5 birds on the fence nowHow many birds had been sitting on the fence at the start?,1.0,"If there are 5 birds on the fence now and 4 more birds came to join them, then there were originally 5 - 4 = 1 bird on the fence. Therefore, there was only 1 bird sitting on the fence at the start.",,1.0,1
24,Jerry had 3 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed some of the old ones. If there are 6 action figures on his shelf nowHow many action figures did he remove from the shelf?,1.0,"Jerry had 3 action figures originally and added 4 more, making a total of 7 action figures on the shelf. If there are now 6 action figures on the shelf, then he must have removed 7 - 6 = 1 action figure. Therefore, Jerry removed 1 action figure from the shelf.",,1.0,1
25,Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection.How many more wrappers than bottle caps did danny find at the park?,60.0,"Danny found 65 wrappers and 5 bottle caps at the park, so he found 65 - 5 = 60 more wrappers than bottle caps.
Now he has 9 wrappers and 31 bottle caps in his collection, so he has 9 - 31 = -22 more bottle caps than wrappers.
Therefore, Danny found 60 more wrappers than bottle caps at the park.",,60.0,1
26,Because of the decision Sofia asked the students to suggest specific types of food from a total of 66 choices. If 450 students suggested adding mashed potatoes 38 suggested adding bacon to the menu and the rest did not participateHow many students participated in the suggestion of new food items?,488.0,"The number of students who participated in the suggestion of new food items is the sum of those who suggested mashed potatoes, those who suggested bacon, and those who did not participate. 

So, 

Number of students who participated = Number who suggested mashed potatoes + Number who suggested bacon + Number who did not participate 
Number of students who participated = 450 + 38 + (Total number of students - (450 + 38)) 
Number of students who participated = 450 + 38 + (66 - 450 - 38) 
Number of students who participated = 488 - 450 
Number of students who participated = 38 

Therefore, 38 students suggested adding bacon and 450 students suggested adding mashed potatoes, so the total number of students who participated in the suggestion of new food items is 38 + 450 = 488.",,488.0,1
27,Matthew gave equal numbers of crackers and cakes to his 28 friends. If he had 13 crackers and 15 cakes initiallyHow many crackers and cakes did each person eat?,1.0,"Matthew gave out a total of 13 + 15 = 28 snacks.
Since he gave out equal numbers of crackers and cakes, each person received 28/2 = 14 snacks.
Therefore, each person ate 13/14 of a cracker and 15/14 of a cake.",,14.0,1
28,"A grocery store had 49 bottles of regular soda, 40 bottles of diet soda and 6 bottles of lite soda.How many bottles of regular soda and diet soda did they have altogether?",89.0,"The grocery store had 49 bottles of regular soda and 40 bottles of diet soda, so the total number of bottles is 49 + 40 = 89. Therefore, they had 89 bottles of regular and diet soda altogether.",,89.0,1
29,"Dan has $ 3. He bought 2 candy bar for $ 4, each one costing the same amount of money.How much did each candy bar cost?",2.0,"Dan has $3 and he spent $4 on two candy bars. This means he spent $2 per candy bar. Therefore, each candy bar costs $2.",,2.0,1
30,Tiffany was collecting cans for recycling. On monday she had 7 bags of cans. The next day she found 12 more bags worth of cans.How many more bags did she find on the next day than she had on monday?,5.0,"Tiffany had 7 bags on Monday and found 12 more bags the next day. To find out how many more bags she found on the next day than she had on Monday, we need to subtract the number of bags she had on Monday from the number of bags she found the next day: 

12 - 7 = 5 

Tiffany found 5 more bags on the next day than she had on Monday.",,5.0,1
31,There were 15 roses and 62 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 17 roses and 96 orchids in the vase.How many roses did she cut?,2.0,"Jessica originally had 15 roses in the vase. After cutting some more, there are now 17 roses in the vase. So she must have cut 17 - 15 = 2 roses.",,2.0,1
32,There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all basketsHow many baskets of peaches are there?,1.0,"Let's call the number of baskets ""x"". Each basket has 4 red peaches and 3 green peaches, so each basket has a total of 4+3=7 peaches. If there are a total of 7 peaches in all baskets, then we can set up the equation:

7x = 7

We can simplify this by dividing both sides by 7:

x = 1

So there is only 1 basket of peaches.",,1.0,1
33,There were 78 dollars in Olivia's wallet. She spent 15 dollars at a supermarket.How much money does she have left?,63.0,"Olivia had 78 dollars in her wallet and spent 15 dollars at the supermarket. To find out how much money she has left, we need to subtract the amount she spent from the amount she had originally. 

78 - 15 = 63 

Olivia has 63 dollars left in her wallet.",,63.0,1
34,"Jack received 6 emails in the morning, 3 emails in the afternoon and some more in the evening. If he received a total of 10 emails in the dayHow many emails did Jack receive in the afternoon?",1.0,"Jack received 6 emails in the morning and a total of 10 emails in the day. So he must have received 10 - 6 = 4 emails in the afternoon and evening combined. Since he received 3 emails in the afternoon, he must have received 4 - 3 = 1 email in the evening. Therefore, Jack received 3 emails in the afternoon.",,3.0,1
35,Dan has $ 4. He bought a candy bar for $ 8. Then his friend have him $ 5How much money is left?,1.0,"Dan had $4 originally. He spent $8 on a candy bar, so he had -$4 (a negative balance). Then his friend gave him $5, so he had -$4 + $5 = $1 left. The answer is $1.",,1.0,0
36,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 703 visitors came to the Buckingham palace on the previous day. If there were 246 visitors on that dayHow many visited the Buckingham palace within 25 days?",949.0,"We can use proportions to solve this problem. If 246 visitors came in one day, then in 25 days, we can set up the proportion:

246 visitors / 1 day = x visitors / 25 days

To solve for x, we can cross-multiply:

246 visitors * 25 days = x visitors * 1 day

6150 visitors = x

Therefore, 6150 visitors visited the Buckingham palace within 25 days.",,25.0,1
37,For Gwen's birthday she received 5 dollars from her dad. Her mom gave her 7 more dollars. If she spent 4 dollars.How much more money did she receive from her mom than she did from her dad?,2.0,"Gwen received 5 dollars from her dad and 7 more dollars from her mom, so she received a total of 5 + 7 = 12 dollars.
If she spent 4 dollars, she has 12 - 4 = 8 dollars left.
Her mom gave her 7 more dollars than her dad, so the answer is 7.",,7.0,1
38,There are 142 bananas and 356 oranges in Philip's collection. If the bananas are organized into 47 groups and oranges are organized into 178 groupsHow big is each group of oranges?,2.0,"To find out how big each group of oranges is, we need to divide the total number of oranges (356) by the number of groups (178): 

356 ÷ 178 = 2 

So each group of oranges has 2 oranges.",,2.0,1
39,There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the booksHow many more movies than books have you read?,3.0,"You read 19 movies and 16 books, so you have read a total of 19 + 16 = 35 items in the series. 
You have read 19 movies, which is 19/5 = 3.8 sets of movies (rounded to the nearest tenth). 
You have read 16 books, which is 16/8 = 2 sets of books. 
So you have read 3.8 - 2 = 1.8 more sets of movies than books. 
Since each set of movies has 5 movies, you have read 1.8 x 5 = 9 more movies than books. 
Therefore, you have read 9 more movies than books.",,9.0,1
40,Mary is baking a cake. The recipe calls for 12 cups of flour and 5 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flourHow many cups of flour did she put in?,10.0,"The recipe calls for 12 cups of flour and Mary still needs 2 more cups, so she has put in 12 - 2 = 10 cups of flour.",,10.0,1
41,Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection.How many more bottle caps than wrappers did danny find at the park?,4.0,"Danny found 50 bottle caps and 46 wrappers at the park, so he found 50 - 46 = 4 more bottle caps than wrappers.",,4.0,1
42,Luke played 177 rounds of a trivia game. If he gained 46 points in each roundHow many points did he score in the game?,8142.0,"To find out how many points Luke scored in the game, we need to multiply the number of rounds he played by the number of points he gained in each round. So:

177 rounds x 46 points per round = 8,142 points

Therefore, Luke scored 8,142 points in the game.",,142.0,1
43,3 birds and 4 storks were sitting on the fence. 2 more birds came to join them.How many more birds than storks are sitting on the fence?,1.0,"There were originally 3 birds and 4 storks, so there were 3 + 4 = 7 animals on the fence. After 2 more birds joined, there were 3 + 2 = 5 birds on the fence. Therefore, there are now 5 birds - 4 storks = 1 more bird than storks on the fence. The answer is 1.",,1.0,0
44,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper.How far did the mouse jump?",39.0,"If the grasshopper jumped 9 inches, and the frog jumped 33 inches farther than the grasshopper, then the frog jumped 9 + 33 = 42 inches. 

If the mouse jumped 3 inches lesser than the frog, then the mouse jumped 42 - 3 = 39 inches. 

Therefore, the mouse jumped 39 inches.",,39.0,1
45,Zachary did 35 push-ups and 3 crunches in gym class today. David did 58 more push-ups but 87 less crunches than zachary.How many more push-ups than crunches did Zachary do?,32.0,"Zachary did 35 push-ups and 3 crunches, so he did 35 - 3 = 32 more push-ups than crunches.
David did 58 more push-ups than Zachary, so he did 35 + 58 = 93 push-ups.
David also did 87 less crunches than Zachary, so he did 3 - 87 = -84 crunches.
Since you can't do negative crunches, we can ignore that information.
Therefore, Zachary did 32 more push-ups than crunches. The answer is 32.",,32.0,0
46,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening.How many emails did Jack receive in the afternoon and evening?",13.0,"Jack received 5 emails in the afternoon and 8 emails in the evening, so he received a total of 5 + 8 = 13 emails in the afternoon and evening.",,13.0,1
47,Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf nowHow many action figures did he add to the shelf?,11.0,"Jerry had 7 action figures originally. He removed 10 of them, so he was left with 7 - 10 = -3 action figures. This doesn't make sense, so we know there must be an error in the problem. It's impossible for Jerry to have -3 action figures on his shelf.",,3.0,1
48,Julia played tag with 12 kids on monday. She played tag with 14 kids on tuesday. She spent a total of 34 hours to play tag on both days.How many kids did she play with altogether?,26.0,"Julia played with 12 kids on Monday and 14 kids on Tuesday, so she played with a total of 12 + 14 = 26 kids. If she spent a total of 34 hours playing tag on both days, we don't have enough information to determine how many hours she spent playing with each group of kids. Therefore, we can only answer that she played with 26 kids altogether.",,26.0,1
49,Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left.How many more baseball cards than Ace cards does Nell have?,266.0,"Nell had a total of 309 + 356 = 665 cards before giving some to Jeff.
After giving some to Jeff, she has 415 cards left, so she gave away 665 - 415 = 250 cards.
Let's say she gave away x baseball cards and y Ace cards.
We know that x + y = 250 and that she now has 415 cards left, so:
309 - x + 356 - y = 415
Simplifying this equation, we get:
665 - x - y = 415
250 = x + y
Substituting x + y = 250 into the first equation, we get:
x + (250 - x) = 309 - 415 + (356 - y)
Simplifying this equation, we get:
x - y = 60
So Nell has 60 more baseball cards than Ace cards.",,60.0,1
50,"At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hidingHow many alligators were not hiding?",57.0,"There were originally 97 alligators in the cage. If 40 were hiding, then the number of alligators not hiding would be 97 - 40 = 57. The answer is 57.",,57.0,0
51,You have read 8 books from the ' crazy silly school ' series. If there are a total of 14 different books in the ' crazy silly school ' seriesHow many more do you still have to read?,6.0,"If you have read 8 books from the series and there are 14 books in total, then you still have to read 14 - 8 = 6 more books. The answer is 6.",,6.0,0
52,Emily is making bead necklaces for her 43 friends. She had 20 beads and she was able to make 5 necklaces.How many beads did each necklace need?,4.0,"Emily made 5 necklaces with 20 beads, so each necklace needed 20/5 = 4 beads. The answer is 4.",,4.0,0
53,Frank put 11 pieces of candy in each bag. If he had 22 pieces of candyHow many bags would he have?,2.0,"Frank has 22 pieces of candy and he put 11 pieces in each bag. To find out how many bags he would have, we need to divide 22 by 11: 

22 ÷ 11 = 2 

Therefore, Frank would have 2 bags of candy.",,2.0,1
54,A waiter had 12 customers. After some left he still had 14 customers. Then he got 10 new customersHow many customers does he have now?,24.0,"The waiter originally had 12 customers, and after some left he still had 14 customers. This means that 12 - 14 = -2 customers left. However, the question states that the waiter then got 10 new customers. So, the waiter now has 14 + 10 = 24 customers.",,24.0,1
55,A farmer had 90 tomatoes in his garden. If he picked 154 of them yesterday and 50 today.How many tomatoes did he pick in all?,204.0,"The farmer picked 154 tomatoes yesterday and 50 today, so he picked a total of 154 + 50 = 204 tomatoes in all.",,204.0,1
56,"5 red peaches, 14 yellow peaches and 6 green peaches are in the basket.How many green and yellow peaches are in the basket?",20.0,There are 14 yellow peaches and 6 green peaches in the basket.,,6.0,1
57,Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winterHow many more bird families flew away for the winter than those that stayed behind?,31.0,"If there were originally 89 bird families and 60 flew away, then the number of bird families that stayed behind is 89 - 60 = 29. Therefore, 60 - 29 = 31 more bird families flew away for the winter than those that stayed behind. The answer is 31.",,31.0,0
58,There were 9 roses and 6 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 13 orchids and 3 roses in the vase.How many more orchids than roses are there in the vase now?,10.0,"There are now 13 orchids and 3 roses in the vase, so there are 13 - 3 = 10 more orchids than roses. The answer is 10.",,10.0,0
59,"After eating a hearty meal they went to see the Buckingham palace. There were 39 paintings in the Buckingham palace. There, Rachel learned that 661 visitors came to the Buckingham palace that day. If there were 600 visitors the previous dayHow many more visitors visited the Buckingham palace on that day than on the previous day?",61.0,"On the day Rachel visited, there were 661 visitors. The previous day, there were 600 visitors. To find out how many more visitors there were on Rachel's day, we can subtract the number of visitors on the previous day from the number of visitors on Rachel's day: 

661 - 600 = 61 

So there were 61 more visitors on Rachel's day than on the previous day.",,61.0,1
60,A waiter had 12 customers. While 15 customers left he got 14 new customers.How many customers does he still have?,11.0,"The waiter originally had 12 customers. Then 15 customers left, leaving him with 12 - 15 = -3 customers. However, he also got 14 new customers, so he now has -3 + 14 = 11 customers. Therefore, the waiter still has 11 customers.",,11.0,1
61,Emily is making bead necklaces for her 72 friends. She has 6 beads and each necklace takes 3 beads.How many necklaces can Emily make?,2.0,"Emily has a total of 6 x 72 = 432 beads.
She can make 432/3 = 144 necklaces. The answer is 144.",,144.0,0
62,He also had 26 aquariums for saltwater animals. The aquarium had 52 saltwater animals in total and every aquarium had the same number of animals.How many saltwater animals does each aquarium have?,2.0,"To find out how many saltwater animals each aquarium has, we need to divide the total number of animals by the number of aquariums: 

52 ÷ 26 = 2 

Therefore, each aquarium has 2 saltwater animals.",,2.0,1
63,Mary is baking a cake. The recipe calls for 11 cups of flour and 7 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugarHow many cups of flour did she put in?,2.0,"Let's call the number of cups of flour Mary already put in ""x"". According to the problem, she still needs 2 more cups of flour than sugar, which means she needs 7 + 2 = 9 cups of flour. 

We can set up an equation: 

x + 7 = 9 

Subtracting 7 from both sides: 

x = 2 

So Mary already put in 2 cups of flour.",,2.0,1
64,Baker made 149 cakes and 91 pastries. If he sold 10 cakes and 90 pastriesHow many cakes would baker still have?,139.0,"Baker originally had 149 cakes and sold 10, so he would have 149 - 10 = 139 cakes left.
Baker originally had 91 pastries and sold 90, so he would have 91 - 90 = 1 pastry left.
Therefore, Baker would have 139 cakes and 1 pastry left.",,1.0,1
65,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left.How many files did he delete?,3.0,"Dave originally had 24 + 13 = 37 files and apps on his phone.
After deleting some, he had 17 + 21 = 38 files and apps left.
Therefore, he must have deleted 37 - 38 = 1 file. The answer is 1.",,1.0,0
66,An industrial machine made 9 shirts yesterday and 8 shirts today. It can make 2 shirts a minute.How many minutes did the machine work today?,4.0,"The machine made a total of 9 + 8 = 17 shirts in two days.
To find out how many minutes the machine worked today, we need to subtract the number of shirts it made yesterday from the total number of shirts it made in two days: 17 - 9 = 8 shirts made today.
Since the machine can make 2 shirts a minute, it must have worked for 8 / 2 = 4 minutes today. The answer is 4.",,4.0,0
67,Rebecca wants to split a collection of eggs into 3 groups. Rebecca has 4 marbles and 15 eggs.How many eggs will each group have?,5.0,"If Rebecca has 15 eggs and wants to split them into 3 groups, each group will have 15/3 = 5 eggs. The number of marbles she has is not relevant to this question. Therefore, each group will have 5 eggs.",,5.0,1
68,Matthew had some crackers. If Matthew gave 2 crackers to each of his 11 friendsHow many crackers did Matthew have?,22.0,"We don't have enough information to answer this question. We only know that Matthew gave 2 crackers to each of his 11 friends, but we don't know how many crackers he had to begin with.",,11.0,1
69,Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with herHow much money did she have initially?,111.0,"Olivia spent 78 dollars and has 33 dollars left, so she must have had 78 + 33 = 111 dollars initially. The answer is 111.",,111.0,0
70,If Lewis earns $ 1357 every week during the 223 weeks of a harvest season.How much money will he earn if he works for 73 harvest seasons?,22090603.0,"First, we need to find out how much Lewis earns in one harvest season by multiplying his weekly earnings by the number of weeks in a harvest season: 

$1357/week x 223 weeks = $302,411/harvest season 

Then, we can find out how much he will earn in 73 harvest seasons by multiplying his earnings per harvest season by the number of harvest seasons: 

$302,411/harvest season x 73 harvest seasons = $22,069,003 

Therefore, Lewis will earn $22,069,003 if he works for 73 harvest seasons.",,73.0,1
71,Because of the decision Sofia asked 310 students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu.How many students suggested bacon?,125.0,"We know that 310 students were asked to suggest food, and 185 of them suggested mashed potatoes. To find out how many suggested bacon, we can subtract the number of students who suggested mashed potatoes from the total number of students who were asked: 

310 - 185 = 125 

Therefore, 125 students suggested adding bacon to the menu.",,125.0,1
72,Jack received 3 emails and 64 letters in the morning. He then received 5 emails and 54 letters in the afternoon.How many emails did jack receive in the day?,8.0,Jack received a total of 3 + 5 = 8 emails in the day.,,8.0,1
73,Paco had 40 cookies. He ate 2 of them. Then he bought 37 more cookiesHow many cookies did Paco have left?,75.0,"Paco had 40 cookies, then he ate 2, so he had 40 - 2 = 38 cookies left.
After buying 37 more cookies, he had a total of 38 + 37 = 75 cookies.
Therefore, Paco had 75 cookies left.",,75.0,1
74,Because of the decision Sofia asked the students to suggest specific types of food. If 218 students suggested adding mashed potatoes as well as bacon while 351 suggested adding only bacon to the menuHow many students suggested adding bacon?,569.0,351 students suggested adding bacon to the menu.,,351.0,1
75,If each bag has 41 cookies and you had 53 bags of cookiesHow many cookies would you have?,2173.0,"To find the total number of cookies, you can multiply the number of bags by the number of cookies in each bag: 

53 bags x 41 cookies/bag = 2,173 cookies 

Therefore, you would have 2,173 cookies.",,173.0,1
76,Rachel had to complete 2 pages of reading homework and 4 pages of math homework.How many more pages of math homework than reading homework did she have?,2.0,"Rachel had 4 pages of math homework and 2 pages of reading homework. To find out how many more pages of math homework she had, we can subtract the number of pages of reading homework from the number of pages of math homework: 

4 - 2 = 2 

Rachel had 2 more pages of math homework than reading homework.",,2.0,1
77,Allan brought 5 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park.How many balloons did Allan bring to the park?,8.0,"Allan brought 5 balloons originally and then bought 3 more at the park, so he brought a total of 5 + 3 = 8 balloons to the park. The answer is 8.",,8.0,0
78,"Julia played tag with 8 kids on monday, 11 kids on tuesday and 9 kids on wednesday.How many more kids did she play with on tuesday than on wednesday?",2.0,Julia played with 11 - 9 = 2 more kids on Tuesday than on Wednesday. The answer is 2.,,2.0,0
79,The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys.How much money did they make from selling the t-shirts?,4300.0,"The Razorback shop sold 20 t-shirts and made $215 off each one, so they made a total of 20 x $215 = $4300 from selling t-shirts.",,4300.0,1
80,36 children were riding on the bus. At the bus stop 68 children got off the bus while some more got on the bus. Then there were 12 children altogether on the bus.How many more children got off the bus than those that got on?,24.0,"Initially, there were 36 children on the bus. Then 68 got off, leaving a total of 36 - 68 = -32 children on the bus (which doesn't make sense). So we need to use the information that there were 12 children on the bus after some more got on. Let's call the number of children who got on the bus ""x"". 

So initially there were 36 children on the bus. Then 68 got off and x got on, leaving a total of 36 - 68 + x = -32 + x children on the bus. But we know that there were 12 children on the bus after some more got on, so we can set up the equation: 

-32 + x = 12 

Solving for x: 

x = 44 

So 44 children got on the bus. 

To find out how many more children got off than got on: 

68 - 44 = 24 

So 24 more children got off the bus than got on.",,24.0,1
81,Brenda's mother made 14 cookies for 2 guests. If each of them had the same number of cookiesHow many did each of them have?,7.0,"Brenda's mother made a total of 14 cookies. If she divided them equally between 2 guests, each guest would have 14/2 = 7 cookies. Therefore, each of them had 7 cookies.",,7.0,1
