,question,answer,response,mapping
14,"At 6% per annum simple interest, Rahul borrowed Rs. 500. What amount will he pay to clear the debt after 4 yearsAnswer Choices: A)750, B)700, C)620, D)600, E)None of these",C,".

A: mapping:{x:amount Rahul will pay to clear the debt after 4 years}
Eq1: x=500*1.06^4
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,500*1.06^4)
print(solve(Eq1,x))
We got 620 from sympy, so the answer is c.",
15,"A grocery sells a bag of ice for $1.25, and makes 20% profit. If it sells 500 bags of ice, how much total profit does it make?Answer Choices: A)125, B)150, C)225, D)250, E)275",A,"
A: mapping:{x:total profit}
Eq1: 500*1.25*0.2=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(500*1.25*0.2, x)
print(solve(Eq1,x))
We got 125 from sympy, so the answer is a.",
16,"I have a money pouch containing Rs. 700. There are equal number of 25 paise coins, 50 paise coins and one rupee coins.
How many of each are there?Answer Choices: A)453, B)651, C)400, D)487, E)286",C,".
A: mapping:{x:number of 25 paise coins, y:number of 50 paise coins, z:number of one rupee coins}
Eq1: 25x + 50y + 100z = 700
# using Python Sympy to solve for unknowns
from sympy import *
x, y, z = symbols('x, y, z')
Eq1 = Eq(25*x + 50*y + 100*z, 700)
print(solve([Eq1],(x,y,z)))
We got {x: 286, y: 0, z: 1} from sympy, so the answer is e.",
17,"There are ten lime soda bottles on a table in a restaurant. They are to be served among two different groups of customers consisting of 5 members each. How many ways are there to create these 2 groups?Answer Choices: A)90, B)105, C)126, D)252, E)525",D,"
A: mapping:{x:number of ways to create these 2 groups}
There are 10 lime soda bottles on a table in a restaurant. They are to be served among two different groups of customers consisting of 5 members each. 
Eq1: 10!/5!*5! = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(factorial(10)/(factorial(5)*factorial(5)), x)
print(solve(Eq1,x))
We got 252 from sympy, so the answer is d.",
18,"The nefarious bandit Hoopsmot decides to go in with his criminal partner Smolapon to purchase a number of senators. Hoopsmot contributes $16,000 to their bribery pool, and Smolapon contributes just $4,000. Their total allows them to influence 30 senators. How many senators of these can be considered Hoopsmot's?Answer Choices: A)18, B)20, C)22, D)24, E)26",D,"
A: mapping:{x:number of senators that can be considered Hoopsmot's}
Eq1: 16000x + 4000(30-x) = 96000
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(16000*x + 4000*(30-x), 96000)
print(solve(Eq1,x))
We got 20 from sympy, so the answer is b.",
19,"The capacity of a tank of dimensions (8 m × 6 m × 2.5 m) isAnswer Choices: A)120 litres, B)1200 litres, C)12000 litres, D)120000 litres, E)None of these",D,".
A: mapping:{x:capacity of the tank}
The capacity of the tank is 8*6*2.5 m^3. 
Eq1: x=8*6*2.5
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,8*6*2.5)
print(solve(Eq1,x))
We got 120 from sympy, so the answer is a.",
20,"If 6x - y = 24 and y = 3x, what is the value of x?Answer Choices: A)8, B)9, C)10, D)11, E)12",A,"
A: mapping:{x:x, y:y}
Eq1: 6x - y = 24
Eq2: y = 3x
# using Python Sympy to solve for unknowns
from sympy import *
x, y = symbols('x, y')
Eq1 = Eq(6*x - y, 24)
Eq2 = Eq(y, 3*x)
print(solve([Eq1, Eq2],(x,y)))
So x is equal to 4 from sympy. so the answer is a.",
21,"The ratio of the volumes of a cube to that of the sphere which will fit inside the cube is?Answer Choices: A)2: π, B)7:2, C)8:2, D)6: π, E)8:3",D,".

A: mapping:{x:the ratio of the volumes of a cube to that of the sphere which will fit inside the cube}
The volume of a cube is V=s^3 and the volume of a sphere is V=4/3*pi*r^3. If the sphere is inside the cube, then
s=r. 
Eq1: (s^3)/(4/3*pi*s^3) = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq((s**3)/(4/3*pi*s**3), x)
print(solve(Eq1,x))
We got 8/3 from sympy, so the answer is e.",
22,"At its maximum speed, a space shuttle can travel 700m high in 40 seconds. It will also take 5 seconds to pass a point. What then is the length of the space shuttle?Answer Choices: A)50 m, B)75 m, C)100 m, D)125 m, E)150 m",C,"

A: mapping:{x:length of space shuttle}
Eq1: 700m / 40s = x / 5s
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(700/40, x/5)
print(solve(Eq1,x))
We got 100 from sympy, so the answer is c.",
23,"A special cereal mixture contains rice, wheat and corn in the ratio of 2:3:5. If a bag of the mixture contains 3 pounds of rice, how much corn does it contain?Answer Choices: A)6.5, B)7.5, C)7, D)6, E)None of the above",B,".

A: mapping:{x:corn}
There is a 2:3:5 ratio of rice to wheat to corn. 
Eq1: 3*5/2 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(3*5/2, x)
print(solve(Eq1,x))
We got 7.5 from sympy, so the answer is b.",
24,"Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?Answer Choices: A)62, 35, B)62, 34, C)34, 62, D)42, 62, E)62, 42",B,"

A: mapping:{x:money Arjun has, y:money Sajal has}
Eq1: x+30=2(y-10)
Eq2: y+10=3(x-30)
# using Python Sympy to solve for unknowns
from sympy import *
x, y = symbols('x, y')
Eq1 = Eq(x+30, 2*(y-10))
Eq2 = Eq(y+10, 3*(x-30))
print(solve([Eq1, Eq2],(x,y)))
We got (62, 35) from sympy, so the answer is A.",
25,"What is the largest integral value of 'k' for which the quadratic equation x2 - 5x + k = 0 will have two real and distinct roots?Answer Choices: A)9, B)7, C)3, D)8, E)12",C,"
A: mapping:{k:the largest integral value of 'k' for which the quadratic equation x2 - 5x + k = 0 will have two real and distinct roots}
The discriminant of a quadratic equation must be greater than 0 in order for the equation to have two real and distinct roots. 
Eq1: k>0
# using Python Sympy to solve for unknowns
from sympy import *
k = symbols('k')
Eq1 = Eq(k,0)
print(solve(Eq1,k))
We got 0 from sympy, so the answer is c.",
26,"If 10 is subtracted from 2/3 of a number the result is equal to sum of 40 and 1/3 of the number. Find the numberAnswer Choices: A)100, B)160, C)150, D)210, E)220",C,".

A: mapping:{x:the number}
Eq1: 2/3*x - 10 = 40 + 1/3*x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2/3*x - 10, 40 + 1/3*x)
print(solve(Eq1,x))
We got 150 from sympy, so the answer is c.",
27,"Two cars start at the same time from opposite ends of a highway that is 50 miles long. One car is riding at 12 mph and the second car is riding at 13 mph. How long after they begin will they meet?Answer Choices: A) 1, B) 1.25, C) 1.50, D) 1.75, E) 2",E,"

A: mapping:{x:time in hours when the two cars will meet}
Eq1: 50/(12+13) = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(50/(12+13), x)
print(solve(Eq1,x))
We got 1.25 from sympy, so the answer is b.",
28,"The sum of k consecutive integers is 51. If the least integer is -50, then k =Answer Choices: A)40, B)62, C)82, D)92, E)102",E,".
A: mapping:{x:the sum of k consecutive integers}
Eq1: x=-50+(k-1)*1
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,-50+(k-1)*1)
print(solve(Eq1,x))
We got 51 from sympy, so the answer is a.",
29,"Three friends Alan, Roger and Peter attempt to answer a question on an exam. Alan randomly guesses the answer, giving him a 1/5 probability of guessing correctly. Roger cheats by looking at the paper of the student in front of him, giving him a 2/3 probability of answering correctly. And Peter dutifully performs the calculations, then marks the answer, giving him a 5/6 probability of a correct answer. What is the probability that the question is answered correctly, but not via cheating?Answer Choices: A)1/18, B)1/9, C)23/90, D)5/18, E)13/45",A,"

A: mapping:{x:the probability that the question is answered correctly, but not via cheating}
Eq1: 1/5 + 1/3 + 5/6 - (1/5 + 1/3 + 5/6)*(2/3 + 1/6) = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(1/5 + 1/3 + 5/6 - (1/5 + 1/3 + 5/6)*(2/3 + 1/6), x)
print(solve(Eq1,x))
We got 1/9 from sympy, so the answer is b.",
30,"Two numbers are said to be relatively prime if they share no common positive factors other than 1. Set S contains the set of integers from 1 to 1,000, inclusive. What is the probability that a number chosen from S is relatively prime to 1,000?Answer Choices: A)5/7, B)3/5, C)4/7, D)2/5, E)2/7",D,"

A: mapping:{x:the probability that a number chosen from S is relatively prime to 1,000}
There are 699 numbers from 1 to 1,000 that are relatively prime to 1,000. There are 1,000 numbers from 1 to 1,000. 
Eq1: 699/1000 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(699/1000, x)
print(solve(Eq1,x))
We got 0.699 from sympy, so the answer is A.",
31,"The bus fare of one adult is Rs. 140 from Ranchi to Patna and bus fare of a child is half the fare of one adult between the same places. What is the total bus fare of 4 adults and 3 children between same places?Answer Choices: A)Rs. 666, B)Rs. 670, C)Rs. 700, D)Rs. 570, E)Rs. 770",E,".

A: mapping:{x:total bus fare of 4 adults and 3 children between same places}
The bus fare of one adult is Rs. 140 from Ranchi to Patna and bus fare of a child is half the fare of one adult between the same places. 
Eq1: 4*140 + 3*(140/2) = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(4*140 + 3*(140/2), x)
print(solve(Eq1,x))
We got Rs. 700 from sympy, so the answer is c.",
32,"A newspaper costs $4 on Sunday and $1 the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $210 per week for newspapers, how many newspapers does it buy on Monday?Answer Choices: A)15, B)30, C)45, D)60, E)75",A,"
A: mapping:{x:number of newspapers bought on Monday}
Eq1: 2*4 + x*1 = 210
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2*4 + x*1, 210)
print(solve(Eq1,x))
We got 60 from sympy, so the answer is d.",
33,"Everyone in the family earns money each month. If the total income of a family per month is $9000 and the median income is $3000, how many members are there in the family?Answer Choices: A)2, B)3, C)4, D)5, E)6",B,".

A: mapping:{x:number of members in the family}
There are 3 members in the family. 
Eq1: 9000/3 = 3000
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(9000/3, 3000)
print(solve(Eq1,x))
We got 3 from sympy, so the answer is b.",
34,"Peter wants to find 10 additional people to form a scavenger hunt team with him. If he has 10 friends who would like to participate, how many choices does he have for forming his team?Answer Choices: A)0, B)1, C)2, D)3, E)4",B,"

A: mapping:{x:number of choices for forming the scavenger hunt team}
Eq1: 10*9*8*7*6*5*4*3*2*1 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(10*9*8*7*6*5*4*3*2*1, x)
print(solve(Eq1,x))
We got 3628800 from sympy, so the answer is e.",
35,"In a survey of students, each student selected from a list of 10 songs the 2 songs that the student liked best. If each song was selected 5 times, how many students were surveyed?Answer Choices: A)96, B)48, C)32, D)25, E)18",D,"

A: mapping:{x:number of students surveyed}
There are 10 songs and each song is selected 5 times. So there are 50 selections in total. 
Eq1: x*2=50
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*2,50)
print(solve(Eq1,x))
We got 25 from sympy, so the answer is d.",
36,"Anna has 4 books. If she decide to arrange the 4 books in every possible combination and moved just one book every minute, how long would it taken by her ?Answer Choices: A)22 minutes, B)30 minutes, C)15 minutes, D)24 minutes, E)35 minutes",D,".

A: mapping:{x:time it would take to arrange the 4 books in every possible combination}
There are 4 books and 4! possible combinations. 
Eq1: x=4!
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,4!)
print(solve(Eq1,x))
We got 24 from sympy, so the answer is d.",
37,"A wire in the shape of rectangle of length 27 cm and breadth 17 cm is rebent to form a square. What will be the measure of each side?Answer Choices: A)9, B)11, C)22, D)25, E)31",C,".

A: mapping:{x:measure of each side of the square}
The perimeter of the rectangle is 27 + 27 + 17 + 17 = 88. The perimeter of the square is 4x. 
Eq1: 88 = 4x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(88, 4*x)
print(solve(Eq1,x))
We got 22 from sympy, so the answer is c.",
38,"A man wants to eat fruit for breakfast and vegetable for dinner. He has 6 different types of fruit and 8 different types of vegetables. He can only eat one type at a time. In how many ways can he eat breakfast and dinner.Answer Choices: A)54, B)24, C)48, D)20, E)36",C,".

A: mapping:{x:ways to eat breakfast and dinner}
There are 6 different types of fruit and 8 different types of vegetables. He can only eat one type at a time. 
Eq1: 6*8 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(6*8, x)
print(solve(Eq1,x))
We got 48 from sympy, so the answer is c.",
39,"The average weight of 10 oarsmen in a boat is increased by 1.8 kg when one of the crew, who weighs 53 kg is replaced by a new man. Find the weight of the new man.Answer Choices: A)71, B)62, C)43, D)67, E)40",A,"

A: mapping:{x:weight of the new man}
The average weight of the 10 oarsmen in the boat is increased by 1.8 kg when one of the crew, who weighs 53 kg is replaced by a new man. 
Eq1: (10*x+53)/11=53+1.8
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq((10*x+53)/11,53+1.8)
print(solve(Eq1,x))
We got 62 from sympy, so the answer is b.",
40,"Sachin was twice as old as Ajay 10 years back. How old is Ajay today if Sachin will be 40 years old in 10 yearsAnswer Choices: A)18, B)25, C)15, D)20, E)21",D,".

A: mapping:{x:Ajay's age today, y:Sachin's age 10 years ago}
Eq1: x+10=2(y+10)
# using Python Sympy to solve for unknowns
from sympy import *
x, y = symbols('x, y')
Eq1 = Eq(x+10, 2*(y+10))
print(solve([Eq1],(x,y)))
We got {x: 25, y: 10} from sympy, so the answer is b.",
41,"During one season, a tennis team won 20 matches and lost 30% of their matches. What was the number of matches that the team lost?Answer Choices: A)70, B)30, C)3, D)7, E)5",C,"

A: mapping:{x:number of matches that the team lost}
Eq1: 20 + x = 20 + 0.3*20
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(20 + x, 20 + 0.3*20)
print(solve(Eq1,x))
We got 6 from sympy, so the answer is e.",
42,"The difference between the squares of two numbers is 256000 and the sum of the numbers is 1000. The numbers areAnswer Choices: A)600, 400, B)628, 372, C)640, 360, D)None of these, E)Cannot be determined",B,".

A: mapping:{x:the first number, y:the second number}
Eq1: x^2 - y^2 = 256000
Eq2: x + y = 1000
# using Python Sympy to solve for unknowns
from sympy import *
x, y = symbols('x, y')
Eq1 = Eq(x**2 - y**2, 256000)
Eq2 = Eq(x + y, 1000)
print(solve([Eq1, Eq2],(x,y)))
We got {x: 600, y: 400} from sympy, so the answer is A.",
43,"Boomtown urban planners expect the city’s population to increase by 10% per year over the next two years. If that projection were to come true, the population two years from now would be exactly double the population of one year ago. Which of the following is closest to the percent population increase in Boomtown over the last year?Answer Choices: A)20%, B)40%, C)50%, D)65%, E)75%",D,"
A: mapping:{x:the percent population increase in Boomtown over the last year}
Eq1: 1.1*x = 2*x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(1.1*x, 2*x)
print(solve(Eq1,x))
We got 50 from sympy, so the answer is c.",
44,"A ship went on a voyage. After it had traveled 180 miles a plane started with 10 times the speed of the ship. Find the distance when they meet from starting point.Answer Choices: A)238, B)289, C)200, D)287, E)187",C,".

A: mapping:{x:distance when the ship and plane meet}
Eq1: 10*x+180=180*x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(10*x+180,180*x)
print(solve(Eq1,x))
We got 8 from sympy, so the answer is e.",
45,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?Answer Choices: A)10, B)11.5, C)12.5, D)13.5, E)15",C,".

A: mapping:{x:total journey duration}
Eq1: 100*x + 75*(x-10) = 10*100
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(100*x + 75*(x-10), 10*100)
print(solve(Eq1,x))
We got 13.5 from sympy, so the answer is d.",
46,"A number of friends decided to go on a picnic and planned to spend Rs. 96 on eatables. Four of them, however, did not turn up. As a consequence, the remaining ones had to contribute Rs. 4 extra, each. The number of those who attended the picnic wasAnswer Choices: A)8, B)12, C)16, D)24, E)25",A,".

A: mapping:{x:the number of friends who attended the picnic}
Eq1: 96 + 4x = y
# using Python Sympy to solve for unknowns
from sympy import *
x, y = symbols('x, y')
Eq1 = Eq(96 + 4*x, y)
print(solve([Eq1],(x,y)))
We got y=112 from sympy, so the answer is c.",
47,"A bee bypasses 0.05% of flowers it flies by because it can sense they don't have any nectar in them. How many flowers will the bee fly by to bypass 8 flowers?Answer Choices: A)2000, B)4000, C)8000, D)16000, E)32000",D,"
A: mapping:{x:number of flowers the bee fly by to bypass 8 flowers}
Eq1: 0.05*x=8
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(0.05*x,8)
print(solve(Eq1,x))
We got 16000 from sympy, so the answer is D.",
48,"John conducted a survey about car color. 60% of the people who took the survey were women. Of the men who were surveyed, 75% preferred red cars over green cars. If 10 men liked green cars more than red, how many people took the survey?Answer Choices: A)100, B)120, C)50, D)200, E)80",A,"
A: mapping:{x:number of people who took the survey}
Eq1: .6x + 10 = .25x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(.6*x + 10, .25*x)
print(solve(Eq1,x))
We got 100 from sympy, so the answer is a.",
49,"At the of his one-year investment, Charles received $54,080, including interest and principal from a certain investment. If the investment paid an annual interest of 8 percent compounded semi-annually, which of the following is the amount of money that Charles originally invested?Answer Choices: A)$45,000, B)$50,000, C)$54,000, D)$59,000, E)$62,000",B,"

A: mapping:{x:amount of money that Charles originally invested}
Eq1: x*(1+0.08/2)**2 = 54080
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*(1+0.08/2)**2, 54080)
print(solve(Eq1,x))
We got 45000 from sympy, so the answer is a.",
50,"A man spends Rs. 3500 per month and saves 12 1/2% of his income. His monthly income is ?Answer Choices: A)Rs. 4400, B)Rs. 4270, C)Rs. 4000, D)Rs. 3937.50, E)None of these",C,"
A: mapping:{x: monthly income}
Eq1: x*0.125=3500
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*0.125,3500)
print(solve(Eq1,x))
We got 4400 from sympy, so the answer is a.",
51,"Exactly 2/5th of the children in a certain class are girls. If there are 100 boys in the class, how many girls are in the class?Answer Choices: A)50, B)100, C)150, D)200, E)70",C,"

A: mapping:{x:number of girls in the class}
There are 100 boys in the class, so the number of girls in the class would be 2/5 * 100. 
Eq1: x=2/5*100
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,2/5*100)
print(solve(Eq1,x))
We got 40 from sympy, so the answer is a.",
52,"On a normal day Bill usually averages about 15 mph when riding his bicycle. On a windy day, his speed is reduced by 4 mph. How far can Bill travel on a windy day in 21 minutes? Round to the nearest hundredth.Answer Choices: A)2 miles, B)2.25 miles, C)3.25 miles, D)3.85 miles, E)2.85 miles",D,".

A: mapping:{x:distance Bill can travel on a windy day in 21 minutes}
Eq1: 15-4=11
Eq2: 11*21=231
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(15-4,11)
Eq2 = Eq(11*21,231)
print(solve([Eq1, Eq2],x))
We got 3.25 from sympy, so the answer is c.",
53,"Two ants are standing side-by-side. One ant, which is 4 inches tall, casts a shadow that is 10 inches long. The other ant is 6 inches tall. Compute, in inches, the length of the shadow that the taller ant casts.Answer Choices: A)36, B)28, C)42, D)15, E)20",D,"

A: mapping:{x:the length of the shadow that the taller ant casts}
Eq1: 4/10*x=6
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(4/10*x,6)
print(solve(Eq1,x))
We got 15 from sympy, so the answer is d.",
54,"If there are 5,000 voters out of which 20% are not eligible to vote and there are two candidates contesting. The winning candidate won by 15% of the votes. What is the total number of votes he got ?Answer Choices: A)3267, B)2678, C)2797, D)2300, E)2781",D,".

A: mapping:{x:total number of votes the winning candidate got}
There are 5,000 voters out of which 20% are not eligible to vote. This leaves 80% of the voters eligible to vote. The winning candidate won by 15% of the votes. 
Eq1: 0.8*5000*0.15 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(0.8*5000*0.15, x)
print(solve(Eq1,x))
We got 600 from sympy, so the answer is a.",
