,question,answer,response,mapping,response_answer,equations
15," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",2.0," Amy had c0 music files and c1 video files, for a total of c0 + c1 files. 
total_files = c0 + c1
After deleting c2 files, she had (c0 + c1) - c2 files remaining. 
remaining_files = total_files - c2
The answer is remaining_files.","{'c0': 4.0, 'c1': 21.0, 'c2': 23.0}",2.0,"['total_files =  c0 + c1', 'remaining_files =  total_files - c2', 'answer = remaining_files']"
16," Ned was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",14.0," Ned started with c0 games. He bought c1 more. So he had c0 + c1 games. 
total_games = c0 + c1
However, c2 of them didn't work. So he had a total of total_games - c2 good games. 
good_games = total_games - c2
The answer is good_games.","{'c0': 11.0, 'c1': 22.0, 'c2': 19.0}",14.0,"['total_games =  c0 + c1', 'good_games =  total_games - c2', 'answer = good_games']"
17, Chloe was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,86.0," Chloe started with c0 points. Then she had c1 points after the first round. So she had c0 + c1 points. 
total_points = c0 + c1
In the last round she lost c2 points. So she had total_points - c2 points at the end of the game. 
end_points = total_points - c2
The answer is end_points.","{'c0': 40.0, 'c1': 50.0, 'c2': 4.0}",86.0,"['total_points =  c0 + c1', 'end_points =  total_points - c2', 'answer = end_points']"
18," At the arcade, Tom won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. If he spent c2 of his tickets on a hat, how many tickets does Tom have left? ",50.0," Tom had c0 + c1 tickets in total. 
total_tickets = c0 + c1
He spent c2 tickets on a hat. 
remaining_tickets = total_tickets - c2
The answer is remaining_tickets.","{'c0': 32.0, 'c1': 25.0, 'c2': 7.0}",50.0,"['total_tickets =  c0 + c1', 'remaining_tickets =  total_tickets - c2', 'answer = remaining_tickets']"
19," Bianca and her mom were picking carrots from their garden. Bianca picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",25.0," Bianca picked c0 carrots. Her mother picked c1. So in total, they had c0 + c1 carrots. 
total_carrots = c0 + c1
If only c2 of them were good, that means they had (c0 + c1) - c2 bad carrots. 
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 26.0, 'c1': 15.0, 'c2': 16.0}",25.0,"['total_carrots =  c0 + c1', 'bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']"
20, For the school bake sale Katie made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,4.0," Katie started with c0 cupcakes and c1 cookies. She sold some and was left with c2. So she must have sold c0 + c1 - c2 pastries.
pastries_sold = c0 + c1 - c2
The answer is pastries_sold.","{'c0': 7.0, 'c1': 5.0, 'c2': 8.0}",4.0,"['pastries_sold =  c0 + c1 - c2', 'answer = pastries_sold']"
21, Zoe bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,68.0," Zoe bought two coloring books. One had c0 pictures and the other had c1. So in total she had c0 + c1 pictures.
total_pictures = c0 + c1
After one week she had already colored c2 of the pictures. So she still had to color total_pictures - c2 pictures.
pictures_left = total_pictures - c2
The answer is pictures_left.","{'c0': 44.0, 'c1': 44.0, 'c2': 20.0}",68.0,"['total_pictures =  c0 + c1', 'pictures_left =  total_pictures - c2', 'answer = pictures_left']"
22," John was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",6.0," John started with c0 games. He bought c1 more. So he had c0 + c1 games. 
total_games = c0 + c1
Some of the games didn't work, so he had total_games - c2 games left. 
good_games = total_games - c2
The answer is good_games.","{'c0': 21.0, 'c1': 8.0, 'c2': 23.0}",6.0,"['total_games =  c0 + c1', 'good_games =  total_games - c2', 'answer = good_games']"
23, Henry had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19.0," Henry had c0 dollars. He got c1 more dollars. So he had c0 + c1 dollars. But he spent c2 on a new game. So he has (c0 + c1) - c2 dollars now. 
dollars_now = (c0 + c1) - c2
The answer is dollars_now.","{'c0': 11.0, 'c1': 18.0, 'c2': 10.0}",19.0,"['dollars_now =  (c0 + c1) - c2', 'answer = dollars_now']"
24," While on vacation, Gwen took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",55.0," Gwen took c0 pictures at the zoo and c1 at the museum, so she had c0 + c1 pictures in total. 
total_pictures = c0 + c1
After deleting c2 pictures, she had total_pictures - c2 pictures remaining. 
remaining_pictures = total_pictures - c2
The answer is remaining_pictures.","{'c0': 41.0, 'c1': 29.0, 'c2': 15.0}",55.0,"['total_pictures =  c0 + c1', 'remaining_pictures =  total_pictures - c2', 'answer = remaining_pictures']"
25," Sam had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",34.0," Sam had to wash c0 short sleeve shirts and c1 long sleeve shirts. So he had to wash c0 + c1 shirts in total. 
total_shirts = c0 + c1
If he only washed c2 of them, then he didn't wash total_shirts - c2 shirts. 
shirts_not_washed = total_shirts - c2
The answer is shirts_not_washed.","{'c0': 40.0, 'c1': 23.0, 'c2': 29.0}",34.0,"['total_shirts =  c0 + c1', 'shirts_not_washed =  total_shirts - c2', 'answer = shirts_not_washed']"
26, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,12.0," The pet store had c0 siamese cats and c1 house cats. So in total they had c0 + c1 cats. 
total_cats = c0 + c1
After the sale, they sold c2 cats. So they have total_cats - c2 cats left. 
remaining_cats = total_cats - c2
The answer is remaining_cats.","{'c0': 12.0, 'c1': 20.0, 'c2': 20.0}",12.0,"['total_cats =  c0 + c1', 'remaining_cats =  total_cats - c2', 'answer = remaining_cats']"
27," Faye and her mom were picking carrots from their garden. Faye picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",16.0," Faye picked c0 carrots. Her mother picked c1. So in total they had c0 + c1 carrots.
total_carrots = c0 + c1
If only c2 of them were good, that means they had (c0 + c1) - c2 bad carrots.
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 23.0, 'c1': 5.0, 'c2': 12.0}",16.0,"['total_carrots =  c0 + c1', 'bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']"
28," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",73.0," The school cafeteria ordered c0 red apples and c1 green apples. But only c2 students wanted fruit. So the cafeteria had c0 + c1 - c2 apples left over.
extra_apples = c0 + c1 - c2
The answer is extra_apples.","{'c0': 43.0, 'c1': 32.0, 'c2': 2.0}",73.0,"['extra_apples =  c0 + c1 - c2', 'answer = extra_apples']"
29," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",17.0," There were c0 girls and c1 boys originally. In total, there were c0 + c1 students. 
total_students = c0 + c1
If only c2 of them got called back, then (c0 + c1) - c2 didn't make the cut. 
students_not_called_back = (c0 + c1) - c2
The answer is students_not_called_back.","{'c0': 39.0, 'c1': 4.0, 'c2': 26.0}",17.0,"['total_students =  c0 + c1', 'students_not_called_back =  (c0 + c1) - c2', 'answer = students_not_called_back']"
30, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,18.0," The pet store had c0 siamese cats and c1 house cats. So in total they had c0 + c1 cats. 
total_cats = c0 + c1
After the sale, they sold c2 cats. So they have total_cats - c2 cats left. 
remaining_cats = total_cats - c2
The answer is remaining_cats.","{'c0': 38.0, 'c1': 25.0, 'c2': 45.0}",18.0,"['total_cats =  c0 + c1', 'remaining_cats =  total_cats - c2', 'answer = remaining_cats']"
31, For the school bake sale Paige made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,41.0," Paige started with c0 cupcakes and c1 cookies. She sold some and was left with c2. So she must have sold c0 + c1 - c2 pastries.
pastries_sold = c0 + c1 - c2
The answer is pastries_sold.","{'c0': 36.0, 'c1': 9.0, 'c2': 4.0}",41.0,"['pastries_sold =  c0 + c1 - c2', 'answer = pastries_sold']"
32, Carol was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,7.0," Carol started with 0 points. In the first round, she scored c0 points. So she had c0 points. In the second round, she scored c1 more points. So she had c0 + c1 points. In the last round, she lost c2 points. So she had c0 + c1 - c2 points in the end. 
end_points = c0 + c1 - c2
The answer is end_points.","{'c0': 17.0, 'c1': 6.0, 'c2': 16.0}",7.0,"['end_points =  c0 + c1 - c2', 'answer = end_points']"
33, Gwen bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,36.0," Gwen started with c0 + c1 pictures. After one week she had already colored c2. So she still has (c0 + c1) - c2 pictures left to color. 
pictures_left = (c0 + c1) - c2
The answer is pictures_left.","{'c0': 10.0, 'c1': 39.0, 'c2': 13.0}",36.0,"['pictures_left =  (c0 + c1) - c2', 'answer = pictures_left']"
34," For Halloween Janet and her sister combined the candy they received. Janet had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",63.0," Janet had c0 pieces of candy. Her sister had c1. So in total they had c0 + c1 pieces of candy.
total_candy = c0 + c1
After eating c2 pieces, they had total_candy - c2 pieces of candy remaining.
remaining_candy = total_candy - c2
The answer is remaining_candy.","{'c0': 34.0, 'c1': 33.0, 'c2': 4.0}",63.0,"['total_candy =  c0 + c1', 'remaining_candy =  total_candy - c2', 'answer = remaining_candy']"
35," Haley and her mom were picking carrots from their garden. Haley picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",13.0," Haley and her mom together picked c0 + c1 carrots. Only c2 of them were good. So they had c0 + c1 - c2 bad carrots.
bad_carrots = c0 + c1 - c2
The answer is bad_carrots.","{'c0': 39.0, 'c1': 38.0, 'c2': 64.0}",13.0,"['bad_carrots =  c0 + c1 - c2', 'answer = bad_carrots']"
36," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",56.0," There were c0 girls and c1 boys originally. In total, there were c0 + c1 students. 
total_students = c0 + c1
If only c2 of them got called back, then (c0 + c1) - c2 didn't make the cut. 
students_not_called_back = (c0 + c1) - c2
The answer is students_not_called_back.","{'c0': 30.0, 'c1': 36.0, 'c2': 10.0}",56.0,"['total_students =  c0 + c1', 'students_not_called_back =  (c0 + c1) - c2', 'answer = students_not_called_back']"
37, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,15.0," Roger had c0 dollars. He got c1 more dollars. So he had c0 + c1 dollars. But he spent c2 on a new game. So he has (c0 + c1) - c2 dollars now. 
dollars_now = (c0 + c1) - c2
The answer is dollars_now.","{'c0': 29.0, 'c1': 20.0, 'c2': 34.0}",15.0,"['dollars_now =  (c0 + c1) - c2', 'answer = dollars_now']"
38," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",5.0," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts. So the total number of shirts he had to wash was c0 + c1. 
total_shirts = c0 + c1
If he only washed c2 of them, then he didn't wash (c0 + c1) - c2 shirts. 
shirts_not_washed = (c0 + c1) - c2
The answer is shirts_not_washed.","{'c0': 29.0, 'c1': 11.0, 'c2': 35.0}",5.0,"['total_shirts =  c0 + c1', 'shirts_not_washed =  (c0 + c1) - c2', 'answer = shirts_not_washed']"
39," Edward was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",24.0," Edward started with c0 games. He bought c1 more. So he had c0 + c1 games. 
total_games = c0 + c1
Some of the games didn't work, so he had total_games - c2 games left. 
good_games = total_games - c2
The answer is good_games.","{'c0': 41.0, 'c1': 14.0, 'c2': 31.0}",24.0,"['total_games =  c0 + c1', 'good_games =  total_games - c2', 'answer = good_games']"
40," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15.0," Sam bought c0 adventure books and c1 mystery books. In total he bought c0 + c1 books. 
total_books = c0 + c1
If c2 of the books were used, then he has total_books - c2 new books. 
new_books = total_books - c2
The answer is new_books.","{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",15.0,"['total_books =  c0 + c1', 'new_books =  total_books - c2', 'answer = new_books']"
41," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14.0," Amy had c0 music files and c1 video files, for a total of c0 + c1 files. 
total_files = c0 + c1
After deleting c2 files, she had (c0 + c1) - c2 files remaining. 
remaining_files = total_files - c2
The answer is remaining_files.","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",14.0,"['total_files =  c0 + c1', 'remaining_files =  total_files - c2', 'answer = remaining_files']"
42, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1.0," Oliver had c0 dollars. He got c1 more dollars. So he had c0 + c1 dollars. But he spent c2 on a new game. So he has (c0 + c1) - c2 dollars now. 
dollars_now = (c0 + c1) - c2
The answer is dollars_now.","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",1.0,"['dollars_now =  (c0 + c1) - c2', 'answer = dollars_now']"
43, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1.0," Emily started with c0 points. She gained c1 points in the second round. So she had c0 + c1 points. In the last round she lost c2 points. So she had c0 + c1 - c2 points in the end. 
end_points = c0 + c1 - c2
The answer is end_points.","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",1.0,"['end_points =  c0 + c1 - c2', 'answer = end_points']"
44," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11.0," Paige originally had c0 math problems and c1 science problems. So she had c0 + c1 total problems. 
total_problems = c0 + c1
After finishing c2 problems at school, she had to do total_problems - c2 problems for homework. 
problems_left = total_problems - c2
The answer is problems_left.","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",11.0,"['total_problems =  c0 + c1', 'problems_left =  total_problems - c2', 'answer = problems_left']"
45," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",35.0," The school cafeteria ordered c0 red apples and c1 green apples. But only c2 students wanted fruit. So the cafeteria had c0 + c1 - c2 apples left over.
extra_apples = c0 + c1 - c2
The answer is extra_apples.","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}",35.0,"['extra_apples =  c0 + c1 - c2', 'answer = extra_apples']"
46," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",16.0," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts. So the total number of shirts he had to wash was c0 + c1. 
total_shirts = c0 + c1
If he only washed c2 of them, then he didn't wash (c0 + c1) - c2 shirts. 
shirts_not_washed = (c0 + c1) - c2
The answer is shirts_not_washed.","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}",16.0,"['total_shirts =  c0 + c1', 'shirts_not_washed =  (c0 + c1) - c2', 'answer = shirts_not_washed']"
47," While on vacation, Rachel took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",4.0," Rachel took c0 pictures at the zoo and c1 at the museum, so she had c0 + c1 pictures in total. 
total_pictures = c0 + c1
After deleting c2 pictures, she had total_pictures - c2 pictures remaining. 
remaining_pictures = total_pictures - c2
The answer is remaining_pictures.","{'c0': 6.0, 'c1': 9.0, 'c2': 11.0}",4.0,"['total_pictures =  c0 + c1', 'remaining_pictures =  total_pictures - c2', 'answer = remaining_pictures']"
48," Vanessa and her mom were picking carrots from their garden. Vanessa picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7.0," Vanessa and her mom picked a total of c0 + c1 carrots. Only c2 of them were good. So they had (c0 + c1) - c2 bad carrots.
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 17.0, 'c1': 14.0, 'c2': 24.0}",7.0,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']"
49, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,54.0," The pet store had c0 siamese cats and c1 house cats. So in total they had c0 + c1 cats. 
total_cats = c0 + c1
After the sale, they sold c2 cats. So they have total_cats - c2 cats left. 
remaining_cats = total_cats - c2
The answer is remaining_cats.","{'c0': 41.0, 'c1': 28.0, 'c2': 15.0}",54.0,"['total_cats =  c0 + c1', 'remaining_cats =  total_cats - c2', 'answer = remaining_cats']"
50," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15.0," Sam bought c0 adventure books and c1 mystery books. In total he bought c0 + c1 books. 
total_books = c0 + c1
If c2 of the books were used, then he has total_books - c2 new books. 
new_books = total_books - c2
The answer is new_books.","{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",15.0,"['total_books =  c0 + c1', 'new_books =  total_books - c2', 'answer = new_books']"
51," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14.0," Amy had c0 music files and c1 video files, for a total of c0 + c1 files. 
total_files = c0 + c1
After deleting c2 files, she had (c0 + c1) - c2 files remaining. 
remaining_files = total_files - c2
The answer is remaining_files.","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",14.0,"['total_files =  c0 + c1', 'remaining_files =  total_files - c2', 'answer = remaining_files']"
52, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1.0," Oliver had c0 dollars. He got c1 more dollars. So he had c0 + c1 dollars. But he spent c2 on a new game. So he has (c0 + c1) - c2 dollars now. 
dollars_now = (c0 + c1) - c2
The answer is dollars_now.","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",1.0,"['dollars_now =  (c0 + c1) - c2', 'answer = dollars_now']"
53, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1.0," Emily started with c0 points. She gained c1 points in the second round. So she had c0 + c1 points. In the last round she lost c2 points. So she had c0 + c1 - c2 points in the end. 
end_points = c0 + c1 - c2
The answer is end_points.","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",1.0,"['end_points =  c0 + c1 - c2', 'answer = end_points']"
54," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11.0," Paige originally had c0 math problems and c1 science problems. So she had c0 + c1 total problems. 
total_problems = c0 + c1
After finishing c2 problems at school, she had to do total_problems - c2 problems for homework. 
problems_left = total_problems - c2
The answer is problems_left.","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",11.0,"['total_problems =  c0 + c1', 'problems_left =  total_problems - c2', 'answer = problems_left']"
55," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",35.0," The school cafeteria ordered c0 red apples and c1 green apples. But only c2 students wanted fruit. So the cafeteria had c0 + c1 - c2 apples left over.
extra_apples = c0 + c1 - c2
The answer is extra_apples.","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}",35.0,"['extra_apples =  c0 + c1 - c2', 'answer = extra_apples']"
56," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",16.0," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts. So the total number of shirts he had to wash was c0 + c1. 
total_shirts = c0 + c1
If he only washed c2 of them, then he didn't wash (c0 + c1) - c2 shirts. 
shirts_not_washed = (c0 + c1) - c2
The answer is shirts_not_washed.","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}",16.0,"['total_shirts =  c0 + c1', 'shirts_not_washed =  (c0 + c1) - c2', 'answer = shirts_not_washed']"
