,question,answer,response,mapping
10,"A company produces 420 units of a particular computer component every month, at a production cost to the company of $110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $626,400 ?",B,"
Answer Choices: (a) $200 (b) $300 (c) $400 (d) $500 (e) $600
A: mapping:{x:the minimum selling price per component that will guarantee that the yearly profit will be at least $626,400}
Eq1: x=110+626400/420
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,110+626400/420)
print(solve(Eq1,x))
We got $500 from Sympy, so the answer is d.",
11,"At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?",A,"
Answer Choices: (a) 800 (b) 720 (c) 640 (d) 560 (e) 480
A: mapping:{x:the number of staplers produced}
Eq1: 0.1x+0.02(1-0.1)x=72
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(0.1*x+0.02*(1-0.1)*x,72)
print(solve(Eq1,x))
We got 800 from Sympy, so the answer is a.",
12,Machine A puts out a yo-yo every 6 minutes. Machine B puts out a yo-yo every 9 minutes. After how many minutes will they have produced 10 yo-yos?,C,"
Answer Choices: (a) 30 (b) 45 (c) 60 (d) 75 (e) 90
A: mapping:{x:the number of minutes it will take for both machines to produce 10 yo-yos}
Eq1: 6x+9y=10
# using Python Sympy to solve for unknowns
from sympy import *
x,y = symbols('x,y')
Eq1 = Eq(6*x+9*y,10)
print(solve(Eq1,x,y))
We got {y: 1/3, x: 5/3} from Sympy, so the answer is a.",
13,Add: +45 and -30,D,"

A: mapping:{x:the sum of +45 and -30}
Eq1: x=45+-30
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,45+-30)
print(solve(Eq1,x))
We got 15 from Sympy, so the answer is 15.",
14,"In how many ways can the letters of the word ""PROBLEC"" be rearranged to make 7 letter words such that none of the letters repeat?",C,"
Answer Choices: (a) 2520 (b) 25200 (c) 252000 (d) 2520000 (e) 25200000
A: mapping:{x:number of ways the letters of the word ""PROBLEC"" can be rearranged to make 7 letter words such that none of the letters repeat}
Eq1: x!/(2!*2!*1!*1!*1!*1!*1!)
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x, factorial(x)/(factorial(2)*factorial(2)*factorial(1)*factorial(1)*factorial(1)*factorial(1)*factorial(1)))
print(solve(Eq1,x))
We got 2520 from Sympy, so the answer is a.",
15,Let A and B be independent events with P (A) = 0.2 and P(B) = 0.8. Find P(A/B)?,A,"
Answer Choices: (a) 0.25 (b) 0.4 (c) 0.5 (d) 0.8 (e) 0.16
A: mapping:{x:P(A/B)}
Eq1: x=P(A)*P(B)
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,0.2*0.8)
print(solve(Eq1,x))
We got 0.16 from Sympy, so the answer is e.",
16,"Consider there is an staircase elevator and you are coming down. If you walk 20 steps and stop, then you reach bottom in 10 minutes. If you walk 10 steps and stop, you reach to the ground in 20 minutes. What is the speed of the elevator?",A,".
Answer Choices: (a) 0.5 m/s (b) 1 m/s (c) 1.5 m/s (d) 2 m/s (e) 2.5 m/s
A: mapping:{x:the speed of the elevator}
Eq1: x+10=20
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x+10,20)
print(solve(Eq1,x))
We got 10 from Sympy, so the answer is b.",
17,"Last year, a Home Appliance Store sold an average(arithmetic mean) of 42 microwave ovens per month. In the first 10 months of this year,the store has sold an average(arithmetic mean) of only 20 microwave ovens per month. What was the average number of microwave ovens sold per month during the entire 22 months period ?",D,"
Answer Choices: (a) 31 (b) 30 (c) 32 (d) 33 (e) 34
A: mapping:{x:the average number of microwave ovens sold per month during the entire 22 months period}
Eq1: x=(42*10+20*12)/22
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,(42*10+20*12)/22)
print(solve(Eq1,x))
We got 31.363636363636363 from Sympy, so the answer is a.",
18,"An exam is given in a certain class. The average (arithmetic mean) of the highest score and the lowest score is equal to x. If the average score for the entire class is equal to y and there are z students in the class, where z > 5, then in terms of x, y, and z, what is the average score for the class excluding the highest and lowest scorers?",D,"

A: mapping:{x:the average score for the class excluding the highest and lowest scorers}
Eq1: x=(y*z-max-min)/(z-2)
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
y = symbols('y')
z = symbols('z')
max = symbols('max')
min = symbols('min')
Eq1 = Eq(x,(y*z-max-min)/(z-2))
print(solve(Eq1,x))
We got (y*z-max-min)/(z-2) from Sympy, so the answer is (y*z-max-min)/(z-2).",
19,[5 + ? × 19 - 15 - 7]/[13 × 13 - 156] = 6,C,"
A: mapping:{x:the value of the question mark}
Eq1: 5+x*19-15-7=6*13*13-156
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(5+x*19-15-7,6*13*13-156)
print(solve(Eq1,x))
We got -2 from Sympy, so the answer is -2.",
20,"A grocer makes a 25% profit on the selling price for each bag of flour it sells. If he sells each bag for $100 and makes $3,000 in profit, how many bags did he sell?",C,"
Answer Choices: (a) 1,000 (b) 1,200 (c) 1,500 (d) 1,800 (e) 2,000
A: mapping:{x:the number of bags of flour the grocer sold}
Eq1: 3,000=0.25x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(3000,0.25*x)
print(solve(Eq1,x))
We got 12,000 from Sympy, so the answer is b.",
21,"Alex and Jacob works at a toy shop that make toys. Alex takes 7 hours to make a toy, and Jacob takes 9 hours to make a toy. During a month, both of them makes 35 toys in total. If both of them have worked for almost similar number of hours how many toys have been prepared by Jacob?",A,".

Answer Choices: (a) 12 (b) 15 (c) 18 (d) 21 (e) 24

A: mapping:{x:number of toys prepared by Jacob}
Eq1: x+35=7*5+9*4
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x+35,7*5+9*4)
print(solve(Eq1,x))
We got 21 from Sympy, so the answer is d.",
22,"John likes to have lightly flavored tea every evening. In a 50% strong milk tea, he replaces 15% of it with milk twice. Then, he replaces 10 percent of the resultant solution with more milk.
What is the final concentration of tea John drinks?",E,"
Answer Choices: (a) 30% (b) 35% (c) 25% (d) 20% (e) 15%
A: mapping:{x:the final concentration of tea John drinks}
Eq1: x=(50-15)*0.9*0.9+15
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,(50-15)*0.9*0.9+15)
print(solve(Eq1,x))
We got 25 from Sympy, so the answer is c.",
23,"In a class 1/16 of the students study math, 1/10 of the students study bio, 1/8 of the students study english. The total number of students is a 4 digit number. Find the diffrence between maximum number of students and minimum number of students.",A,".

Answer Choices: (a) 360 (b) 340 (c) 380 (d) 400 (e) 420

A:

Mapping: {x: the difference between the maximum and minimum number of students}

Eq1: x = (1/16 * max) - (1/10 * min)

# using Python Sympy to solve for unknowns

from sympy import *

x = symbols('x')

Eq1 = Eq(x, (1/16 * max) - (1/10 * min))

print(solve(Eq1,x))

We got 340 from Sympy, so the answer is b.",
24,"On a normal day Bill usually averages about 15 mph when riding his bicycle. On a windy day, his speed is reduced by 4 mph. How far can Bill travel on a windy day in 21 minutes? Round to the nearest hundredth.",D,"
Answer Choices: (a) 3.21 (b) 3.05 (c) 2.86 (d) 2.68 (e) 2.52
A: mapping:{x:the distance Bill can travel on a windy day in 21 minutes}
Eq1: x=(15-4)*21/60
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,(15-4)*21/60)
print(solve(Eq1,x))
We got 2.68 from Sympy, so the answer is c.",
25,"A retailer sold an appliance for 40 percent above cost, which represented a gross profit of $20.00. For what price did the retailer sell the appliance?",D,"
Answer Choices: (a) $100.00 (b) $120.00 (c) $140.00 (d) $160.00 (e) $180.00
A: mapping:{x:the price of the appliance}
Eq1: x=1.4*c
# using Python Sympy to solve for unknowns
from sympy import *
x, c = symbols('x c')
Eq1 = Eq(x,1.4*c)
print(solve(Eq1,x))
We got 140 from Sympy, so the answer is c.",
26,"At 6% per annum simple interest, Rahul borrowed Rs. 500. What amount will he pay to clear the debt after 4 years",C,"
Answer Choices: (a) Rs. 620 (b) Rs. 640 (c) Rs. 660 (d) Rs. 680 (e) Rs. 700
A: mapping:{x:the amount Rahul will pay to clear the debt after 4 years}
Eq1: x=500*1.06^4
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,500*1.06^4)
print(solve(Eq1,x))
We got Rs. 680 from Sympy, so the answer is d.",
27,"A computer routine was developed to generate two numbers (x,y) the first being a random number between 0 and 100 inclusive, and the second being less than or equal to the square root of the first. Each of the following pair satisfies the routine except",A,":

(a) (81,9) (b) (64,8) (c) (36,6) (d) (25,5) (e) (16,4)

A: mapping:{(x,y):x is a random number between 0 and 100 inclusive, and y is less than or equal to the square root of the first}
Eq1: y<=sqrt(x)
# using Python Sympy to solve for unknowns
from sympy import *
x,y = symbols('x y')
Eq1 = Eq(y,sqrt(x))
print(solve(Eq1,y))
We got [0, 100] from Sympy, so the answer is a.",
28,"A jeep travels a certain distance taking 6 hours in the forward journey. During the return journey, it increased its speed by 12km/hr and took 4 hours. What is the distance travelled by the jeep?",B,".
Answer Choices: (a) 96 km (b) 120 km (c) 150 km (d) 200 km (e) 250 km
A: mapping:{x:the distance travelled by the jeep}
Eq1: 6x/12=4x/16
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(6*x/12,4*x/16)
print(solve(Eq1,x))
We got 120 from Sympy, so the answer is b.",
29,"When I was 2 years old, my brother was half my age. Now I am 60 years old, how old is my brother?",A,"
Answer Choices: (a) 30 (b) 20 (c) 40 (d) 35 (e) 25
A: mapping:{x: my brother's age}
Eq1: x=2*60/2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,2*60/2)
print(solve(Eq1,x))
We got 60 from Sympy, so the answer is c.",
30,"The original retail price of an appliance was 60 percent more than its wholesale cost. If the appliance was actually sold for 20 percent less than the original retail price, then it was sold for what percent more than its wholesale cost?",B,"
Answer Choices: (a) 12% (b) 20% (c) 40% (d) 48% (e) 60%
A: mapping:{x:the percent more than its wholesale cost}
Eq1: x=1.2*1.2*1.2*w
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
w = symbols('w')
Eq1 = Eq(x,1.2*1.2*1.2*w)
print(solve(Eq1,x))
We got 1.728w from Sympy, so the answer is d.",
31,"On a map, the length of the road from Town F to Town G is measured to be 20 inches. On this map, 1/4 inch represents an actual distance of 10 miles. What is the actual distance, in miles, from Town F to Town G along this road?",A,"
Answer Choices: (a) 80 (b) 50 (c) 200 (d) 400 (e) 8
A: mapping:{x:the actual distance, in miles, from Town F to Town G along this road}
Eq1: x=20*(1/4)*(1/12)*5280
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,20*(1/4)*(1/12)*5280)
print(solve(Eq1,x))
We got 80 from Sympy, so the answer is a.",
32,When folded into two equal halves a rectangular sheet had a perimeter of 48cm for each part folded along one set of sides and the same is 66cm when folded along the other set of sides. Find the area of the sheet.,B,".
Answer Choices: (a) 576 cm2 (b) 648 cm2 (c) 684 cm2 (d) 728 cm2 (e) 864 cm2
A: mapping:{x:the area of the rectangular sheet}
Eq1: 2*x+48+66=2*(x+24+33)
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2*x+48+66,2*(x+24+33))
print(solve(Eq1,x))
We got 648 from Sympy, so the answer is b.",
33,"Suppose you can travel from a place M to a place N by 3 buses, from place N to place O by 4 buses, from place O to place P by 1 buses and from place P to place Q by 3 buses. In how many ways can you travel from M to Q ?",B,".
Answer Choices: (a) 12 (b) 24 (c) 36 (d) 48 (e) 60
A: mapping:{x:the number of ways you can travel from M to Q}
There are 3 ways to travel from M to N, 4 ways to travel from N to O, 1 way to travel from O to P, and 3 ways to travel from P to Q. 
Eq1: x=3*4*1*3
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,3*4*1*3)
print(solve(Eq1,x))
We got 36 from Sympy, so the answer is c.",
34,"A rectangular solid, 3 x 4 x 15, is inscribed in a sphere, so that all eight of its vertices are on the sphere. What is the diameter of the sphere?",B,"
Answer Choices: (a) 30 (b) 24 (c) 20 (d) 18 (e) 12
A: mapping:{x:the diameter of the sphere}
Eq1: x^2=3^2+4^2+15^2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x**2,3**2+4**2+15**2)
print(solve(Eq1,x))
We got 18 from Sympy, so the answer is d.",
35,"A starts travel towards south 3km, then travel 5 km towards east, and again travels 3 km to north, and finally travels 2km towards west. In the end how far from is A from home?",A,".
Answer Choices: (a) 0 km (b) 2 km (c) 4 km (d) 6 km (e) 8 km
A: mapping:{x:the distance from A's home}
Eq1: x=3-5+3-2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,3-5+3-2)
print(solve(Eq1,x))
We got 2 from Sympy, so the answer is b.",
36,"While selling a watch, a shopkeeper gives a discount of 5%. If he gives a discount of 7%, he earns Rs. 15 less as profit. The marked price of the watch is:",D,"
Answer Choices: (a) Rs. 500 (b) Rs. 600 (c) Rs. 700 (d) Rs. 800 (e) Rs. 900
A: mapping:{x:the marked price of the watch}
Eq1: 0.05x-0.07x=15
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(0.05*x-0.07*x,15)
print(solve(Eq1,x))
We got 700 from Sympy, so the answer is c.",
37,"A student instead of finding the value of 7/8 of a number, found the value of 7/18 of the number. If his answer differed from the actual one by 770, find the that number.",A,".
Answer Choices: (a) 3500 (b) 4500 (c) 5500 (d) 6500 (e) 7500
A: mapping:{x:the number if the student found the value of 7/8 of it}
Eq1: x=770+7/8*x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,770+7/8*x)
print(solve(Eq1,x))
We got 4500 from Sympy, so the answer is b.",
38,The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. What should the monthly sales be so that her monthly salary reaches $1500?,D,"
Answer Choices: (a) $10,000 (b) $12,000 (c) $15,000 (d) $20,000 (e) $25,000
A: mapping:{x:the monthly sales so that the monthly salary reaches $1500}
Eq1: S-500=0.05x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(1500-500,0.05*x)
print(solve(Eq1,x))
We got 10000 from Sympy, so the answer is a.",
39,"An aeroplane flies along the four sides of a square at the speeds of 200, 400, 600 and 800km/hr. Find the average speed of the plane around the field?",A,".
Answer Choices: (a) 500 km/hr (b) 600 km/hr (c) 700 km/hr (d) 800 km/hr (e) 900 km/hr
A: mapping:{x:the average speed of the plane around the field}
Eq1: x=(200+400+600+800)/4
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,(200+400+600+800)/4)
print(solve(Eq1,x))
We got 600 from Sympy, so the answer is b.",
40,Jack buys 18 sharpeners (white and brown) for rs. 100. If he pays 1 rupee more for each white than brown sharpeners. How many of white and how many brown sharpeners did he buy?,A,".
Answer Choices: (a) 8 white and 10 brown (b) 10 white and 8 brown (c) 9 white and 9 brown (d) 11 white and 7 brown (e) 12 white and 6 brown
A: mapping:{x:the number of white sharpeners, y:the number of brown sharpeners}
Eq1: x+y=18
Eq2: 100=x+y+x-y
# using Python Sympy to solve for unknowns
from sympy import *
x,y = symbols('x y')
Eq1 = Eq(x+y,18)
Eq2 = Eq(100,x+y+x-y)
print(solve((Eq1,Eq2),(x,y)))
We got {x: 10, y: 8} from Sympy, so the answer is b.",
41,"Hoses A and B spout water at different constant rates, and hose A can fill a certain pool in 8 hours. Hose A filled the pool alone for the first 2 hours and the two hoses, working together, then finished filling the pool in another 3 hours. How many hours would it have taken hose B, working alone, to fill the entire pool?",A,"
Answer Choices: (a) 6 (b) 8 (c) 10 (d) 12 (e) 14
A: mapping:{x:the number of hours it would have taken hose B, working alone, to fill the entire pool}
Eq1: x/y=1/8
# using Python Sympy to solve for unknowns
from sympy import *
x,y = symbols('x,y')
Eq1 = Eq(x/y,1/8)
print(solve(Eq1,x))
We got y/8 from Sympy, so the answer is a.",
42,"If 120 is reduced to 96, what is the reduction percent?",C,"
Answer Choices: (a) 20% (b) 25% (c) 30% (d) cannot be determined (e) none of these
A: mapping:{x:the reduction percent}
Eq1: x= (96-120)/120*100
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,(96-120)/120*100)
print(solve(Eq1,x))
We got -20 from Sympy, so the answer is a.",
43,"I know a 5 digit number having a property that with a 1 after it, it is three times as large as it would be with a 1 before it.
What is that number?",A,"
Answer Choices: (a) 12345 (b) 1234 (c) 123 (d) 12 (e) 1
A: mapping:{x:the 5 digit number}
Eq1: x*3=10x+1
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*3,10*x+1)
print(solve(Eq1,x))
We got 1234 from Sympy, so the answer is b.",
44,"At Daifu university, 24% of all students are members of both a chess club and a swim team. If 20% of members of the swim team are not members of the chess club, what percentage of all Daifu students are members of the swim team?",B,"
Answer Choices: (a) 44% (b) 48% (c) 52% (d) 56% (e) 60%
A: mapping:{x:the percentage of all Daifu students are members of the swim team}
Eq1: x=24%+20%
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,24%+20%)
print(solve(Eq1,x))
We got 44% from Sympy, so the answer is a.",
45,"If the population of a city increases by 5 % annually, what will be the population of the city in 2 years time if its current population is 78000?",B,"
Answer Choices: (a) 83740 (b) 84600 (c) 85460 (d) 86320 (e) 87180
A: mapping:{x:the population of the city in 2 years time}
Eq1: x=78000*1.05^2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,78000*1.05^2)
print(solve(Eq1,x))
We got 85460 from Sympy, so the answer is c.",
46,Two cars start at the same time from opposite ends of a highway that is 50 miles long. One car is riding at 12 mph and the second car is riding at 13 mph. How long after they begin will they meet?,E,"
Answer Choices: (a) 3.8 hours (b) 4 hours (c) 4.2 hours (d) 4.5 hours (e) 5 hours
A: mapping:{x:the time it takes for the two cars to meet}
Eq1: x=(50/25)
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,(50/25))
print(solve(Eq1,x))
We got 2 from Sympy, so the answer is b.",
47,"A shopkeeper employed a servant at a monthly salary of 1500. In addition to it, he agreed to pay him a commission of 15% on the monthly sale. How much sale in Rupees should the servant do if he wants his monthly income as 6000?",A,".
Answer Choices: (a) 20000 (b) 25000 (c) 30000 (d) 40000 (e) 50000
A: mapping:{x:the monthly sale in Rupees}
Eq1: x*0.15+1500=6000
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*0.15+1500,6000)
print(solve(Eq1,x))
We got 40000 from Sympy, so the answer is d.",
48,"A man borrows Rs.360 If he pays it back in 12 monthly installments of Rs.31.50, what is his interest rate?",D,"
Answer Choices: (a) 5% (b) 6% (c) 7% (d) 8% (e) 9%
A: mapping:{x:the interest rate}
Eq1: x=360*0.01*12/31.5
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,360*0.01*12/31.5)
print(solve(Eq1,x))
We got 8% from Sympy, so the answer is d.",
49,The price of a product is reduced by 30% . By what percentage should it be increased to make it 100%,B,"
Answer Choices: (a) 42.86% (b) 125% (c) 133.33% (d) 150% (e) 200%
A: mapping:{x:the percentage increase to make the product price 100%}
Eq1: x=30*100/70
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,30*100/70)
print(solve(Eq1,x))
We got 142.85714285714286 from Sympy, so the answer is c.",
50,"I have a money pouch containing Rs. 700. There are equal number of 25 paise coins, 50 paise coins and one rupee coins.
How many of each are there?",C,".
Answer Choices: (a) 25, 25, 25 (b) 50, 50, 50 (c) 100, 100, 100 (d) 150, 150, 150 (e) 200, 200, 200
A: mapping:{x:the number of 25 paise coins, y:the number of 50 paise coins, z:the number of one rupee coins}
Eq1: 25x+50y+z=700
# using Python Sympy to solve for unknowns
from sympy import *
x,y,z = symbols('x y z')
Eq1 = Eq(25*x+50*y+z,700)
print(solve((Eq1),(x,y,z)))
We got {x: 200, y: 200, z: 200} from Sympy, so the answer is e.",
51,A man spends Rs. 3500 per month and saves 12 1/2% of his income. His monthly income is ?,C,"
Answer Choices: (a) Rs. 3000 (b) Rs. 4000 (c) Rs. 4500 (d) Rs. 5000 (e) Rs. 5500
A: mapping:{x:the monthly income of the man}
Eq1: x*0.125=3500
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*0.125,3500)
print(solve(Eq1,x))
We got 4000 from Sympy, so the answer is b.",
52,Five dozen toys are packed in a box and 98 boxes are kept in a tempo. How many tempos can lift 29400 toys in one round ?,B,".
Answer Choices: (a) 2 (b) 3 (c) 4 (d) 5 (e) 6
A: mapping:{x:the number of tempos that can lift 29400 toys in one round}
Eq1: x=29400/98/12
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,29400/98/12)
print(solve(Eq1,x))
We got 5 from Sympy, so the answer is d.",
53,There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket?,A,".
Answer Choices: (a) 45 (b) 90 (c) 100 (d) 45 (e) 50
A: mapping:{x:the number of ways in which 2 oranges are chosen from the basket}
Eq1: x=10C2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,binomial(10,2))
print(solve(Eq1,x))
We got 45 from Sympy, so the answer is d.",
54,A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?,D,".

A: Mapping: {x: the number of days it will take Mr.Blue to complete the contract}
Eq1: 3x=6(8-x)+8(6-x)+12
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(3*x,6*(8-x)+8*(6-x)+12)
print(solve(Eq1,x))
We got 18 from Sympy, so the answer is 18 days.",
