,question,answer,response,tokens,logprobs,mapping,response_answer,equations
155," At the arcade Dave won c0 tickets. If he spent c1 tickets on a beanie and later won c2 more tickets, how many would he have? ",18.0," Dave won c0 tickets. He spent c1 tickets on a beanie. So he had c0 - c1 tickets. 
tickets_after_beanie = c0 - c1
He won c2 more tickets. So he had tickets_after_beanie + c2 tickets. 
tickets_now = tickets_after_beanie + c2
The answer is tickets_now.","[' Dave', ' won', ' c', '0', ' tickets', '.', ' He', ' spent', ' c', '1', ' tickets', ' on', ' a', ' bean', 'ie', '.', ' So', ' he', ' had', ' c', '0', ' -', ' c', '1', ' tickets', '.', ' ', '\n', 't', 'ickets', '_', 'after', '_', 'bean', 'ie', ' =', ' c', '0', ' -', ' c', '1', '\n', 'He', ' won', ' c', '2', ' more', ' tickets', '.', ' So', ' he', ' had', ' tickets', '_', 'after', '_', 'bean', 'ie', ' +', ' c', '2', ' tickets', '.', ' ', '\n', 't', 'ickets', '_', 'now', ' =', ' tickets', '_', 'after', '_', 'bean', 'ie', ' +', ' c', '2', '\n', 'The', ' answer', ' is', ' tickets', '_', 'now', '.']","[-0.08569767, -0.8212106, -0.00471681, -9.270188e-05, -0.0039384025, -0.24607959999999998, -0.6900967, -0.16621353, -0.0011958607, -0.0062744184000000005, -0.16903134, -0.18112929, -0.0639059, -0.0013196968, -2.3675353000000002e-05, -0.17103964, -0.22095709, -0.08380334, -0.431143, -0.0007028194000000001, -0.0014307739, -0.19662867, -0.00018188404999999999, -0.00019153998, -0.002589676, -0.58443576, -0.13722512, -5.383702600000001e-05, -0.017020272, -1.4497215500000001e-05, -0.00024501586, -0.34516963, -0.020289326, -0.24567205, -2.1051823000000004e-05, -0.0026328212, -0.00013586105999999998, -0.00018796182, -0.004067726000000001, -0.00027268257999999996, -2.6893982e-05, -0.014384262, -0.8851249999999999, -0.15918617000000002, -1.855031e-05, -3.2735214e-05, -0.031212078, -0.011345934, -0.08175871, -0.039777346000000005, -0.1276565, -0.25340286, -0.0023065156, -3.170517e-06, -2.462996e-05, -0.00013740796, -0.00028806240000000004, -1.2622394999999999e-06, -0.0002513358, -1.2231317e-05, -3.225932e-05, -0.0020015135, -0.16333786, -0.04036299, -4.838501e-06, -0.14659621, -2.6936819999999996e-06, -0.0006452613, -0.28865746000000003, -0.0030659535, -0.00030046387, -1.9741461e-05, -1.3823811999999999e-06, -5.0778562999999996e-06, -0.00013633883, -5.460492e-07, -5.6340414000000005e-05, -8.296486e-06, -2.7371756000000004e-05, -0.017559158000000002, -0.00083172426, -5.0022347e-05, -0.00012655997, -0.0002286242, -5.956092e-05, -1.3306066e-05, -0.008268373]","{'c0': 25.0, 'c1': 22.0, 'c2': 15.0}",18.0,"['tickets_after_beanie =  c0 - c1', 'tickets_now =  tickets_after_beanie + c2', 'answer = tickets_now']"
156," Robin had c0 songs on her mp3 player. If she deleted c1 old songs from it and then added c2 new songs, how many songs does she have on her mp3 player? ",32.0," Robin had c0 songs on her mp3 player. If she deleted c1 old songs from it and then added c2 new songs, she would have c0 - c1 + c2 songs on her mp3 player. 
songs_on_player = c0 - c1 + c2
The answer is songs_on_player.","[' Robin', ' had', ' c', '0', ' songs', ' on', ' her', ' mp', '3', ' player', '.', ' If', ' she', ' deleted', ' c', '1', ' old', ' songs', ' from', ' it', ' and', ' then', ' added', ' c', '2', ' new', ' songs', ',', ' she', ' would', ' have', ' c', '0', ' -', ' c', '1', ' +', ' c', '2', ' songs', ' on', ' her', ' mp', '3', ' player', '.', ' ', '\n', 's', 'ongs', '_', 'on', '_', 'player', ' =', ' c', '0', ' -', ' c', '1', ' +', ' c', '2', '\n', 'The', ' answer', ' is', ' songs', '_', 'on', '_', 'player', '.']","[-0.1794873, -0.55721974, -0.0033331232, -4.5613506e-05, -0.0020683492, -1.0190547, -0.00010235965999999999, -0.027486907, -3.0473995000000003e-05, -0.0020598082000000003, -0.042897199999999996, -0.9081996, -0.0028661620000000002, -0.016786465, -1.6402679e-05, -7.398424e-05, -0.12321458, -8.364295000000001e-05, -0.9052794, -0.0018418237, -0.5336689, -0.013324877, -3.965026e-05, -7.4639065e-06, -1.4736571000000001e-05, -0.0018427793, -0.0015225213, -0.0028353780000000004, -0.18094812, -0.13802853, -0.0009085022, -0.0042710532, -0.015723130000000002, -0.19990222, -0.000113448885, -0.00024775858, -0.0026973665000000003, -4.0963423000000005e-05, -6.9453374e-05, -0.0019661584, -0.51944673, -0.0008153786, -0.12826198, -1.2946569000000003e-05, -8.960433000000001e-05, -0.029985486000000002, -0.26279017, -1.1159372000000002e-05, -0.59344554, -7.854046699999999e-07, -0.0035867256, -0.25254574, -0.000120839824, -0.47707215000000003, -0.0015552342, -0.00027268257999999996, -2.1529595000000004e-05, -0.0010471578, -0.00013931624, -3.8338017000000004e-05, -0.00010104930000000001, -3.225932e-05, -5.514926700000001e-05, -0.24630511, -0.000867576, -8.566857e-05, -0.0002139559, -0.0007398585, -3.4642555e-05, -2.3360508e-06, -3.1542190000000004e-05, -1.5006569e-06, -0.031863675]","{'c0': 30.0, 'c1': 8.0, 'c2': 10.0}",32.0,"['songs_on_player =  c0 - c1 + c2', 'answer = songs_on_player']"
157," The school cafeteria had c0 apples. If they used c1 to make lunch for the students and then bought c2 more, how many apples would they have? ",9.0," The school cafeteria had c0 apples. They used c1 to make lunch for the students. They bought c2 more. So they would have c0 - c1 + c2 apples. 
apples_left = c0 - c1 + c2
The answer is apples_left.","[' The', ' school', ' cafeteria', ' had', ' c', '0', ' apples', '.', ' They', ' used', ' c', '1', ' to', ' make', ' lunch', ' for', ' the', ' students', '.', ' They', ' bought', ' c', '2', ' more', '.', ' So', ' they', ' would', ' have', ' c', '0', ' -', ' c', '1', ' +', ' c', '2', ' apples', '.', ' ', '\n', 'app', 'les', '_', 'left', ' =', ' c', '0', ' -', ' c', '1', ' +', ' c', '2', '\n', 'The', ' answer', ' is', ' apples', '_', 'left', '.']","[-0.32271197, -0.06679712, -0.10675638, -0.34650522, -0.0040451623, -4.132011600000001e-05, -0.00064943644, -0.040155366000000005, -0.7555141400000001, -0.051270004, -0.0021474913, -0.009249135, -0.8467254999999999, -4.7639110000000003e-05, -0.00160562, -0.6527375999999999, -0.054137044, -0.0005192418, -0.6220915, -0.34822085, -0.033185730000000004, -3.201996e-05, -0.0017967414, -0.019123541, -0.056766994, -0.68289113, -0.12585653, -0.48162314, -0.0006862372, -0.04835746, -0.035929054, -0.33398846, -0.00062289607, -0.0002372673, -0.0014919570000000001, -0.00012238578, -9.854499000000001e-05, -0.014144897, -0.12866132, -0.15139426, -7.636654e-05, -0.21642348, -1.6207987e-06, -0.29889119999999997, -0.582013, -0.0028938982000000003, -0.00012238578, -0.00016888563, -0.001632488, -0.0011491937, -5.0140625e-05, -0.00025336327999999996, -0.0001233404, -2.2958224000000002e-05, -0.21963148000000002, -0.0013273364, -4.656436000000001e-05, -0.0008332749, -5.729314600000001e-05, -9.139247e-05, -2.6936819999999996e-06, -0.022710217]","{'c0': 23.0, 'c1': 20.0, 'c2': 6.0}",9.0,"['apples_left =  c0 - c1 + c2', 'answer = apples_left']"
158," Janet was playing a video game and had c0 lives. In a hard part of the game she lost c1 lives. If she got c2 more lives in the next level, how many lives would she have? ",54.0," Janet started with c0 lives. After losing c1 lives, she had c0-c1 lives. 
lives_lost = c0 - c1
If she got c2 more lives in the next level, she would have lives_lost + c2 lives. 
lives_gained = lives_lost + c2
The answer is lives_gained.","[' Janet', ' started', ' with', ' c', '0', ' lives', '.', ' After', ' losing', ' c', '1', ' lives', ',', ' she', ' had', ' c', '0', '-', 'c', '1', ' lives', '.', ' ', '\n', 'l', 'ives', '_', 'lost', ' =', ' c', '0', ' -', ' c', '1', '\n', 'If', ' she', ' got', ' c', '2', ' more', ' lives', ' in', ' the', ' next', ' level', ',', ' she', ' would', ' have', ' lives', '_', 'lost', ' +', ' c', '2', ' lives', '.', ' ', '\n', 'l', 'ives', '_', 'g', 'ained', ' =', ' lives', '_', 'lost', ' +', ' c', '2', '\n', 'The', ' answer', ' is', ' lives', '_', 'g', 'ained', '.']","[-0.110143766, -0.8178919, -0.03497005, -7.183848e-05, -4.382537000000001e-05, -0.0005339749, -0.037753757, -1.0636606, -0.038711105, -0.00075047655, -0.00011976600999999999, -0.16902879, -0.13155909, -0.0013771723, -0.046868615, -0.0008736013, -0.0031878080000000003, -0.6216358, -0.0036775933, -2.6180607000000004e-05, -0.1992686, -0.12703441000000001, -0.6095009, -1.9980816e-05, -0.031794947000000004, -4.3227457e-05, -4.6445148e-05, -0.7368863999999999, -0.05886806, -0.00018533925, -0.00014146293999999998, -0.44779864, -0.0008511112000000001, -1.5687427000000002e-05, -0.004307506, -0.6107633, -0.0017074768000000001, -0.14918308, -1.3900239000000001e-05, -0.00020024595, -0.09415014000000001, -0.001576429, -0.5420671, -0.0004698068, -0.0009485337, -0.00010235965999999999, -0.0008999707599999999, -0.054552656000000005, -0.013705434, -0.0009206726699999999, -0.19336295, -1.7834122e-05, -0.0006713868, -0.010775682, -0.000109035354, -4.2153635e-05, -0.013232764000000001, -0.042779118000000005, -0.08065367, -2.0218295000000002e-05, -0.05573447, -1.0920954000000002e-05, -0.0011326642, -0.15793642, -3.076318e-07, -0.024510112, -0.0030979419, -6.746777999999999e-06, -2.4152187000000003e-05, -0.00010140506, -7.698572e-06, -5.0778562999999996e-06, -0.04056632, -0.0009042069, -0.00023500232999999998, -0.0004212682, -3.1781543000000005e-05, -2.7251614000000003e-05, -2.1889093000000004e-05, -5.460492e-07, -0.006425578600000001]","{'c0': 38.0, 'c1': 16.0, 'c2': 32.0}",54.0,"['lives_lost =  c0 - c1', 'lives_gained =  lives_lost + c2', 'answer = lives_gained']"
159," Megan picked c0 carrots from her garden. If she threw out c1 of them and then picked c2 more the next day, how many carrots would she have total? ",61.0," Megan started with c0 carrots. If she threw out c1 of them, she would have c0 - c1 carrots. 
carrots_after_throwing_out = c0 - c1
If she picked c2 more the next day, she would have carrots_after_throwing_out + c2 carrots. 
carrots_total = carrots_after_throwing_out + c2
The answer is carrots_total.","[' Megan', ' started', ' with', ' c', '0', ' carrots', '.', ' If', ' she', ' threw', ' out', ' c', '1', ' of', ' them', ',', ' she', ' would', ' have', ' c', '0', ' -', ' c', '1', ' carrots', '.', ' ', '\n', 'car', 'rots', '_', 'after', '_', 'th', 'rowing', '_', 'out', ' =', ' c', '0', ' -', ' c', '1', '\n', 'If', ' she', ' picked', ' c', '2', ' more', ' the', ' next', ' day', ',', ' she', ' would', ' have', ' carrots', '_', 'after', '_', 'th', 'rowing', '_', 'out', ' +', ' c', '2', ' carrots', '.', ' ', '\n', 'car', 'rots', '_', 'total', ' =', ' carrots', '_', 'after', '_', 'th', 'rowing', '_', 'out', ' +', ' c', '2', '\n', 'The', ' answer', ' is', ' carrots', '_', 'total', '.']","[-0.14016223, -1.0931363, -0.010078462, -0.00025360263, -3.4642555e-05, -0.0012993431000000001, -0.045102686, -0.74857885, -0.004583213, -0.07361506, -0.10855184500000001, -2.6538237000000004e-05, -0.0006819428499999999, -0.7001629500000001, -0.0006314847, -0.029616488000000003, -0.20790868, -0.025835637, -0.11078686, -0.0011053944000000001, -0.0011918029000000001, -0.31118184, -0.00019678608999999998, -0.00014945272, -0.05829862, -0.2930164, -0.22179833000000002, -2.3197580000000005e-05, -0.009179234000000001, -0.0008637576, -0.0009976946000000001, -0.597268, -0.005224361, -0.12425783, -0.0007081875, -0.031083811000000003, -0.10264707, -0.0015772633, -0.00022540275, -0.00012524866999999998, -0.0027301807000000003, -0.0003626532, -3.2735214e-05, -0.0043827580000000005, -0.11715539999999999, -0.001086062, -0.35095596, -0.00040105345999999996, -0.0002775683, -0.026374027, -0.43849224000000003, -2.5583630000000002e-05, -7.818712999999999e-06, -0.0025865673000000002, -0.12596342, -0.009734372, -0.007068506400000001, -0.05589443, -7.937927e-06, -3.249586e-05, -7.818712999999999e-06, -1.1514188000000001e-05, -1.1430257999999999e-06, -0.00010450541999999999, -8.149626e-05, -0.0019245339, -7.231626000000001e-05, -0.00018522002, -0.055802222000000005, -0.29378715, -0.0710686, -8.296486e-06, -0.5988306999999999, -0.0023679908, -3.1185496000000004e-05, -0.66773194, -0.00052449165, -0.0009556938, -3.3093773000000004e-05, -2.9311613999999997e-06, -1.8601541999999999e-06, -7.698572e-06, -1.2622394999999999e-06, -0.00012381816999999998, -5.073760000000001e-05, -0.0003266982, -3.4287736000000006e-05, -0.00013133019, -0.07599934, -0.0022320177, -6.873624e-05, -0.0009075475, -0.00028174432, -5.1930627e-05, -2.6180607000000004e-05, -0.025104564000000003]","{'c0': 19.0, 'c1': 4.0, 'c2': 46.0}",61.0,"['carrots_after_throwing_out =  c0 - c1', 'carrots_total =  carrots_after_throwing_out + c2', 'answer = carrots_total']"
160," Roger had c0 dollars in January. By March he had spent c1 dollars. If he got another c2 dollars from his mom, how much money would he have? ",71.0," Roger had c0 dollars in January. He spent c1 dollars by March. So he would have c0 - c1 dollars. 
money_spent = c0 - c1
If he got c2 more dollars from his mom, he would have money_spent + c2 dollars. 
money_received = money_spent + c2
The answer is money_received.","[' Roger', ' had', ' c', '0', ' dollars', ' in', ' January', '.', ' He', ' spent', ' c', '1', ' dollars', ' by', ' March', '.', ' So', ' he', ' would', ' have', ' c', '0', ' -', ' c', '1', ' dollars', '.', ' ', '\n', 'money', '_', 'sp', 'ent', ' =', ' c', '0', ' -', ' c', '1', '\n', 'If', ' he', ' got', ' c', '2', ' more', ' dollars', ' from', ' his', ' mom', ',', ' he', ' would', ' have', ' money', '_', 'sp', 'ent', ' +', ' c', '2', ' dollars', '.', ' ', '\n', 'money', '_', 'received', ' =', ' money', '_', 'sp', 'ent', ' +', ' c', '2', '\n', 'The', ' answer', ' is', ' money', '_', 'received', '.']","[-0.35507774000000003, -0.4197614, -0.0006669723, -0.00017103325999999998, -0.04048352, -0.10047037, -0.0005319464, -0.013160047000000001, -0.98367715, -0.008489923, -0.00011011010000000001, -0.0022340498, -0.09235022, -0.5335801, -0.0023083074, -0.5914711, -0.5042304400000001, -0.12358404, -0.38192314, -0.00018331176, -0.013268039, -0.0014313709, -0.08501059999999999, -0.00014408647, -0.0001758016, -0.020942818000000002, -0.43850037000000003, -0.24363418, -1.3900239000000001e-05, -0.06806593400000001, -0.0018777751, -0.9024831, -1.6165199000000003e-05, -0.0033240924, -0.00012632154999999998, -0.023584282, -0.0023203157, -0.00040630236999999997, -0.00016411633999999998, -0.17927769999999998, -0.6852313, -0.0021724612, -0.12681238, -0.5111763, -0.00011058788, -0.20078357, -0.0022652320000000003, -0.65087783, -0.0015941572, -2.5225998000000003e-05, -0.0014714812, -0.27866969999999996, -0.0007788107, -0.0018963452, -0.11306216000000001, -6.897560000000001e-05, -0.00010128584, -1.022884e-06, -0.00027518314999999997, -4.6921985e-05, -1.6402679e-05, -0.19813603, -0.05251236, -0.08597838000000001, -1.0444119e-05, -0.0069888514, -0.0017652140000000002, -0.21367258, -0.0048134127, -0.00026779127, -9.370307e-06, -2.4543265e-06, -1.8841804e-07, -5.347752800000001e-05, -7.1062755e-06, -4.6325007e-05, -0.041773370000000004, -0.002053955, -5.157113e-05, -0.00034953653999999997, -5.729314600000001e-05, -4.716134000000001e-05, -0.0007647328, -0.066650815]","{'c0': 45.0, 'c1': 20.0, 'c2': 46.0}",71.0,"['money_spent =  c0 - c1', 'money_received =  money_spent + c2', 'answer = money_received']"
161," The school cafeteria had c0 apples. If they used c1 to make lunch for the students and then bought c2 more, how many apples would they have? ",38.0," The school cafeteria had c0 apples. They used c1 to make lunch for the students. They bought c2 more. So they would have c0 - c1 + c2 apples. 
apples_left = c0 - c1 + c2
The answer is apples_left.","[' The', ' school', ' cafeteria', ' had', ' c', '0', ' apples', '.', ' They', ' used', ' c', '1', ' to', ' make', ' lunch', ' for', ' the', ' students', '.', ' They', ' bought', ' c', '2', ' more', '.', ' So', ' they', ' would', ' have', ' c', '0', ' -', ' c', '1', ' +', ' c', '2', ' apples', '.', ' ', '\n', 'app', 'les', '_', 'left', ' =', ' c', '0', ' -', ' c', '1', ' +', ' c', '2', '\n', 'The', ' answer', ' is', ' apples', '_', 'left', '.']","[-0.32013744, -0.066586666, -0.10616763, -0.34651315, -0.003965332, -4.1080762000000004e-05, -0.00064836355, -0.040219147000000004, -0.7598992999999999, -0.05187445, -0.0021375765, -0.009365969, -0.8484164999999999, -4.811501e-05, -0.0016359488, -0.6506896, -0.0524704, -0.0005119672000000001, -0.62310225, -0.3540912, -0.033324316, -3.249586e-05, -0.0018330455000000001, -0.019281518, -0.055977188000000004, -0.68715024, -0.1271641, -0.48530692000000003, -0.0007030587299999999, -0.048463445, -0.034972146, -0.33894685, -0.0006323192000000001, -0.00022659577, -0.0014845538, -0.00012179443, -9.842577000000001e-05, -0.0141627295, -0.12821739999999998, -0.15063763, -7.613187e-05, -0.21511257, -1.6207987e-06, -0.299932, -0.58199, -0.0028280246, -0.00012226657, -0.00016721858999999998, -0.0016352325, -0.0011272951, -4.9069614999999996e-05, -0.0002528855, -0.0001229837, -2.272356e-05, -0.22077689, -0.0013288279, -4.680184e-05, -0.0008238490000000001, -5.860725000000001e-05, -9.043785400000002e-05, -2.6936819999999996e-06, -0.023253819000000002]","{'c0': 17.0, 'c1': 2.0, 'c2': 23.0}",38.0,"['apples_left =  c0 - c1 + c2', 'answer = apples_left']"
162," Janet was playing a video game and had c0 lives. In a hard part of the game she lost c1 lives. If she got c2 more lives in the next level, how many lives would she have? ",70.0," Janet started with c0 lives. After losing c1 lives, she had c0-c1 lives. 
lives_lost = c0 - c1
If she got c2 more lives in the next level, she would have lives_lost + c2 lives. 
lives_gained = lives_lost + c2
The answer is lives_gained.","[' Janet', ' started', ' with', ' c', '0', ' lives', '.', ' After', ' losing', ' c', '1', ' lives', ',', ' she', ' had', ' c', '0', '-', 'c', '1', ' lives', '.', ' ', '\n', 'l', 'ives', '_', 'lost', ' =', ' c', '0', ' -', ' c', '1', '\n', 'If', ' she', ' got', ' c', '2', ' more', ' lives', ' in', ' the', ' next', ' level', ',', ' she', ' would', ' have', ' lives', '_', 'lost', ' +', ' c', '2', ' lives', '.', ' ', '\n', 'l', 'ives', '_', 'g', 'ained', ' =', ' lives', '_', 'lost', ' +', ' c', '2', '\n', 'The', ' answer', ' is', ' lives', '_', 'g', 'ained', '.']","[-0.1098598, -0.81641394, -0.035106905, -7.171927400000001e-05, -4.3586017000000006e-05, -0.00054387294, -0.037716, -1.0695822, -0.038629822, -0.0007460621000000001, -0.00011988616, -0.17090422, -0.12903418, -0.0013862452, -0.0467778, -0.00087885105, -0.003289049, -0.62642765, -0.0036431963, -2.7371756000000004e-05, -0.19833973, -0.12723821, -0.6188243999999999, -2.0696069000000002e-05, -0.03180202, -4.3347598e-05, -4.799487e-05, -0.7531186, -0.059584845000000004, -0.00014992956, -0.00014396913, -0.44218534, -0.00080499804, -1.6165199000000003e-05, -0.0044077807, -0.6060529, -0.0017079544000000002, -0.14820099, -1.4020380000000002e-05, -0.00020036235, -0.09459288, -0.0015446687000000001, -0.5354637999999999, -0.00046861471, -0.0009346924, -0.00010092915999999999, -0.00089686754, -0.054111496, -0.013599391, -0.000923774, -0.20349303, -1.7834122e-05, -0.0006849259000000001, -0.010986277000000001, -0.00010998995999999999, -4.2750620000000005e-05, -0.013157691000000001, -0.04257086, -0.08175256, -1.9980816e-05, -0.055171356000000005, -1.0920954000000002e-05, -0.0011641699000000001, -0.16026627000000002, -3.076318e-07, -0.02407542, -0.0034688883, -6.8669196e-06, -2.462996e-05, -0.00010104930000000001, -7.818712999999999e-06, -5.0778562999999996e-06, -0.04075939, -0.0008974655, -0.0002376249, -0.00041769101999999996, -3.1662330000000006e-05, -2.6893982e-05, -2.2006430000000002e-05, -5.460492e-07, -0.006327023]","{'c0': 47.0, 'c1': 23.0, 'c2': 46.0}",70.0,"['lives_lost =  c0 - c1', 'lives_gained =  lives_lost + c2', 'answer = lives_gained']"
163," Nancy picked c0 carrots from her garden. If she threw out c1 of them and then picked c2 more the next day, how many carrots would she have total? ",31.0," Nancy started with c0 carrots. If she threw out c1 of them, she would have c0 - c1 carrots. 
carrots_after_throwing_out = c0 - c1
If she picked c2 more the next day, she would have carrots_after_throwing_out + c2 carrots. 
carrots_after_picking = carrots_after_throwing_out + c2
The answer is carrots_after_picking.","[' Nancy', ' started', ' with', ' c', '0', ' carrots', '.', ' If', ' she', ' threw', ' out', ' c', '1', ' of', ' them', ',', ' she', ' would', ' have', ' c', '0', ' -', ' c', '1', ' carrots', '.', ' ', '\n', 'car', 'rots', '_', 'after', '_', 'th', 'rowing', '_', 'out', ' =', ' c', '0', ' -', ' c', '1', '\n', 'If', ' she', ' picked', ' c', '2', ' more', ' the', ' next', ' day', ',', ' she', ' would', ' have', ' carrots', '_', 'after', '_', 'th', 'rowing', '_', 'out', ' +', ' c', '2', ' carrots', '.', ' ', '\n', 'car', 'rots', '_', 'after', '_', 'picking', ' =', ' carrots', '_', 'after', '_', 'th', 'rowing', '_', 'out', ' +', ' c', '2', '\n', 'The', ' answer', ' is', ' carrots', '_', 'after', '_', 'picking', '.']","[-0.06179230300000001, -0.7298101, -0.008274382, -0.00021813007999999998, -4.2153635e-05, -0.0010116551, -0.038047884000000004, -0.63637394, -0.006751252, -0.07578567, -0.11573578400000001, -3.5717305000000005e-05, -0.0005972493, -0.69167215, -0.0006459766, -0.019759547000000002, -0.21582517, -0.031227453000000002, -0.11152865000000001, -0.0010825412, -0.0011775382, -0.29667264, -0.00020906834, -0.00025252788, -0.050963122000000007, -0.28701052, -0.31841958, -1.4497215500000001e-05, -0.0061464286, -0.0010969222, -0.0013214858000000001, -0.5730651999999999, -0.005276429, -0.11239958600000001, -0.00084144867, -0.040362306, -0.10431242, -0.0015465788000000001, -0.00035955380000000003, -0.0002634979, -0.0025582428, -0.00030845366, -2.880226e-05, -0.0030947109, -0.12879881, -0.002001154, -0.40616935, -0.00021693892999999999, -0.00032383628, -0.02275052, -0.47724223, -3.488097e-05, -9.012677e-06, -0.0024475749, -0.12680914000000001, -0.010366483000000001, -0.0073662250000000006, -0.054784007, -9.846204e-06, -2.6538237000000004e-05, -8.296486e-06, -1.0323977e-05, -1.3823811999999999e-06, -0.00013180608, -9.675685e-05, -0.0019133667000000001, -9.365555000000001e-05, -0.00027613778, -0.06076295, -0.33628959999999997, -0.08974009999999999, -6.2699432e-06, -0.45935357, -0.001994347, -4.2272848e-05, -0.55499077, -1.5006569e-06, -0.15580463, -0.04447659, -0.0017118911000000001, -3.249586e-05, -1.306671e-05, -2.4866502000000002e-05, -1.0681599e-05, -1.7400123999999997e-06, -4.721162999999999e-06, -4.9547390000000005e-05, -0.0002176523, -5.1930627e-05, -0.00011094269599999999, -0.030628370000000002, -0.0025719253, -5.073760000000001e-05, -0.00097222155, -0.00044762366, -4.6325007e-05, -2.9311613999999997e-06, -0.000113686365, -0.00033295902999999996, -0.009574765]","{'c0': 12.0, 'c1': 2.0, 'c2': 21.0}",31.0,"['carrots_after_throwing_out =  c0 - c1', 'carrots_after_picking =  carrots_after_throwing_out + c2', 'answer = carrots_after_picking']"
164," Bianca had c0 songs on her mp3 player. If she deleted c1 old songs from it and then added c2 new songs, how many songs does she have on her mp3 player? ",64.0," Bianca had c0 songs on her mp3 player. If she deleted c1 old songs, she would have c0-c1 songs. 
songs_after_deletion = c0 - c1
If she then added c2 new songs, she would have songs_after_deletion + c2 songs. 
songs_after_addition = songs_after_deletion + c2
The answer is songs_after_addition.","[' Bian', 'ca', ' had', ' c', '0', ' songs', ' on', ' her', ' mp', '3', ' player', '.', ' If', ' she', ' deleted', ' c', '1', ' old', ' songs', ',', ' she', ' would', ' have', ' c', '0', '-', 'c', '1', ' songs', '.', ' ', '\n', 's', 'ongs', '_', 'after', '_', 'de', 'let', 'ion', ' =', ' c', '0', ' -', ' c', '1', '\n', 'If', ' she', ' then', ' added', ' c', '2', ' new', ' songs', ',', ' she', ' would', ' have', ' songs', '_', 'after', '_', 'de', 'let', 'ion', ' +', ' c', '2', ' songs', '.', ' ', '\n', 's', 'ongs', '_', 'after', '_', 'add', 'ition', ' =', ' songs', '_', 'after', '_', 'de', 'let', 'ion', ' +', ' c', '2', '\n', 'The', ' answer', ' is', ' songs', '_', 'after', '_', 'add', 'ition', '.']","[-0.060673647000000004, -7.3865966e-05, -0.46797659999999996, -0.0030587174, -5.2288255e-05, -0.0018865532, -0.8672209999999999, -7.136165e-05, -0.028662119000000003, -1.7713980000000002e-05, -0.0049950224, -0.039119985, -0.77616155, -0.0016147558000000001, -0.014179296000000001, -2.272356e-05, -5.1810483e-05, -0.12376602, -0.00010140506, -0.73289216, -0.23362143, -0.17961234, -0.028446358, -0.0027521742, -0.0008220599000000001, -0.6661886, -0.0022334512, -5.479163500000001e-05, -0.002477392, -0.25550702000000003, -0.22251771, -1.9382902000000003e-05, -0.010561151000000001, -1.1430257999999999e-06, -3.1065356e-05, -0.25700128, -0.0007449901, -0.6833245, -0.5841005, -0.0009330826, -0.03669666, -5.6818186e-05, -4.9902206e-05, -0.12684812, -9.5442745e-05, -1.0204763e-05, -0.007674663000000001, -0.30904000000000004, -0.0005890202000000001, -0.6095577, -0.00691875, -2.4390605000000004e-05, -3.201996e-05, -0.07449734, -0.00020835306999999998, -0.0005346873, -0.044958096, -0.0013753822000000001, -0.0007161810000000001, -0.044270843000000004, -2.5744682e-06, -2.5744682e-06, -1.4377073000000001e-05, -0.0003942557, -2.141132e-05, -1.3661821000000001e-05, -0.0015837118, -1.5094201e-05, -1.0800813e-05, -0.0022967770000000003, -0.12485589, -0.03424898, -3.6482896999999998e-06, -0.023097470000000002, -5.3162735e-06, -3.4089344e-06, -0.0024954986000000003, -1.4020380000000002e-05, -0.09042194, -0.0013289463, -0.0025741970000000003, -0.00033880305, -1.9765537e-06, -2.9311613999999997e-06, -1.4974988000000002e-05, -2.3675353000000002e-05, -3.2906587e-06, -9.370307e-06, -0.00022194568, -1.306671e-05, -6.873624e-05, -0.029894097, -0.0009126782000000001, -0.00016340295999999998, -0.00021360109, -0.0005023067, -7.3446926999999995e-06, -1.2622394999999999e-06, -2.3360508e-06, -6.051553000000001e-05, -4.799487e-05, -0.0062249964]","{'c0': 34.0, 'c1': 14.0, 'c2': 44.0}",64.0,"['songs_after_deletion =  c0 - c1', 'songs_after_addition =  songs_after_deletion + c2', 'answer = songs_after_addition']"
