,question,answer,response,mapping,response_answer,equations,correct
10," Oliver had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",66,"Oliver had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 39.0, 'c1': 47.0, 'c2': 20.0}",66,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']",1
11, For the school bake sale Wendy made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,9,"Wendy made c0 cupcakes and c1 cookies, so the total number of pastries she made is c0 + c1. After the sale, she had c2 pastries left, so the number of pastries she sold is the difference between the total number of pastries she made and the number of pastries she had left: 
pastries_sold = (c0 + c1) - c2
The answer is pastries_sold.","{'c0': 4.0, 'c1': 29.0, 'c2': 24.0}",9,"['pastries_sold =  (c0 + c1) - c2', 'answer = pastries_sold']",1
12," While on vacation, Debby took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",22,"Debby took c0 pictures at the zoo and c1 at the museum. The total number of pictures she took is c0 + c1. If she deleted c2 pictures, then the number of pictures she still has is the total number of pictures she took minus the number of pictures she deleted. 
pictures_left = (c0 + c1) - c2
The answer is pictures_left.","{'c0': 24.0, 'c1': 12.0, 'c2': 14.0}",22,"['pictures_left =  (c0 + c1) - c2', 'answer = pictures_left']",1
13," Katie picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Katie pick? ",2,"Katie picked c0 tulips and c1 roses, so the total number of flowers she picked is c0 + c1. If she only used c2 of the flowers, then she must have picked c0 + c1 - c2 extra flowers. 
extra_flowers = c0 + c1 - c2
The answer is extra_flowers.","{'c0': 3.0, 'c1': 9.0, 'c2': 10.0}",2,"['extra_flowers =  c0 + c1 - c2', 'answer = extra_flowers']",1
14," Faye had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",15,"Faye had c0 math problems and c1 science problems, so she had a total of c0 + c1 problems. If she finished c2 of them at school, then she still had c0 + c1 - c2 problems left to do for homework. 
homework_problems = c0 + c1 - c2
The answer is homework_problems.","{'c0': 46.0, 'c1': 9.0, 'c2': 40.0}",15,"['homework_problems =  c0 + c1 - c2', 'answer = homework_problems']",1
15," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",2,"Amy had c0 + c1 files in total. After deleting c2 files, she would have c0 + c1 - c2 files remaining. 
remaining_files = c0 + c1 - c2
The answer is remaining_files.","{'c0': 4.0, 'c1': 21.0, 'c2': 23.0}",2,"['remaining_files =  c0 + c1 - c2', 'answer = remaining_files']",1
16," Ned was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",14,"Ned originally had c0 games. He bought c1 more, so he had c0 + c1 games in total. However, c2 of those games didn't work, so he ended up with c0 + c1 - c2 good games. 
good_games = c0 + c1 - c2
The answer is good_games.","{'c0': 11.0, 'c1': 22.0, 'c2': 19.0}",14,"['good_games =  c0 + c1 - c2', 'answer = good_games']",1
17, Chloe was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,86,"Chloe scored c0 points in the first round, c1 points in the second round, and lost c2 points in the last round. To find out how many points she had at the end of the game, we need to subtract the points she lost from the total points she scored in the first two rounds. 
total_points = c0 + c1 - c2
The answer is total_points.","{'c0': 40.0, 'c1': 50.0, 'c2': 4.0}",86,"['total_points =  c0 + c1 - c2', 'answer = total_points']",1
18," At the arcade, Tom won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. If he spent c2 of his tickets on a hat, how many tickets does Tom have left? ",50,"Tom won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. So he had a total of c0 + c1 tickets. He spent c2 tickets on a hat. Therefore, he has c0 + c1 - c2 tickets left. 
remaining_tickets = c0 + c1 - c2
The answer is remaining_tickets.","{'c0': 32.0, 'c1': 25.0, 'c2': 7.0}",50,"['remaining_tickets =  c0 + c1 - c2', 'answer = remaining_tickets']",1
19," Bianca and her mom were picking carrots from their garden. Bianca picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",25,"If c2 of the carrots were good, then the total number of carrots they picked must have been c0 + c1. So the number of bad carrots they had is the difference between the total number of carrots and the number of good carrots: 
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 26.0, 'c1': 15.0, 'c2': 16.0}",25,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']",1
20, For the school bake sale Katie made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,4,"Katie made c0 cupcakes and c1 cookies, so the total number of pastries she made is c0 + c1. After the sale, she had c2 pastries left, so the number of pastries she sold is the difference between the total number of pastries she made and the number of pastries she had left: 
pastries_sold = (c0 + c1) - c2
The answer is pastries_sold.","{'c0': 7.0, 'c1': 5.0, 'c2': 8.0}",4,"['pastries_sold =  (c0 + c1) - c2', 'answer = pastries_sold']",1
21, Zoe bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,68,"Zoe had c0 pictures in one coloring book and c1 pictures in the other, so she had a total of c0 + c1 pictures. After one week, she had colored c2 pictures. To find out how many pictures she still has to color, we subtract the number of colored pictures from the total number of pictures:
remaining_pictures = (c0 + c1) - c2
The answer is remaining_pictures.","{'c0': 44.0, 'c1': 44.0, 'c2': 20.0}",68,"['remaining_pictures =  (c0 + c1) - c2', 'answer = remaining_pictures']",1
22," John was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",6,"John started with c0 games and bought c1 more, so he had c0 + c1 games in total. If c2 of them didn't work, he would have c0 + c1 - c2 good games left. 
good_games = c0 + c1 - c2
The answer is good_games.","{'c0': 21.0, 'c1': 8.0, 'c2': 23.0}",6,"['good_games =  c0 + c1 - c2', 'answer = good_games']",1
23, Henry had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19,"Henry had c0 dollars originally. He got c1 more dollars for his birthday, so he now has c0 + c1 dollars. However, he spent c2 dollars on a new game, so he now has c0 + c1 - c2 dollars. 
money_now = c0 + c1 - c2
The answer is money_now.","{'c0': 11.0, 'c1': 18.0, 'c2': 10.0}",19,"['money_now =  c0 + c1 - c2', 'answer = money_now']",1
24," While on vacation, Gwen took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",55,"Gwen took c0 pictures at the zoo and c1 at the museum, so she had a total of c0 + c1 pictures. She later deleted c2 pictures, so she has c0 + c1 - c2 pictures left. 
remaining_pictures = c0 + c1 - c2
The answer is remaining_pictures.","{'c0': 41.0, 'c1': 29.0, 'c2': 15.0}",55,"['remaining_pictures =  c0 + c1 - c2', 'answer = remaining_pictures']",1
25," Sam had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",34,"Sam had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 40.0, 'c1': 23.0, 'c2': 29.0}",34,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']",1
26, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,12,"The pet store originally had c0 siamese cats and c1 house cats, for a total of c0 + c1 cats. After the sale, they sold c2 cats, so they have c0 + c1 - c2 cats left. 
remaining_cats = c0 + c1 - c2
The answer is remaining_cats.","{'c0': 12.0, 'c1': 20.0, 'c2': 20.0}",12,"['remaining_cats =  c0 + c1 - c2', 'answer = remaining_cats']",1
27," Faye and her mom were picking carrots from their garden. Faye picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",16,"If there were c2 good carrots, then the total number of carrots they picked must have been c0 + c1. So the number of bad carrots they had is the total number of carrots minus the number of good carrots: 
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 23.0, 'c1': 5.0, 'c2': 12.0}",16,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']",1
28," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",73,"The cafeteria ordered c0 red apples and c1 green apples, for a total of c0 + c1 apples. But only c2 students wanted fruit, so the cafeteria ended up with c0 + c1 - c2 extra apples. 
extra_apples = c0 + c1 - c2
The answer is extra_apples.","{'c0': 43.0, 'c1': 32.0, 'c2': 2.0}",73,"['extra_apples =  c0 + c1 - c2', 'answer = extra_apples']",1
29," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",17,"The total number of students who tried out is c0 + c1. Out of those, only c2 got called back. So the number of students who didn't make the cut is the difference between the total number of students who tried out and the number who got called back. 
students_didnt_make_cut = (c0 + c1) - c2
The answer is students_didnt_make_cut.","{'c0': 39.0, 'c1': 4.0, 'c2': 26.0}",17,"['students_didnt_make_cut =  (c0 + c1) - c2', 'answer = students_didnt_make_cut']",1
30, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,18,"The pet store originally had c0 siamese cats and c1 house cats, for a total of c0 + c1 cats. After the sale, they sold c2 cats, so they have c0 + c1 - c2 cats left. 
remaining_cats = c0 + c1 - c2
The answer is remaining_cats.","{'c0': 38.0, 'c1': 25.0, 'c2': 45.0}",18,"['remaining_cats =  c0 + c1 - c2', 'answer = remaining_cats']",1
31, For the school bake sale Paige made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,41,"Paige made c0 cupcakes and c1 cookies, so the total number of pastries she made is c0 + c1. After the sale, she had c2 pastries left, so the number of pastries she sold is the difference between the total number of pastries she made and the number of pastries she had left: 
pastries_sold = (c0 + c1) - c2
The answer is pastries_sold.","{'c0': 36.0, 'c1': 9.0, 'c2': 4.0}",41,"['pastries_sold =  (c0 + c1) - c2', 'answer = pastries_sold']",1
32, Carol was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,7,"Carol scored c0 points in the first round, c1 points in the second round, and lost c2 points in the last round. To find out how many points she had at the end of the game, we need to subtract the points she lost from the total points she scored in the first two rounds. 
total_points = c0 + c1 - c2
The answer is total_points.","{'c0': 17.0, 'c1': 6.0, 'c2': 16.0}",7,"['total_points =  c0 + c1 - c2', 'answer = total_points']",1
33, Gwen bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,36,"Gwen had c0 pictures in the first coloring book and c1 pictures in the second coloring book, so she had a total of c0 + c1 pictures. After one week, she had colored c2 pictures. To find out how many pictures she still has to color, we subtract the number of colored pictures from the total number of pictures:
remaining_pictures = (c0 + c1) - c2
The answer is remaining_pictures.","{'c0': 10.0, 'c1': 39.0, 'c2': 13.0}",36,"['remaining_pictures =  (c0 + c1) - c2', 'answer = remaining_pictures']",1
34," For Halloween Janet and her sister combined the candy they received. Janet had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",63,"Janet had c0 pieces of candy and her sister had c1 pieces. Together, they had c0 + c1 pieces of candy. If they ate c2 pieces the first night, they would have c0 + c1 - c2 pieces of candy left. 
remaining_candy = c0 + c1 - c2
The answer is remaining_candy.","{'c0': 34.0, 'c1': 33.0, 'c2': 4.0}",63,"['remaining_candy =  c0 + c1 - c2', 'answer = remaining_candy']",1
35," Haley and her mom were picking carrots from their garden. Haley picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",13,"If c2 of the carrots were good, then the total number of carrots they picked must have been c0 + c1. So the number of bad carrots they had is the total number of carrots minus the number of good carrots: 
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 39.0, 'c1': 38.0, 'c2': 64.0}",13,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']",1
36," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",56,"The total number of students who tried out is c0 + c1. If only c2 of them got called back, then the number of students who didn't make the cut is the difference between the total number of students who tried out and the number of students who got called back. 
students_didnt_make_cut = (c0 + c1) - c2
The answer is students_didnt_make_cut.","{'c0': 30.0, 'c1': 36.0, 'c2': 10.0}",56,"['students_didnt_make_cut =  (c0 + c1) - c2', 'answer = students_didnt_make_cut']",1
37, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,15,"Roger had c0 dollars originally. He got c1 more dollars for his birthday, so he now has c0 + c1 dollars. However, he spent c2 dollars on a new game, so he now has c0 + c1 - c2 dollars. 
money_now = c0 + c1 - c2
The answer is money_now.","{'c0': 29.0, 'c1': 20.0, 'c2': 34.0}",15,"['money_now =  c0 + c1 - c2', 'answer = money_now']",1
38," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",5,"Dave had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 29.0, 'c1': 11.0, 'c2': 35.0}",5,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']",1
39," Edward was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",24,"Edward started with c0 games and bought c1 more, so he had c0 + c1 games in total. If c2 of them didn't work, he would have c0 + c1 - c2 good games left. 
good_games = c0 + c1 - c2
The answer is good_games.","{'c0': 41.0, 'c1': 14.0, 'c2': 31.0}",24,"['good_games =  c0 + c1 - c2', 'answer = good_games']",1
40," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15,"Sam bought c0 adventure books and c1 mystery books, so the total number of books he bought is c0 + c1. If c2 of the books were used, then the number of new books he bought is the total number of books minus the number of used books: 
new_books = (c0 + c1) - c2
The answer is new_books.","{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",15,"['new_books =  (c0 + c1) - c2', 'answer = new_books']",1
41," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14,"Amy had c0 + c1 files in total. After deleting c2 files, she would have c0 + c1 - c2 files remaining. 
remaining_files = c0 + c1 - c2
The answer is remaining_files.","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",14,"['remaining_files =  c0 + c1 - c2', 'answer = remaining_files']",1
42, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1,"Oliver had c0 dollars originally. He got c1 more dollars for his birthday, so he now has c0 + c1 dollars. However, he spent c2 dollars on a new game, so he now has c0 + c1 - c2 dollars. 
money_now = c0 + c1 - c2
The answer is money_now.","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",1,"['money_now =  c0 + c1 - c2', 'answer = money_now']",1
43, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1,"Emily scored c0 points in the first round, c1 points in the second round, and lost c2 points in the last round. To find out how many points she had at the end of the game, we need to subtract the points she lost from the total points she scored in the first two rounds. 
total_points = c0 + c1 - c2
The answer is total_points.","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",1,"['total_points =  c0 + c1 - c2', 'answer = total_points']",1
44," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11,"Paige had c0 math problems and c1 science problems, so she had a total of c0 + c1 problems. If she finished c2 of them at school, then she still had c0 + c1 - c2 problems left to do for homework. 
homework_problems = c0 + c1 - c2
The answer is homework_problems.","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",11,"['homework_problems =  c0 + c1 - c2', 'answer = homework_problems']",1
45," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",35,"The cafeteria ordered c0 + c1 apples in total. But only c2 students wanted fruit, so the cafeteria ended up with c0 + c1 - c2 extra apples. 
extra_apples = c0 + c1 - c2
The answer is extra_apples.","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}",35,"['extra_apples =  c0 + c1 - c2', 'answer = extra_apples']",1
46," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",16,"Dave had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}",16,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']",1
47," While on vacation, Rachel took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",4,"Rachel took c0 + c1 pictures in total. After deleting c2 pictures, she has c0 + c1 - c2 pictures left. 
remaining_pictures = c0 + c1 - c2
The answer is remaining_pictures.","{'c0': 6.0, 'c1': 9.0, 'c2': 11.0}",4,"['remaining_pictures =  c0 + c1 - c2', 'answer = remaining_pictures']",1
48," Vanessa and her mom were picking carrots from their garden. Vanessa picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7,"If there were c2 good carrots, then the total number of carrots they picked must have been c0 + c1. So the number of bad carrots they had is the total number of carrots minus the number of good carrots: 
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 17.0, 'c1': 14.0, 'c2': 24.0}",7,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']",1
49, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,54,"The pet store originally had c0 siamese cats and c1 house cats, for a total of c0 + c1 cats. During the sale, they sold c2 cats. The number of cats they have left is the original number of cats minus the number of cats sold: 
remaining_cats = (c0 + c1) - c2
The answer is remaining_cats.","{'c0': 41.0, 'c1': 28.0, 'c2': 15.0}",54,"['remaining_cats =  (c0 + c1) - c2', 'answer = remaining_cats']",1
50," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15,"Sam bought c0 adventure books and c1 mystery books, so the total number of books he bought is c0 + c1. If c2 of the books were used, then the number of new books he bought is the total number of books minus the number of used books: 
new_books = (c0 + c1) - c2
The answer is new_books.","{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",15,"['new_books =  (c0 + c1) - c2', 'answer = new_books']",1
51," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14,"Amy had c0 + c1 total files on her flash drive. After deleting c2 files, she would have c0 + c1 - c2 files remaining. 
remaining_files = c0 + c1 - c2
The answer is remaining_files.","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",14,"['remaining_files =  c0 + c1 - c2', 'answer = remaining_files']",1
52, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1,"Oliver had c0 dollars originally. He got c1 more dollars for his birthday, so he now has c0 + c1 dollars. However, he spent c2 dollars on a new game, so he now has c0 + c1 - c2 dollars. 
money_now = c0 + c1 - c2
The answer is money_now.","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",1,"['money_now =  c0 + c1 - c2', 'answer = money_now']",1
53, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1,"Emily scored c0 points in the first round, c1 points in the second round, and lost c2 points in the last round. To find out how many points she had at the end of the game, we need to subtract the points she lost from the total points she scored in the first two rounds. 
total_points = c0 + c1 - c2
The answer is total_points.","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",1,"['total_points =  c0 + c1 - c2', 'answer = total_points']",1
54," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11,"Paige had c0 math problems and c1 science problems, so she had a total of c0 + c1 problems. If she finished c2 of them at school, then she still had c0 + c1 - c2 problems left to do for homework. 
homework_problems = c0 + c1 - c2
The answer is homework_problems.","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",11,"['homework_problems =  c0 + c1 - c2', 'answer = homework_problems']",1
55," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",35,"The cafeteria ordered c0 red apples and c1 green apples, for a total of c0 + c1 apples. But only c2 students wanted fruit, so the cafeteria ended up with c0 + c1 - c2 extra apples. 
extra_apples = c0 + c1 - c2
The answer is extra_apples.","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}",35,"['extra_apples =  c0 + c1 - c2', 'answer = extra_apples']",1
56," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",16,"Dave had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}",16,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']",1
57," While on vacation, Rachel took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",4,"Rachel took c0 + c1 pictures in total. After deleting c2 pictures, she has c0 + c1 - c2 pictures left. 
remaining_pictures = c0 + c1 - c2
The answer is remaining_pictures.","{'c0': 6.0, 'c1': 9.0, 'c2': 11.0}",4,"['remaining_pictures =  c0 + c1 - c2', 'answer = remaining_pictures']",1
58," Vanessa and her mom were picking carrots from their garden. Vanessa picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7,"If there were c2 good carrots, then the total number of carrots they picked must have been c0 + c1. So the number of bad carrots they had is the difference between the total number of carrots and the number of good carrots: 
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 17.0, 'c1': 14.0, 'c2': 24.0}",7,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']",1
59, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,54,"The pet store originally had c0 siamese cats and c1 house cats, for a total of c0 + c1 cats. After the sale, they sold c2 cats, so they have c0 + c1 - c2 cats left. 
remaining_cats = c0 + c1 - c2
The answer is remaining_cats.","{'c0': 41.0, 'c1': 28.0, 'c2': 15.0}",54,"['remaining_cats =  c0 + c1 - c2', 'answer = remaining_cats']",1
