,question,answer,response,mapping
10,"A company produces 420 units of a particular computer component every month, at a production cost to the company of $110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $626,400 ?A)226, B)230, C)240, D)260, E)280",B," The minimum selling price per component that will guarantee that the yearly profit will be at least $626,400 is
$226.",
11,"At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?A)4,000, B)4,200, C)4,500, D)4,800, E)5,000",A," If 10 percent of the staplers produced on Monday were defective, then the total number of staplers produced was
10,000. If 2 percent of the non-defective staplers were rejected by mistake, then the total number of staplers
rejected was 200. So the number of staplers produced that day was 10,000 - 200 = 9,800. The answer is D.",
12,"Machine A puts out a yo-yo every 6 minutes. Machine B puts out a yo-yo every 9 minutes. After how many minutes will they have produced 10 yo-yos?A)24 minutes, B)32 minutes, C)36 minutes, D)64 minutes, E)72 minutes",C," Machine A produces 1/6 yo-yos per minute and machine B produces 1/9 yo-yos per minute. So together they produce
1/6 + 1/9 = 1/3 yo-yos per minute. It will take them 3 minutes to produce 1 yo-yo, so it will take them 30 minutes to
produce 10 yo-yos. The answer is c.",
13,"Add: +45 and -30A)-30, B)+30, C)0, D)15, E)-15",D, The answer is C.,
14,"In how many ways can the letters of the word ""PROBLEC"" be rearranged to make 7 letter words such that none of the letters repeat?A)2!, B)3!, C)7!, D)8!, E)9!",C," There are 7 letters in the word ""PROBLEC"". This means there are 7! ways to rearrange the letters. However, since none of the letters can repeat, we need to divide by the number of ways that each letter can be arranged. There are 7 letters, so each letter can be arranged in 7 ways. So we divide 7! by 7 * 7 * 7 * 7 * 7 * 7 * 7, which is equal to 7!. The answer is c.",
15,"Let A and B be independent events with P (A) = 0.2 and P(B) = 0.8. Find P(A/B)?A)0.2, B)0.4, C)0.6, D)1.2, E)1.5",A, P(A/B) = P(A and B) / P(B) = P(A) * P(B) / P(B) = P(A) = 0.2. The answer is a.,
16,"Consider there is an staircase elevator and you are coming down. If you walk 20 steps and stop, then you reach bottom in 10 minutes. If you walk 10 steps and stop, you reach to the ground in 20 minutes. What is the speed of the elevator?A)1 step/minute, B)2 step/minute, C)3 step/minute, D)4 step/minute, E)None of the above",A, The speed of the elevator is 2 steps/minute.,
17,"Last year, a Home Appliance Store sold an average(arithmetic mean) of 42 microwave ovens per month. In the first 10 months of this year,the store has sold an average(arithmetic mean) of only 20 microwave ovens per month. What was the average number of microwave ovens sold per month during the entire 22 months period ?A)21, B)30, C)31, D)32, E)None of the above",D, The average number of microwave ovens sold per month during the entire 22 months period is 30.,
18,"An exam is given in a certain class. The average (arithmetic mean) of the highest score and the lowest score is equal to x. If the average score for the entire class is equal to y and there are z students in the class, where z > 5, then in terms of x, y, and z, what is the average score for the class excluding the highest and lowest scorers?A)(zy – 2x)/z, B)(zy – 2)/z, C)(zx – y)/(z – 2), D)(zy – 2x)/(z -2), E)(zy – x)/(z + 2)",D, The average score for the class excluding the highest and lowest scorers would be (zy - 2x)/(z - 2). The answer is D.,
19,"[5 + ? × 19 - 15 - 7]/[13 × 13 - 156] = 6A)4, B)4.5, C)5, D)5.5, E)6.5",C," [5 + ? × 19 - 15 - 7]/[13 × 13 - 156] = 6

We can start by solving for ?:

[5 + ? × 19 - 15 - 7]/[13 × 13 - 156] = 6

5 + ? × 19 - 15 - 7 = 6(13 × 13 - 156)

5 + ? × 19 - 15 - 7 = 6(169 - 156)

5 + ? × 19 - 15 - 7 = 6(13)

5 + ? × 19 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 - 15 - 7 = 78

? × 19 + 5 -",
20,"A grocer makes a 25% profit on the selling price for each bag of flour it sells. If he sells each bag for $100 and makes $3,000 in profit, how many bags did he sell?A)12, B)16, C)24, D)30, E)40",C," If the grocer makes a 25% profit on each bag of flour, then the selling price of each bag is equal to 125% of the cost of the bag. So if the grocer sells each bag for $100 and makes $3,000 in profit, then he must have sold 24 bags. The answer is c.",
21,"Alex and Jacob works at a toy shop that make toys. Alex takes 7 hours to make a toy, and Jacob takes 9 hours to make a toy. During a month, both of them makes 35 toys in total. If both of them have worked for almost similar number of hours how many toys have been prepared by Jacob?A)15, B)16, C)17, D)18, E)19",A," If both of them have worked for almost similar number of hours, then Alex and Jacob would have worked for the
same number of hours. So if Alex has worked for 7 hours, then Jacob has worked for 7 hours as well. This means that
Jacob has made 5 toys in the 7 hours that he has worked. So in a month, Jacob would have made 35/7 * 5 = 25 toys.
The answer is D.",
22,"John likes to have lightly flavored tea every evening. In a 50% strong milk tea, he replaces 15% of it with milk twice. Then, he replaces 10 percent of the resultant solution with more milk.
What is the final concentration of tea John drinks?A)15.38%, B)42%, C)39.86%, D)22.35%, E)32.51%",E, The final concentration of tea John drinks is 32.51%.,
23,"In a class 1/16 of the students study math, 1/10 of the students study bio, 1/8 of the students study english. The total number of students is a 4 digit number. Find the diffrence between maximum number of students and minimum number of students.A)8880, B)8870, C)8890, D)7890, E)6780",A," The total number of students is a 4 digit number, so the maximum number of students is 9999 and the minimum
number of students is 1000. The difference between the maximum and minimum number of students is 8999.
The answer is a.",
24,"On a normal day Bill usually averages about 15 mph when riding his bicycle. On a windy day, his speed is reduced by 4 mph. How far can Bill travel on a windy day in 21 minutes? Round to the nearest hundredth.A)2 miles, B)2.25 miles, C)3.25 miles, D)3.85 miles, E)2.85 miles",D," On a windy day, Bill's speed is reduced by 4 mph. So his speed on a windy day would be 15 - 4 = 11 mph. In 21 minutes, he would travel 21 * 11 = 231 miles. The answer is D.",
25,"A retailer sold an appliance for 40 percent above cost, which represented a gross profit of $20.00. For what price did the retailer sell the appliance?A)$27.30, B)$51.00, C)$63.00, D)$70.00, E)$91.00",D," The retailer sold the appliance for 40 percent above cost, which represented a gross profit of $20.00. So the cost
of the appliance was $80.00. The retailer sold the appliance for $100.00. The answer is c.",
26,"At 6% per annum simple interest, Rahul borrowed Rs. 500. What amount will he pay to clear the debt after 4 yearsA)750, B)700, C)620, D)600, E)None of these",C," The amount of interest Rahul will pay is 6% of 500, which is 30. So the total amount he will pay is 500 + 30,
which is 530. The answer is b.",
27,"A computer routine was developed to generate two numbers (x,y) the first being a random number between 0 and 100 inclusive, and the second being less than or equal to the square root of the first. Each of the following pair satisfies the routine exceptA)(99,10), B)(85,9), C)(50,7), D)(1,1), E)(1,0)",A, The correct answer is D.,
28,"A jeep travels a certain distance taking 6 hours in the forward journey. During the return journey, it increased its speed by 12km/hr and took 4 hours. What is the distance travelled by the jeep?A)126km, B)144km, C)127km, D)228km, E)128km",B," The jeep's speed during the return journey was 6 + 12 = 18 km/hr. So the distance travelled during the return journey was
4 * 18 = 72 km. The total distance travelled was therefore 72 + 6 * 18 = 126 km. The answer is a.",
29,"When I was 2 years old, my brother was half my age. Now I am 60 years old, how old is my brother?A)A)59, B)B)69, C)C)79, D)D)89, E)E)99",A," If my brother is half my age, then when I am 2 years old, he is 1 year old. So when I am 60 years old, he is 30
years old. The answer is c.",
30,"The original retail price of an appliance was 60 percent more than its wholesale cost. If the appliance was actually sold for 20 percent less than the original retail price, then it was sold for what percent more than its wholesale cost?A)20%, B)28%, C)36%, D)40%, E)42%",B," The original retail price of an appliance was 60 percent more than its wholesale cost. If the appliance was actually sold for 20 percent less than the original retail price, then it was sold for 80 percent of the original retail price. The original retail price was 1.6 times the wholesale cost. So the appliance was sold for 1.28 times the wholesale cost. This is 28 percent more than the wholesale cost. The answer is B.",
31,"On a map, the length of the road from Town F to Town G is measured to be 20 inches. On this map, 1/4 inch represents an actual distance of 10 miles. What is the actual distance, in miles, from Town F to Town G along this road?A)800, B)720, C)960, D)1140, E)1160",A, The actual distance from Town F to Town G is 200 miles.,
32,"When folded into two equal halves a rectangular sheet had a perimeter of 48cm for each part folded along one set of sides and the same is 66cm when folded along the other set of sides. Find the area of the sheet.A)1584, B)1120, C)792, D)1320, E)1200",B," If the perimeter of each part is 48 cm when folded along one set of sides, then the total perimeter is 96 cm.
Similarly, if the perimeter of each part is 66 cm when folded along the other set of sides, then the total
perimeter is 132 cm. Since the total perimeter is the same for both cases, 96 cm must equal 132 cm. This
means that the length and width of the sheet must be in the ratio of 4:3. So if the length is 4x and the width is
3x, then 4x + 3x = 96 and 12x = 96. So x = 8. This means that the length is 32 and the width is 24. The area of
the sheet is 32 * 24 = 768. The answer is c.",
33,"Suppose you can travel from a place M to a place N by 3 buses, from place N to place O by 4 buses, from place O to place P by 1 buses and from place P to place Q by 3 buses. In how many ways can you travel from M to Q ?A)24, B)36, C)72, D)84, E)None",B, There are 24 ways to travel from M to Q.,
34,"A rectangular solid, 3 x 4 x 15, is inscribed in a sphere, so that all eight of its vertices are on the sphere. What is the diameter of the sphere?A) 13.3542, B) 15.8113, C) 18.3451, D) 19.5667, E) 20.8888",B," The diameter of the sphere is the distance between two opposite vertices of the rectangular solid. So the diameter
of the sphere is 3 + 4 + 15 = 22. The answer is E.",
35,"A starts travel towards south 3km, then travel 5 km towards east, and again travels 3 km to north, and finally travels 2km towards west. In the end how far from is A from home?A)3km, B)2km, C)4km, D)5km, E)6km",A," A is 3 km from home at the start of the journey. After travelling 5 km towards east, A is 8 km from home. After
travelling 3 km to north, A is 5 km from home. Finally, after travelling 2 km towards west, A is 3 km from home. So
the answer is A.",
36,"While selling a watch, a shopkeeper gives a discount of 5%. If he gives a discount of 7%, he earns Rs. 15 less as profit. The marked price of the watch is:A)Rs. 697.50, B)Rs. 712.50, C)Rs. 787.50, D)Rs. 750, E)Rs. 780",D," If the shopkeeper gives a discount of 5%, then he earns a profit of 5%. So if he gives a discount of 7%, he earns a
profit of 3%. This means that he earns Rs. 15 less as profit. So the marked price of the watch is Rs. 780. The answer is e.",
37,"A student instead of finding the value of 7/8 of a number, found the value of 7/18 of the number. If his answer differed from the actual one by 770, find the that number.A)1584, B)2520, C)1728, D)1656, E)None",A," If the student found the value of 7/18 of the number instead of 7/8, then his answer would be one ninth of the actual answer. So if the actual answer is x, then the student's answer would be x / 9. We know that the student's answer differs from the actual answer by 770. So x / 9 - x = 770. This simplifies to 8x / 9 = 770. So x = 985. The answer is D.",
38,"The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. What should the monthly sales be so that her monthly salary reaches $1500?A)$50000, B)$40000, C)$30000, D)$20000, E)None of these",D," The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. So if we
let S = 1500, then 500 + 0.05S = 1500. This simplifies to 0.05S = 1000, or S = 20000. The answer is D.",
39,"An aeroplane flies along the four sides of a square at the speeds of 200, 400, 600 and 800km/hr. Find the average speed of the plane around the field?A)384, B)562, C)458, D)156, E)452",A," The average speed of the plane around the field is the sum of the speeds divided by the number of sides. So
(200 + 400 + 600 + 800) / 4 = 384 km/hr. The answer is a.",
40,"Jack buys 18 sharpeners (white and brown) for rs. 100. If he pays 1 rupee more for each white than brown sharpeners. How many of white and how many brown sharpeners did he buy?A)10,8, B)9,8, C)7,8, D)5,6, E)11,12",A," If Jack buys 18 sharpeners for Rs. 100, then he must be paying Rs. 5.55 per sharpeners on average. If he pays Rs. 1
more for each white sharpeners, then he must be paying Rs. 6.55 per white sharpeners. This means that he bought
10 white sharpeners and 8 brown sharpeners. The answer is a.",
41,"Hoses A and B spout water at different constant rates, and hose A can fill a certain pool in 8 hours. Hose A filled the pool alone for the first 2 hours and the two hoses, working together, then finished filling the pool in another 3 hours. How many hours would it have taken hose B, working alone, to fill the entire pool?A)8, B)15, C)12, D)6, E)3",A," If hose A can fill the pool in 8 hours, then it can fill 1/8 of the pool in 1 hour. In the first 2 hours, hose A fills 1/4
of the pool. In the next 3 hours, hoses A and B together fill 3/8 of the pool. So in total, they fill 1/4 + 3/8 = 5/8 of
the pool. This means that it would take 8/5 hours for hose B to fill the pool alone. The answer is D.",
42,"If 120 is reduced to 96, what is the reduction percent?A)30%, B)40%, C)20%, D)10%, E)5%",C, The reduction is 120 - 96 = 24. The reduction percent is 24 / 120 * 100 = 20%. The answer is c.,
43,"I know a 5 digit number having a property that with a 1 after it, it is three times as large as it would be with a 1 before it.
What is that number?A)42857, B)32456, C)76523, D)24567, E)43566",A, The number is 42857.,
44,"At Daifu university, 24% of all students are members of both a chess club and a swim team. If 20% of members of the swim team are not members of the chess club, what percentage of all Daifu students are members of the swim team?A)20%, B)30%, C)40%, D)50%, E)60%",B," Let x be the total number of students at Daifu University. Then 24% of x is the number of students who are members of both the chess club and the swim team. This is the same as 0.24x. 20% of the students are members of the swim team but not the chess club. This is the same as 0.2x - 0.24x, or 0.04x. The total number of students who are members of the swim team is 0.24x + 0.04x, which is 0.28x. 28% of the students are members of the swim team. The answer is D.",
45,"If the population of a city increases by 5 % annually, what will be the population of the city in 2 years time if its current population is 78000?A)81900, B)85995, C)85800, D)90000, E)None of these",B, The population of the city will be 81900 in 2 years time.,
46,"Two cars start at the same time from opposite ends of a highway that is 50 miles long. One car is riding at 12 mph and the second car is riding at 13 mph. How long after they begin will they meet?A) 1, B) 1.25, C) 1.50, D) 1.75, E) 2",E, The two cars will meet after 1.5 hours.,
47,"A shopkeeper employed a servant at a monthly salary of 1500. In addition to it, he agreed to pay him a commission of 15% on the monthly sale. How much sale in Rupees should the servant do if he wants his monthly income as 6000?A)30000, B)415000, C)31500, D)50000, E)None of these",A," The servant's monthly income is 6000. So 1500 + 0.15x = 6000, where x is the amount of sale in rupees. This means
that x = 40000. So the servant needs to do a sale of 40000 rupees to earn an income of 6000 rupees. The answer is D.",
48,"A man borrows Rs.360 If he pays it back in 12 monthly installments of Rs.31.50, what is his interest rate?A)1.5%, B)4.5%, C)10%, D)5%, E)12%",D," The monthly installment is 31.50, so the total amount borrowed is 360/12=30. The interest rate is therefore
30*1.5%=0.45% or 4.5%. The answer is B.",
49,"The price of a product is reduced by 30% . By what percentage should it be increased to make it 100%A)41.86%, B)42.86%, C)43.86%, D)44.86%, E)45.86%",B," The price of a product is reduced by 30%. To make it 100%, it would need to be increased by 43.86%. The answer is C.",
50,"I have a money pouch containing Rs. 700. There are equal number of 25 paise coins, 50 paise coins and one rupee coins.
How many of each are there?A)453, B)651, C)400, D)487, E)286",C," We can let x be the number of 25 paise coins, y be the number of 50 paise coins, and z be the number of one rupee coins.
So x + y + z = 700. We also know that 25x + 50y + 100z = 700. So 25x + 50y = 100z. We can solve this system of equations
to find that x = 400, y = 150, and z = 150. So there are 400 25 paise coins, 150 50 paise coins, and 150 one rupee coins.
The answer is c.",
51,"A man spends Rs. 3500 per month and saves 12 1/2% of his income. His monthly income is ?A)Rs. 4400, B)Rs. 4270, C)Rs. 4000, D)Rs. 3937.50, E)None of these",C, The monthly income is Rs. 4400.,
52,"Five dozen toys are packed in a box and 98 boxes are kept in a tempo. How many tempos can lift 29400 toys in one round ?A)4, B)5, C)7, D)6, E)8",B," 5 dozen toys are packed in a box and 98 boxes are kept in a tempo. So 5 x 98 = 490 toys are packed in one tempo.
29400 / 490 = 60 tempos can lift 29400 toys in one round. The answer is D.",
53,"There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket?A)45, B)90, C)120, D)150, E)180",A, The answer is C.,
54,"A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?A)7, B)8, C)10, D)11, E)12",D, It will take Mr.Blue 10 days to complete the contract.,
55,"Train A leaves a station every 16 minutes and Train B leaves every 17 minutes. If both trains just left the station simultaneously, how long until they do so again?A)272 minutes, B)304 minutes, C)190 minutes, D)70 minutes, E)35 minutes",A, The least common multiple of 16 and 17 is 272. So Train A and Train B will next leave the station together after 272 minutes. The answer is A.,
56,"A hollow cube of size 5cm is taken, with the thickness of 1cm. It is made of smaller cubes of size 1cm .If the outer surface of the cube is painted how many faces of the smaller cubes remain unpainted?A)438, B)550, C)500, D)450, E)498",A," There are 6 faces on the outside of the cube, so 6 faces will be painted. This leaves 500 faces unpainted. The answer is C.",
57,"In a chocolate store, all chocolates are either vanilla or cocoa flavored only. 10% of the chocolates are cocoa flavored, 90% of the rest are squashed. What percentage of the chocolates are both vanilla flavored and not squashed?A)1%, B)2%, C)5%, D)9%, E)10%",D, The percentage of chocolates that are both vanilla flavored and not squashed is 9%.,
58,"There is well of depth 30m and frog is at bottom of the well. He jumps 3m up one day and falls back 2m down the same day. How many days will it take for the frog to come out of the well?A)25 days, B)26 days, C)27 days, D)28 days, E)29 days",D, It will take the frog 27 days to come out of the well.,
59,"The sum of the 5 consecutive two digit odd numbers when divided by 10 becomes a perfect square, which of the following can be one of these 5 numbers?A)47, B)91, C)41, D)67, E)44",C," The sum of the 5 consecutive two digit odd numbers when divided by 10 becomes a perfect square, which of the following can be one of these 5 numbers? A)47, B)91, C)41, D)67, E)44

The answer is c.",
60,"In a class, 8% of total students are interested in Football. 4/5 of total students are interested in Cricket. 10% of total students are interested in Basketball and remaining 20 students are not interested in any games. How many students are there in the class?A)850, B)800, C)900, D)950, E)1000",E, There are 850 students in the class.,
61,"Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years. What is definitely the difference between R and Q's age?A)22, B)27, C)29, D)Cannot be determined, E)None of the above",D," We are given that Q is as much younger than R as he is older than T. We can represent this as follows:

Q - R = R - T

Q - T = 2(R - T)

Q - T = 2(T - R)

Q - T = 2(Q - R)

So the difference between Q and R's age is the same as the difference between R and T's age. We are also given that
the sum of the ages of R and T is 50 years. So if we let R = x, then T = 50 - x. We can plug this into our equation for
Q - T:

Q - T = 2(Q - R)

Q - (50 - x) = 2(Q - x)

Q - 50 + x = 2Q - 2x

-50 + 2x = 2Q - Q

-50 + 2x = Q

Q = 2x - 50

We are told that the sum of the ages of R and T is 50 years, so we know that R + T = 50. We can plug this into our
equation for Q:

Q = 2x - 50

Q + R = 2x - 50 + R

Q + R = 2x - 50 + (50 - Q)

Q + R = 2x

Q + R = 2R

Q = R

So the difference between R and Q's age is 0, and the answer is e.",
62,"Calculate the maximum distance you can travel with $8.50 on a cab which charges $3.50 for the first quarter-mile and 10 cents for each additional quarter mile.A)11.75 miles, B)12.75 miles, C)17.75 miles, D)14.75 miles, E)10.75 miles",B, The maximum distance you can travel with $8.50 on a cab is 12.75 miles.,
63,"In IPL season, Sachin current batting average is 51. In the finals, he scores 78 runs, then is batting average will be 54. Find out the total number of matches played by Sachin in this season.A)6, B)8, C)9, D)10, E)11",C," If Sachin's batting average is currently 51, that means he has scored 51 runs in every match he has played so far.
If he scores 78 runs in the finals, that means his total runs for the season will be 78 + 51 = 129. His new batting
average will be 129 / 11 = 54. So the answer is 11.",
64,"Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter.)A)3, B)4, C)5, D)10, E)20",D," Amy will need at least 3 letters to code for 10 different types of books. She could use 3 letters, each representing a different type of book. Or she could use 2 letters, each representing a different type of book, and a third letter to represent a pair of books. The answer is a.",
65,"A rectangular piece of 150 sq m has a length which is 1m more than the 4 times the breadth. What is the perimeter of the piece?A)60 m, B)61 m, C)62 m, D)63 m, E)64 m",C," The perimeter of the piece is 2(l + b), where l is the length and b is the breadth. We are given that l = 4b + 1. So
the perimeter is 2(4b + 1 + b), which simplifies to 2(5b + 1). Since the area is 150 sq m, we know that 5b(b + 1) =
150. So b2 + b – 150 = 0. Solving this quadratic equation, we find that b = 15 or b = –10. However, the breadth
cannot be negative, so b = 15. So the perimeter is 2(5(15) + 1) = 122 m. The answer is c.",
66,"One gram of a certain health food contains 9 percent of the minimum daily requirement of vitamin E and 8 percent of the minimum daily requirement of vitamin A. If vitamins E and A are to be obtained from no other source, how many grams of the health food must be eaten daily to provide at least the minimum daily requirement of both vitamins?A)8.5, B)10.5, C)12.5, D)14.5, E)16.5",C," If 9 percent of the minimum daily requirement of vitamin E is obtained from 1 gram of the health food, then
11 grams of the health food are required to obtain the minimum daily requirement of vitamin E. Similarly, if 8
percent of the minimum daily requirement of vitamin A is obtained from 1 gram of the health food, then 13 grams
of the health food are required to obtain the minimum daily requirement of vitamin A. So the minimum daily
requirement of both vitamins can be obtained by eating 11 + 13 = 24 grams of the health food, which is answer
choice D.",
67,"Assistants are needed to prepare for preparation. Each helper can make either 2 large cakes or 35 small cakes/hr. The kitchen is available for 3 hours and 20 large cakes & 700 small cakes are needed. How many helpers are required?A)8, B)10, C)12, D)15, E)19",B," We can set up the following equation: 2x + 35y = 3(20 + 700), where x represents the number of large cakes and y
represents the number of small cakes. This simplifies to 6x + 105y = 4200. We can use the substitution method to solve
for x and y. If we let y = 20, then x = 10. So we need 10 helpers. The answer is B.",
68,"R, S, T, and U are points on a line, and U is the midpoint of line segment ST. If the lengths of line segments RS, RT, and ST are 5, 17, and 22, respectively. What is the length of line segment RU?A)6, B)7, C)8, D)9, E)10",A, The length of line segment RU is 8.,
69,"Six pita breads contain the same amount of falafel as do two rolls. Three rolls contain the same amount of falafel as five baguettes do. Two baguettes contain the same amount of falafel as how many pita breads?A)12/25, B)3/2, C)3, D)2, E)25/3",C, The answer is D)2.,
