,question,answer,response,mapping
29,"Three friends Alan, Roger and Peter attempt to answer a question on an exam. Alan randomly guesses the answer, giving him a 1/5 probability of guessing correctly. Roger cheats by looking at the paper of the student in front of him, giving him a 2/3 probability of answering correctly. And Peter dutifully performs the calculations, then marks the answer, giving him a 5/6 probability of a correct answer. What is the probability that the question is answered correctly, but not via cheating?Answer Choices: A)1/18, B)1/9, C)23/90, D)5/18, E)13/45",A," The probability that the question is answered correctly, but not via cheating is 1/6.",
30,"Two numbers are said to be relatively prime if they share no common positive factors other than 1. Set S contains the set of integers from 1 to 1,000, inclusive. What is the probability that a number chosen from S is relatively prime to 1,000?Answer Choices: A)5/7, B)3/5, C)4/7, D)2/5, E)2/7",D," The probability that a number chosen from S is relatively prime to 1,000 is 4/7.",
31,"The bus fare of one adult is Rs. 140 from Ranchi to Patna and bus fare of a child is half the fare of one adult between the same places. What is the total bus fare of 4 adults and 3 children between same places?Answer Choices: A)Rs. 666, B)Rs. 670, C)Rs. 700, D)Rs. 570, E)Rs. 770",E, The total bus fare of 4 adults and 3 children would be 4(140) + 3(140/2) = Rs. 700. The answer is c.,
32,"A newspaper costs $4 on Sunday and $1 the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $210 per week for newspapers, how many newspapers does it buy on Monday?Answer Choices: A)15, B)30, C)45, D)60, E)75",A," On Sunday, the hotel buys 2x as many newspapers as it does the rest of the week. So if it buys x newspapers the rest of the week, it buys 2x on Sunday. The total cost of the newspapers per week is 210. So 4x + 2(4x) = 210. This simplifies to 12x = 210. So x = 210 / 12 = 17.5. The hotel buys 17.5 newspapers every day except Sunday, so it buys 15 on Monday. The answer is A.",
33,"Everyone in the family earns money each month. If the total income of a family per month is $9000 and the median income is $3000, how many members are there in the family?Answer Choices: A)2, B)3, C)4, D)5, E)6",B, There are 3 members in the family.,
34,"Peter wants to find 10 additional people to form a scavenger hunt team with him. If he has 10 friends who would like to participate, how many choices does he have for forming his team?Answer Choices: A)0, B)1, C)2, D)3, E)4",B," Peter has 10 friends who would like to participate, so he has 10 choices for forming his team. The answer is B.",
35,"In a survey of students, each student selected from a list of 10 songs the 2 songs that the student liked best. If each song was selected 5 times, how many students were surveyed?Answer Choices: A)96, B)48, C)32, D)25, E)18",D," If each song was selected 5 times, then there must have been 5 students who selected each song. So the total
number of students surveyed would have been 5 * 10 = 50. The answer is d.",
36,"Anna has 4 books. If she decide to arrange the 4 books in every possible combination and moved just one book every minute, how long would it taken by her ?Answer Choices: A)22 minutes, B)30 minutes, C)15 minutes, D)24 minutes, E)35 minutes",D, It would take Anna 4! = 24 minutes to arrange the 4 books in every possible combination. The answer is D.,
37,"A wire in the shape of rectangle of length 27 cm and breadth 17 cm is rebent to form a square. What will be the measure of each side?Answer Choices: A)9, B)11, C)22, D)25, E)31",C," The perimeter of the rectangle is 27 + 27 + 17 + 17 = 88. The perimeter of the square will also be 88. So
each side of the square will be 88 / 4 = 22. The answer is c.",
38,"A man wants to eat fruit for breakfast and vegetable for dinner. He has 6 different types of fruit and 8 different types of vegetables. He can only eat one type at a time. In how many ways can he eat breakfast and dinner.Answer Choices: A)54, B)24, C)48, D)20, E)36",C, The man can eat breakfast in 6 ways and dinner in 8 ways. So the total number of ways he can eat breakfast and dinner is 6 * 8 = 48. The answer is c.,
39,"The average weight of 10 oarsmen in a boat is increased by 1.8 kg when one of the crew, who weighs 53 kg is replaced by a new man. Find the weight of the new man.Answer Choices: A)71, B)62, C)43, D)67, E)40",A," The average weight of 10 oarsmen in a boat is increased by 1.8 kg when one of the crew, who weighs 53 kg is replaced by a new man. Find the weight of the new man.

The weight of the new man would be (53 + 1.8) kg = 54.8 kg. The answer is E.",
40,"Sachin was twice as old as Ajay 10 years back. How old is Ajay today if Sachin will be 40 years old in 10 yearsAnswer Choices: A)18, B)25, C)15, D)20, E)21",D,"

Ajay is 10 years old today and Sachin is 20 years old today. 10 years ago, Sachin was twice Ajay's age, so Sachin would have been 10 years old and Ajay would have been 5 years old. In 10 years, Sachin will be 40 years old, so Ajay will be 30 years old.",
41,"During one season, a tennis team won 20 matches and lost 30% of their matches. What was the number of matches that the team lost?Answer Choices: A)70, B)30, C)3, D)7, E)5",C," If the team won 20 matches and lost 30% of their matches, then they would have lost 30% of 20, which is 6. So
the team lost a total of 6 matches. The answer is c.",
42,"The difference between the squares of two numbers is 256000 and the sum of the numbers is 1000. The numbers areAnswer Choices: A)600, 400, B)628, 372, C)640, 360, D)None of these, E)Cannot be determined",B," The difference between the squares of two numbers is 256000 and the sum of the numbers is 1000.

This can be represented as:

(x - y)^2 = 256000

x^2 - 2xy + y^2 = 256000

x^2 - 1000x + y^2 = 256000

x^2 - 1000x + (1000 - x)^2 = 256000

(x - 1000)^2 + (1000 - x)^2 = 256000

2(x - 1000)^2 = 256000

(x - 1000)^2 = 128000

x - 1000 = sqrt(128000)

x - 1000 = 360

x = 360 + 1000

x = 1360

y = 1000 - 360

y = 640

The answer is C) 640, 360.",
43,"Boomtown urban planners expect the city’s population to increase by 10% per year over the next two years. If that projection were to come true, the population two years from now would be exactly double the population of one year ago. Which of the following is closest to the percent population increase in Boomtown over the last year?Answer Choices: A)20%, B)40%, C)50%, D)65%, E)75%",D, The answer is C.,
44,"A ship went on a voyage. After it had traveled 180 miles a plane started with 10 times the speed of the ship. Find the distance when they meet from starting point.Answer Choices: A)238, B)289, C)200, D)287, E)187",C," Let the speed of the ship be x miles/hour. Then, the speed of the plane is 10x miles/hour.

The distance traveled by the ship in 1 hour = x miles
The distance traveled by the plane in 1 hour = 10x miles

The distance traveled by the ship in 2 hours = 2x miles
The distance traveled by the plane in 2 hours = 20x miles

The distance traveled by the ship in 3 hours = 3x miles
The distance traveled by the plane in 3 hours = 30x miles

The distance traveled by the ship in 4 hours = 4x miles
The distance traveled by the plane in 4 hours = 40x miles

The distance traveled by the ship in 5 hours = 5x miles
The distance traveled by the plane in 5 hours = 50x miles

The plane will catch up to the ship after 5 hours.

The distance traveled by the ship = 5x miles
The distance traveled by the plane = 50x miles

The total distance traveled = 5x + 50x = 55x

The total distance traveled = 55x

The total distance traveled = 55x

The total distance traveled = 55x

The total distance traveled = 55x

The total distance traveled = 55x

The total distance traveled = 55x

The total distance traveled = 55x

The total distance traveled = 55x

The total distance traveled",
45,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?Answer Choices: A)10, B)11.5, C)12.5, D)13.5, E)15",C," The train would have covered 100 miles in the first 10 hours. In the next 2.5 hours, it would have covered
75 miles. So the total distance covered would be 175 miles. The total journey duration would be 11.5 hours.
The answer is b.",
46,"A number of friends decided to go on a picnic and planned to spend Rs. 96 on eatables. Four of them, however, did not turn up. As a consequence, the remaining ones had to contribute Rs. 4 extra, each. The number of those who attended the picnic wasAnswer Choices: A)8, B)12, C)16, D)24, E)25",A," If the total amount spent on eatables is Rs. 96 and each person contributed Rs. 4 extra, then the total amount
contributed would have been Rs. 96 + 4(x), where x is the number of people who attended the picnic. So
96 + 4x = 100x. This simplifies to 4x = 96. So x = 24. The answer is D.",
47,"A bee bypasses 0.05% of flowers it flies by because it can sense they don't have any nectar in them. How many flowers will the bee fly by to bypass 8 flowers?Answer Choices: A)2000, B)4000, C)8000, D)16000, E)32000",D," 8 flowers is 0.4% of the total number of flowers. So, the total number of flowers is 2000. The answer is A.",
48,"John conducted a survey about car color. 60% of the people who took the survey were women. Of the men who were surveyed, 75% preferred red cars over green cars. If 10 men liked green cars more than red, how many people took the survey?Answer Choices: A)100, B)120, C)50, D)200, E)80",A," If 10 men liked green cars more than red, then the total number of men surveyed would be 20. So the total number of people surveyed would be 20 + 60 = 80. The answer is e.",
49,"At the of his one-year investment, Charles received $54,080, including interest and principal from a certain investment. If the investment paid an annual interest of 8 percent compounded semi-annually, which of the following is the amount of money that Charles originally invested?Answer Choices: A)$45,000, B)$50,000, C)$54,000, D)$59,000, E)$62,000",B," The amount of money that Charles originally invested is $50,000.",
50,"A man spends Rs. 3500 per month and saves 12 1/2% of his income. His monthly income is ?Answer Choices: A)Rs. 4400, B)Rs. 4270, C)Rs. 4000, D)Rs. 3937.50, E)None of these",C," The monthly income would be 12.5% more than the amount that he spends, which is Rs. 3500. So his monthly
income would be Rs. 4000. The answer is c.",
51,"Exactly 2/5th of the children in a certain class are girls. If there are 100 boys in the class, how many girls are in the class?Answer Choices: A)50, B)100, C)150, D)200, E)70",C," If there are 100 boys in the class, then there are 400 children in the class in total. 2/5 of 400 is 160. So
there are 160 girls in the class. The answer is c.",
52,"On a normal day Bill usually averages about 15 mph when riding his bicycle. On a windy day, his speed is reduced by 4 mph. How far can Bill travel on a windy day in 21 minutes? Round to the nearest hundredth.Answer Choices: A)2 miles, B)2.25 miles, C)3.25 miles, D)3.85 miles, E)2.85 miles",D," On a windy day, Bill's speed would be 15 mph - 4 mph = 11 mph. So in 21 minutes, he would travel 11 * 21 / 60
= 7.85 miles. The answer is D.",
53,"Two ants are standing side-by-side. One ant, which is 4 inches tall, casts a shadow that is 10 inches long. The other ant is 6 inches tall. Compute, in inches, the length of the shadow that the taller ant casts.Answer Choices: A)36, B)28, C)42, D)15, E)20",D, The length of the shadow that the taller ant casts is 6 * 10 / 4 = 15. The answer is D.,
54,"If there are 5,000 voters out of which 20% are not eligible to vote and there are two candidates contesting. The winning candidate won by 15% of the votes. What is the total number of votes he got ?Answer Choices: A)3267, B)2678, C)2797, D)2300, E)2781",D," The total number of eligible voters would be 80% of 5,000, which is 4,000. The winning candidate won by 15% of
the votes, which means he got 15% of 4,000, which is 600. The answer is c.",
55,"A rope 20 meters long is cut into two pieces. If the length of one piece of rope is 3 meters shorter than the length of the other, what is the length, in meters, of the longer piece of rope?Answer Choices: A)7.5, B)8.9, C)9.9, D)11.5, E)11.7",D, The length of the longer piece of rope would be 11.5 meters. The answer is D.,
56,"X and Y are two alloys which were made by mixing zinc and copper in the ratio 6:9 and 7:11, respectively. If 40 grams of alloy X and 60 grams of alloy Y are melted and mixed to form alloy Z, what is the ratio of zinc and copper in the alloy Z ?Answer Choices: A)69:91, B)59:91, C)59:90, D)59:91, E)69:101",B, The ratio of zinc and copper in alloy X is 6:9. The ratio of zinc and copper in alloy Y is 7:11. The ratio of zinc and copper in alloy Z would be the weighted average of the ratios of zinc and copper in alloy X and alloy Y. The ratio of zinc and copper in alloy Z would be (6/9 * 40) + (7/11 * 60) / (40 + 60) = 59/91. The answer is B.,
57,"The population of a city is 5265526. If there are 4169516 adults in the city, how many children are there in the city?Answer Choices: A)1095961, B)1065961, C)1085961, D)1097961, E)1096061",E," The population of the city is 5265526. If there are 4169516 adults in the city, then the number of children in the city would be 5265526 - 4169516 = 1096061. The answer is E.",
58,"A number is as much greater than 36 as is less than 86. Find the Number.Answer Choices: A)60, B)56, C)51, D)61, E)41",D, The number is 61.,
59,"If m > 0, y > 0, and x is m percent of 4y, then, in terms of y, m is what percentage of x?Answer Choices: A)y/400, B)4y, C)50y, D)2500/y, E)5000/y",D, m is equal to x/4y. So m is equal to 1/4 times y/x. The answer is D.,
60,"A student instead of finding the value of 7/8 of a number, found the value of 7/18 of the number. If his answer differed from the actual one by 770, find the that number.Answer Choices: A)1584, B)2520, C)1728, D)1656, E)None",A," Let the number be x.

7/8 of the number = 7x / 8

7/18 of the number = 7x / 18

The difference between the two values is 770.

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x / 18 = 770

7x / 8 - 7x /",
61,"If a subscription for 15 issues of a magazine costs $42.00 and represents a saving of 25 percent of the cover prices, what is the cover price per issue?Answer Choices: A)$7.73, B)$6.73, C)$5.73, D)$4.73, E)$3.73",E," If the subscription costs $42.00 and represents a saving of 25 percent of the cover prices, then the cover price per issue must be $56.00. The answer is A.",
62,"It takes a worker 9 minutes to drive from home to work at an average rate of 20 kilometers per hour. How many minutes will it take the worker to cycle from home to work along the same route at an average rate of 6 kilometers per hour?Answer Choices: A)30, B)32, C)35, D)36, E)40",A, It will take the worker 30 minutes to cycle from home to work.,
63,"Allen starts from X, goes to Y. At the same time Bob starts from Y and goes towards X. Once Allen reaches Y he changes his direction and returns to X. Once Bob reaches X, he changes his direction and returns to Y. Throughout Allen travels at 54 kmph and Bob travels at 78kmph. By the time they meet for the second time, Bob covers 48 km more than Allen. Find the distance between X and Y.Answer Choices: A)144km, B)72 km, C)126km, D)84 km, E)48km",E," Let the distance between X and Y be d km.

Since Allen and Bob meet for the second time, we can say that:

(Distance traveled by Allen) + (Distance traveled by Bob) = 2d

54 * (Time taken by Allen to reach Y) + 78 * (Time taken by Bob to reach X) = 2d

54 * (Time taken by Allen to reach Y) + 78 * (Time taken by Bob to reach X) = 2d

54 * (Time taken by Allen to reach Y) + 78 * (Time taken by Bob to reach X) = 2d

54 * (Time taken by Allen to reach Y) + 78 * (Time taken by Bob to reach X) = 2d

54 * (Time taken by Allen to reach Y) + 78 * (Time taken by Bob to reach X) = 2d

54 * (Time taken by Allen to reach Y) + 78 * (Time taken by Bob to reach X) = 2d

54 * (Time taken by Allen to reach Y) + 78 * (Time taken by Bob to reach X) = 2d

54 * (Time taken by Allen to reach Y) + 78 * (Time taken by Bob to reach X) = 2d

54 * (Time taken by Allen to reach Y) + 78 * (Time taken by Bob to reach X) = 2d

",
64,"Calculate the percentage gain of a merchant who purchased 90 kg of oranges for Rs. 450 and sold the whole lot at the rate of Rs. 7.50 per kg.Answer Choices: A)50 %, B)60 %, C)55 %, D)70 %, E)58%",A, The percentage gain of the merchant would be ((7.50 - 4.50) / 4.50) * 100 = 66.67%. The answer is c.,
65,"A grocer makes a 25% profit on the selling price for each bag of flour it sells. If he sells each bag for $100 and makes $3,000 in profit, how many bags did he sell?Answer Choices: A)12, B)16, C)24, D)30, E)40",C," If the grocer makes a 25% profit on each bag of flour sold, then the selling price of each bag must be 125% of the cost of the bag. So if the grocer sells each bag for $100, then the cost of each bag must be $100 / 1.25 = $80. If the grocer sold 30 bags, then the total cost would have been 30 * $80 = $2,400. But the total cost must be $3,000, so the grocer must have sold more than 30 bags. The answer is d.",
66,"A pen company produces very fine quality of writing pens. Company knows that on average 10% of the produced pens are always defective so are rejected before packing. Company promises to deliver 7200 pens to its wholesaler at Rs. 10 each. It estimates the overall profit on all the manufactured pens to be 25%. What is the manufactured cost of each pen?Answer Choices: A)Rs. 6, B)Rs. 7.2, C)Rs. 5.6, D)Rs. 8, E)None of these",B," The company knows that 10% of the pens are defective, so they need to produce 10% more pens than the number
of pens they need to deliver. 10% of 7200 is 720, so they need to produce 7920 pens. The cost of each pen is
10/(1-0.25) = Rs. 10/0.75 = Rs. 13.33. The cost of each pen is Rs. 13.33 - Rs. 10 = Rs. 3.33. The answer is C.",
67,"A cow is tethered in the middle of a field with a 14 feet long rope. If the cow grazes 10 sq.ft. per day, then approximately what time will be taken by the cow to graze the whole field?Answer Choices: A)51 days, B)61 days, C)71 days, D)81 days, E)91 days",B, The area of the field is (14/2)^2*pi = 153.93 sq.ft. The cow will take 153.93/10 = 15.39 days to graze the whole field. The answer is D.,
68,"Suppose you can travel from a place M to a place N by 3 buses, from place N to place O by 4 buses, from place O to place P by 1 buses and from place P to place Q by 3 buses. In how many ways can you travel from M to Q ?Answer Choices: A)24, B)36, C)72, D)84, E)None",B," There are 3 ways to travel from M to N, 4 ways to travel from N to O, 1 way to travel from O to P, and 3 ways to travel from P to Q. So there are 3 * 4 * 1 * 3 = 36 ways to travel from M to Q. The answer is B.",
69,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?Answer Choices: A)27, B)81, C)90, D)99, E)110",E," If x is the number of students who did not attend the prom night and y is the number of students who did not take part in the debating session, then we have the following two inequalities:

x + y ≤ 200

0.45x + 0.35y ≥ 0.45(200) + 0.35(200)

Solving these two inequalities, we get x ≤ 110 and y ≤ 81. So the maximum number of students who could have neither attended the prom night nor the debating session is 110 + 81 = 191. The answer is E.",
70,"A train M leaves City A at 5 am and reaches City B at 9am. Another train N leaves City B at 7am and reaches City A at 1030am. At what time do the 2 trains cross one another?Answer Choices: A)1 hr 23 min, B)1 hr 15 min, C)1 hr 8 min, D)56 min, E)55 min",D,"

The two trains cross one another at 1 hr 8 min.",
71,"If Jill needed to buy 10 bottles of soda for a party in which 8 people attended, how many bottles of soda will she need to buy for a party in which 12 people are attending?Answer Choices: A)6, B)8, C)10, D)12, E)14",C," If 8 people attended, then 10 bottles of soda were needed. So for 12 people, 12 bottles of soda would be needed. The answer is D.",
72,"A retailer sold an appliance for 40 percent above cost, which represented a gross profit of $20.00. For what price did the retailer sell the appliance?Answer Choices: A)$27.30, B)$51.00, C)$63.00, D)$70.00, E)$91.00",D," The retailer sold the appliance for 40 percent above cost, which represented a gross profit of $20.00. The cost of the appliance was $20.00 / (1 + 0.40) = $14.29. The selling price of the appliance was $14.29 + $20.00 = $34.29. The answer is A.",
73,"Joe's age, Joe's sister's age and Joe’s fathers age sums up to 100. When Joe is as old as his father, Joe's sister will be twice as old as now. When Joe is as old as his father then his father is twice as old as when his sister was as old as her father. Find the age of Joe's father?Answer Choices: A)45, B)48, C)50, D)55, E)58",C," Let Joe's age be x, his sister's age be y and his father's age be z. Then we have the following equations:
x + y + z = 100
y = 2(x - z)
z = 2(y + z)

Solving these equations, we get x = 48, y = 24 and z = 28. So the answer is B.",
74,"When I was 2 years old, my brother was half my age. Now I am 60 years old, how old is my brother?Answer Choices: A)A)59, B)B)69, C)C)79, D)D)89, E)E)99",A," If my brother was half my age when I was 2 years old, then he was 1 year old. So now he is 60 + 1 = 61 years old.
The answer is A.",
