,question,answer,response,mapping,response_answer,flag
28," The school cafeteria ordered 43 red apples and 32 green apples for students lunches. But, if only 2 students wanted fruit, how many extra did the cafeteria end up with? ",73.0,"The cafeteria ordered 43 red apples and 32 green apples, so they have a total of 43 + 32 = 75 apples. If only 2 students wanted fruit, they would need a total of 2 * 2 = 4 apples. This means the cafeteria has 75 - 4 = 71 extra apples. The answer is 71.",,71.0,0
29," There were 39 girls and 4 boys trying out for the schools basketball team. If only 26 of them got called back, how many students didn't make the cut? ",17.0,"There were 39 girls and 4 boys trying out for the basketball team, so there were 39 + 4 = 43 students in total. Only 26 of them got called back, so 43 - 26 = 17 students didn't make the cut. The answer is 17.",,17.0,0
30, A pet store had 38 siamese cats and 25 house cats. During a sale they sold 45 cats. How many cats do they have left? ,18.0,The pet store had 38 + 25 = 63 cats in total. They sold 45 cats during the sale. So they have 63 - 45 = 18 cats left. The answer is 18.,,18.0,0
31, For the school bake sale Paige made pastries. She baked 36 cupcakes and 9 cookies. After the sale she had 4 to take back home. How many pastries did she sell? ,41.0,"Paige baked 36 cupcakes and 9 cookies, so she made 36 + 9 = 45 pastries in total. She had 4 pastries left after the sale, so she sold 45 - 4 = 41 pastries. The answer is 41.",,41.0,0
32, Carol was playing a trivia game. In the first round she scored 17 points and in the second round she scored 6 points. In the last round she lost 16 points. How many points did she have at the end of the game? ,7.0,"Carol scored 17 points in the first round and 6 points in the second round, so she had 17 + 6 = 23 points. In the last round, she lost 16 points, so she had 23 - 16 = 7 points at the end of the game. The answer is 7.",,7.0,0
33, Gwen bought two coloring books. One had 10 pictures and the other had 39. After one week she had already colored 13 of the pictures. How many pictures does she still have to color? ,36.0,Gwen bought two coloring books. One had 10 pictures and the other had 39. So she had a total of 10 + 39 = 49 pictures to color. After one week she had already colored 13 of the pictures. So she still has 49 - 13 = 36 pictures to color. The answer is 36.,,36.0,0
34," For Halloween Janet and her sister combined the candy they received. Janet had 34 pieces of candy while her sister had 33. If they ate 4 pieces the first night, how many pieces do they have left? ",63.0,"Janet had 34 pieces of candy and her sister had 33, so they had a total of 34 + 33 = 67 pieces of candy. They ate 4 pieces on the first night, so they have 67 - 4 = 63 pieces of candy left. The answer is 63.",,63.0,0
35," Haley and her mom were picking carrots from their garden. Haley picked 39 and her mother picked 38. If only 64 of the carrots were good, how many bad carrots did they have? ",13.0,"Haley picked 39 carrots and her mother picked 38, so they picked a total of 39 + 38 = 77 carrots. If only 64 of the carrots were good, then they had 77 - 64 = 13 bad carrots. The answer is 13.",,13.0,0
36," There were 30 girls and 36 boys trying out for the schools basketball team. If only 10 of them got called back, how many students didn't make the cut? ",56.0,"There were 30 girls and 36 boys trying out for the basketball team, so there were 30 + 36 = 66 students in total. Only 10 of them got called back, so 66 - 10 = 56 students didn't make the cut. The answer is 56.",,56.0,0
37, Roger had 29 dollars. For his birthday he got 20 more dollars but spent 34 on a new game. How much money does he have now? ,15.0,"Roger had 29 dollars. He got 20 more dollars for his birthday, so he had 29 + 20 = 49 dollars. He spent 34 dollars on a new game, so he has 49 - 34 = 15 dollars now. The answer is 15.",,15.0,0
38," Dave had to wash 29 short sleeve shirts and 11 long sleeve shirts before school. If he had only washed 35 of them by the time school started, how many did he not wash? ",5.0,Dave had to wash 29 + 11 = 40 shirts in total. He washed 35 of them before school started. So he did not wash 40 - 35 = 5 shirts. The answer is 5.,,5.0,0
39," Edward was trying to expand his game collection. He bought 41 games from a friend and bought 14 more at a garage sale. If 31 of the games didn't work, how many good games did he end up with? ",24.0,"Edward bought 41 games from a friend and 14 more at a garage sale, so he had 41 + 14 = 55 games in total. However, 31 of them didn't work, so he was left with 55 - 31 = 24 good games. The answer is 24.",,24.0,0
40," At the schools book fair Sam bought 13 adventure books and 17 mystery books. If 15 of the books were used, how many new books did he buy? ",15.0,"Sam bought 13 adventure books and 17 mystery books, so he bought a total of 13 + 17 = 30 books. If 15 of the books were used, then he bought 30 - 15 = 15 new books. The answer is 15.",,15.0,0
41," Amy had 26 music files and 36 video files on her flash drive. If she deleted 48 of the files, how many files were still on her flash drive? ",14.0,"Amy had 26 + 36 = 62 files on her flash drive. She deleted 48 of them, so she had 62 - 48 = 14 files left on her flash drive. The answer is 14.",,14.0,0
42, Oliver had 35 dollars. For his birthday he got 50 more dollars but spent 84 on a new game. How much money does he have now? ,1.0,"Oliver had 35 dollars. He got 50 more dollars for his birthday, so he had 35 + 50 = 85 dollars. He spent 84 dollars on a new game, so he has 85 - 84 = 1 dollar left. The answer is 1.",,1.0,0
43, Emily was playing a trivia game. In the first round she scored 16 points and in the second round she scored 33 points. In the last round she lost 48 points. How many points did she have at the end of the game? ,1.0,"Emily scored 16 points in the first round and 33 points in the second round, so she had 16 + 33 = 49 points. However, she lost 48 points in the last round, so her final score was 49 - 48 = 1 point. The answer is 1.",,1.0,0
44," Paige had 43 math problems and 12 science problems for homework. If she finished 44 of the problems at school, how many problems did she have to do for homework? ",11.0,"Paige had 43 math problems and 12 science problems for homework, so she had a total of 43 + 12 = 55 problems. She finished 44 of the problems at school, so she had to do 55 - 44 = 11 problems for homework. The answer is 11.",,11.0,0
45," The school cafeteria ordered 33 red apples and 23 green apples for students lunches. But, if only 21 students wanted fruit, how many extra did the cafeteria end up with? ",35.0,"The cafeteria ordered 33 + 23 = 56 apples in total. But only 21 students wanted fruit. Assuming each student gets one apple, the cafeteria only needed 21 apples. So they ended up with 56 - 21 = 35 extra apples. The answer is 35.",,35.0,0
46," Dave had to wash 9 short sleeve shirts and 27 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ",16.0,Dave had to wash 9 + 27 = 36 shirts in total. He washed 20 of them before school started. So he did not wash 36 - 20 = 16 shirts. The answer is 16.,,16.0,0
47," While on vacation, Rachel took 6 pictures at the zoo and 9 at the museum. If she later deleted 11 of the pictures, how many pictures from her vacation did she still have? ",4.0,"Rachel took 6 pictures at the zoo and 9 at the museum, so she had 6 + 9 = 15 pictures in total. She deleted 11 pictures, so she still had 15 - 11 = 4 pictures from her vacation. The answer is 4.",,4.0,0
48," Vanessa and her mom were picking carrots from their garden. Vanessa picked 17 and her mother picked 14. If only 24 of the carrots were good, how many bad carrots did they have? ",7.0,"Vanessa picked 17 carrots and her mother picked 14, so they picked a total of 17 + 14 = 31 carrots. If only 24 of the carrots were good, then they had 31 - 24 = 7 bad carrots. The answer is 7.",,7.0,0
49, A pet store had 41 siamese cats and 28 house cats. During a sale they sold 15 cats. How many cats do they have left? ,54.0,The pet store had 41 + 28 = 69 cats in total. They sold 15 cats during the sale. So they have 69 - 15 = 54 cats left. The answer is 54.,,54.0,0
50," At the schools book fair Sam bought 13 adventure books and 17 mystery books. If 15 of the books were used, how many new books did he buy? ",15.0,"Sam bought 13 adventure books and 17 mystery books, so he bought a total of 13 + 17 = 30 books. If 15 of the books were used, then he bought 30 - 15 = 15 new books. The answer is 15.",,15.0,0
51," Amy had 26 music files and 36 video files on her flash drive. If she deleted 48 of the files, how many files were still on her flash drive? ",14.0,"Amy had 26 + 36 = 62 files on her flash drive. She deleted 48 of them, so she had 62 - 48 = 14 files left on her flash drive. The answer is 14.",,14.0,0
52, Oliver had 35 dollars. For his birthday he got 50 more dollars but spent 84 on a new game. How much money does he have now? ,1.0,"Oliver had 35 dollars. He got 50 more dollars for his birthday, so he had 35 + 50 = 85 dollars. He spent 84 dollars on a new game, so he has 85 - 84 = 1 dollar left. The answer is 1.",,1.0,0
53, Emily was playing a trivia game. In the first round she scored 16 points and in the second round she scored 33 points. In the last round she lost 48 points. How many points did she have at the end of the game? ,1.0,"Emily scored 16 points in the first round and 33 points in the second round, so she had 16 + 33 = 49 points. However, she lost 48 points in the last round, so her final score was 49 - 48 = 1 point. The answer is 1.",,1.0,0
54," Paige had 43 math problems and 12 science problems for homework. If she finished 44 of the problems at school, how many problems did she have to do for homework? ",11.0,"Paige had 43 math problems and 12 science problems for homework, so she had a total of 43 + 12 = 55 problems. She finished 44 of the problems at school, so she had to do 55 - 44 = 11 problems for homework. The answer is 11.",,11.0,0
55," The school cafeteria ordered 33 red apples and 23 green apples for students lunches. But, if only 21 students wanted fruit, how many extra did the cafeteria end up with? ",35.0,"The cafeteria ordered 33 + 23 = 56 apples in total. But only 21 students wanted fruit. Assuming each student gets one apple, the cafeteria only needed 21 apples. So they ended up with 56 - 21 = 35 extra apples. The answer is 35.",,35.0,0
56," Dave had to wash 9 short sleeve shirts and 27 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ",16.0,Dave had to wash 9 + 27 = 36 shirts in total. He washed 20 of them before school started. So he did not wash 36 - 20 = 16 shirts. The answer is 16.,,16.0,0
57," While on vacation, Rachel took 6 pictures at the zoo and 9 at the museum. If she later deleted 11 of the pictures, how many pictures from her vacation did she still have? ",4.0,"Rachel took 6 pictures at the zoo and 9 at the museum, so she had 6 + 9 = 15 pictures in total. She deleted 11 pictures, so she still had 15 - 11 = 4 pictures from her vacation. The answer is 4.",,4.0,0
58," Vanessa and her mom were picking carrots from their garden. Vanessa picked 17 and her mother picked 14. If only 24 of the carrots were good, how many bad carrots did they have? ",7.0,"Vanessa picked 17 carrots and her mother picked 14, so they picked a total of 17 + 14 = 31 carrots. If only 24 of the carrots were good, then they had 31 - 24 = 7 bad carrots. The answer is 7.",,7.0,0
59, A pet store had 41 siamese cats and 28 house cats. During a sale they sold 15 cats. How many cats do they have left? ,54.0,The pet store had 41 + 28 = 69 cats in total. They sold 15 cats during the sale. So they have 69 - 15 = 54 cats left. The answer is 54.,,54.0,0
60," Janet picked 4 tulips and 11 roses to make flower bouquets. If she only used 11 of the flowers though, how many extra flowers did Janet pick? ",4.0,"Janet picked 4 tulips and 11 roses, so she picked a total of 4 + 11 = 15 flowers. However, she only used 11 of them, so she had 15 - 11 = 4 extra flowers. The answer is 4.",,4.0,0
61," Vanessa had 13 music files and 30 video files on her flash drive. If she deleted 10 of the files, how many files were still on her flash drive? ",33.0,"Vanessa had 13 + 30 = 43 files on her flash drive. She deleted 10 files, so there were 43 - 10 = 33 files still on her flash drive. The answer is 33.",,33.0,0
62, Debby bought two coloring books. One had 16 pictures and the other had 40. After one week she had already colored 33 of the pictures. How many pictures does she still have to color? ,23.0,"Debby bought two coloring books. One had 16 pictures and the other had 40. In total, she had 16 + 40 = 56 pictures. After one week, she had colored 33 of them. So she still has 56 - 33 = 23 pictures left to color. The answer is 23.",,23.0,0
63," The school cafeteria ordered 8 red apples and 43 green apples for students lunches. But, if only 42 students wanted fruit, how many extra did the cafeteria end up with? ",9.0,"The cafeteria ordered 8 + 43 = 51 apples in total. But only 42 students wanted fruit, so they only needed 42 apples. This means the cafeteria ended up with 51 - 42 = 9 extra apples. The answer is 9.",,9.0,0
64," Edward started his own lawn mowing business. In the spring he made 2 dollars mowing lawns and in the summer he made 27 dollars. If he had to spend 5 dollars buying supplies, how much money did he end up with? ",24.0,Edward made 2 dollars mowing lawns in the spring and 27 dollars in the summer. So he made a total of 2 + 27 = 29 dollars. He spent 5 dollars on supplies. So he ended up with 29 - 5 = 24 dollars. The answer is 24.,,24.0,0
65, A pet store had 36 siamese cats and 18 house cats. During a sale they sold 26 cats. How many cats do they have left? ,28.0,The pet store had 36 + 18 = 54 cats in total. They sold 26 cats during the sale. So they have 54 - 26 = 28 cats left. The answer is 28.,,28.0,0
66," Olivia and her mom were picking carrots from their garden. Olivia picked 20 and her mother picked 14. If only 19 of the carrots were good, how many bad carrots did they have? ",15.0,"Olivia picked 20 carrots and her mother picked 14, so they picked a total of 20 + 14 = 34 carrots. However, only 19 of them were good, so they had 34 - 19 = 15 bad carrots. The answer is 15.",,15.0,0
67, George had 30 dollars. For his birthday he got 16 more dollars but spent 38 on a new game. How much money does he have now? ,8.0,"George had 30 dollars. He got 16 more dollars for his birthday, so he had 30 + 16 = 46 dollars. He spent 38 dollars on a new game, so he has 46 - 38 = 8 dollars left. The answer is 8.",,8.0,0
68," There were 6 girls and 48 boys trying out for the schools basketball team. If only 7 of them got called back, how many students didn't make the cut? ",47.0,"There were 6 girls and 48 boys trying out for the basketball team, so there were 6 + 48 = 54 students in total. Only 7 of them got called back, so 54 - 7 = 47 students didn't make the cut. The answer is 47.",,47.0,0
69, For the school bake sale Amy made pastries. She baked 15 cupcakes and 48 cookies. After the sale she had 12 to take back home. How many pastries did she sell? ,51.0,"Amy baked 15 cupcakes and 48 cookies, so she made 15 + 48 = 63 pastries in total. After the sale, she had 12 pastries left, so she sold 63 - 12 = 51 pastries. The answer is 51.",,51.0,0
70," At the schools book fair Victor bought 32 adventure books and 37 mystery books. If 16 of the books were used, how many new books did he buy? ",53.0,"Victor bought 32 adventure books and 37 mystery books, so he bought a total of 32 + 37 = 69 books. If 16 of the books were used, then he bought 69 - 16 = 53 new books. The answer is 53.",,53.0,0
71," While on vacation, Haley took 50 pictures at the zoo and 8 at the museum. If she later deleted 38 of the pictures, how many pictures from her vacation did she still have? ",20.0,"Haley took 50 pictures at the zoo and 8 at the museum, so she had 50 + 8 = 58 pictures in total. She deleted 38 pictures, so she still had 58 - 38 = 20 pictures from her vacation. The answer is 20.",,20.0,0
72," The school cafeteria ordered 37 red apples and 45 green apples for students lunches. But, if only 51 students wanted fruit, how many extra did the cafeteria end up with? ",31.0,The cafeteria ordered 37 + 45 = 82 apples in total. But only 51 students wanted fruit. So the cafeteria ended up with 82 - 51 = 31 extra apples. The answer is 31.,,31.0,0
73," While shopping, Maria bought 35 green towels and 21 white towels. If she gave her mother 34 of them, how many towels did Maria end up with? ",22.0,"Maria bought 35 green towels and 21 white towels, so she had 35 + 21 = 56 towels in total. She gave her mother 34 towels, so she ended up with 56 - 34 = 22 towels. The answer is 22.",,22.0,0
74," There were 17 girls and 32 boys trying out for the schools basketball team. If only 10 of them got called back, how many students didn't make the cut? ",39.0,"There were 17 girls and 32 boys trying out for the basketball team, so there were 17 + 32 = 49 students in total. Only 10 of them got called back, so 49 - 10 = 39 students didn't make the cut. The answer is 39.",,39.0,0
75," Nancy and her mom were picking carrots from their garden. Nancy picked 38 and her mother picked 47. If only 71 of the carrots were good, how many bad carrots did they have? ",14.0,"Nancy picked 38 carrots and her mother picked 47, so they picked a total of 38 + 47 = 85 carrots. If only 71 of the carrots were good, then they had 85 - 71 = 14 bad carrots. The answer is 14.",,14.0,0
76," A waiter at 'The Greasy Spoon' restaurant had 29 customers to wait on. During the lunch rush he added another 20 customers. If 34 of the customers didn't leave him a tip, how many customers did leave a tip? ",15.0,"The waiter had 29 customers to wait on, and added another 20 during the lunch rush, so he had a total of 29 + 20 = 49 customers. If 34 of them didn't leave a tip, then the remaining customers who did leave a tip would be 49 - 34 = 15 customers. The answer is 15.",,15.0,0
77," Tom had to wash 10 short sleeve shirts and 25 long sleeve shirts before school. If he had only washed 5 of them by the time school started, how many did he not wash? ",30.0,Tom had to wash 10 + 25 = 35 shirts in total. He had only washed 5 of them by the time school started. So he did not wash 35 - 5 = 30 shirts. The answer is 30.,,30.0,0
78," Vanessa had 16 music files and 48 video files on her flash drive. If she deleted 30 of the files, how many files were still on her flash drive? ",34.0,"Vanessa had 16 + 48 = 64 files on her flash drive. She deleted 30 files, so she had 64 - 30 = 34 files left on her flash drive. The answer is 34.",,34.0,0
79," Kaleb started his own lawn mowing business. In the spring he made 4 dollars mowing lawns and in the summer he made 50 dollars. If he had to spend 4 dollars buying supplies, how much money did he end up with? ",50.0,"Kaleb made 4 dollars in the spring and 50 dollars in the summer, so he made a total of 4 + 50 = 54 dollars. He spent 4 dollars on supplies, so he ended up with 54 - 4 = 50 dollars. The answer is 50.",,50.0,0
80," The school cafeteria ordered 6 red apples and 15 green apples for students lunches. But, if only 5 students wanted fruit, how many extra did the cafeteria end up with? ",16.0,"The cafeteria ordered 6 + 15 = 21 apples in total. But only 5 students wanted fruit, so they only needed 5 apples. This means the cafeteria ended up with 21 - 5 = 16 extra apples. The answer is 16.",,16.0,0
81," Bianca picked 39 tulips and 49 roses to make flower bouquets. If she only used 81 of the flowers though, how many extra flowers did Bianca pick? ",7.0,"Bianca picked 39 tulips and 49 roses, so she picked a total of 39 + 49 = 88 flowers. She used 81 of the flowers to make bouquets, so she had 88 - 81 = 7 extra flowers. Bianca picked 7 extra flowers. The answer is 7.",,7.0,0
82," While on vacation, Nancy took 49 pictures at the zoo and 8 at the museum. If she later deleted 38 of the pictures, how many pictures from her vacation did she still have? ",19.0,"Nancy took 49 pictures at the zoo and 8 at the museum, so she had 49 + 8 = 57 pictures in total. She deleted 38 pictures, so she still had 57 - 38 = 19 pictures from her vacation. The answer is 19.",,19.0,0
83," Gwen had 18 math problems and 11 science problems for homework. If she finished 24 of the problems at school, how many problems did she have to do for homework? ",5.0,"Gwen had 18 math problems and 11 science problems for homework, so she had to do 18 + 11 = 29 problems in total. She finished 24 of the problems at school, so she had to do 29 - 24 = 5 problems for homework. The answer is 5.",,5.0,0
84," For Halloween Katie and her sister combined the candy they received. Katie had 10 pieces of candy while her sister had 6. If they ate 9 pieces the first night, how many pieces do they have left? ",7.0,"Katie had 10 pieces of candy and her sister had 6, so they had a total of 10 + 6 = 16 pieces of candy. They ate 9 pieces the first night, so they have 16 - 9 = 7 pieces of candy left. The answer is 7.",,7.0,0
85, A pet store had 15 siamese cats and 49 house cats. During a sale they sold 19 cats. How many cats do they have left? ,45.0,The pet store had 15 + 49 = 64 cats in total. They sold 19 cats during the sale. So they have 64 - 19 = 45 cats left. The answer is 45.,,45.0,0
86," There were 9 girls and 14 boys trying out for the schools basketball team. If only 2 of them got called back, how many students didn't make the cut? ",21.0,"There were 9 girls and 14 boys trying out for the basketball team, so there were 9 + 14 = 23 students in total. Only 2 of them got called back, so 23 - 2 = 21 students didn't make the cut. The answer is 21.",,21.0,0
87," Haley had 27 music files and 42 video files on her flash drive. If she deleted 11 of the files, how many files were still on her flash drive? ",58.0,"Haley had 27 + 42 = 69 files on her flash drive. She deleted 11 files, so there were 69 - 11 = 58 files still on her flash drive. The answer is 58.",,58.0,0
88," While shopping, Maria bought 40 green towels and 44 white towels. If she gave her mother 65 of them, how many towels did Maria end up with? ",19.0,"Maria bought 40 green towels and 44 white towels, so she had 40 + 44 = 84 towels in total. She gave her mother 65 of them, so she ended up with 84 - 65 = 19 towels. The answer is 19.",,19.0,0
89," A waiter at 'The Greasy Spoon' restaurant had 39 customers to wait on. During the lunch rush he added another 12 customers. If 49 of the customers didn't leave him a tip, how many customers did leave a tip? ",2.0,"The waiter had 39 customers to wait on, and added another 12 during the lunch rush, so he had a total of 39 + 12 = 51 customers. If 49 of them didn't leave a tip, then the remaining customers who did leave a tip would be 51 - 49 = 2. Therefore, 2 customers left a tip. The answer is 2.",,2.0,0
90, A pet store had 19 siamese cats and 45 house cats. During a sale they sold 56 cats. How many cats do they have left? ,8.0,The pet store had 19 + 45 = 64 cats in total. They sold 56 cats during the sale. So they have 64 - 56 = 8 cats left. The answer is 8.,,8.0,0
