,question,answer,response,tokens,logprobs,mapping,response_answer,correct
149," Chloe picked 48 carrots from her garden. If she threw out 45 of them and then picked 42 more the next day, how many carrots would she have total? ",45," Chloe started with 48 carrots. If she threw out 45 of them, she would have 48 - 45 = 3 carrots left. If she then picked 42 more, she would have 3 + 42 = 45 carrots in total.","[' Chloe', ' started', ' with', ' 48', ' carrots', '.', ' If', ' she', ' threw', ' out', ' 45', ' of', ' them', ',', ' she', ' would', ' have', ' 48', ' -', ' 45', ' =', ' 3', ' carrots', ' left', '.', ' If', ' she', ' then', ' picked', ' 42', ' more', ',', ' she', ' would', ' have', ' 3', ' +', ' 42', ' =', ' 45', ' carrots', ' in', ' total', '.']","[-0.1714781, -1.0112228, -0.0059131635000000005, -0.001921549, -0.0025084633, -0.039368816, -1.1728592, -0.0037417284000000003, -0.03339765, -0.04304199, -6.6294405999999995e-06, -0.45575103, -0.0026885837000000003, -0.0055724797, -0.06655245, -0.012752649000000001, -0.06876412, -0.22613351, -0.0071695955000000006, -7.937927e-06, -0.031705312, -7.684431e-05, -0.14409631, -0.41578869999999996, -0.0075250560000000005, -0.6163853, -0.006124898, -0.31164542, -0.0006275471, -0.0007866850399999999, -0.008746217, -0.19721918, -0.004198084600000001, -0.0018943159, -0.0015197748, -0.04081477, -0.00013359329, -9.055464e-07, -0.006186970500000001, -1.7595703000000003e-05, -0.044752434, -0.66101843, -4.5613506e-05, -1.6760310000000004e-05]",,45,1
150," Sam had 10 socks. If he threw away 3 old ones that didn't fit and bought 36 new ones, how many socks would he have? ",43, Sam had 10 socks. He threw away 3 old ones. So he has 10 - 3 = 7 socks. He bought 36 new ones. So he has 7 + 36 = 43 socks. The answer is 43.,"[' Sam', ' had', ' 10', ' socks', '.', ' He', ' threw', ' away', ' 3', ' old', ' ones', '.', ' So', ' he', ' has', ' 10', ' -', ' 3', ' =', ' 7', ' socks', '.', ' He', ' bought', ' 36', ' new', ' ones', '.', ' So', ' he', ' has', ' 7', ' +', ' 36', ' =', ' 43', ' socks', '.', ' The', ' answer', ' is', ' 43', '.']","[-0.16123956, -0.45153543, -0.002439572, -0.0020460112, -0.5024019, -0.53696257, -0.0791731, -0.13139138, -0.0014170442, -0.82275283, -0.090747885, -1.0168886, -0.63291144, -0.12229492500000001, -0.15474828000000002, -0.0004218633, -0.00043975122, -1.4020380000000002e-05, -0.0434344, -0.000421624, -0.6157735, -0.6152618, -0.52297264, -0.035458915, -0.0007979591, -0.05473931, -0.11754409, -0.12271661, -0.011214643, -0.2011704, -0.0055037336000000004, -0.25205678, -0.00011678578999999999, -2.0935424000000002e-05, -0.032105155, -0.00076234766, -0.026488287000000003, -0.24746669999999998, -0.20710146000000001, -5.7057543000000005e-05, -4.430127e-05, -0.00024775858, -0.039072630000000004]",,43,1
151," Maria had 14 bottles of water in her fridge. If she drank 8 of them and then bought 45 more, how many bottles would she have? ",51," Maria had 14 bottles of water. If she drank 8 of them, she would have 14 - 8 = 6 bottles left. If she then bought 45 more, she would have 45 + 6 = 51 bottles. The answer is 51.","[' Maria', ' had', ' 14', ' bottles', ' of', ' water', '.', ' If', ' she', ' drank', ' 8', ' of', ' them', ',', ' she', ' would', ' have', ' 14', ' -', ' 8', ' =', ' 6', ' bottles', ' left', '.', ' If', ' she', ' then', ' bought', ' 45', ' more', ',', ' she', ' would', ' have', ' 45', ' +', ' 6', ' =', ' 51', ' bottles', '.', ' The', ' answer', ' is', ' 51', '.']","[-0.22193323, -0.34191164, -0.046257157, -0.0019789971, -0.49633342, -5.1979979999999996e-06, -0.9763641999999999, -0.74053466, -0.0010226364, -0.04364191, -6.0038692e-05, -0.7126844, -0.0024082013, -0.027025687000000003, -0.13093776000000001, -0.010264043, -0.022466416000000003, -0.0109590385, -0.018821754, -9.842577000000001e-05, -0.11039739999999999, -0.0008465784, -0.30629936, -0.5534605, -0.022370836, -0.26935306000000003, -3.1185496000000004e-05, -0.32667243, -0.0046363864, -1.3823811999999999e-06, -0.028635435, -0.04195604, -0.0038487692, -0.0009914301, -0.00014575632, -0.65543085, -3.7684315e-06, -3.5717305000000005e-05, -0.048235480000000004, -0.00031262784999999996, -0.011184444, -0.6693395999999999, -0.09141742, -0.0001536241, -6.957351400000001e-05, -8.7337496e-05, -0.007138319000000001]",,51,1
152," A teacher had 34 worksheets to grade. If she graded 7, but then another 36 were turned in, how many worksheets would she have to grade? ",63," The teacher had 34 worksheets to grade. If she graded 7, she would have 34 - 7 = 27 worksheets left to grade. But then she got 36 more, so she would have to grade 27 + 36 = 63 worksheets. The answer is 63.","[' The', ' teacher', ' had', ' 34', ' works', 'he', 'ets', ' to', ' grade', '.', ' If', ' she', ' graded', ' 7', ',', ' she', ' would', ' have', ' 34', ' -', ' 7', ' =', ' 27', ' works', 'he', 'ets', ' left', ' to', ' grade', '.', ' But', ' then', ' she', ' got', ' 36', ' more', ',', ' so', ' she', ' would', ' have', ' to', ' grade', ' 27', ' +', ' 36', ' =', ' 63', ' works', 'he', 'ets', '.', ' The', ' answer', ' is', ' 63', '.']","[-0.22313644, -0.0015637131, -0.88861746, -0.31780717, -0.011939133000000001, -4.9586424e-06, -9.055464e-07, -0.57206285, -0.00078799913, -0.10921072, -0.94913065, -0.022045035, -0.032412454, -9.842577000000001e-05, -0.0682783, -0.86218375, -0.013182392000000001, -0.045236442, -0.32267788000000003, -0.0025476640000000003, -2.9996223000000002e-05, -0.14155577, -0.00026170976, -0.80531836, -2.4543265e-06, -1.5006569e-06, -0.11915468, -0.62262887, -2.4510746e-05, -9.401318000000001e-05, -0.3136733, -0.47949633, -0.73531044, -0.53778744, -0.19562176, -0.0013551468, -0.6087982, -0.026942346000000002, -0.005877607, -0.5724815999999999, -0.0054444605000000005, -0.24555503, -1.4974988000000002e-05, -0.53621507, -4.1232483e-06, -2.5744682e-06, -0.018410463000000002, -6.9861335e-06, -0.035427418, -5.3162735e-06, -7.854046699999999e-07, -0.558295, -0.42585722000000004, -3.595572e-05, -2.880226e-05, -6.031526e-06, -0.0022766422000000002]",,63,1
153," At the fair there were 7 people in line for the bumper cars. If 4 of them got tired of waiting and left and 8 more got in line, how many people would be in line? ",11, There were originally 7 people in line. 4 people left and 8 more got in line. So the total number of people is now 7 - 4 + 8 = 11. The answer is 11.,"[' There', ' were', ' originally', ' 7', ' people', ' in', ' line', '.', ' 4', ' people', ' left', ' and', ' 8', ' more', ' got', ' in', ' line', '.', ' So', ' the', ' total', ' number', ' of', ' people', ' is', ' now', ' 7', ' -', ' 4', ' +', ' 8', ' =', ' 11', '.', ' The', ' answer', ' is', ' 11', '.']","[-0.44813317, -0.08502521, -0.41560173, -0.00012203378999999999, -0.0025883603, -0.1676405, -0.00017055642, -0.17279987, -0.5072174700000001, -0.72186834, -0.0010642834, -0.7176683500000001, -0.0026753750000000002, -0.6540060600000001, -0.1306303, -3.225932e-05, -0.0004690925, -0.009585838000000001, -0.051993990000000004, -0.6522089999999999, -0.8465020999999999, -0.45839748, -0.0021759260000000003, -4.838501e-06, -0.5299503, -0.6425590999999999, -0.00955244, -0.47692769999999995, -2.3360508e-06, -7.1062755e-06, -1.8601541999999999e-06, -0.01497418, -1.1039229e-05, -0.10508915, -0.069575444, -0.00010450541999999999, -4.838501e-06, -5.8845668000000004e-05, -0.0015545781]",,11,1
154," Emily had 7 coloring books. If she gave away 2 of them, but then bought 14 more, how many would she have total? ",19," Emily had 7 coloring books. If she gave away 2 of them, she would have 7 - 2 = 5 coloring books. But if she bought 14 more, she would have 5 + 14 = 19 coloring books. The answer is 19.","[' Emily', ' had', ' 7', ' coloring', ' books', '.', ' If', ' she', ' gave', ' away', ' 2', ' of', ' them', ',', ' she', ' would', ' have', ' 7', ' -', ' 2', ' =', ' 5', ' coloring', ' books', '.', ' But', ' if', ' she', ' bought', ' 14', ' more', ',', ' she', ' would', ' have', ' 5', ' +', ' 14', ' =', ' 19', ' coloring', ' books', '.', ' The', ' answer', ' is', ' 19', '.']","[-0.09534669999999999, -0.8732131999999999, -0.0116468035, -0.0042425585, -8.065993000000001e-05, -0.22820802, -0.61674553, -0.00018260023999999998, -0.0036138222, -0.29639927, -0.0005760789499999999, -0.7321622999999999, -0.00043665177999999995, -0.014557215, -0.47846478000000003, -0.018355705, -0.017216548, -0.0079728495, -0.018251530000000002, -7.4104384e-05, -0.0389739, -5.6340414000000005e-05, -0.5841017, -7.8514175e-05, -0.17392159999999998, -0.7356712999999999, -0.6492414, -8.892534e-06, -0.23794521000000002, -4.513573400000001e-05, -0.0029338321, -0.0077277, -0.019156775, -0.0012240849, -0.0032657254000000003, -0.016166948, -5.8725527000000006e-05, -1.4974988000000002e-05, -0.0016902215000000002, -2.8445576000000002e-05, -0.010887934, -9.437268e-05, -0.32768694, -0.08582425, -9.818829e-05, -3.9411840000000004e-05, -8.0899285e-05, -0.0015818009]",,19,1
155," At the arcade Dave won 25 tickets. If he spent 22 tickets on a beanie and later won 15 more tickets, how many would he have? ",18, Dave won 25 tickets. He spent 22 tickets on a beanie. So he had 25 - 22 = 3 tickets left. Then he won 15 more tickets. So he had 3 + 15 = 18 tickets. The answer is 18.,"[' Dave', ' won', ' 25', ' tickets', '.', ' He', ' spent', ' 22', ' tickets', ' on', ' a', ' bean', 'ie', '.', ' So', ' he', ' had', ' 25', ' -', ' 22', ' =', ' 3', ' tickets', ' left', '.', ' Then', ' he', ' won', ' 15', ' more', ' tickets', '.', ' So', ' he', ' had', ' 3', ' +', ' 15', ' =', ' 18', ' tickets', '.', ' The', ' answer', ' is', ' 18', '.']","[-0.12505303, -0.9949315, -0.00072035525, -0.004648722, -0.58210903, -0.5650467, -0.11177491, -0.0017518991000000002, -0.38608202, -0.23484203, -0.044812094000000004, -0.00047493746, -4.838501e-06, -0.24872035, -0.24384378, -0.09849652, -0.39232459999999997, -0.027324138, -0.005768676800000001, -0.0011514624, -0.069274716, -2.9519388e-05, -0.048695590000000004, -0.2994281, -0.0128301075, -0.35112727, -0.0029402252, -1.9621319e-05, -0.00012143587, -0.018394316, -0.6700906, -0.064624056, -0.06894464, -0.27414143, -0.21804172, -0.0021736554, -0.00014384899, -5.3162735e-06, -0.0009867753, -3.869565e-05, -0.005651361000000001, -0.34828934, -0.12905912, -3.01145e-05, -1.6402679e-05, -4.2988099999999996e-05, -0.01944584]",,18,1
156," Robin had 30 songs on her mp3 player. If she deleted 8 old songs from it and then added 10 new songs, how many songs does she have on her mp3 player? ",32," Robin had 30 songs. If she deleted 8 old songs, she would have 30 - 8 = 22 songs. If she then added 10 new songs, she would have 22 + 10 = 32 songs. The answer is 32.","[' Robin', ' had', ' 30', ' songs', '.', ' If', ' she', ' deleted', ' 8', ' old', ' songs', ',', ' she', ' would', ' have', ' 30', ' -', ' 8', ' =', ' 22', ' songs', '.', ' If', ' she', ' then', ' added', ' 10', ' new', ' songs', ',', ' she', ' would', ' have', ' 22', ' +', ' 10', ' =', ' 32', ' songs', '.', ' The', ' answer', ' is', ' 32', '.']","[-0.14042476, -0.60554993, -0.0022174406, -0.0015649070000000001, -0.9579877, -0.83705604, -0.0054137767, -0.00952891, -8.984087000000001e-05, -0.81659883, -0.019377775, -0.41563532000000003, -0.13255125, -0.38615993, -0.0018480339, -0.026557699, -0.0007967051, -5.675771e-06, -0.07135245, -6.671344500000001e-05, -0.20336117, -0.20189078, -0.16172117, -0.00021538826999999998, -0.27084416, -0.0008635183000000001, -4.2777349999999996e-07, -0.050266143000000006, -0.00084455, -0.00015290884999999999, -0.072649725, -0.0076876977, -0.0011825524, -0.004370425000000001, -4.5847235000000006e-05, -1.2231317e-05, -0.0017417467, -0.00070043333, -0.0072940527, -0.07262902, -0.13549641, -4.2511267000000004e-05, -0.00016900577, -3.3689823e-05, -0.007986608000000001]",,32,1
157," The school cafeteria had 23 apples. If they used 20 to make lunch for the students and then bought 6 more, how many apples would they have? ",9, The school cafeteria had 23 apples. They used 20 to make lunch for the students. They bought 6 more. So they have 23 - 20 + 6 = 9 apples.,"[' The', ' school', ' cafeteria', ' had', ' 23', ' apples', '.', ' They', ' used', ' 20', ' to', ' make', ' lunch', ' for', ' the', ' students', '.', ' They', ' bought', ' 6', ' more', '.', ' So', ' they', ' have', ' 23', ' -', ' 20', ' +', ' 6', ' =', ' 9', ' apples', '.']","[-0.48029163, -0.05741149, -0.08769294, -0.5251579, -0.0009780627, -0.0003274144, -0.19585277, -0.78242177, -0.022606751, -0.0019517669, -0.9080332, -1.2828294e-05, -5.7652644e-05, -0.7700258999999999, -0.042959355000000005, -0.00019201681, -0.44665056000000003, -0.6285636, -0.15571533, -0.00073353574, -0.0043521654, -0.055079084, -0.14469334, -0.13215839999999998, -0.6108985, -0.25070226, -0.2867185, -0.00018331176, -0.0028360952, -0.00035072953, -0.25281918000000003, -0.00010510145999999999, -0.14423916, -0.11360242]",,9,1
158," Janet was playing a video game and had 38 lives. In a hard part of the game she lost 16 lives. If she got 32 more lives in the next level, how many lives would she have? ",54," Janet started with 38 lives. She lost 16 lives in a hard part of the game. So she had 38 - 16 = 22 lives. If she got 32 more lives in the next level, she would have 22 + 32 = 54 lives. The answer is 54.","[' Janet', ' started', ' with', ' 38', ' lives', '.', ' She', ' lost', ' 16', ' lives', ' in', ' a', ' hard', ' part', ' of', ' the', ' game', '.', ' So', ' she', ' had', ' 38', ' -', ' 16', ' =', ' 22', ' lives', '.', ' If', ' she', ' got', ' 32', ' more', ' lives', ' in', ' the', ' next', ' level', ',', ' she', ' would', ' have', ' 22', ' +', ' 32', ' =', ' 54', ' lives', '.', ' The', ' answer', ' is', ' 54', '.']","[-0.15337363, -0.80863845, -0.02252713, -0.00011917090000000001, -0.0009475791000000001, -0.038569603, -0.98234916, -0.39648974000000003, -3.8338017000000004e-05, -0.27887622, -0.9348048999999999, -0.13152047, -0.0015255071, -0.00027065415999999996, -0.15592131, -3.1065356e-05, -9.914290400000001e-05, -0.12674655, -0.11079665, -0.014494804000000002, -0.17289984, -0.00023357182, -0.009539442, -0.0005856814, -0.055815645000000004, -0.00023524073, -0.10120205, -0.43978563, -0.8879573, -0.0029772914, -0.048974294, -0.00016054007999999998, -0.0541395, -0.071005754, -0.23466979000000002, -0.00019857421, -0.0005829959, -0.00022313965, -0.0008274280000000001, -0.1679069, -0.026658027, -0.0025825030000000003, -0.035941347000000005, -0.00010092915999999999, -2.4510746e-05, -0.0084556015, -2.1889093000000004e-05, -0.03955309, -0.04829453, -0.37016326, -5.9799340000000005e-05, -9.973519600000001e-05, -3.6311474e-05, -0.007850949000000001]",,54,1
159," Megan picked 19 carrots from her garden. If she threw out 4 of them and then picked 46 more the next day, how many carrots would she have total? ",61," Megan started with 19 carrots. If she threw out 4, she would have 19 - 4 = 15 carrots. If she picked 46 more, she would have 15 + 46 = 61 carrots. The answer is 61.","[' Megan', ' started', ' with', ' 19', ' carrots', '.', ' If', ' she', ' threw', ' out', ' 4', ',', ' she', ' would', ' have', ' 19', ' -', ' 4', ' =', ' 15', ' carrots', '.', ' If', ' she', ' picked', ' 46', ' more', ',', ' she', ' would', ' have', ' 15', ' +', ' 46', ' =', ' 61', ' carrots', '.', ' The', ' answer', ' is', ' 61', '.']","[-0.18626961, -0.66390675, -0.0064194007, -0.0030307990000000003, -0.0022017285, -0.02665031, -0.97743535, -0.0009744874, -0.07312759, -0.09769092500000001, -0.0012269507000000001, -0.71898067, -0.16593239, -0.011735091000000001, -0.016991718, -0.006496007000000001, -0.002494422, -5.991855000000001e-05, -0.030392708, -5.7891062e-05, -0.6898643999999999, -0.42818029999999996, -0.6692459, -0.00016077850000000002, -0.40991983, -0.02007263, -0.050462157, -0.34320015, -0.009308575000000001, -0.0022814227, -0.0029806378000000002, -0.057641298, -7.338913000000001e-05, -5.79217e-06, -0.0038652827, -0.0005574692599999999, -0.06476784000000001, -0.3228058, -0.18989563, -8.376217000000001e-05, -0.00016244835999999999, -8.7457636e-05, -0.016530164]",,61,1
160," Roger had 45 dollars in January. By March he had spent 20 dollars. If he got another 46 dollars from his mom, how much money would he have? ",71," Roger had 45 dollars in January. He spent 20 dollars, so he had 45 - 20 = 25 dollars left. His mom gave him 46 more dollars, so he had 25 + 46 = 71 dollars. The answer is 71.","[' Roger', ' had', ' 45', ' dollars', ' in', ' January', '.', ' He', ' spent', ' 20', ' dollars', ',', ' so', ' he', ' had', ' 45', ' -', ' 20', ' =', ' 25', ' dollars', ' left', '.', ' His', ' mom', ' gave', ' him', ' 46', ' more', ' dollars', ',', ' so', ' he', ' had', ' 25', ' +', ' 46', ' =', ' 71', ' dollars', '.', ' The', ' answer', ' is', ' 71', '.']","[-0.26505908, -0.6724475, -0.0039537223, -0.0039800513, -0.14601719999999999, -9.7471166e-05, -0.0068719946, -0.76810575, -0.014420906, -1.5687427000000002e-05, -0.018019617, -0.6946182, -0.0067682937000000006, -0.2461758, -0.016268048, -0.0004218633, -0.0017133245, -7.6252014e-05, -0.0011149996, -3.1781543000000005e-05, -0.32816819999999997, -0.89101356, -0.09868478, -1.5185498, -0.00034059118, -0.0061887700000000006, -0.0005425607, -0.058086034, -0.44127405000000003, -0.013026038, -0.107326366, -0.0004957474, -0.025360625, -0.21896352, -0.30319747, -0.00011201744, -3.7684315e-06, -0.0051009385, -7.350647e-05, -0.046842195, -0.22754791, -0.22869286, -4.6684505e-05, -1.0323977e-05, -3.6550830000000005e-05, -0.014192355]",,71,1
161," The school cafeteria had 17 apples. If they used 2 to make lunch for the students and then bought 23 more, how many apples would they have? ",38, The school cafeteria had 17 apples. They used 2 to make lunch for the students. They bought 23 more. So they have 17 + 23 = 40 apples. The answer is 40.,"[' The', ' school', ' cafeteria', ' had', ' 17', ' apples', '.', ' They', ' used', ' 2', ' to', ' make', ' lunch', ' for', ' the', ' students', '.', ' They', ' bought', ' 23', ' more', '.', ' So', ' they', ' have', ' 17', ' +', ' 23', ' =', ' 40', ' apples', '.', ' The', ' answer', ' is', ' 40', '.']","[-0.41875276, -0.038859256, -0.09117208, -0.49842945, -0.043617003, -0.0005315287, -0.2040533, -0.9443726, -0.047563955000000005, -0.0056328373000000004, -0.9313189, -9.012677e-06, -4.132011600000001e-05, -0.876883, -0.03660169, -0.00018712735999999998, -0.535385, -0.6807841, -0.005670783, -2.6936819999999996e-06, -0.0085176965, -0.05495754, -0.06477285, -0.029899074, -0.41601315, -0.29887334, -0.15845288, -0.0065564224, -0.17623647, -3.5477948000000006e-05, -0.032133102000000004, -0.24671535, -0.45752996, -5.2288255e-05, -8.058068499999999e-06, -5.1810483e-05, -0.005095606]",,40,0
162," Janet was playing a video game and had 47 lives. In a hard part of the game she lost 23 lives. If she got 46 more lives in the next level, how many lives would she have? ",70," Janet started with 47 lives. She lost 23 lives. So she had 47 - 23 = 24 lives. If she got 46 more lives in the next level, she would have 24 + 46 = 70 lives. The answer is 70.","[' Janet', ' started', ' with', ' 47', ' lives', '.', ' She', ' lost', ' 23', ' lives', '.', ' So', ' she', ' had', ' 47', ' -', ' 23', ' =', ' 24', ' lives', '.', ' If', ' she', ' got', ' 46', ' more', ' lives', ' in', ' the', ' next', ' level', ',', ' she', ' would', ' have', ' 24', ' +', ' 46', ' =', ' 70', ' lives', '.', ' The', ' answer', ' is', ' 70', '.']","[-0.10029093, -0.65759796, -0.017619334, -7.493791e-05, -0.0017588846, -0.04217312, -0.81312567, -0.57230896, -7.1062755e-06, -0.41789213000000003, -0.7350391, -0.20585209000000002, -0.009633681, -0.13834766, -0.0014651567, -0.0010599872, -3.3450466e-05, -0.028197594000000003, -5.7177684e-05, -0.04890719, -0.38358998, -0.73140335, -0.0007324648, -0.17267965, -5.5863580000000004e-05, -0.09008168, -0.082075246, -0.608957, -0.00028901698999999996, -0.0033142255000000002, -0.00011976600999999999, -0.0015628758, -0.08627176, -0.018026715000000002, -0.0020217010000000003, -0.14450732, -0.00010665304999999999, -8.058068499999999e-06, -0.014256865, -4.6325007e-05, -0.076980956, -0.06394593400000001, -0.5160966, -0.000101643476, -6.265847e-05, -6.9453374e-05, -0.007346111000000001]",,70,1
163," Nancy picked 12 carrots from her garden. If she threw out 2 of them and then picked 21 more the next day, how many carrots would she have total? ",31," Nancy started with 12 carrots. If she threw out 2 of them, she would have 12 - 2 = 10 carrots. If she then picked 21 more, she would have 10 + 21 = 31 carrots. The answer is 31.","[' Nancy', ' started', ' with', ' 12', ' carrots', '.', ' If', ' she', ' threw', ' out', ' 2', ' of', ' them', ',', ' she', ' would', ' have', ' 12', ' -', ' 2', ' =', ' 10', ' carrots', '.', ' If', ' she', ' then', ' picked', ' 21', ' more', ',', ' she', ' would', ' have', ' 10', ' +', ' 21', ' =', ' 31', ' carrots', '.', ' The', ' answer', ' is', ' 31', '.']","[-0.04015828, -0.62630934, -0.0042950544000000005, -0.0057246136, -0.00039199076, -0.036213554, -0.7775160999999999, -0.0064553944, -0.10858353, -0.15748972, -0.0038494870000000004, -0.82061636, -0.0024832482, -0.013666159, -0.22928873, -0.010361724000000001, -0.023437096, -0.014787904000000001, -0.0050732004, -9.091469000000001e-05, -0.039263237, -1.7400123999999997e-06, -0.5468607, -0.30033964, -0.5158779, -0.0009046837, -0.64387774, -0.0004766064, -0.023258941, -0.013500791000000002, -0.29260197, -0.007002777000000001, -0.0007811977, -0.00068480574, -0.0061376714, -4.4896380000000005e-05, -1.8601541999999999e-06, -0.0035161993000000003, -7.338913000000001e-05, -0.018741157, -0.31642556, -0.09360424, -3.0826937e-05, -8.876706000000002e-05, -3.142485e-05, -0.015365896]",,31,1
164," Bianca had 34 songs on her mp3 player. If she deleted 14 old songs from it and then added 44 new songs, how many songs does she have on her mp3 player? ",64," Bianca had 34 songs originally. After deleting 14 and adding 44, she has 34 - 14 + 44 = 64 songs.","[' Bian', 'ca', ' had', ' 34', ' songs', ' originally', '.', ' After', ' deleting', ' 14', ' and', ' adding', ' 44', ',', ' she', ' has', ' 34', ' -', ' 14', ' +', ' 44', ' =', ' 64', ' songs', '.']","[-0.08853142, -4.513573400000001e-05, -0.5524610999999999, -0.09071831400000001, -0.002378329, -0.88795966, -0.004335523, -0.96473014, -0.016916426000000002, -0.0012255172, -1.226081, -0.010417916000000001, -1.7400123999999997e-06, -0.0010814683, -0.0013239939, -0.07576381, -0.24494998, -0.010226527000000001, -0.00019261472, -0.00014885482, -3.4089344e-06, -0.030628124000000003, -0.13207848, -0.2730897, -0.288025]",,64,1
165," Tom had 5 books. If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? ",39, Tom had 5 books. He sold 4 of them. So he would have 5 - 4 = 1 book left. He used the money he earned to buy 38 new books. So he would have 1 + 38 = 39 books. The answer is 39.,"[' Tom', ' had', ' 5', ' books', '.', ' He', ' sold', ' 4', ' of', ' them', '.', ' So', ' he', ' would', ' have', ' 5', ' -', ' 4', ' =', ' 1', ' book', ' left', '.', ' He', ' used', ' the', ' money', ' he', ' earned', ' to', ' buy', ' 38', ' new', ' books', '.', ' So', ' he', ' would', ' have', ' 1', ' +', ' 38', ' =', ' 39', ' books', '.', ' The', ' answer', ' is', ' 39', '.']","[-0.037693348, -0.6103651, -0.04565667, -0.0034572838, -0.33492299999999997, -0.47427312, -0.026014071000000003, -0.014589511000000001, -0.3572199, -0.003981488300000001, -0.56139654, -0.7072836, -0.1204625, -0.48160326000000003, -0.0015118337, -0.24976169999999998, -0.01119023, -2.7371756000000004e-05, -0.04189904, -0.00047195444, -0.003108524, -0.2683566, -0.0025569287000000002, -0.93760896, -0.8026724, -0.010584103000000001, -0.0003506094, -0.46542683, -0.016488412, -0.15658931, -0.0001083201, -0.0053775813, -0.2775407, -0.00014790209, -0.013759641000000001, -0.029701771000000002, -0.11054698, -0.01601673, -0.00027101085, -0.07570542400000001, -0.0011377366, -1.3185924000000001e-05, -0.059459396000000005, -0.00032657993, -0.006211142, -0.5469592999999999, -0.35819364, -5.026076500000001e-05, -4.3465872000000003e-05, -0.0006151409499999999, -0.0038084990000000003]",,39,1
166," John had 33 socks. If he threw away 19 old ones that didn't fit and bought 13 new ones, how many socks would he have? ",27, John had 33 socks. He threw away 19 old ones. So he has 33 - 19 = 14 socks. He bought 13 new ones. So he has 14 + 13 = 27 socks. The answer is 27.,"[' John', ' had', ' 33', ' socks', '.', ' He', ' threw', ' away', ' 19', ' old', ' ones', '.', ' So', ' he', ' has', ' 33', ' -', ' 19', ' =', ' 14', ' socks', '.', ' He', ' bought', ' 13', ' new', ' ones', '.', ' So', ' he', ' has', ' 14', ' +', ' 13', ' =', ' 27', ' socks', '.', ' The', ' answer', ' is', ' 27', '.']","[-0.41146708, -0.7611344, -0.002632703, -0.0006344049000000001, -0.28671077, -0.7905093, -0.07034604, -0.01729156, -0.0019963782, -0.5954815999999999, -0.06022845, -0.9425981999999999, -0.4988492, -0.10412897, -0.34324667000000003, -0.00030988506999999997, -0.0048417420000000004, -0.00078048056, -0.058733605, -0.0020970174, -0.4417422, -0.68609697, -0.8529095, -0.05656117, -0.0001902296, -0.07162371000000001, -0.049424477, -0.12503663, -0.03375855, -0.13035123, -0.005843437, -0.0038871232, -0.00021037870000000002, -1.3661821000000001e-05, -0.009282103, -3.595572e-05, -0.014345866, -0.24847724000000002, -0.17554411, -6.909574000000001e-05, -5.9679198000000004e-05, -4.9902206e-05, -0.064747736]",,27,1
167," For the school bake sale Maria made 19 cupcakes. If she sold 5 of them and then made 10 more, how many cupcakes would she have? ",24," Maria started with 19 cupcakes. If she sold 5 of them, she would have 19 - 5 = 14. If she then made 10 more, she would have 14 + 10 = 24. The answer is 24.","[' Maria', ' started', ' with', ' 19', ' cup', 'cakes', '.', ' If', ' she', ' sold', ' 5', ' of', ' them', ',', ' she', ' would', ' have', ' 19', ' -', ' 5', ' =', ' 14', '.', ' If', ' she', ' then', ' made', ' 10', ' more', ',', ' she', ' would', ' have', ' 14', ' +', ' 10', ' =', ' 24', '.', ' The', ' answer', ' is', ' 24', '.']","[-0.31127805000000003, -0.7467855, -0.017678726000000002, -0.00021276381, -0.0013474489, -2.2006430000000002e-05, -0.0027454214, -0.8680707999999999, -0.0032958062, -0.012426765000000001, -0.004570638, -0.6745595999999999, -0.00024930925999999996, -0.043653425, -0.29021093000000003, -0.016763369, -0.032207087, -0.006978769, -0.0074278936, -6.337372e-05, -0.024014667, -0.0009101738699999999, -0.6756681, -0.0964539, -0.0005497150699999999, -0.3719226, -5.8845668000000004e-05, -1.3823811999999999e-06, -0.0020192522, -0.0040256544, -0.010493867, -0.0022028042, -0.00065134565, -0.0008304121, -0.00010462556399999999, -6.031526e-06, -0.0006023809, -9.615988e-05, -0.23593369, -0.04173515, -8.924483e-05, -6.051553000000001e-05, -4.46589e-05, -0.0031697522]",,24,1
