,question,answer,response,mapping,response_answer,equations,correct
10," Oliver had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",66,"Solve the problem step by step:
1. Add the number of short sleeve shirts and the number of long sleeve shirts to calculate the total number of shirts. Let x be the total number of shirts,
x = c0 + c1
2. Subtract the number of shirts washed from the total number of shirts to calculate the number of shirts not washed.
answer = x - c2","{'c0': 39.0, 'c1': 47.0, 'c2': 20.0}",66,"['x = c0 + c1', 'answer = x - c2']",1
11, For the school bake sale Wendy made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,9,"Solve the problem step by step:
1. Add the number of cupcakes and the number of cookies to calculate the total number of pastries. Let x be the total number of pastries,
x = c0 + c1
2. Subtract the number of pastries she took back home from the total number of pastries to calculate the number of pastries she sold.
answer = x - c2","{'c0': 4.0, 'c1': 29.0, 'c2': 24.0}",9,"['x = c0 + c1', 'answer = x - c2']",1
12," While on vacation, Debby took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",22,"Solve the problem step by step:
1. Add the number of pictures taken at the zoo and the number taken at the museum to calculate the total number of pictures. Let x be the total number of pictures,
x = c0 + c1
2. Subtract the number of pictures deleted from the total number of pictures to calculate the answer.
answer = x - c2","{'c0': 24.0, 'c1': 12.0, 'c2': 14.0}",22,"['x = c0 + c1', 'answer = x - c2']",1
13," Katie picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Katie pick? ",2,"Solve the problem step by step:
1. Add the number of tulips and roses picked to calculate the total number of flowers picked. Let x be the total number of flowers picked,
x = c0 + c1
2. Subtract the number of flowers used from the total number of flowers picked to calculate the number of extra flowers.
answer = x - c2","{'c0': 3.0, 'c1': 9.0, 'c2': 10.0}",2,"['x = c0 + c1', 'answer = x - c2']",1
14," Faye had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",15,"Solve the problem step by step:
1. Add the number of math problems and the number of science problems to calculate the total number of problems. Let x be the total number of problems,
x = c0 + c1
2. Subtract the number of problems Faye finished at school from the total number of problems to calculate the answer.
answer = x - c2","{'c0': 46.0, 'c1': 9.0, 'c2': 40.0}",15,"['x = c0 + c1', 'answer = x - c2']",1
15," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",2,"Solve the problem step by step:
1. Add the number of music files and the number of video files to calculate the total number of files. Let x be the total number of files,
x = c0 + c1
2. Subtract the number of files deleted from the total number of files to calculate the answer.
answer = x - c2","{'c0': 4.0, 'c1': 21.0, 'c2': 23.0}",2,"['x = c0 + c1', 'answer = x - c2']",1
16," Ned was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",14,"Solve the problem step by step:
1. Add the number of games Ned bought from his friend and the number of games he bought at the garage sale to calculate the total number of games. Let x be the total number of games,
x = c0 + c1
2. Subtract the number of games that didn't work from the total number of games to calculate the number of good games. 
answer = x - c2","{'c0': 11.0, 'c1': 22.0, 'c2': 19.0}",14,"['x = c0 + c1', 'answer = x - c2']",1
17, Chloe was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,86,"Solve the problem step by step:
1. Add the number of points Chloe scored in the first and second rounds to calculate the total points before losing any points. Let x be the total points before losing any points,
x = c0 + c1
2. Subtract the number of points lost in the last round from the total points before losing any points to calculate the answer.
answer = x - c2","{'c0': 40.0, 'c1': 50.0, 'c2': 4.0}",86,"['x = c0 + c1', 'answer = x - c2']",1
18," At the arcade, Tom won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. If he spent c2 of his tickets on a hat, how many tickets does Tom have left? ",50,"Solve the problem step by step:
1. Add the number of tickets Tom won playing 'whack a mole' and 'skee ball' to calculate the total number of tickets. Let x be the total number of tickets,
x = c0 + c1
2. Subtract the number of tickets Tom spent on the hat from the total number of tickets to calculate the answer.
answer = x - c2","{'c0': 32.0, 'c1': 25.0, 'c2': 7.0}",50,"['x = c0 + c1', 'answer = x - c2']",1
19," Bianca and her mom were picking carrots from their garden. Bianca picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",25,"Solve the problem step by step:
1. Add the number of carrots Bianca picked and the number of carrots her mother picked to calculate the total number of carrots. Let x be the total number of carrots,
x = c0 + c1
2. Subtract the number of good carrots from the total number of carrots to calculate the number of bad carrots.
answer = x - c2","{'c0': 26.0, 'c1': 15.0, 'c2': 16.0}",25,"['x = c0 + c1', 'answer = x - c2']",1
20, For the school bake sale Katie made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,4,"Solve the problem step by step:
1. Add the number of cupcakes and the number of cookies to calculate the total number of pastries. Let x be the total number of pastries,
x = c0 + c1
2. Subtract the number of pastries she took back home from the total number of pastries to calculate the number of pastries she sold.
answer = x - c2","{'c0': 7.0, 'c1': 5.0, 'c2': 8.0}",4,"['x = c0 + c1', 'answer = x - c2']",1
21, Zoe bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,68,"Solve the problem step by step:
1. Add the number of pictures in both coloring books to calculate the total number of pictures. Let x be the total number of pictures,
x = c0 + c1
2. Subtract the number of pictures colored from the total number of pictures to calculate the answer.
answer = x - c2","{'c0': 44.0, 'c1': 44.0, 'c2': 20.0}",68,"['x = c0 + c1', 'answer = x - c2']",1
22," John was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",6,"Solve the problem step by step:
1. Add the number of games John bought from his friend and the number of games he bought at the garage sale to calculate the total number of games. Let x be the total number of games,
x = c0 + c1
2. Subtract the number of games that didn't work from the total number of games to calculate the number of good games. 
answer = x - c2","{'c0': 21.0, 'c1': 8.0, 'c2': 23.0}",6,"['x = c0 + c1', 'answer = x - c2']",1
23, Henry had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19,"Solve the problem step by step:
1. Add the amount of money Henry got for his birthday to the amount of money he originally had to calculate his total money. Let x be the total money he had,
x = c0 + c1
2. Subtract the amount of money he spent on the new game from his total money to calculate the answer.
answer = x - c2","{'c0': 11.0, 'c1': 18.0, 'c2': 10.0}",19,"['x = c0 + c1', 'answer = x - c2']",1
24," While on vacation, Gwen took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",55,"Solve the problem step by step:
1. Add the number of pictures taken at the zoo and the number taken at the museum to calculate the total number of pictures. Let x be the total number of pictures,
x = c0 + c1
2. Subtract the number of pictures deleted from the total number of pictures to calculate the answer.
answer = x - c2","{'c0': 41.0, 'c1': 29.0, 'c2': 15.0}",55,"['x = c0 + c1', 'answer = x - c2']",1
25," Sam had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",34,"Solve the problem step by step:
1. Add the number of short sleeve shirts and the number of long sleeve shirts to calculate the total number of shirts. Let x be the total number of shirts,
x = c0 + c1
2. Subtract the number of shirts washed from the total number of shirts to calculate the number of shirts not washed.
answer = x - c2","{'c0': 40.0, 'c1': 23.0, 'c2': 29.0}",34,"['x = c0 + c1', 'answer = x - c2']",1
26, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,12,"Solve the problem step by step:
1. Add the number of siamese cats and the number of house cats to calculate the total number of cats. Let x be the total number of cats,
x = c0 + c1
2. Subtract the number of cats sold during the sale from the total number of cats to calculate the answer.
answer = x - c2","{'c0': 12.0, 'c1': 20.0, 'c2': 20.0}",12,"['x = c0 + c1', 'answer = x - c2']",1
27," Faye and her mom were picking carrots from their garden. Faye picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",16,"Solve the problem step by step:
1. Add the number of carrots Faye picked and the number of carrots her mother picked to calculate the total number of carrots. Let x be the total number of carrots,
x = c0 + c1
2. Subtract the number of good carrots from the total number of carrots to calculate the number of bad carrots.
answer = x - c2","{'c0': 23.0, 'c1': 5.0, 'c2': 12.0}",16,"['x = c0 + c1', 'answer = x - c2']",1
28," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",73,"Solve the problem step by step:
1. Add the number of red apples and the number of green apples to calculate the total number of apples ordered. Let x be the total number of apples ordered,
x = c0 + c1
2. Subtract the number of students who wanted fruit from the total number of apples ordered to calculate the number of extra apples.
answer = x - c2","{'c0': 43.0, 'c1': 32.0, 'c2': 2.0}",73,"['x = c0 + c1', 'answer = x - c2']",1
29," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",17,"Solve the problem step by step:
1. Add the number of girls and the number of boys trying out to calculate the total number of students. Let x be the total number of students,
x = c0 + c1
2. Subtract the number of students who got called back from the total number of students to calculate the number of students who didn't make the cut.
answer = x - c2","{'c0': 39.0, 'c1': 4.0, 'c2': 26.0}",17,"['x = c0 + c1', 'answer = x - c2']",1
30, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,18,"Solve the problem step by step:
1. Add the number of siamese cats and the number of house cats to calculate the total number of cats. Let x be the total number of cats,
x = c0 + c1
2. Subtract the number of cats sold during the sale from the total number of cats to calculate the answer.
answer = x - c2","{'c0': 38.0, 'c1': 25.0, 'c2': 45.0}",18,"['x = c0 + c1', 'answer = x - c2']",1
31, For the school bake sale Paige made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,41,"Solve the problem step by step:
1. Add the number of cupcakes and the number of cookies to calculate the total number of pastries. Let x be the total number of pastries,
x = c0 + c1
2. Subtract the number of pastries she took back home from the total number of pastries to calculate the number of pastries she sold.
answer = x - c2","{'c0': 36.0, 'c1': 9.0, 'c2': 4.0}",41,"['x = c0 + c1', 'answer = x - c2']",1
32, Carol was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,7,"Solve the problem step by step:
1. Add the number of points Carol scored in the first and second rounds to calculate the total points before losing any points. Let x be the total points before losing any points,
x = c0 + c1
2. Subtract the number of points lost in the last round from the total points before losing any points to calculate the answer.
answer = x - c2","{'c0': 17.0, 'c1': 6.0, 'c2': 16.0}",7,"['x = c0 + c1', 'answer = x - c2']",1
33, Gwen bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,36,"Solve the problem step by step:
1. Add the number of pictures in both coloring books to calculate the total number of pictures. Let x be the total number of pictures,
x = c0 + c1
2. Subtract the number of pictures already colored from the total number of pictures to calculate the answer.
answer = x - c2","{'c0': 10.0, 'c1': 39.0, 'c2': 13.0}",36,"['x = c0 + c1', 'answer = x - c2']",1
34," For Halloween Janet and her sister combined the candy they received. Janet had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",63,"Solve the problem step by step:
1. Add the number of candies Janet had and the number of candies her sister had to calculate the total number of candies. Let x be the total number of candies,
x = c0 + c1
2. Subtract the number of candies eaten on the first night from the total number of candies to calculate the number of candies left. 
answer = x - c2","{'c0': 34.0, 'c1': 33.0, 'c2': 4.0}",63,"['x = c0 + c1', 'answer = x - c2']",1
35," Haley and her mom were picking carrots from their garden. Haley picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",13,"Solve the problem step by step:
1. Add the number of carrots Haley picked and the number of carrots her mother picked to calculate the total number of carrots. Let x be the total number of carrots,
x = c0 + c1
2. Subtract the number of good carrots from the total number of carrots to calculate the number of bad carrots.
answer = x - c2","{'c0': 39.0, 'c1': 38.0, 'c2': 64.0}",13,"['x = c0 + c1', 'answer = x - c2']",1
36," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",56,"Solve the problem step by step:
1. Add the number of girls and the number of boys trying out to calculate the total number of students. Let x be the total number of students,
x = c0 + c1
2. Subtract the number of students who got called back from the total number of students to calculate the number of students who didn't make the cut.
answer = x - c2","{'c0': 30.0, 'c1': 36.0, 'c2': 10.0}",56,"['x = c0 + c1', 'answer = x - c2']",1
37, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,15,"Solve the problem step by step:
1. Add the amount of money Roger got for his birthday to the amount of money he originally had to calculate his total money. Let x be his total money,
x = c0 + c1
2. Subtract the amount of money he spent on the new game from his total money to calculate the answer.
answer = x - c2","{'c0': 29.0, 'c1': 20.0, 'c2': 34.0}",15,"['x = c0 + c1', 'answer = x - c2']",1
38," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",5,"Solve the problem step by step:
1. Add the number of short sleeve shirts and the number of long sleeve shirts to calculate the total number of shirts. Let x be the total number of shirts,
x = c0 + c1
2. Subtract the number of shirts washed from the total number of shirts to calculate the number of shirts not washed.
answer = x - c2","{'c0': 29.0, 'c1': 11.0, 'c2': 35.0}",5,"['x = c0 + c1', 'answer = x - c2']",1
39," Edward was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",24,"Solve the problem step by step:
1. Add the number of games Edward bought from his friend and the number of games he bought at the garage sale to calculate the total number of games. Let x be the total number of games,
x = c0 + c1
2. Subtract the number of games that didn't work from the total number of games to calculate the number of good games. 
answer = x - c2","{'c0': 41.0, 'c1': 14.0, 'c2': 31.0}",24,"['x = c0 + c1', 'answer = x - c2']",1
40," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15,"Solve the problem step by step:
1. Add the number of adventure books and the number of mystery books to calculate the total number of books. Let x be the total number of books,
x = c0 + c1
2. Subtract the number of used books from the total number of books to calculate the number of new books. 
answer = x - c2","{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",15,"['x = c0 + c1', 'answer = x - c2']",1
41," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14,"Solve the problem step by step:
1. Add the number of music files and the number of video files to calculate the total number of files. Let x be the total number of files,
x = c0 + c1
2. Subtract the number of files deleted from the total number of files to calculate the answer.
answer = x - c2","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",14,"['x = c0 + c1', 'answer = x - c2']",1
42, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1,"Solve the problem step by step:
1. Add the amount of money Oliver got for his birthday to the amount of money he originally had to calculate the total amount of money he had. Let x be the total amount of money he had,
x = c0 + c1
2. Subtract the amount of money he spent on the new game from the total amount of money he had to calculate the answer.
answer = x - c2","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",1,"['x = c0 + c1', 'answer = x - c2']",1
43, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1,"Solve the problem step by step:
1. Add the number of points Emily scored in the first and second rounds to calculate the total points before losing any points. Let x be the total points before losing any points,
x = c0 + c1
2. Subtract the number of points lost in the last round from the total points before losing any points to calculate the answer.
answer = x - c2","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",1,"['x = c0 + c1', 'answer = x - c2']",1
44," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11,"Solve the problem step by step:
1. Add the number of math problems and the number of science problems to calculate the total number of problems. Let x be the total number of problems,
x = c0 + c1
2. Subtract the number of problems Paige finished at school from the total number of problems to calculate the answer.
answer = x - c2","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",11,"['x = c0 + c1', 'answer = x - c2']",1
45," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",35,"Solve the problem step by step:
1. Add the number of red apples and the number of green apples to calculate the total number of apples ordered. Let x be the total number of apples ordered,
x = c0 + c1
2. Subtract the number of students who wanted fruit from the total number of apples ordered to calculate the number of extra apples.
answer = x - c2","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}",35,"['x = c0 + c1', 'answer = x - c2']",1
46," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",16,"Solve the problem step by step:
1. Add the number of short sleeve shirts and the number of long sleeve shirts to calculate the total number of shirts. Let x be the total number of shirts,
x = c0 + c1
2. Subtract the number of shirts washed from the total number of shirts to calculate the number of shirts not washed.
answer = x - c2","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}",16,"['x = c0 + c1', 'answer = x - c2']",1
47," While on vacation, Rachel took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",4,"Solve the problem step by step:
1. Add the number of pictures Rachel took at the zoo and the number of pictures she took at the museum to calculate the total number of pictures. Let x be the total number of pictures,
x = c0 + c1
2. Subtract the number of pictures deleted from the total number of pictures to calculate the answer.
answer = x - c2","{'c0': 6.0, 'c1': 9.0, 'c2': 11.0}",4,"['x = c0 + c1', 'answer = x - c2']",1
48," Vanessa and her mom were picking carrots from their garden. Vanessa picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7,"Solve the problem step by step:
1. Add the number of carrots Vanessa picked and the number of carrots her mother picked to calculate the total number of carrots. Let x be the total number of carrots,
x = c0 + c1
2. Subtract the number of good carrots from the total number of carrots to calculate the number of bad carrots.
answer = x - c2","{'c0': 17.0, 'c1': 14.0, 'c2': 24.0}",7,"['x = c0 + c1', 'answer = x - c2']",1
49, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,54,"Solve the problem step by step:
1. Add the number of siamese cats and the number of house cats to calculate the total number of cats. Let x be the total number of cats,
x = c0 + c1
2. Subtract the number of cats sold during the sale from the total number of cats to calculate the answer.
answer = x - c2","{'c0': 41.0, 'c1': 28.0, 'c2': 15.0}",54,"['x = c0 + c1', 'answer = x - c2']",1
50," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15,"Solve the problem step by step:
1. Add the number of adventure books and the number of mystery books to calculate the total number of books. Let x be the total number of books,
x = c0 + c1
2. Subtract the number of used books from the total number of books to calculate the number of new books. 
answer = x - c2","{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",15,"['x = c0 + c1', 'answer = x - c2']",1
51," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14,"Solve the problem step by step:
1. Add the number of music files and the number of video files to calculate the total number of files. Let x be the total number of files,
x = c0 + c1
2. Subtract the number of files deleted from the total number of files to calculate the answer.
answer = x - c2","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",14,"['x = c0 + c1', 'answer = x - c2']",1
52, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1,"Solve the problem step by step:
1. Add the amount of money Oliver got for his birthday to the amount of money he originally had to calculate his total amount of money. Let x be the total amount of money,
x = c0 + c1
2. Subtract the amount of money Oliver spent on the new game from his total amount of money to calculate the answer.
answer = x - c2","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",1,"['x = c0 + c1', 'answer = x - c2']",1
53, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1,"Solve the problem step by step:
1. Add the number of points Emily scored in the first and second rounds to calculate the total points before losing any points. Let x be the total points before losing any points,
x = c0 + c1
2. Subtract the number of points lost in the last round from the total points before losing any points to calculate the answer.
answer = x - c2","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",1,"['x = c0 + c1', 'answer = x - c2']",1
54," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11,"Solve the problem step by step:
1. Add the number of math problems and the number of science problems to calculate the total number of problems. Let x be the total number of problems,
x = c0 + c1
2. Subtract the number of problems Paige finished at school from the total number of problems to calculate the answer.
answer = x - c2","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",11,"['x = c0 + c1', 'answer = x - c2']",1
55," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",35,"Solve the problem step by step:
1. Add the number of red apples and the number of green apples to calculate the total number of apples ordered. Let x be the total number of apples ordered,
x = c0 + c1
2. Subtract the number of students who wanted fruit from the total number of apples ordered to calculate the number of extra apples.
answer = x - c2","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}",35,"['x = c0 + c1', 'answer = x - c2']",1
56," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",16,"Solve the problem step by step:
1. Add the number of short sleeve shirts and the number of long sleeve shirts to calculate the total number of shirts. Let x be the total number of shirts,
x = c0 + c1
2. Subtract the number of shirts washed from the total number of shirts to calculate the number of shirts not washed.
answer = x - c2","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}",16,"['x = c0 + c1', 'answer = x - c2']",1
57," While on vacation, Rachel took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",4,"Solve the problem step by step:
1. Add the number of pictures Rachel took at the zoo and the number of pictures she took at the museum to calculate the total number of pictures. Let x be the total number of pictures,
x = c0 + c1
2. Subtract the number of pictures deleted from the total number of pictures to calculate the answer.
answer = x - c2","{'c0': 6.0, 'c1': 9.0, 'c2': 11.0}",4,"['x = c0 + c1', 'answer = x - c2']",1
58," Vanessa and her mom were picking carrots from their garden. Vanessa picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7,"Solve the problem step by step:
1. Add the number of carrots Vanessa picked and the number of carrots her mother picked to calculate the total number of carrots. Let x be the total number of carrots,
x = c0 + c1
2. Subtract the number of good carrots from the total number of carrots to calculate the number of bad carrots.
answer = x - c2","{'c0': 17.0, 'c1': 14.0, 'c2': 24.0}",7,"['x = c0 + c1', 'answer = x - c2']",1
59, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,54,"Solve the problem step by step:
1. Add the number of siamese cats and the number of house cats to calculate the total number of cats. Let x be the total number of cats,
x = c0 + c1
2. Subtract the number of cats sold during the sale from the total number of cats to calculate the answer.
answer = x - c2","{'c0': 41.0, 'c1': 28.0, 'c2': 15.0}",54,"['x = c0 + c1', 'answer = x - c2']",1
60," Janet picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Janet pick? ",4,"Solve the problem step by step:
1. Add the number of tulips and roses picked to calculate the total number of flowers picked. Let x be the total number of flowers picked,
x = c0 + c1
2. Subtract the number of flowers used from the total number of flowers picked to calculate the number of extra flowers.
answer = x - c2","{'c0': 4.0, 'c1': 11.0, 'c2': 11.0}",4,"['x = c0 + c1', 'answer = x - c2']",1
