,question,answer,response,mapping,response_answer,equations,correct
10," Oliver had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",66,"Oliver had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
shirts_not_washed = c0 + c1 - c2
The answer is shirts_not_washed.","{'c0': 39.0, 'c1': 47.0, 'c2': 20.0}",66,"['shirts_not_washed =  c0 + c1 - c2', 'answer = shirts_not_washed']",1
11, For the school bake sale Wendy made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,9,"Wendy made c0 cupcakes and c1 cookies. Let's call the total number of pastries she made ""total_pastries"". 
total_pastries = c0 + c1
If she took c2 pastries back home, then she must have sold total_pastries - c2 pastries. 
pastries_sold = total_pastries - c2
The answer is pastries_sold.","{'c0': 4.0, 'c1': 29.0, 'c2': 24.0}",9,"['total_pastries =  c0 + c1', 'pastries_sold =  total_pastries - c2', 'answer = pastries_sold']",1
12," While on vacation, Debby took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",22,"Debby took c0 pictures at the zoo and c1 at the museum, so she had a total of c0 + c1 pictures. After deleting c2 pictures, she had c0 + c1 - c2 pictures left. 
remaining_pictures = c0 + c1 - c2
The answer is remaining_pictures.","{'c0': 24.0, 'c1': 12.0, 'c2': 14.0}",22,"['remaining_pictures =  c0 + c1 - c2', 'answer = remaining_pictures']",1
13," Katie picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Katie pick? ",2,"Katie picked c0 tulips and c1 roses, so she picked a total of c0 + c1 flowers. If she only used c2 of them, then she had c0 + c1 - c2 extra flowers. 
extra_flowers = c0 + c1 - c2
The answer is extra_flowers.","{'c0': 3.0, 'c1': 9.0, 'c2': 10.0}",2,"['extra_flowers =  c0 + c1 - c2', 'answer = extra_flowers']",1
14," Faye had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",15,"Faye had c0 math problems and c1 science problems. She finished c2 problems at school. So she has c0 + c1 - c2 problems left to do for homework. 
homework_problems = c0 + c1 - c2
The answer is homework_problems.","{'c0': 46.0, 'c1': 9.0, 'c2': 40.0}",15,"['homework_problems =  c0 + c1 - c2', 'answer = homework_problems']",1
15," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",2,"Amy had c0 + c1 files in total. After deleting c2 files, she had c0 + c1 - c2 files left. 
remaining_files = c0 + c1 - c2
The answer is remaining_files.","{'c0': 4.0, 'c1': 21.0, 'c2': 23.0}",2,"['remaining_files =  c0 + c1 - c2', 'answer = remaining_files']",1
16," Ned was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",14,"Ned started with c0 games. He bought c1 more, so he had c0 + c1 games in total. 
total_games = c0 + c1
If c2 of the games didn't work, he had total_games - c2 good games left. 
good_games = total_games - c2
The answer is good_games.","{'c0': 11.0, 'c1': 22.0, 'c2': 19.0}",14,"['total_games =  c0 + c1', 'good_games =  total_games - c2', 'answer = good_games']",1
17, Chloe was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,86,"Chloe scored c0 points in the first round and c1 points in the second round. So her total score before losing points is c0 + c1. After losing c2 points, her final score is c0 + c1 - c2. 
final_score = c0 + c1 - c2
The answer is final_score.","{'c0': 40.0, 'c1': 50.0, 'c2': 4.0}",86,"['final_score =  c0 + c1 - c2', 'answer = final_score']",1
18," At the arcade, Tom won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. If he spent c2 of his tickets on a hat, how many tickets does Tom have left? ",50,"Tom won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. In total, he had c0 + c1 tickets. After spending c2 tickets on a hat, he has c0 + c1 - c2 tickets left. 
tickets_remaining = c0 + c1 - c2
The answer is tickets_remaining.","{'c0': 32.0, 'c1': 25.0, 'c2': 7.0}",50,"['tickets_remaining =  c0 + c1 - c2', 'answer = tickets_remaining']",1
19," Bianca and her mom were picking carrots from their garden. Bianca picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",25,"Bianca picked c0 carrots and her mother picked c1. So they had c0 + c1 carrots in total. If only c2 of them were good, then the rest must be bad. 
bad_carrots = c0 + c1 - c2
The answer is bad_carrots.","{'c0': 26.0, 'c1': 15.0, 'c2': 16.0}",25,"['bad_carrots =  c0 + c1 - c2', 'answer = bad_carrots']",1
20, For the school bake sale Katie made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,4,"Katie made c0 cupcakes and c1 cookies. Let's call the total number of pastries she made ""total_pastries"". 
total_pastries = c0 + c1
After the sale, she had c2 pastries left. So the number of pastries she sold is total_pastries - c2. 
pastries_sold = total_pastries - c2
The answer is pastries_sold.","{'c0': 7.0, 'c1': 5.0, 'c2': 8.0}",4,"['total_pastries =  c0 + c1', 'pastries_sold =  total_pastries - c2', 'answer = pastries_sold']",1
21, Zoe bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,68,"Zoe had c0 pictures in one coloring book and c1 pictures in the other, so she had a total of c0 + c1 pictures. After coloring c2 pictures, she still has c0 + c1 - c2 pictures left to color. 
pictures_left = c0 + c1 - c2
The answer is pictures_left.","{'c0': 44.0, 'c1': 44.0, 'c2': 20.0}",68,"['pictures_left =  c0 + c1 - c2', 'answer = pictures_left']",1
22," John was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",6,"John started with c0 games. He bought c1 more, so he had c0 + c1 games in total. But c2 of them didn't work, so he had c0 + c1 - c2 good games left. 
good_games = c0 + c1 - c2
The answer is good_games.","{'c0': 21.0, 'c1': 8.0, 'c2': 23.0}",6,"['good_games =  c0 + c1 - c2', 'answer = good_games']",1
23, Henry had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19,"Henry started with c0 dollars. He got c1 more dollars for his birthday, so he had c0 + c1 dollars. After spending c2 on a new game, he had c0 + c1 - c2 dollars left. 
money_remaining = c0 + c1 - c2
The answer is money_remaining.","{'c0': 11.0, 'c1': 18.0, 'c2': 10.0}",19,"['money_remaining =  c0 + c1 - c2', 'answer = money_remaining']",1
24," While on vacation, Gwen took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",55,"Gwen took c0 pictures at the zoo and c1 at the museum, so she had a total of c0 + c1 pictures. After deleting c2 pictures, she had c0 + c1 - c2 pictures left. 
remaining_pictures = c0 + c1 - c2
The answer is remaining_pictures.","{'c0': 41.0, 'c1': 29.0, 'c2': 15.0}",55,"['remaining_pictures =  c0 + c1 - c2', 'answer = remaining_pictures']",1
25," Sam had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",34,"Sam had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
shirts_not_washed = c0 + c1 - c2
The answer is shirts_not_washed.","{'c0': 40.0, 'c1': 23.0, 'c2': 29.0}",34,"['shirts_not_washed =  c0 + c1 - c2', 'answer = shirts_not_washed']",1
26, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,12,"The pet store had c0 siamese cats and c1 house cats, so they had a total of c0 + c1 cats. After selling c2 cats, they have c0 + c1 - c2 cats left. 
cats_remaining = c0 + c1 - c2
The answer is cats_remaining.","{'c0': 12.0, 'c1': 20.0, 'c2': 20.0}",12,"['cats_remaining =  c0 + c1 - c2', 'answer = cats_remaining']",1
27," Faye and her mom were picking carrots from their garden. Faye picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",16,"Faye picked c0 carrots and her mother picked c1. So they had a total of c0 + c1 carrots. If only c2 of them were good, then the rest must be bad. 
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 23.0, 'c1': 5.0, 'c2': 12.0}",16,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']",1
28," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",73,"The cafeteria ordered c0 + c1 apples in total. But only c2 students wanted fruit, so they only needed c2 apples. The difference between what they ordered and what they needed is the extra apples. 
extra_apples = (c0 + c1) - c2
The answer is extra_apples.","{'c0': 43.0, 'c1': 32.0, 'c2': 2.0}",73,"['extra_apples =  (c0 + c1) - c2', 'answer = extra_apples']",1
29," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",17,"There were c0 + c1 students trying out in total. c2 of them got called back, so c0 + c1 - c2 students didn't make the cut. 
students_not_making_cut = c0 + c1 - c2
The answer is students_not_making_cut.","{'c0': 39.0, 'c1': 4.0, 'c2': 26.0}",17,"['students_not_making_cut =  c0 + c1 - c2', 'answer = students_not_making_cut']",1
30, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,18,"The pet store had c0 siamese cats and c1 house cats, so they had a total of c0 + c1 cats. After selling c2 cats, they have c0 + c1 - c2 cats left. 
cats_remaining = c0 + c1 - c2
The answer is cats_remaining.","{'c0': 38.0, 'c1': 25.0, 'c2': 45.0}",18,"['cats_remaining =  c0 + c1 - c2', 'answer = cats_remaining']",1
31, For the school bake sale Paige made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,41,"Paige made c0 cupcakes and c1 cookies. She took c2 pastries back home, so she must have sold c0 + c1 - c2 pastries. 
pastries_sold = c0 + c1 - c2
The answer is pastries_sold.","{'c0': 36.0, 'c1': 9.0, 'c2': 4.0}",41,"['pastries_sold =  c0 + c1 - c2', 'answer = pastries_sold']",1
32, Carol was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,7,"Carol scored c0 points in the first round and c1 points in the second round. So her total score before losing points in the last round is c0 + c1. After losing c2 points in the last round, her final score is c0 + c1 - c2. 
final_score = c0 + c1 - c2
The answer is final_score.","{'c0': 17.0, 'c1': 6.0, 'c2': 16.0}",7,"['final_score =  c0 + c1 - c2', 'answer = final_score']",1
33, Gwen bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,36,"Gwen had c0 pictures in one coloring book and c1 pictures in the other, so she had a total of c0 + c1 pictures. After coloring c2 pictures, she still has c0 + c1 - c2 pictures left to color. 
pictures_left = c0 + c1 - c2
The answer is pictures_left.","{'c0': 10.0, 'c1': 39.0, 'c2': 13.0}",36,"['pictures_left =  c0 + c1 - c2', 'answer = pictures_left']",1
34," For Halloween Janet and her sister combined the candy they received. Janet had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",63,"Janet had c0 pieces of candy and her sister had c1. In total, they had c0 + c1 pieces of candy. After eating c2 pieces, they have c0 + c1 - c2 pieces left. 
remaining_candy = c0 + c1 - c2
The answer is remaining_candy.","{'c0': 34.0, 'c1': 33.0, 'c2': 4.0}",63,"['remaining_candy =  c0 + c1 - c2', 'answer = remaining_candy']",1
35," Haley and her mom were picking carrots from their garden. Haley picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",13,"Haley picked c0 carrots and her mother picked c1. So they had c0 + c1 carrots in total. If only c2 of them were good, then the rest must be bad. 
bad_carrots = c0 + c1 - c2
The answer is bad_carrots.","{'c0': 39.0, 'c1': 38.0, 'c2': 64.0}",13,"['bad_carrots =  c0 + c1 - c2', 'answer = bad_carrots']",1
36," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",56,"There were c0 + c1 students trying out in total. c2 of them got called back, so c0 + c1 - c2 students didn't make the cut. 
students_not_called_back = c0 + c1 - c2
The answer is students_not_called_back.","{'c0': 30.0, 'c1': 36.0, 'c2': 10.0}",56,"['students_not_called_back =  c0 + c1 - c2', 'answer = students_not_called_back']",1
37, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,15,"Roger started with c0 dollars. He got c1 more dollars for his birthday, so he had c0 + c1 dollars. After spending c2 on a new game, he had c0 + c1 - c2 dollars left. 
money_remaining = c0 + c1 - c2
The answer is money_remaining.","{'c0': 29.0, 'c1': 20.0, 'c2': 34.0}",15,"['money_remaining =  c0 + c1 - c2', 'answer = money_remaining']",1
38," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",5,"Dave had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
shirts_not_washed = c0 + c1 - c2
The answer is shirts_not_washed.","{'c0': 29.0, 'c1': 11.0, 'c2': 35.0}",5,"['shirts_not_washed =  c0 + c1 - c2', 'answer = shirts_not_washed']",1
39," Edward was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",24,"Edward started with c0 games. He bought c1 more, so he had c0 + c1 games in total. But c2 of them didn't work, so he ended up with c0 + c1 - c2 good games. 
good_games = c0 + c1 - c2
The answer is good_games.","{'c0': 41.0, 'c1': 14.0, 'c2': 31.0}",24,"['good_games =  c0 + c1 - c2', 'answer = good_games']",1
40," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15,"Sam bought c0 adventure books and c1 mystery books, so he bought a total of c0 + c1 books. If c2 of the books were used, then he must have bought c0 + c1 - c2 new books. 
new_books = c0 + c1 - c2
The answer is new_books.","{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",15,"['new_books =  c0 + c1 - c2', 'answer = new_books']",1
41," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14,"Amy had c0 + c1 files in total. After deleting c2 files, she had c0 + c1 - c2 files left. 
remaining_files = c0 + c1 - c2
The answer is remaining_files.","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",14,"['remaining_files =  c0 + c1 - c2', 'answer = remaining_files']",1
42, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1,"Oliver started with c0 dollars. He got c1 more dollars for his birthday, so he had c0 + c1 dollars. After spending c2 on a new game, he had c0 + c1 - c2 dollars left. 
money_remaining = c0 + c1 - c2
The answer is money_remaining.","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",1,"['money_remaining =  c0 + c1 - c2', 'answer = money_remaining']",1
43, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1,"Emily scored c0 points in the first round and c1 points in the second round. So her total score before losing points was c0 + c1. After losing c2 points, her final score is c0 + c1 - c2. 
final_score = c0 + c1 - c2
The answer is final_score.","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",1,"['final_score =  c0 + c1 - c2', 'answer = final_score']",1
44," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11,"Paige had c0 math problems and c1 science problems. She finished c2 problems at school. So she has c0 + c1 - c2 problems left to do for homework. 
homework_problems = c0 + c1 - c2
The answer is homework_problems.","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",11,"['homework_problems =  c0 + c1 - c2', 'answer = homework_problems']",1
45," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",35,"The cafeteria ordered c0 red apples and c1 green apples, for a total of c0 + c1 apples. But only c2 students wanted fruit, so they only needed c2 apples. 
apples_needed = c2
The cafeteria ended up with extra apples, which is the difference between the total ordered and the amount needed. 
extra_apples = (c0 + c1) - apples_needed
The answer is extra_apples.","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}",35,"['apples_needed =  c2', 'extra_apples =  (c0 + c1) - apples_needed', 'answer = extra_apples']",1
46," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",16,"Dave had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
shirts_not_washed = c0 + c1 - c2
The answer is shirts_not_washed.","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}",16,"['shirts_not_washed =  c0 + c1 - c2', 'answer = shirts_not_washed']",1
47," While on vacation, Rachel took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",4,"Rachel took c0 + c1 pictures in total. After deleting c2 pictures, she had c0 + c1 - c2 pictures left. 
remaining_pictures = c0 + c1 - c2
The answer is remaining_pictures.","{'c0': 6.0, 'c1': 9.0, 'c2': 11.0}",4,"['remaining_pictures =  c0 + c1 - c2', 'answer = remaining_pictures']",1
48," Vanessa and her mom were picking carrots from their garden. Vanessa picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7,"Vanessa picked c0 carrots and her mother picked c1. So they had c0 + c1 carrots in total. If only c2 of them were good, then the rest must be bad. 
bad_carrots = c0 + c1 - c2
The answer is bad_carrots.","{'c0': 17.0, 'c1': 14.0, 'c2': 24.0}",7,"['bad_carrots =  c0 + c1 - c2', 'answer = bad_carrots']",1
49, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,54,"The pet store had c0 siamese cats and c1 house cats, so they had a total of c0 + c1 cats. After selling c2 cats, they have c0 + c1 - c2 cats left. 
cats_remaining = c0 + c1 - c2
The answer is cats_remaining.","{'c0': 41.0, 'c1': 28.0, 'c2': 15.0}",54,"['cats_remaining =  c0 + c1 - c2', 'answer = cats_remaining']",1
50," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15,"Sam bought c0 adventure books and c1 mystery books, so he bought a total of c0 + c1 books. If c2 of the books were used, then he must have bought c0 + c1 - c2 new books. 
new_books = c0 + c1 - c2
The answer is new_books.","{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",15,"['new_books =  c0 + c1 - c2', 'answer = new_books']",1
51," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14,"Amy had c0 + c1 files in total. After deleting c2 files, she had c0 + c1 - c2 files left. 
remaining_files = c0 + c1 - c2
The answer is remaining_files.","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",14,"['remaining_files =  c0 + c1 - c2', 'answer = remaining_files']",1
52, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1,"Oliver started with c0 dollars. He got c1 more dollars for his birthday, so he had c0 + c1 dollars. After spending c2 on a new game, he has c0 + c1 - c2 dollars left. 
money_remaining = c0 + c1 - c2
The answer is money_remaining.","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",1,"['money_remaining =  c0 + c1 - c2', 'answer = money_remaining']",1
53, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1,"Emily scored c0 points in the first round and c1 points in the second round. So her total score before losing points was c0 + c1. After losing c2 points, her final score is c0 + c1 - c2. 
final_score = c0 + c1 - c2
The answer is final_score.","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",1,"['final_score =  c0 + c1 - c2', 'answer = final_score']",1
54," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11,"Paige had c0 math problems and c1 science problems. She finished c2 problems at school. So she has c0 + c1 - c2 problems left to do for homework. 
homework_problems = c0 + c1 - c2
The answer is homework_problems.","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",11,"['homework_problems =  c0 + c1 - c2', 'answer = homework_problems']",1
55," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",35,"The cafeteria ordered c0 + c1 apples in total. But only c2 students wanted fruit, so they only needed c2 apples. The difference between what they ordered and what they needed is the extra apples. 
extra_apples = (c0 + c1) - c2
The answer is extra_apples.","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}",35,"['extra_apples =  (c0 + c1) - c2', 'answer = extra_apples']",1
56," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",16,"Dave had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
shirts_not_washed = c0 + c1 - c2
The answer is shirts_not_washed.","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}",16,"['shirts_not_washed =  c0 + c1 - c2', 'answer = shirts_not_washed']",1
57," While on vacation, Rachel took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",4,"Rachel took c0 + c1 pictures in total. After deleting c2 pictures, she had c0 + c1 - c2 pictures left. 
remaining_pictures = c0 + c1 - c2
The answer is remaining_pictures.","{'c0': 6.0, 'c1': 9.0, 'c2': 11.0}",4,"['remaining_pictures =  c0 + c1 - c2', 'answer = remaining_pictures']",1
58," Vanessa and her mom were picking carrots from their garden. Vanessa picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7,"Vanessa picked c0 carrots and her mother picked c1. So they had c0 + c1 carrots in total. If only c2 of them were good, then the rest must be bad. 
bad_carrots = c0 + c1 - c2
The answer is bad_carrots.","{'c0': 17.0, 'c1': 14.0, 'c2': 24.0}",7,"['bad_carrots =  c0 + c1 - c2', 'answer = bad_carrots']",1
59, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,54,"The pet store had c0 siamese cats and c1 house cats, so they had a total of c0 + c1 cats. After selling c2 cats, they have c0 + c1 - c2 cats left. 
cats_remaining = c0 + c1 - c2
The answer is cats_remaining.","{'c0': 41.0, 'c1': 28.0, 'c2': 15.0}",54,"['cats_remaining =  c0 + c1 - c2', 'answer = cats_remaining']",1
60," Janet picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Janet pick? ",4,"Janet picked c0 tulips and c1 roses, so she picked a total of c0 + c1 flowers. If she only used c2 of them, then she had c0 + c1 - c2 extra flowers. 
extra_flowers = c0 + c1 - c2
The answer is extra_flowers.","{'c0': 4.0, 'c1': 11.0, 'c2': 11.0}",4,"['extra_flowers =  c0 + c1 - c2', 'answer = extra_flowers']",1
61," Vanessa had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",33,"Vanessa had c0 + c1 total files on her flash drive. After deleting c2 files, she had c0 + c1 - c2 files remaining. 
remaining_files = c0 + c1 - c2
The answer is remaining_files.","{'c0': 13.0, 'c1': 30.0, 'c2': 10.0}",33,"['remaining_files =  c0 + c1 - c2', 'answer = remaining_files']",1
