,question,answer,response,mapping,response_answer,equations
37, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,15.0," Roger had c0 dollars. He got c1 more dollars, but he spent c2 dollars on a new game. So he has c0 + c1 - c2 dollars now. 
money_now = c0 + c1 - c2
The answer is money_now.","{'c0': 29.0, 'c1': 20.0, 'c2': 34.0}",15.0,"['money_now =  c0 + c1 - c2', 'answer = money_now']"
38," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",5.0," Dave had to wash c0 + c1 shirts in total. But he only washed c2 of them. So he must not have washed c0 + c1 - c2 shirts.
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 29.0, 'c1': 11.0, 'c2': 35.0}",5.0,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']"
39," Edward was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",24.0," Edward had c0 games to start with. Then he bought c1 more, for a total of c0 + c1. But c2 of them didn't work, so he ended up with c0 + c1 - c2 good games. 
good_games = c0 + c1 - c2
The answer is good_games.","{'c0': 41.0, 'c1': 14.0, 'c2': 31.0}",24.0,"['good_games =  c0 + c1 - c2', 'answer = good_games']"
40," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15.0, Sam bought c0 + c1 - c2 books in total.,"{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",,[]
41," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14.0," Amy had c0 music files and c1 video files originally. She deleted c2 files in total. So there are c0 + c1 - c2 files remaining. 
files_remaining = c0 + c1 - c2
The answer is files_remaining.","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",14.0,"['files_remaining =  c0 + c1 - c2', 'answer = files_remaining']"
42, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1.0," Oliver had c0 dollars. He got c1 more dollars, but he spent c2 dollars on a new game. So he has c0 + c1 - c2 dollars now. 
money_now = c0 + c1 - c2
The answer is money_now.","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",1.0,"['money_now =  c0 + c1 - c2', 'answer = money_now']"
43, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1.0," Emily had c0 points in the first round. Then she had c1 points in the second round. So at the beginning of the last round she had c1 + c0 points. Then she lost c2 points in the last round. So at the end of the game she had c1 + c0 - c2 points. 
end_points = c1 + c0 - c2
The answer is end_points.","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",1.0,"['end_points =  c1 + c0 - c2', 'answer = end_points']"
44," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11.0," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, she would have c0 - c2 math problems and c1 - c2 science problems for homework.","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",,[]
45," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",35.0," 

There were c0 red apples and c1 green apples ordered. But only c2 students wanted fruit, so the cafeteria ended up with c2 - (c0 + c1) extra apples.","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}",,[]
46," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",16.0," Dave had to wash c0 + c1 shirts in total. But he only washed c2 of them. So he must not have washed c0 + c1 - c2 shirts.
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}",16.0,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']"
47," While on vacation, Rachel took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",4.0," Rachel took c0 + c1 pictures on vacation. She then deleted c2 pictures. So she would have (c0 + c1) - c2 pictures left. 
vacation_pictures = (c0 + c1) - c2
The answer is vacation_pictures.","{'c0': 6.0, 'c1': 9.0, 'c2': 11.0}",4.0,"['vacation_pictures =  (c0 + c1) - c2', 'answer = vacation_pictures']"
48," Vanessa and her mom were picking carrots from their garden. Vanessa picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7.0," Vanessa and her mom picked c0 and c1 carrots, but only c2 were good. So they must have had c0 + c1 - c2 bad carrots.
bad_carrots = c0 + c1 - c2
The answer is bad_carrots.","{'c0': 17.0, 'c1': 14.0, 'c2': 24.0}",7.0,"['bad_carrots =  c0 + c1 - c2', 'answer = bad_carrots']"
49, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,54.0," There were c0 + c1 cats to start with. Then they sold c2 cats. So they have (c0 + c1) - c2 cats left. 
leftover_cats = (c0 + c1) - c2
The answer is leftover_cats.","{'c0': 41.0, 'c1': 28.0, 'c2': 15.0}",54.0,"['leftover_cats =  (c0 + c1) - c2', 'answer = leftover_cats']"
50," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15.0, Sam bought c0 + c1 - c2 books in total.,"{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",,[]
51," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14.0," Amy had c0 music files and c1 video files originally. She deleted c2 files in total. So there are c0 + c1 - c2 files remaining. 
files_remaining = c0 + c1 - c2
The answer is files_remaining.","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",14.0,"['files_remaining =  c0 + c1 - c2', 'answer = files_remaining']"
52, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1.0," Oliver had c0 dollars. He got c1 more dollars, but he spent c2 dollars on a new game. So he has c0 + c1 - c2 dollars now. 
money_now = c0 + c1 - c2
The answer is money_now.","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",1.0,"['money_now =  c0 + c1 - c2', 'answer = money_now']"
53, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1.0," Emily had c0 points in the first round. Then she had c1 points in the second round. So at the beginning of the last round she had c1 + c0 points. Then she lost c2 points in the last round. So at the end of the game she had c1 + c0 - c2 points. 
end_points = c1 + c0 - c2
The answer is end_points.","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",1.0,"['end_points =  c1 + c0 - c2', 'answer = end_points']"
54," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11.0," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, she would have c0 - c2 math problems and c1 - c2 science problems for homework.","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",,[]
55," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",35.0," 

There were c0 red apples and c1 green apples ordered. But only c2 students wanted fruit, so the cafeteria ended up with c2 - (c0 + c1) extra apples.","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}",,[]
56," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",16.0," Dave had to wash c0 + c1 shirts in total. But he only washed c2 of them. So he must not have washed c0 + c1 - c2 shirts.
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}",16.0,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']"
57," While on vacation, Rachel took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",4.0," Rachel took c0 + c1 pictures on vacation. She then deleted c2 pictures. So she would have (c0 + c1) - c2 pictures left. 
vacation_pictures = (c0 + c1) - c2
The answer is vacation_pictures.","{'c0': 6.0, 'c1': 9.0, 'c2': 11.0}",4.0,"['vacation_pictures =  (c0 + c1) - c2', 'answer = vacation_pictures']"
58," Vanessa and her mom were picking carrots from their garden. Vanessa picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7.0," Vanessa and her mom picked c0 and c1 carrots, but only c2 were good. So they must have had c0 + c1 - c2 bad carrots.
bad_carrots = c0 + c1 - c2
The answer is bad_carrots.","{'c0': 17.0, 'c1': 14.0, 'c2': 24.0}",7.0,"['bad_carrots =  c0 + c1 - c2', 'answer = bad_carrots']"
59, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,54.0," There were c0 + c1 cats to start with. Then they sold c2 cats. So they have (c0 + c1) - c2 cats left. 
leftover_cats = (c0 + c1) - c2
The answer is leftover_cats.","{'c0': 41.0, 'c1': 28.0, 'c2': 15.0}",54.0,"['leftover_cats =  (c0 + c1) - c2', 'answer = leftover_cats']"
60," Janet picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Janet pick? ",4.0," Janet picked c0 tulips and c1 roses. She used c2 flowers in total. So she must have c2 - c0 - c1 extra flowers.
extra_flowers = c2 - c0 - c1
The answer is extra_flowers.","{'c0': 4.0, 'c1': 11.0, 'c2': 11.0}",-4.0,"['extra_flowers =  c2 - c0 - c1', 'answer = extra_flowers']"
61," Vanessa had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",33.0," Vanessa had c0 music files and c1 video files on her flash drive. She deleted c2 files in total. So there are c0 + c1 - c2 files remaining on her flash drive. 
remaining_files = c0 + c1 - c2
The answer is remaining_files.","{'c0': 13.0, 'c1': 30.0, 'c2': 10.0}",33.0,"['remaining_files =  c0 + c1 - c2', 'answer = remaining_files']"
62, Debby bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,23.0," Debby bought two coloring books. One had c0 pictures and the other had c1. So in total she bought c0 + c1 pictures. After one week she had already colored c2 pictures. So she still has to color (c0 + c1) - c2 pictures. 

pictures_left = (c0 + c1) - c2
The answer is pictures_left.","{'c0': 16.0, 'c1': 40.0, 'c2': 33.0}",23.0,"['pictures_left =  (c0 + c1) - c2', 'answer = pictures_left']"
63," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",9.0," 

There were c0 red apples and c1 green apples ordered. But only c2 students wanted fruit, so the cafeteria ended up with c2 - (c0 + c1) extra apples.

extra_apples = c2 - (c0 + c1)

The answer is extra_apples.","{'c0': 8.0, 'c1': 43.0, 'c2': 42.0}",-9.0,"['extra_apples =  c2 - (c0 + c1)', 'answer = extra_apples']"
64," Edward started his own lawn mowing business. In the spring he made c0 dollars mowing lawns and in the summer he made c1 dollars. If he had to spend c2 dollars buying supplies, how much money did he end up with? ",24.0," Edward made c0 dollars in the spring and c1 dollars in the summer. He spent c2 dollars on supplies. So his total profit was c0 + c1 - c2. 
profit = c0 + c1 - c2
The answer is profit.","{'c0': 2.0, 'c1': 27.0, 'c2': 5.0}",24.0,"['profit =  c0 + c1 - c2', 'answer = profit']"
65, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,28.0," There were c0 + c1 cats to start with. Then they sold c2 cats. So they have (c0 + c1) - c2 cats left. 
leftover_cats = (c0 + c1) - c2
The answer is leftover_cats.","{'c0': 36.0, 'c1': 18.0, 'c2': 26.0}",28.0,"['leftover_cats =  (c0 + c1) - c2', 'answer = leftover_cats']"
