,question,answer,response,mapping,response_answer,equations,
10,c0 birds were sitting on the fence. c1 more storks and c2 more birds came to join them.How many more storks than birds are sitting on the fence?,1,"There were originally c0 birds on the fence. Then c1 more storks and c2 more birds joined, making a total of c0 + c1 + c2 birds on the fence. 
total_birds = c0 + c1 + c2
The number of storks is c1, and the number of birds (not including storks) is c0 + c2. So the difference between the number of storks and the number of birds is c1 - (c0 + c2). 
storks_minus_birds = c1 - (c0 + c2)
The answer is storks_minus_birds.","{'c0': 3.0, 'c1': 6.0, 'c2': 2.0}",1,"['total_birds =  c0 + c1 + c2', 'storks_minus_birds =  c1 - (c0 + c2)', 'answer = storks_minus_birds']",1
11,They decided to hold the party in their backyard. If they have c0 sets of tables and each set has c1 chairsHow many chairs do they have in the backyard?,143,"They have c0 sets of tables, and each set has c1 chairs. So the total number of chairs is c0 * c1. 
total_chairs = c0 * c1
The answer is total_chairs.","{'c0': 11.0, 'c1': 13.0}",143,"['total_chairs =  c0 * c1', 'answer = total_chairs']",1
12,In a school there are c0 more girls than boys. If there are c1 girlsHow many pupils are there in that school?,926,"Let's assume there are b boys in the school. Then the number of girls would be b + c0 (since there are c0 more girls than boys). 
So the total number of pupils in the school would be b + b + c0 = 2b + c0. 
But we also know that there are c1 girls in the school. So we can set up an equation: 
c1 = b + c0 
Solving for b, we get: 
b = c1 - c0 
Substituting this value of b into the expression for the total number of pupils, we get: 
total_pupils = 2b + c0 = 2(c1 - c0) + c0 = 2c1 - c0 
The answer is 2c1 - c0.","{'c0': 458.0, 'c1': 692.0}",926,"['c0 =  2b + c0. ', 'c1 =  b + c0 ', 'b =  c1 - c0 ', 'total_pupils =  2b + c0 ', 'answer = 2c1 - c0']",1
13,After resting they decided to go for a swim. The depth of the water is c0 times Dean's height. Dean is c1 feet taller than Ron. If Ron stands at c2 feetHow deep was the water?,255,"If the depth of the water is c0 times Dean's height, and Dean is c1 feet taller than Ron, then Dean's height is c2 + c1 feet. So the depth of the water is c0 times (c2 + c1) feet. 
water_depth = c0 * (c2 + c1)
The answer is water_depth.","{'c0': 15.0, 'c1': 4.0, 'c2': 13.0}",255,"['water_depth =  c0 * (c2 + c1)', 'answer = water_depth']",1
14,c0 birds were sitting on the fence. c1 more birds and c2 more storks came to join them.How many birds are sitting on the fence?,10,"There were originally c0 birds on the fence. Then c1 more birds and c2 more storks joined them. The total number of birds on the fence is c0 + c1 + c2. 
total_birds = c0 + c1 + c2
The answer is total_birds.","{'c0': 6.0, 'c1': 4.0, 'c2': 8.0}",18,"['total_birds =  c0 + c1 + c2', 'answer = total_birds']",0
15,Marco and his dad went strawberry picking. Together they collected strawberries that weighed c0 pounds. On the way back Marco ' dad lost c1 pounds of strawberries. Marco's strawberries now weighed c2 pounds.How much did his dad's strawberries weigh now?,16,"Marco and his dad collected c0 pounds of strawberries. After his dad lost c1 pounds, Marco's strawberries weighed c2 pounds. So his dad's strawberries must have weighed c0 - c2 pounds. 
dad_strawberries = c0 - c2
The answer is dad_strawberries.","{'c0': 36.0, 'c1': 8.0, 'c2': 12.0}",24,"['dad_strawberries =  c0 - c2', 'answer = dad_strawberries']",0
16,In a school there are c0 girls and the rest are boys. If there are c1 more girls than boysHow many boys are there in that school?,469,"Let's first find the total number of students in the school. Since there are c1 more girls than boys, we can say that the number of boys is x and the number of girls is x + c1. Therefore, the total number of students is:

total_students = x + (x + c1) = 2x + c1

We also know that the number of girls is c0. So we can set up an equation:

c0 = x + c1

Solving for x, we get:

x = c0 - c1

Substituting this value of x in the equation for total_students, we get:

total_students = 2(c0 - c1) + c1 = 2c0 - c1

Therefore, the number of boys in the school is:

number_of_boys = total_students - c0 = (2c0 - c1) - c0 = c0 - c1

The answer is c0 - c1 boys.","{'c0': 697.0, 'c1': 228.0}",469,"['total_students =  x + (x + c1) ', 'c0 =  x + c1', 'x =  c0 - c1', 'total_students =  2(c0 - c1) + c1 ', 'number_of_boys =  total_students - c0 ', 'answer = c0 - c1 boys']",1
17,In a school there are c0 girls and c1 boys. c2 more girls and c3 more boys joined the school.How many girls are there in the school now?,1414,"There were originally c0 girls in the school. c2 more girls joined, so there are now c0 + c2 girls. 
total_girls = c0 + c2
The answer is total_girls.","{'c0': 732.0, 'c1': 761.0, 'c2': 682.0, 'c3': 8.0}",1414,"['total_girls =  c0 + c2', 'answer = total_girls']",1
18,Danny collects bottle caps and wrappers. He found c0 bottle caps and c1 wrappers at the park. Now he has c2 bottle caps and c3 wrappers in his collection.How many wrappers did danny have at first?,27,"Danny started with c0 bottle caps and c1 wrappers. Now he has c2 bottle caps and c3 wrappers. So he must have gained c2 - c0 bottle caps and c3 - c1 wrappers. 
bottle_caps_gained = c2 - c0
wrappers_gained = c3 - c1
Since he collects both bottle caps and wrappers, we can assume that the number of bottle caps and wrappers he had at first is the same as the number he gained. Therefore, he must have had c1 wrappers at first. 
The answer is c1.","{'c0': 22.0, 'c1': 30.0, 'c2': 17.0, 'c3': 57.0}",30,"['bottle_caps_gained =  c2 - c0', 'wrappers_gained =  c3 - c1', 'answer = c1']",0
19,Paul got a box of c0 erasers and c1 crayons for his birthday. At the end of the school year he only had c2 crayons left while not having lost a single eraser.How many more crayons than erasers did he have left?,66,"Paul started with c0 erasers and c1 crayons. At the end of the school year, he had c2 crayons left and all of his erasers. So he had c1 - c2 crayons left and c0 erasers left. 
crayons_left = c1 - c2
erasers_left = c0
He had crayons_left - erasers_left more crayons left than erasers. 
more_crayons = crayons_left - erasers_left
The answer is more_crayons.","{'c0': 457.0, 'c1': 617.0, 'c2': 523.0}",-363,"['crayons_left =  c1 - c2', 'erasers_left =  c0', 'more_crayons =  crayons_left - erasers_left', 'answer = more_crayons']",0
20,Baker made c0 cakes. He sold c1 of them and bought c2 new cakes.How many cakes does baker still have?,186,"Baker started with c0 cakes. After selling c1, he had c0 - c1 cakes left. 
cakes_left_after_sale = c0 - c1
After buying c2 new cakes, he had cakes_left_after_sale + c2 cakes. 
total_cakes_now = cakes_left_after_sale + c2
The answer is total_cakes_now.","{'c0': 121.0, 'c1': 105.0, 'c2': 170.0}",186,"['cakes_left_after_sale =  c0 - c1', 'total_cakes_now =  cakes_left_after_sale + c2', 'answer = total_cakes_now']",1
21,An industrial machine worked for c0 minutes. It can make c1 shirts a minute.How many shirts did machine make?,20,"The machine worked for c0 minutes and can make c1 shirts a minute. So in c0 minutes, it can make c0 * c1 shirts. 
shirts_made = c0 * c1
The answer is shirts_made.","{'c0': 5.0, 'c1': 4.0}",20,"['shirts_made =  c0 * c1', 'answer = shirts_made']",1
22,The bananas in Philip's collection are organized into groups of size c0. If there are a total of c1 bananas in Philip's banana collectionHow many groups are there?,10,"If the bananas are organized into groups of size c0, then the number of groups is equal to the total number of bananas divided by the size of each group. 
number_of_groups = c1 / c0
The answer is number_of_groups.","{'c0': 18.0, 'c1': 180.0}",10,"['number_of_groups =  c1 / c0', 'answer = number_of_groups']",1
23,There were some birds sitting on the fence. c0 more birds came to join them. If there are a total of c1 birds on the fence nowHow many birds had been sitting on the fence at the start?,1,"There were some birds sitting on the fence originally. Then c0 more birds came to join them. So the total number of birds on the fence is the original number plus c0. 
total_birds = original_birds + c0
But we know that the total number of birds on the fence now is c1. So we can set these two equations equal to each other and solve for the original number of birds. 
total_birds = original_birds + c0
c1 = original_birds + c0
original_birds = c1 - c0
The answer is original_birds.","{'c0': 4.0, 'c1': 5.0}",1,"['total_birds =  original_birds + c0', 'total_birds =  original_birds + c0', 'c1 =  original_birds + c0', 'original_birds =  c1 - c0', 'answer = original_birds']",1
24,Jerry had c0 action figures on a shelf in his room. Later he added c1 more action figures to the shelf and removed some of the old ones. If there are c2 action figures on his shelf nowHow many action figures did he remove from the shelf?,1,"Jerry started with c0 action figures. He added c1 more and removed some of the old ones. So he removed c0 + c1 - c2 action figures. 
action_figures_removed = c0 + c1 - c2
The answer is action_figures_removed.","{'c0': 3.0, 'c1': 4.0, 'c2': 6.0}",1,"['action_figures_removed =  c0 + c1 - c2', 'answer = action_figures_removed']",1
25,Danny collects bottle caps and wrappers. He found c0 wrappers and c1 bottle caps at the park. Now he has c2 bottle caps and c3 wrappers in his collection.How many more wrappers than bottle caps did danny find at the park?,60,"Danny found c0 wrappers and c1 bottle caps at the park. Now he has c2 bottle caps and c3 wrappers in his collection. So he found c3 - c0 wrappers and c2 - c1 bottle caps. 
wrappers_found = c3 - c0
bottle_caps_found = c2 - c1
He found wrappers_found - bottle_caps_found more wrappers than bottle caps. 
more_wrappers = wrappers_found - bottle_caps_found
The answer is more_wrappers.","{'c0': 65.0, 'c1': 5.0, 'c2': 31.0, 'c3': 9.0}",-82,"['wrappers_found =  c3 - c0', 'bottle_caps_found =  c2 - c1', 'more_wrappers =  wrappers_found - bottle_caps_found', 'answer = more_wrappers']",0
26,Because of the decision Sofia asked the students to suggest specific types of food from a total of c0 choices. If c1 students suggested adding mashed potatoes c2 suggested adding bacon to the menu and the rest did not participateHow many students participated in the suggestion of new food items?,488,"The total number of students who participated in suggesting new food items is the sum of those who suggested mashed potatoes and those who suggested bacon. 
total_participants = c1 + c2
The answer is total_participants.","{'c0': 66.0, 'c1': 450.0, 'c2': 38.0}",488,"['total_participants =  c1 + c2', 'answer = total_participants']",1
27,Matthew gave equal numbers of crackers and cakes to his c0 friends. If he had c1 crackers and c2 cakes initiallyHow many crackers and cakes did each person eat?,1,"Matthew gave equal numbers of crackers and cakes to his c0 friends, so each friend received (c1 + c2) / c0 crackers and (c1 + c2) / c0 cakes. 
Each person ate (c1 + c2) / c0 crackers and (c1 + c2) / c0 cakes. 
The answer is (c1 + c2) / c0.","{'c0': 28.0, 'c1': 13.0, 'c2': 15.0}",1,['answer = (c1 + c2) / c0'],1
28,"A grocery store had c0 bottles of regular soda, c1 bottles of diet soda and c2 bottles of lite soda.How many bottles of regular soda and diet soda did they have altogether?",89,"The grocery store had c0 bottles of regular soda and c1 bottles of diet soda. The total number of bottles of regular and diet soda is c0 + c1. 
total_regular_and_diet_soda = c0 + c1
The answer is total_regular_and_diet_soda.","{'c0': 49.0, 'c1': 40.0, 'c2': 6.0}",89,"['total_regular_and_diet_soda =  c0 + c1', 'answer = total_regular_and_diet_soda']",1
29,"Dan has $ c0. He bought c1 candy bar for $ c2, each one costing the same amount of money.How much did each candy bar cost?",2,"Dan had c0 dollars. He bought c1 candy bars for c2 dollars each. So he spent c1 * c2 dollars in total. 
total_spent = c1 * c2
Each candy bar cost c2 dollars. 
cost_per_candy_bar = c2
The answer is cost_per_candy_bar.","{'c0': 3.0, 'c1': 2.0, 'c2': 4.0}",4,"['total_spent =  c1 * c2', 'cost_per_candy_bar =  c2', 'answer = cost_per_candy_bar']",0
30,Tiffany was collecting cans for recycling. On monday she had c0 bags of cans. The next day she found c1 more bags worth of cans.How many more bags did she find on the next day than she had on monday?,5,"Tiffany had c0 bags of cans on monday. The next day she found c1 more bags worth of cans. So she found c1 - c0 more bags on the next day than she had on monday. 
bags_found = c1 - c0
The answer is bags_found.","{'c0': 7.0, 'c1': 12.0}",5,"['bags_found =  c1 - c0', 'answer = bags_found']",1
31,There were c0 roses and c1 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now c2 roses and c3 orchids in the vase.How many roses did she cut?,2,"There were originally c0 roses and c1 orchids in the vase. After cutting some more, there are now c2 roses and c3 orchids. So she must have cut c2 - c0 roses and c3 - c1 orchids. 
roses_cut = c2 - c0
The answer is roses_cut.","{'c0': 15.0, 'c1': 62.0, 'c2': 17.0, 'c3': 96.0}",2,"['roses_cut =  c2 - c0', 'answer = roses_cut']",1
32,There are some baskets of peaches. Each basket has c0 red peaches and c1 green peaches. If there are a total of c2 peaches in all basketsHow many baskets of peaches are there?,1,"Each basket has c0 + c1 peaches. If there are c2 peaches in total, then the number of baskets can be found by dividing c2 by the number of peaches in each basket. 
peaches_per_basket = c0 + c1
number_of_baskets = c2 / peaches_per_basket
The answer is number_of_baskets.","{'c0': 4.0, 'c1': 3.0, 'c2': 7.0}",1,"['peaches_per_basket =  c0 + c1', 'number_of_baskets =  c2 / peaches_per_basket', 'answer = number_of_baskets']",1
33,There were c0 dollars in Olivia's wallet. She spent c1 dollars at a supermarket.How much money does she have left?,63,"Olivia started with c0 dollars. After spending c1 dollars, she has c0 - c1 dollars left. 
money_remaining = c0 - c1
The answer is money_remaining.","{'c0': 78.0, 'c1': 15.0}",63,"['money_remaining =  c0 - c1', 'answer = money_remaining']",1
34,"Jack received c0 emails in the morning, c1 emails in the afternoon and some more in the evening. If he received a total of c2 emails in the dayHow many emails did Jack receive in the afternoon?",1,"Jack received c0 emails in the morning and c1 emails in the afternoon. Let's say he received c3 emails in the evening. So in total, he received c0 + c1 + c3 emails. But we also know that he received a total of c2 emails in the day. So c0 + c1 + c3 = c2. 
We want to find out how many emails he received in the afternoon, which is c1. So we can rearrange the equation to solve for c1: 
c1 = c2 - c0 - c3
The answer is c1.","{'c0': 6.0, 'c1': 3.0, 'c2': 10.0}",-6,"['c3 =  c2. ', 'c1 =  c2 - c0 - c3', 'answer = c1']",0
35,Dan has $ c0. He bought a candy bar for $ c1. Then his friend have him $ c2 How much money is left?,1,"Dan had c0 dollars. He spent c1 dollars on a candy bar. Then his friend gave him c2 dollars. 
total_money = c0 - c1 + c2
The answer is total_money.","{'c0': 4.0, 'c1': 8.0, 'c2': 5.0}",1,"['total_money =  c0 - c1 + c2', 'answer = total_money']",1
36,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that c0 visitors came to the Buckingham palace on the previous day. If there were c1 visitors on that dayHow many visited the Buckingham palace within c2 days?",949,"If c0 visitors came on the previous day and c1 visitors came on the current day, then the total number of visitors is c0 + c1. 
total_visitors = c0 + c1
If c2 days have passed, then the total number of visitors within those days is c2 times the total number of visitors per day. 
total_visitors_within_c2_days = c2 * total_visitors
The answer is total_visitors_within_c2_days.","{'c0': 703.0, 'c1': 246.0, 'c2': 25.0}",23725,"['total_visitors =  c0 + c1', 'total_visitors_within_c2_days =  c2 * total_visitors', 'answer = total_visitors_within_c2_days']",0
37,For Gwen's birthday she received c0 dollars from her dad. Her mom gave her c1 more dollars. If she spent c2 dollars.How much more money did she receive from her mom than she did from her dad?,2,"Gwen received c0 dollars from her dad and c1 more from her mom. So in total, she received c0 + c1 dollars. 
total_money_received = c0 + c1
After spending c2 dollars, she has total_money_received - c2 dollars left. 
money_remaining = total_money_received - c2
To find out how much more money she received from her mom than her dad, we need to subtract c0 from c1. 
money_difference = c1 - c0
The answer is money_difference.","{'c0': 5.0, 'c1': 7.0, 'c2': 4.0}",2,"['total_money_received =  c0 + c1', 'money_remaining =  total_money_received - c2', 'money_difference =  c1 - c0', 'answer = money_difference']",1
38,There are c0 bananas and c1 oranges in Philip's collection. If the bananas are organized into c2 groups and oranges are organized into c3 groupsHow big is each group of oranges?,2,"There are c1 oranges in total, organized into c3 groups. So each group has c1/c3 oranges. 
oranges_per_group = c1/c3
The answer is oranges_per_group.","{'c0': 142.0, 'c1': 356.0, 'c2': 47.0, 'c3': 178.0}",2,"['oranges_per_group =  c1/c3', 'answer = oranges_per_group']",1
39,There are c0 different books and c1 different movies in the ' crazy silly school ' series. If you read c2 of the movies and watched c3 of the booksHow many more movies than books have you read?,3,"There are c0 books and c1 movies in the series. If you read c2 movies and c3 books, then you have read c2 + c3 total items. 
total_items = c2 + c3
To find out how many more movies than books you have read, you need to find the difference between the number of movies and books. 
movies_read = c2
books_read = c3
difference = movies_read - books_read
The answer is difference.","{'c0': 8.0, 'c1': 5.0, 'c2': 19.0, 'c3': 16.0}",3,"['total_items =  c2 + c3', 'movies_read =  c2', 'books_read =  c3', 'difference =  movies_read - books_read', 'answer = difference']",1
40,Mary is baking a cake. The recipe calls for c0 cups of flour and c1 cups of sugar. She already put in some cups of flour. If she still needs c2 more cups of flourHow many cups of flour did she put in?,10,"The recipe calls for c0 cups of flour and Mary still needs c2 more cups. So far, she has put in c0 - c2 cups of flour. 
flour_used = c0 - c2
However, we don't know how much sugar she has put in, so we can't determine the exact amount of flour she has used. The answer is flour_used.","{'c0': 12.0, 'c1': 5.0, 'c2': 2.0}",10,"['flour_used =  c0 - c2', ""However, we don't know how much sugar she has put in, so we can't determine the exact amount of flour she has used""]",1
41,Danny collects bottle caps and wrappers. He found c0 wrappers and c1 bottle caps at the park. Now he has c2 bottle caps and c3 wrappers in his collection.How many more bottle caps than wrappers did danny find at the park?,4,"Danny found c0 wrappers and c1 bottle caps at the park. Now he has c2 bottle caps and c3 wrappers in his collection. So he found c2 - c1 bottle caps and c3 - c0 wrappers at the park. 
bottle_caps_found = c2 - c1
wrappers_found = c3 - c0
He found bottle_caps_found - wrappers_found more bottle caps than wrappers at the park. 
difference = bottle_caps_found - wrappers_found
The answer is difference.","{'c0': 46.0, 'c1': 50.0, 'c2': 21.0, 'c3': 52.0}",-35,"['bottle_caps_found =  c2 - c1', 'wrappers_found =  c3 - c0', 'difference =  bottle_caps_found - wrappers_found', 'answer = difference']",0
42,Luke played c0 rounds of a trivia game. If he gained c1 points in each roundHow many points did he score in the game?,8142,"Luke played c0 rounds and gained c1 points in each round. So his total score is c0 * c1 points. 
total_score = c0 * c1
The answer is total_score.","{'c0': 177.0, 'c1': 46.0}",8142,"['total_score =  c0 * c1', 'answer = total_score']",1
43,c0 birds and c1 storks were sitting on the fence. c2 more birds came to join them.How many more birds than storks are sitting on the fence?,1,"There were c0 birds and c1 storks on the fence. c2 more birds came, so now there are c0 + c2 birds on the fence. 
total_birds = c0 + c2
To find out how many more birds than storks are on the fence, we need to subtract c1 from total_birds. 
more_birds = total_birds - c1
The answer is more_birds.","{'c0': 3.0, 'c1': 4.0, 'c2': 2.0}",1,"['total_birds =  c0 + c2', 'more_birds =  total_birds - c1', 'answer = more_birds']",1
44,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped c0 inches. The mouse jumped c1 inches lesser than the frog who jumped c2 inches farther than the grasshopper.How far did the mouse jump?",39,"The grasshopper jumped c0 inches. The frog jumped c2 inches farther than the grasshopper, so the frog jumped c0 + c2 inches. The mouse jumped c1 inches lesser than the frog, so the mouse jumped (c0 + c2) - c1 inches. 
mouse_jump = (c0 + c2) - c1
The answer is mouse_jump.","{'c0': 9.0, 'c1': 3.0, 'c2': 33.0}",39,"['mouse_jump =  (c0 + c2) - c1', 'answer = mouse_jump']",1
45,Zachary did c0 push-ups and c1 crunches in gym class today. David did c2 more push-ups but c3 less crunches than zachary.How many more push-ups than crunches did Zachary do?,32,"Zachary did c0 push-ups and c1 crunches. David did c2 more push-ups, so he did c0 + c2 push-ups. David did c3 less crunches, so he did c1 - c3 crunches. 
Zachary did c0 push-ups, which is c0 - (c0 + c2 - c1) more push-ups than David. 
Zachary did c1 crunches, which is c1 + c3 more crunches than David. 
Zachary did c0 - (c0 + c2 - c1) more push-ups than crunches than David. 
pushups_minus_crunches = c0 - (c0 + c2 - c1) - (c1 + c3)
The answer is pushups_minus_crunches.","{'c0': 35.0, 'c1': 3.0, 'c2': 58.0, 'c3': 87.0}",-145,"['pushups_minus_crunches =  c0 - (c0 + c2 - c1) - (c1 + c3)', 'answer = pushups_minus_crunches']",0
46,"Jack received c0 emails in the morning, c1 emails in the afternoon and c2 emails in the evening.How many emails did Jack receive in the afternoon and evening?",13,"Jack received c1 emails in the afternoon and c2 emails in the evening. So the total number of emails he received in the afternoon and evening is c1 + c2. 
emails_afternoon_evening = c1 + c2
The answer is emails_afternoon_evening.","{'c0': 4.0, 'c1': 5.0, 'c2': 8.0}",13,"['emails_afternoon_evening =  c1 + c2', 'answer = emails_afternoon_evening']",1
47,Jerry had c0 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed c1 of the old ones. If there are c2 action figures on his shelf nowHow many action figures did he add to the shelf?,11,"Jerry started with c0 action figures. He added some more and removed c1 old ones. So he had c0 + x - c1 action figures, where x is the number of action figures he added. This is equal to c2, the current number of action figures on the shelf. 
c0 + x - c1 = c2
Solving for x, we get:
x = c2 + c1 - c0
The answer is x.","{'c0': 7.0, 'c1': 10.0, 'c2': 8.0}",9,"['c1 =  c2', 'x =  c2 + c1 - c0', 'answer = x']",0
48,Julia played tag with c0 kids on monday. She played tag with c1 kids on tuesday. She spent a total of c2 hours to play tag on both days.How many kids did she play with altogether?,26,"Julia played with c0 kids on monday and c1 kids on tuesday. So in total, she played with c0 + c1 kids. 
total_kids_played_with = c0 + c1
She spent c2 hours playing tag on both days, but we don't know how long she played each day. Let's call the time she played on monday t0 and the time she played on tuesday t1. Then we know that:
t0 + t1 = c2
We don't have enough information to solve for t0 and t1 separately, but we can use the fact that Julia played with the same number of kids each day to make an estimate. If we assume that she played for roughly the same amount of time each day, then we can say that:
t0 ��������� t1 ��������� c2/2
Using this estimate, we can say that Julia played with roughly 2*(c2/2) = c2 hours total, and she played with c0 +","{'c0': 12.0, 'c1': 14.0, 'c2': 34.0}",34,"['total_kids_played_with =  c0 + c1', 't1 =  c2', '2*(c2/2) =  c2 hours total, and she played with c0 + c1 kids. ', 'answer = total_kids_played_with']",0
49,Nell collects cards. She had c0 baseball cards and c1 Ace cards. She gave some of her cards to Jeff and now has c2 baseball cards and Ace cards left.How many more baseball cards than Ace cards does Nell have?,266,"Nell started with c0 baseball cards and c1 Ace cards. After giving some to Jeff, she has c2 baseball cards and Ace cards left. So she must have given away c0 - c2 baseball cards and c1 - Ace cards. 
baseball_cards_given = c0 - c2
Ace_cards_given = c1 - Ace
Now Nell has c2 - Ace cards. So she has c2 - Ace - c0 + baseball_cards_given baseball cards left. 
baseball_cards_left = c2 - Ace - c0 + baseball_cards_given
To find out how many more baseball cards than Ace cards Nell has, we subtract the number of Ace cards from the number of baseball cards left. 
difference = baseball_cards_left - Ace
The answer is difference.","{'c0': 309.0, 'c1': 356.0, 'c2': 415.0}",-106,"['baseball_cards_given =  c0 - c2', 'Ace_cards_given =  c1 - Ace', 'baseball_cards_left =  c2 - Ace - c0 + baseball_cards_given', 'difference =  baseball_cards_left - Ace', 'answer = difference']",0
50,"At the zoo, a cage had c0 snakes and c1 alligators. If c2 alligators were hidingHow many alligators were not hiding?",57,"There were originally c1 alligators in the cage. If c2 were hiding, then the number of alligators not hiding is c1 - c2. 
alligators_not_hiding = c1 - c2
The answer is alligators_not_hiding.","{'c0': 93.0, 'c1': 97.0, 'c2': 40.0}",57,"['alligators_not_hiding =  c1 - c2', 'answer = alligators_not_hiding']",1
