,question,answer,response,mapping,response_answer,equations,correct
22," John was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",6,"John started with c0 games and bought c1 more, so he had c0 + c1 games in total. If c2 of them didn't work, then he had c0 + c1 - c2 good games. Therefore, John ended up with c0 + c1 - c2 good games.","{'c0': 21.0, 'c1': 8.0, 'c2': 23.0}",6,[],1
23, Henry had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19,"Henry started with c0 dollars. He got c1 more dollars for his birthday, so he now has c0 + c1 dollars. However, he spent c2 dollars on a new game, so he now has c0 + c1 - c2 dollars. Therefore, Henry has c0 + c1 - c2 dollars now.","{'c0': 11.0, 'c1': 18.0, 'c2': 10.0}",19,[],1
24," While on vacation, Gwen took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",55,"Gwen took c0 + c1 pictures in total. After deleting c2 pictures, she has c0 + c1 - c2 pictures left. 
pictures_left = c0 + c1 - c2
The answer is pictures_left.","{'c0': 41.0, 'c1': 29.0, 'c2': 15.0}",55,"['pictures_left =  c0 + c1 - c2', 'answer = pictures_left']",1
25," Sam had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",34,"Sam had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 40.0, 'c1': 23.0, 'c2': 29.0}",34,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']",1
26, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,12,"The pet store originally had c0 + c1 cats. After the sale, they sold c2 cats, so they have c0 + c1 - c2 cats left. 
The answer is c0 + c1 - c2.","{'c0': 12.0, 'c1': 20.0, 'c2': 20.0}",12,['answer = c0 + c1 - c2'],1
27," Faye and her mom were picking carrots from their garden. Faye picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",16,"If there were c2 good carrots, then the total number of carrots they picked must have been c0 + c1. Therefore, the number of bad carrots they had is:
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 23.0, 'c1': 5.0, 'c2': 12.0}",16,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']",1
28," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",73,"The cafeteria ordered c0 red apples and c1 green apples, so they ordered a total of c0 + c1 apples. But if only c2 students wanted fruit, then they only needed c2 apples. Therefore, the cafeteria ended up with c0 + c1 - c2 extra apples. 
extra_apples = c0 + c1 - c2
The answer is extra_apples.","{'c0': 43.0, 'c1': 32.0, 'c2': 2.0}",73,"['extra_apples =  c0 + c1 - c2', 'answer = extra_apples']",1
29," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",17,"The total number of students who tried out is c0 + c1. If only c2 of them got called back, then the number of students who didn't make the cut is the difference between the total number of students who tried out and the number of students who got called back. 
students_who_didnt_make_cut = (c0 + c1) - c2
The answer is students_who_didnt_make_cut.","{'c0': 39.0, 'c1': 4.0, 'c2': 26.0}",17,"['students_who_didnt_make_cut =  (c0 + c1) - c2', 'answer = students_who_didnt_make_cut']",1
30, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,18,"The pet store originally had c0 + c1 cats. After the sale, they sold c2 cats, so they have c0 + c1 - c2 cats left. The answer is c0 + c1 - c2.","{'c0': 38.0, 'c1': 25.0, 'c2': 45.0}",18,['The pet store originally had c0 + c1 cats'],1
31, For the school bake sale Paige made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,41,"Paige made c0 cupcakes and c1 cookies, so the total number of pastries she made is c0 + c1. 
After the sale, she had c2 pastries left, so the number of pastries she sold is the difference between the total number of pastries she made and the number of pastries she had left: 
pastries_sold = (c0 + c1) - c2
The answer is pastries_sold.","{'c0': 36.0, 'c1': 9.0, 'c2': 4.0}",41,"['pastries_sold =  (c0 + c1) - c2', 'answer = pastries_sold']",1
32, Carol was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,7,"To find out how many points Carol had at the end of the game, we need to add up her scores from the first two rounds and then subtract the points she lost in the last round. 
total_points = c0 + c1 - c2
The answer is total_points.","{'c0': 17.0, 'c1': 6.0, 'c2': 16.0}",7,"['total_points =  c0 + c1 - c2', 'answer = total_points']",1
33, Gwen bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,36,"Gwen started with c0 + c1 pictures in total. After coloring c2 pictures, she has c0 + c1 - c2 pictures left to color. 
pictures_left = c0 + c1 - c2
The answer is pictures_left.","{'c0': 10.0, 'c1': 39.0, 'c2': 13.0}",36,"['pictures_left =  c0 + c1 - c2', 'answer = pictures_left']",1
34," For Halloween Janet and her sister combined the candy they received. Janet had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",63,"To find out how many pieces of candy they have left, we need to subtract the number of pieces they ate from the total number of pieces they had before. 
total_candy = c0 + c1
candy_left = total_candy - c2
The answer is candy_left.","{'c0': 34.0, 'c1': 33.0, 'c2': 4.0}",63,"['total_candy =  c0 + c1', 'candy_left =  total_candy - c2', 'answer = candy_left']",1
35," Haley and her mom were picking carrots from their garden. Haley picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",13,"If c2 of the carrots were good, then the total number of carrots they picked must have been c0 + c1. 
So the number of bad carrots they had is: 
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 39.0, 'c1': 38.0, 'c2': 64.0}",13,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']",1
36," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",56,"The total number of students who tried out is c0 + c1. If only c2 of them got called back, then the number of students who didn't make the cut is the difference between the total number of students who tried out and the number of students who got called back. 
students_who_didnt_make_cut = (c0 + c1) - c2
The answer is students_who_didnt_make_cut.","{'c0': 30.0, 'c1': 36.0, 'c2': 10.0}",56,"['students_who_didnt_make_cut =  (c0 + c1) - c2', 'answer = students_who_didnt_make_cut']",1
37, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,15,"Roger had c0 dollars originally. He got c1 more dollars for his birthday, so he now has c0 + c1 dollars. However, he spent c2 on a new game, so he now has c0 + c1 - c2 dollars. 
The answer is c0 + c1 - c2.","{'c0': 29.0, 'c1': 20.0, 'c2': 34.0}",15,['answer = c0 + c1 - c2'],1
38," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",5,"Dave had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 29.0, 'c1': 11.0, 'c2': 35.0}",5,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']",1
39," Edward was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",24,"Edward started with c0 games and bought c1 more, so he had a total of c0 + c1 games. If c2 of those games didn't work, then he ended up with (c0 + c1) - c2 good games. 
good_games = (c0 + c1) - c2
The answer is good_games.","{'c0': 41.0, 'c1': 14.0, 'c2': 31.0}",24,"['good_games =  (c0 + c1) - c2', 'answer = good_games']",1
40," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15,"Sam bought c0 + c1 books in total. If c2 of them were used, then the number of new books he bought is the difference between the total number of books and the number of used books:
new_books = (c0 + c1) - c2
The answer is new_books.","{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",15,"['new_books =  (c0 + c1) - c2', 'answer = new_books']",1
41," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14,"Amy had c0 + c1 total files on her flash drive. After deleting c2 files, she would have c0 + c1 - c2 files remaining. 
remaining_files = c0 + c1 - c2
The answer is remaining_files.","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",14,"['remaining_files =  c0 + c1 - c2', 'answer = remaining_files']",1
42, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1,"Oliver started with c0 dollars, got c1 more, and then spent c2. So his current amount of money is:
c0 + c1 - c2
The answer is c0 + c1 - c2.","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",1,['answer = c0 + c1 - c2'],1
43, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1,"Emily's total score at the end of the game would be the sum of her scores in the first two rounds, minus the points she lost in the last round. 
total_score = c0 + c1 - c2
The answer is total_score.","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",1,"['total_score =  c0 + c1 - c2', 'answer = total_score']",1
44," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11,"Paige had c0 math problems and c1 science problems, so she had a total of c0 + c1 problems. If she finished c2 of the problems at school, then she still had c0 + c1 - c2 problems left to do for homework. Therefore, Paige had to do c0 + c1 - c2 problems for homework.","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",11,[],1
45," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",35,"The cafeteria ordered c0 red apples and c1 green apples, so they ordered a total of c0 + c1 apples. But if only c2 students wanted fruit, then the cafeteria only needed c2 apples. Therefore, the cafeteria ended up with c0 + c1 - c2 extra apples. 
extra_apples = c0 + c1 - c2
The answer is extra_apples.","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}",35,"['extra_apples =  c0 + c1 - c2', 'answer = extra_apples']",1
46," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",16,"Dave had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}",16,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']",1
47," While on vacation, Rachel took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",4,"Rachel took c0 + c1 pictures in total. After deleting c2 pictures, she was left with c0 + c1 - c2 pictures. Therefore, she still had c0 + c1 - c2 pictures from her vacation.","{'c0': 6.0, 'c1': 9.0, 'c2': 11.0}",4,[],1
48," Vanessa and her mom were picking carrots from their garden. Vanessa picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7,"If there were c2 good carrots, then the total number of carrots they picked must have been c0 + c1. Therefore, the number of bad carrots they had is:
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 17.0, 'c1': 14.0, 'c2': 24.0}",7,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']",1
49, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,54,"The pet store originally had c0 + c1 cats. After the sale, they sold c2 cats, so they have c0 + c1 - c2 cats left. The answer is c0 + c1 - c2.","{'c0': 41.0, 'c1': 28.0, 'c2': 15.0}",54,['The pet store originally had c0 + c1 cats'],1
50," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15,"Sam bought c0 adventure books and c1 mystery books, so the total number of books he bought is c0 + c1. If c2 of the books were used, then the number of new books he bought is the total number of books he bought minus the number of used books: 
new_books = (c0 + c1) - c2
The answer is new_books.","{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",15,"['new_books =  (c0 + c1) - c2', 'answer = new_books']",1
51," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14,"Amy had c0 + c1 total files on her flash drive. After deleting c2 files, she would have c0 + c1 - c2 files remaining. 
remaining_files = c0 + c1 - c2
The answer is remaining_files.","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",14,"['remaining_files =  c0 + c1 - c2', 'answer = remaining_files']",1
52, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1,"Oliver started with c0 dollars, got c1 more, and then spent c2 on a game. So his current amount of money is:
c0 + c1 - c2
The answer is c0 + c1 - c2.","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",1,['answer = c0 + c1 - c2'],1
53, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1,"Emily's total score at the end of the game would be the sum of her scores in the first two rounds, minus the points she lost in the last round. 
total_score = c0 + c1 - c2
The answer is total_score.","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",1,"['total_score =  c0 + c1 - c2', 'answer = total_score']",1
54," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11,"Paige had c0 + c1 total problems for homework. She finished c2 of them at school, so she still had to do c0 + c1 - c2 problems for homework. The answer is c0 + c1 - c2.","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",11,['Paige had c0 + c1 total problems for homework'],1
55," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",35,"The cafeteria ordered c0 red apples and c1 green apples, so they ordered a total of c0 + c1 apples. But if only c2 students wanted fruit, then the cafeteria ended up with extra apples. To find out how many extra apples they have, we need to subtract the number of apples that were actually used from the total number of apples ordered. If each student gets one apple, then the number of apples used is just c2. So the number of extra apples is:

extra_apples = (c0 + c1) - c2

The answer is extra_apples.","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}",35,"['extra_apples =  (c0 + c1) - c2', 'answer = extra_apples']",1
56," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",16,"Dave had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}",16,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']",1
57," While on vacation, Rachel took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",4,"Rachel took c0 + c1 pictures in total. After deleting c2 pictures, she was left with c0 + c1 - c2 pictures. Therefore, she still had c0 + c1 - c2 pictures from her vacation.","{'c0': 6.0, 'c1': 9.0, 'c2': 11.0}",4,[],1
58," Vanessa and her mom were picking carrots from their garden. Vanessa picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7,"If c2 of the carrots were good, then the total number of carrots they picked must have been c0 + c1. 
So the number of bad carrots they had is:
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 17.0, 'c1': 14.0, 'c2': 24.0}",7,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']",1
59, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,54,"The pet store originally had c0 + c1 cats. After the sale, they sold c2 cats, so they have c0 + c1 - c2 cats left. The answer is c0 + c1 - c2.","{'c0': 41.0, 'c1': 28.0, 'c2': 15.0}",54,['The pet store originally had c0 + c1 cats'],1
60," Janet picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Janet pick? ",4,"Janet picked c0 tulips and c1 roses, so she picked a total of c0 + c1 flowers. If she only used c2 of them, then she must have had c0 + c1 - c2 extra flowers. 
extra_flowers = c0 + c1 - c2
The answer is extra_flowers.","{'c0': 4.0, 'c1': 11.0, 'c2': 11.0}",4,"['extra_flowers =  c0 + c1 - c2', 'answer = extra_flowers']",1
61," Vanessa had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",33,"Vanessa had c0 + c1 total files on her flash drive. After deleting c2 files, she would have c0 + c1 - c2 files remaining. 
remaining_files = c0 + c1 - c2
The answer is remaining_files.","{'c0': 13.0, 'c1': 30.0, 'c2': 10.0}",33,"['remaining_files =  c0 + c1 - c2', 'answer = remaining_files']",1
62, Debby bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,23,"Debby had c0 + c1 pictures in total. After coloring c2 pictures, she still has c0 + c1 - c2 pictures left to color. 
pictures_left = c0 + c1 - c2
The answer is pictures_left.","{'c0': 16.0, 'c1': 40.0, 'c2': 33.0}",23,"['pictures_left =  c0 + c1 - c2', 'answer = pictures_left']",1
63," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",9,"The cafeteria ordered c0 red apples and c1 green apples, so they ordered a total of c0 + c1 apples. But if only c2 students wanted fruit, then the cafeteria ended up with extra apples. To find out how many extra apples they have, we need to subtract the number of apples that were actually used from the total number of apples ordered. If each student gets one apple, then the number of apples used is just c2. So the number of extra apples is:

extra_apples = (c0 + c1) - c2

The answer is extra_apples.","{'c0': 8.0, 'c1': 43.0, 'c2': 42.0}",9,"['extra_apples =  (c0 + c1) - c2', 'answer = extra_apples']",1
64," Edward started his own lawn mowing business. In the spring he made c0 dollars mowing lawns and in the summer he made c1 dollars. If he had to spend c2 dollars buying supplies, how much money did he end up with? ",24,"Edward made c0 dollars in the spring and c1 dollars in the summer, so his total earnings were c0 + c1. However, he had to spend c2 dollars on supplies, so his final profit was:

profit = (c0 + c1) - c2

The answer is profit.","{'c0': 2.0, 'c1': 27.0, 'c2': 5.0}",24,"['profit =  (c0 + c1) - c2', 'answer = profit']",1
