,question,answer,response,mapping
10,"The length of the ribbon was originally 30 cm. It was reduced in the ratio 5 : 3. What is its length now?A)18, B)30, C)6, D)15, E)12",A,"
Mapping: {x: length of the ribbon now}
‘Eq1:30*(5/3)=x’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(30*(5/3),x)
solve(Eq1,x)
# end of Python Sympy
Answer: A",
11,"If one third of 3/4 of a number is 21. Then, find the number?A)84, B)66, C)28, D)19, E)11",A,"
Mapping: {x: number}
‘Eq1: (3/4)*x/3=21’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq((3/4)*x/3,21)
solve(Eq1,x)
# end of Python Sympy
Answer: A",
12,"A shopkeeper in order to promote his new shop put a discount of 20% on all the items for one day. Now he must sell the items at original price the other day. By what percentage must he increase the price to original?A)21%, B)20%, C)25%, D)33%, E)18%",C,"
Mapping: {x: percentage increase to original price}
‘Eq1:1.2*x=1’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(1.2*x,1)
solve(Eq1,x)
# end of Python Sympy
Answer: D",
13,"A club consists of members whose ages are in A.P. The common difference being 3 months. If the youngest member of the club is just 7 years old and the sum of the ages of all the members is 250, then number of members in the club are :A)18, B)20, C)25, D)26, E)27",C,"
Mapping: {x: number of members in the club}
‘Eq1:7+(x-1)*3=250’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(7+(x-1)*3,250)
solve(Eq1,x)
# end of Python Sympy
Answer: D",
14,"At 6% per annum simple interest, Rahul borrowed Rs. 500. What amount will he pay to clear the debt after 4 yearsA)750, B)700, C)620, D)600, E)None of these",C,"
Mapping: {x: amount that Rahul will pay to clear the debt after 4 years}
‘Eq1:x=500*(1+0.06*4)’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,500*(1+0.06*4))
solve(Eq1,x)
# end of Python Sympy
Answer: A",
15,"A grocery sells a bag of ice for $1.25, and makes 20% profit. If it sells 500 bags of ice, how much total profit does it make?A)125, B)150, C)225, D)250, E)275",A,"
Mapping: {x: total profit}
‘Eq1:x=500*1.25*0.2’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,500*1.25*0.2)
solve(Eq1,x)
# end of Python Sympy
Answer: D",
16,"I have a money pouch containing Rs. 700. There are equal number of 25 paise coins, 50 paise coins and one rupee coins.
How many of each are there?A)453, B)651, C)400, D)487, E)286",C,"
Mapping: {x: 25 paise coins, y: 50 paise coins, z: one rupee coins}
‘Eq1:25*x+50*y+100*z=700’
# using Python Sympy to solve for unknowns
from sympy import *
x,y,z = symbols('x, y, z')
Eq1 = Eq(25*x+50*y+100*z,700)
print(solve([Eq1],(x,y,z)))
# end of Python Sympy
Answer: D",
17,"There are ten lime soda bottles on a table in a restaurant. They are to be served among two different groups of customers consisting of 5 members each. How many ways are there to create these 2 groups?A)90, B)105, C)126, D)252, E)525",D,"
Mapping: {x: number of ways to create the 2 groups}
‘Eq1:x=10!/(5!*5!)’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,factorial(10)/(factorial(5)*factorial(5)))
solve(Eq1,x)
# end of Python Sympy
Answer: D",
18,"The nefarious bandit Hoopsmot decides to go in with his criminal partner Smolapon to purchase a number of senators. Hoopsmot contributes $16,000 to their bribery pool, and Smolapon contributes just $4,000. Their total allows them to influence 30 senators. How many senators of these can be considered Hoopsmot's?A)18, B)20, C)22, D)24, E)26",D,"
Mapping: {x: senators that Hoopsmot can influence}
‘Eq1:16000/x + 4000/(30-x) = 30’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(16000/x + 4000/(30-x),30)
solve(Eq1,x)
# end of Python Sympy
Answer: D",
19,"The capacity of a tank of dimensions (8 m × 6 m × 2.5 m) isA)120 litres, B)1200 litres, C)12000 litres, D)120000 litres, E)None of these",D,"
Mapping: {x: capacity of the tank}
‘Eq1:x=8*6*2.5’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,8*6*2.5)
solve(Eq1,x)
# end of Python Sympy
Answer: B",
20,"If 6x - y = 24 and y = 3x, what is the value of x?A)8, B)9, C)10, D)11, E)12",A,"
Mapping: {x: value of x, y: value of y}
‘Eq1:6x-y=24’
‘Eq2:y=3x’
# using Python Sympy to solve for unknowns
from sympy import *
x,y = symbols('x, y')
Eq1 = Eq(6*x-y,24)
Eq2 = Eq(y,3*x)
print(solve([Eq1, Eq2],(x,y)))
# end of Python Sympy
Answer: A",
21,"The ratio of the volumes of a cube to that of the sphere which will fit inside the cube is?A)2: π, B)7:2, C)8:2, D)6: π, E)8:3",D,"
Mapping: {x: volume of cube, y: volume of sphere}
‘Eq1:x/y=8/3’
# using Python Sympy to solve for unknowns
from sympy import *
x,y = symbols('x, y')
Eq1 = Eq(x/y,8/3)
solve(Eq1,x)
# end of Python Sympy
Answer: E",
22,"At its maximum speed, a space shuttle can travel 700m high in 40 seconds. It will also take 5 seconds to pass a point. What then is the length of the space shuttle?A)50 m, B)75 m, C)100 m, D)125 m, E)150 m",C,"
Mapping: {x: length of the space shuttle}
‘Eq1:700/40=x/5’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(700/40,x/5)
solve(Eq1,x)
# end of Python Sympy
Answer: D",
23,"A special cereal mixture contains rice, wheat and corn in the ratio of 2:3:5. If a bag of the mixture contains 3 pounds of rice, how much corn does it contain?A)6.5, B)7.5, C)7, D)6, E)None of the above",B,"
Mapping: {x: amount of corn}
‘Eq1:2/3*3+5*x=3’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2/3*3+5*x,3)
solve(Eq1,x)
# end of Python Sympy
Answer: A",
24,"Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?A)62, 35, B)62, 34, C)34, 62, D)42, 62, E)62, 42",B,"
Mapping: {x: money with Arjun, y: money with Sajal}
‘Eq1:x+30=2*(y-30)’
‘Eq2:y+10=3*(x-10)’
# using Python Sympy to solve for unknowns
from sympy import *
x,y = symbols('x, y')
Eq1 = Eq(x+30,2*(y-30))
Eq2 = Eq(y+10,3*(x-10))
print(solve([Eq1, Eq2],(x,y)))
# end of Python Sympy
Answer: D",
25,"What is the largest integral value of 'k' for which the quadratic equation x2 - 5x + k = 0 will have two real and distinct roots?A)9, B)7, C)3, D)8, E)12",C,"
Mapping: {x: largest integral value of 'k'}
‘Eq1: (5/2)**2 - k > 0’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq((5/2)**2 - x, 0)
solve(Eq1,x)
# end of Python Sympy
Answer: B",
26,"If 10 is subtracted from 2/3 of a number the result is equal to sum of 40 and 1/3 of the number. Find the numberA)100, B)160, C)150, D)210, E)220",C,"
Mapping: {x: the number}
‘Eq1:2/3*x-10=40+1/3*x’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2/3*x-10,40+1/3*x)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
27,"Two cars start at the same time from opposite ends of a highway that is 50 miles long. One car is riding at 12 mph and the second car is riding at 13 mph. How long after they begin will they meet?A) 1, B) 1.25, C) 1.50, D) 1.75, E) 2",E,"
Mapping: {x: time after they begin}
‘Eq1:50/x=12+13’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(50/x,12+13)
solve(Eq1,x)
# end of Python Sympy
Answer: B",
28,"The sum of k consecutive integers is 51. If the least integer is -50, then k =A)40, B)62, C)82, D)92, E)102",E,"
Mapping: {x: k consecutive integers, y: k}
‘Eq1:x+(-50)=51’
# using Python Sympy to solve for unknowns
from sympy import *
x,y = symbols('x, y')
Eq1 = Eq(x+(-50),51)
solve(Eq1,x)
# end of Python Sympy
Answer: E",
29,"Three friends Alan, Roger and Peter attempt to answer a question on an exam. Alan randomly guesses the answer, giving him a 1/5 probability of guessing correctly. Roger cheats by looking at the paper of the student in front of him, giving him a 2/3 probability of answering correctly. And Peter dutifully performs the calculations, then marks the answer, giving him a 5/6 probability of a correct answer. What is the probability that the question is answered correctly, but not via cheating?A)1/18, B)1/9, C)23/90, D)5/18, E)13/45",A,"
Mapping: {x: probability that the question is answered correctly, but not via cheating}
‘Eq1:x=1/5+2/3-5/6’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,1/5+2/3-5/6)
solve(Eq1,x)
# end of Python Sympy
Answer: D",
30,"Two numbers are said to be relatively prime if they share no common positive factors other than 1. Set S contains the set of integers from 1 to 1,000, inclusive. What is the probability that a number chosen from S is relatively prime to 1,000?A)5/7, B)3/5, C)4/7, D)2/5, E)2/7",D,"
Mapping: {x: probability that a number chosen from S is relatively prime to 1,000}
‘Eq1:x=number of relatively prime numbers/total number of numbers in S’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,168/1000)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
31,"The bus fare of one adult is Rs. 140 from Ranchi to Patna and bus fare of a child is half the fare of one adult between the same places. What is the total bus fare of 4 adults and 3 children between same places?A)Rs. 666, B)Rs. 670, C)Rs. 700, D)Rs. 570, E)Rs. 770",E,"
Mapping: {x: total bus fare of 4 adults and 3 children}
‘Eq1:x=4*140+3*(140/2)’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,4*140+3*(140/2))
solve(Eq1,x)
# end of Python Sympy
Answer: B",
32,"A newspaper costs $4 on Sunday and $1 the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $210 per week for newspapers, how many newspapers does it buy on Monday?A)15, B)30, C)45, D)60, E)75",A,"
Mapping: {x: number of newspapers on Monday, y: number of newspapers on Sunday}
‘Eq1:x+2*y=210’
# using Python Sympy to solve for unknowns
from sympy import *
x,y = symbols('x, y')
Eq1 = Eq(x+2*y,210)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
33,"Everyone in the family earns money each month. If the total income of a family per month is $9000 and the median income is $3000, how many members are there in the family?A)2, B)3, C)4, D)5, E)6",B,"
Mapping: {x: number of members in the family}
‘Eq1:9000/x=3000’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(9000/x,3000)
solve(Eq1,x)
# end of Python Sympy
Answer: D",
34,"Peter wants to find 10 additional people to form a scavenger hunt team with him. If he has 10 friends who would like to participate, how many choices does he have for forming his team?A)0, B)1, C)2, D)3, E)4",B,"
Mapping: {x: choices for forming the team}
‘Eq1:x=10!/(10-10)!’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,factorial(10)/factorial(10-10))
solve(Eq1,x)
# end of Python Sympy
Answer: B",
35,"In a survey of students, each student selected from a list of 10 songs the 2 songs that the student liked best. If each song was selected 5 times, how many students were surveyed?A)96, B)48, C)32, D)25, E)18",D,"
Mapping: {x: number of students surveyed}
‘Eq1:x*2=10*5’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*2,10*5)
solve(Eq1,x)
# end of Python Sympy
Answer: B",
36,"Anna has 4 books. If she decide to arrange the 4 books in every possible combination and moved just one book every minute, how long would it taken by her ?A)22 minutes, B)30 minutes, C)15 minutes, D)24 minutes, E)35 minutes",D,"
Mapping: {x: time taken by Anna}
‘Eq1:x=4!’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,factorial(4))
solve(Eq1,x)
# end of Python Sympy
Answer: D",
37,"A wire in the shape of rectangle of length 27 cm and breadth 17 cm is rebent to form a square. What will be the measure of each side?A)9, B)11, C)22, D)25, E)31",C,"
Mapping: {x: measure of each side}
‘Eq1:27*17=x*x’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(27*17,x*x)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
38,"A man wants to eat fruit for breakfast and vegetable for dinner. He has 6 different types of fruit and 8 different types of vegetables. He can only eat one type at a time. In how many ways can he eat breakfast and dinner.A)54, B)24, C)48, D)20, E)36",C,"
Mapping: {x: ways to eat breakfast and dinner}
‘Eq1:x=6*8’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,6*8)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
39,"The average weight of 10 oarsmen in a boat is increased by 1.8 kg when one of the crew, who weighs 53 kg is replaced by a new man. Find the weight of the new man.A)71, B)62, C)43, D)67, E)40",A,"
Mapping: {x: weight of the new man}
‘Eq1: (10*(53+x))/11=53+1.8’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq((10*(53+x))/11,53+1.8)
solve(Eq1,x)
# end of Python Sympy
Answer: A",
40,"Sachin was twice as old as Ajay 10 years back. How old is Ajay today if Sachin will be 40 years old in 10 yearsA)18, B)25, C)15, D)20, E)21",D,"
Mapping: {x: Ajay's age today, y: Sachin's age 10 years back}
‘Eq1:x+10=2*(y-10)+40’
# using Python Sympy to solve for unknowns
from sympy import *
x,y = symbols('x, y')
Eq1 = Eq(x+10,2*(y-10)+40)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
41,"During one season, a tennis team won 20 matches and lost 30% of their matches. What was the number of matches that the team lost?A)70, B)30, C)3, D)7, E)5",C,"

Mapping: {x: number of matches that the team lost}
‘Eq1:x/(20+x)=30%’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x/(20+x),0.3)
solve(Eq1,x)
# end of Python Sympy
Answer: A",
42,"The difference between the squares of two numbers is 256000 and the sum of the numbers is 1000. The numbers areA)600, 400, B)628, 372, C)640, 360, D)None of these, E)Cannot be determined",B,"
Mapping: {x: first number, y: second number}
‘Eq1:x**2 - y**2 = 256000’
‘Eq2:x + y = 1000’
# using Python Sympy to solve for unknowns
x,y = symbols('x, y')
Eq1 = Eq(x**2 - y**2,256000)
Eq2 = Eq(x + y,1000)
print(solve([Eq1, Eq2],(x,y)))
# end of Python Sympy
Answer: C",
43,"Boomtown urban planners expect the city’s population to increase by 10% per year over the next two years. If that projection were to come true, the population two years from now would be exactly double the population of one year ago. Which of the following is closest to the percent population increase in Boomtown over the last year?A)20%, B)40%, C)50%, D)65%, E)75%",D,"
Mapping: {x: percent population increase in Boomtown over the last year}
‘Eq1:1.1**2=2’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(1.1**2,2)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
44,"A ship went on a voyage. After it had traveled 180 miles a plane started with 10 times the speed of the ship. Find the distance when they meet from starting point.A)238, B)289, C)200, D)287, E)187",C,"
Mapping: {x: distance when they meet from starting point}
‘Eq1:180+10x=x’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(180+10x,x)
solve(Eq1,x)
# end of Python Sympy
Answer: B",
45,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?A)10, B)11.5, C)12.5, D)13.5, E)15",C,"
Mapping: {x: total journey duration}
‘Eq1: (1/4)*100*x + (3/4)*75*x = 1000’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq((1/4)*100*x + (3/4)*75*x,1000)
solve(Eq1,x)
# end of Python Sympy
Answer: D",
46,"A number of friends decided to go on a picnic and planned to spend Rs. 96 on eatables. Four of them, however, did not turn up. As a consequence, the remaining ones had to contribute Rs. 4 extra, each. The number of those who attended the picnic wasA)8, B)12, C)16, D)24, E)25",A,"
Mapping: {x: number of friends who attended the picnic}
‘Eq1:x*(96/x+4)=96’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*(96/x+4),96)
solve(Eq1,x)
# end of Python Sympy
Answer: A",
47,"A bee bypasses 0.05% of flowers it flies by because it can sense they don't have any nectar in them. How many flowers will the bee fly by to bypass 8 flowers?A)2000, B)4000, C)8000, D)16000, E)32000",D,"
Mapping: {x: number of flowers the bee fly by}
‘Eq1:0.0005*x=8’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(0.0005*x,8)
solve(Eq1,x)
# end of Python Sympy
Answer: D",
48,"John conducted a survey about car color. 60% of the people who took the survey were women. Of the men who were surveyed, 75% preferred red cars over green cars. If 10 men liked green cars more than red, how many people took the survey?A)100, B)120, C)50, D)200, E)80",A,"
Mapping: {x: number of people who took the survey}
‘Eq1: 0.6*x + 0.75*(x-10) = x’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(0.6*x + 0.75*(x-10),x)
solve(Eq1,x)
# end of Python Sympy
Answer: D",
49,"At the of his one-year investment, Charles received $54,080, including interest and principal from a certain investment. If the investment paid an annual interest of 8 percent compounded semi-annually, which of the following is the amount of money that Charles originally invested?A)$45,000, B)$50,000, C)$54,000, D)$59,000, E)$62,000",B,"
Mapping: {x: amount of money that Charles originally invested}
‘Eq1:x*(1+0.08/2)**2=54080’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*(1+0.08/2)**2,54080)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
50,"A man spends Rs. 3500 per month and saves 12 1/2% of his income. His monthly income is ?A)Rs. 4400, B)Rs. 4270, C)Rs. 4000, D)Rs. 3937.50, E)None of these",C,"
Mapping: {x: monthly income}
‘Eq1:x*0.125=3500’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*0.125,3500)
solve(Eq1,x)
# end of Python Sympy
Answer: D",
51,"Exactly 2/5th of the children in a certain class are girls. If there are 100 boys in the class, how many girls are in the class?A)50, B)100, C)150, D)200, E)70",C,"
Mapping: {x: number of girls in the class}
‘Eq1:2/5*x=100’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2/5*x,100)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
52,"On a normal day Bill usually averages about 15 mph when riding his bicycle. On a windy day, his speed is reduced by 4 mph. How far can Bill travel on a windy day in 21 minutes? Round to the nearest hundredth.A)2 miles, B)2.25 miles, C)3.25 miles, D)3.85 miles, E)2.85 miles",D,"
Mapping: {x: distance traveled on a windy day}
‘Eq1:x=(15-4)*(21/60)’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,(15-4)*(21/60))
solve(Eq1,x)
# end of Python Sympy
Answer: B",
53,"Two ants are standing side-by-side. One ant, which is 4 inches tall, casts a shadow that is 10 inches long. The other ant is 6 inches tall. Compute, in inches, the length of the shadow that the taller ant casts.A)36, B)28, C)42, D)15, E)20",D,"
Mapping: {x: length of the shadow that the taller ant casts}
‘Eq1:x/4=10/6’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x/4,10/6)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
54,"If there are 5,000 voters out of which 20% are not eligible to vote and there are two candidates contesting. The winning candidate won by 15% of the votes. What is the total number of votes he got ?A)3267, B)2678, C)2797, D)2300, E)2781",D,"
Mapping: {x: total number of votes the winning candidate got}
‘Eq1:x/(5000*0.8)=0.15’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x/(5000*0.8),0.15)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
55,"A rope 20 meters long is cut into two pieces. If the length of one piece of rope is 3 meters shorter than the length of the other, what is the length, in meters, of the longer piece of rope?A)7.5, B)8.9, C)9.9, D)11.5, E)11.7",D,"
Mapping: {x: length of the longer piece of rope}
‘Eq1:x+x-3=20’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x+x-3,20)
solve(Eq1,x)
# end of Python Sympy
Answer: D",
56,"X and Y are two alloys which were made by mixing zinc and copper in the ratio 6:9 and 7:11, respectively. If 40 grams of alloy X and 60 grams of alloy Y are melted and mixed to form alloy Z, what is the ratio of zinc and copper in the alloy Z ?A)69:91, B)59:91, C)59:90, D)59:91, E)69:101",B,"
Mapping: {x: ratio of zinc in alloy Z, y: ratio of copper in alloy Z}
‘Eq1:6*40+7*60=x*100+y*100’
# using Python Sympy to solve for unknowns
from sympy import *
x,y = symbols('x, y')
Eq1 = Eq(6*40+7*60,x*100+y*100)
solve([Eq1],(x,y))
# end of Python Sympy
Answer: D",
57,"The population of a city is 5265526. If there are 4169516 adults in the city, how many children are there in the city?A)1095961, B)1065961, C)1085961, D)1097961, E)1096061",E,"
Mapping: {x: number of children in the city}
‘Eq1:x=5265526-4169516’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,5265526-4169516)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
58,"A number is as much greater than 36 as is less than 86. Find the Number.A)60, B)56, C)51, D)61, E)41",D,"
Mapping: {x: the number}
‘Eq1:x-36=86-x’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x-36,86-x)
solve(Eq1,x)
# end of Python Sympy
Answer: A",
59,"If m > 0, y > 0, and x is m percent of 4y, then, in terms of y, m is what percentage of x?A)y/400, B)4y, C)50y, D)2500/y, E)5000/y",D,"
Mapping: {x: m percent of 4y, y: percentage of x}
‘Eq1:m/x=y/100’
# using Python Sympy to solve for unknowns
from sympy import *
x,y = symbols('x, y')
Eq1 = Eq(m/x,y/100)
solve(Eq1,y)
# end of Python Sympy
Answer: D",
60,"A student instead of finding the value of 7/8 of a number, found the value of 7/18 of the number. If his answer differed from the actual one by 770, find the that number.A)1584, B)2520, C)1728, D)1656, E)None",A,"
Mapping: {x: the number}
‘Eq1:7/8*x-7/18*x=770’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(7/8*x-7/18*x,770)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
61,"If a subscription for 15 issues of a magazine costs $42.00 and represents a saving of 25 percent of the cover prices, what is the cover price per issue?A)$7.73, B)$6.73, C)$5.73, D)$4.73, E)$3.73",E,"
Mapping: {x: cover price per issue}
‘Eq1:15*x=42-0.25*42’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(15*x,42-0.25*42)
solve(Eq1,x)
# end of Python Sympy
Answer: A",
62,"It takes a worker 9 minutes to drive from home to work at an average rate of 20 kilometers per hour. How many minutes will it take the worker to cycle from home to work along the same route at an average rate of 6 kilometers per hour?A)30, B)32, C)35, D)36, E)40",A,"
Mapping: {x: minutes to cycle from home to work}
‘Eq1:20/9=6/x’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(20/9,6/x)
solve(Eq1,x)
# end of Python Sympy
Answer: D",
