,question,answer,median_answer,response_answer,response_answer_old,response_answer_new,mapping_old,response,response_answer_old,response_old,response_new
255," At Tom's Restaurant a group with 2 adults and 5 children came in to eat. If each meal cost 8 dollars, how much was the bill? ",56.0,56.0,56.0,36.0,56.0,"{'c0': 2.0, 'c1': 5.0, 'c2': 8.0}","There were 2 adults and 5 children in the group, so a total of 7 people. Each meal cost 8 dollars, so the total bill would be 7 x 8 = 56 dollars. The answer is 56.",36.0,"Solve the problem step by step:

1. Multiply the number of adults by the cost of each meal and the number of children by the cost of each child's meal. Let x be the total cost of the meals,
x = (c0 * c2) + (c1 * (c2/2))

2. Add the total cost of the meals to calculate the answer.
answer = x","Solve the problem step by step:

Information from question:

number_of_adults = c0
number_of_children = c1
meal_cost = c2

1. Multiply the number of adults by the meal cost to calculate the total cost of the adults' meals. Let adult_cost be the total cost of the adults' meals,
adult_cost = number_of_adults * meal_cost

2. Multiply the number of children by the meal cost to calculate the total cost of the children's meals. Let children_cost be the total cost of the children's meals,
children_cost = number_of_children * meal_cost

3. Add the total cost of the adults' meals and the total cost of the children's meals to calculate the total bill.
total_bill = adult_cost + children_cost

answer = total_bill"
262," Roger was putting his spare change into piles. He had 3 piles of quarters and 3 piles of dimes. If each pile had 7 coins in it, how many coins did he have total? ",42.0,42.0,42.0,42.0,735.0,"{'c0': 3.0, 'c1': 3.0, 'c2': 7.0}","Roger had 3 piles of quarters with 7 coins in each pile, which is 3 x 7 = 21 quarters. He also had 3 piles of dimes with 7 coins in each pile, which is 3 x 7 = 21 dimes. In total, he had 21 quarters + 21 dimes = 42 coins. The answer is 42.",42.0,"Solve the problem step by step:

1. Multiply the number of quarters in each pile by the number of piles of quarters. Let x be the total number of quarters,
x = c0 * c2

2. Multiply the number of dimes in each pile by the number of piles of dimes. Let y be the total number of dimes,
y = c1 * c2

3. Add the total number of quarters and the total number of dimes to calculate the answer.
answer = x + y","Solve the problem step by step:

Information from question:

quarters_piles = c0
dimes_piles = c1
coins_per_pile = c2

1. Multiply the number of quarters piles by the number of coins per pile to calculate the total number of quarters. Let total_quarters be the total number of quarters,
total_quarters = quarters_piles * coins_per_pile * 25

2. Multiply the number of dimes piles by the number of coins per pile to calculate the total number of dimes. Let total_dimes be the total number of dimes,
total_dimes = dimes_piles * coins_per_pile * 10

3. Add the total number of quarters and the total number of dimes to calculate the total number of coins.
total_coins = total_quarters + total_dimes

answer = total_coins"
277," Billy was putting his spare change into piles. He had 2 piles of quarters and 3 piles of dimes. If each pile had 4 coins in it, how many coins did he have total? ",20.0,320.0,320.0,20.0,320.0,"{'c0': 2.0, 'c1': 3.0, 'c2': 4.0}","Billy had 2 piles of quarters with 4 quarters in each pile, which is a total of 2 x 4 x 25 cents = 200 cents. He also had 3 piles of dimes with 4 dimes in each pile, which is a total of 3 x 4 x 10 cents = 120 cents. In total, he had 200 + 120 = 320 cents. The answer is 320 coins.",20.0,"Solve the problem step by step:

1. Multiply the number of quarters in each pile by the number of piles of quarters. Let x be the total number of quarters,
x = c0 * c2

2. Multiply the number of dimes in each pile by the number of piles of dimes. Let y be the total number of dimes,
y = c1 * c2

3. Add the total number of quarters and the total number of dimes to calculate the answer.
answer = x + y","Solve the problem step by step:

Information from question:

quarters_piles = c0
dimes_piles = c1
coins_per_pile = c2

1. Multiply the number of quarters piles by the number of coins per pile to calculate the total number of quarters. Let total_quarters be the total number of quarters,
total_quarters = quarters_piles * coins_per_pile * 25

2. Multiply the number of dimes piles by the number of coins per pile to calculate the total number of dimes. Let total_dimes be the total number of dimes,
total_dimes = dimes_piles * coins_per_pile * 10

3. Add the total number of quarters and the total number of dimes to calculate the total number of coins.
total_coins = total_quarters + total_dimes

answer = total_coins"
313," A pet shelter had 9 puppies when another 12 were brought in. If 3 puppies a day are adopted, how long would it take for all of them to be adopted? ",7.0,7.0,7.0,6.0,7.0,"{'c0': 9.0, 'c1': 12.0, 'c2': 3.0}","The pet shelter started with 9 puppies and then 12 more were brought in, making a total of 9 + 12 = 21 puppies. If 3 puppies are adopted each day, it will take 21 / 3 = 7 days to adopt all of them. The answer is 7.",6.0,"Solve the problem step by step:

1. Add the number of puppies brought in to the number of puppies already in the shelter to calculate the total number of puppies. Let x be the total number of puppies,
x = c0 + c1

2. Divide the remaining number of puppies by the number of puppies adopted per day to calculate the number of days it will take to adopt all the puppies. Let y be the number of days,
y = (x - c2) / c2

3. Round up the number of days to the nearest whole number to get the final answer.
answer = ceil(y)","Solve the problem step by step:

Information from question:

original_puppies = c0
new_puppies = c1
puppies_adopted_per_day = c2

1. Add the number of original puppies and the number of new puppies to calculate the total number of puppies. Let total_puppies be the total number of puppies,
total_puppies = original_puppies + new_puppies

2. Divide the total number of puppies by the number of puppies adopted per day to calculate the number of days it would take to adopt all the puppies.
days_to_adopt = total_puppies / puppies_adopted_per_day

answer = days_to_adopt"
314," Roger was helping the cafeteria workers pick up lunch trays, but he could only carry 4 trays at a time. If he had to pick up 10 trays from one table and 2 trays from another, how many trips will he make? ",3.0,3.0,3.0,3.0,,"{'c0': 4.0, 'c1': 10.0, 'c2': 2.0}","Roger can carry 4 trays at a time. He needs to pick up 10 trays from one table and 2 trays from another. That's a total of 10 + 2 = 12 trays. To figure out how many trips he needs to make, we divide the total number of trays by the number of trays he can carry in one trip: 12 ÷ 4 = 3. So Roger will need to make 3 trips. The answer is 3.",3.0,"Solve the problem step by step:

1. Add the number of trays from both tables to calculate the total number of trays. Let x be the total number of trays,
x = c1 + c2

2. Divide the total number of trays by the number of trays Roger can carry at a time to calculate the number of trips he will make.
answer = x / c0","Solve the problem step by step:

Information from question:

trays_per_trip = c0
trays_table1 = c1
trays_table2 = c2

1. Add the number of trays from both tables to calculate the total number of trays.
total_trays = trays_table1 + trays_table2

2. Divide the total number of trays by the number of trays Roger can carry per trip to calculate the number of trips he will make.
trips = total_trays / trays_per_trip

answer = trips (rounded up to the nearest whole number if necessary)"
324," For Halloween Megan received 11 pieces of candy from neighbors and 5 pieces from her older sister. If she only ate 8 pieces a day, how long would the candy last her? ",2.0,2.0,2.0,,2.0,"{'c0': 11.0, 'c1': 5.0, 'c2': 8.0}","Megan received 11 pieces of candy from neighbors and 5 pieces from her sister, so she had 11 + 5 = 16 pieces of candy. If she ate 8 pieces a day, the candy would last her 16 / 8 = 2 days. The answer is 2.",,"Solve the problem step by step:

1. Add the number of pieces of candy Megan received from her neighbors and her sister to calculate the total number of pieces of candy. Let x be the total number of pieces of candy,
x = c0 + c1

2. Subtract the number of pieces of candy Megan eats each day from the total number of pieces of candy to calculate the remaining number of pieces of candy. Let y be the remaining number of pieces of candy,
y = x - c2 * t

3. Solve for t, the number of days the candy will last by dividing the remaining number of pieces of candy by the number of pieces of candy Megan eats each day,
t = y / c2","Solve the problem step by step:

Information from question:

candy_from_neighbors = c0
candy_from_sister = c1
candy_eaten_per_day = c2

1. Add the number of candies Megan received from her neighbors and her sister to calculate the total number of candies. Let total_candies be the total number of candies,
total_candies = candy_from_neighbors + candy_from_sister

2. Divide the total number of candies by the number of candies Megan eats per day to calculate how many days the candy will last her.
days_of_candy = total_candies / candy_eaten_per_day

answer = days_of_candy"
326," There school's baseball team had 4 new players and 6 returning players. If the coach put them into groups with 5 players in each group, how many groups would there be? ",2.0,2.0,3.0,2.0,2.0,"{'c0': 4.0, 'c1': 6.0, 'c2': 5.0}","There are a total of 4 + 6 = 10 players. If they are put into groups of 5 players each, there will be 2 groups of 5 players and 1 group of 4 players. The answer is 3 groups.",2.0,"Solve the problem step by step:

1. Add the number of new players and the number of returning players to calculate the total number of players. Let x be the total number of players,
x = c0 + c1

2. Divide the total number of players by the number of players in each group to calculate the number of groups.
answer = x / c2","Solve the problem step by step:

Information from question:

new_players = c0
returning_players = c1
players_per_group = c2

1. Add the number of new players and the number of returning players to calculate the total number of players. Let total_players be the total number of players,
total_players = new_players + returning_players

2. Divide the total number of players by the number of players per group to calculate the number of groups.
total_groups = total_players / players_per_group

answer = total_groups"
327," A pet shelter had 5 puppies when another 35 were brought in. If 8 puppies a day are adopted, how long would it take for all of them to be adopted? ",5.0,5.0,5.0,4.0,5.0,"{'c0': 5.0, 'c1': 35.0, 'c2': 8.0}","The shelter started with 5 puppies and then 35 more were brought in, so they had a total of 40 puppies. If 8 puppies are adopted each day, it will take 40 / 8 = 5 days to adopt all of them. The answer is 5 days.",4.0,"Solve the problem step by step:

1. Add the number of puppies brought in to the number of puppies already in the shelter to calculate the total number of puppies. Let x be the total number of puppies,
x = c0 + c1

2. Subtract the number of puppies adopted each day from the total number of puppies to calculate the remaining number of puppies. Let y be the remaining number of puppies,
y = x - c2

3. Divide the remaining number of puppies by the number of puppies adopted each day to calculate the number of days it would take to adopt all the puppies.
answer = y / c2","Solve the problem step by step:

Information from question:

original_puppies = c0
new_puppies = c1
puppies_adopted_per_day = c2

1. Add the number of original puppies and the number of new puppies to calculate the total number of puppies. Let total_puppies be the total number of puppies,
total_puppies = original_puppies + new_puppies

2. Divide the total number of puppies by the number of puppies adopted per day to calculate the number of days it would take to adopt all the puppies.
days_to_adopt = total_puppies / puppies_adopted_per_day

answer = days_to_adopt"
334," Henry was helping the cafeteria workers pick up lunch trays, but he could only carry 9 trays at a time. If he had to pick up 29 trays from one table and 52 trays from another, how many trips will he make? ",9.0,9.0,9.0,9.0,,"{'c0': 9.0, 'c1': 29.0, 'c2': 52.0}","Henry can carry 9 trays at a time. He needs to pick up 29 trays from one table and 52 trays from another. So in total, he needs to pick up 29 + 52 = 81 trays. To figure out how many trips he will make, we divide the total number of trays by the number of trays he can carry in one trip: 81 ÷ 9 = 9. Henry will make 9 trips. The answer is 9.",9.0,"Solve the problem step by step:

1. Add the number of trays from both tables to calculate the total number of trays. Let x be the total number of trays,
x = c1 + c2

2. Divide the total number of trays by the number of trays Henry can carry at a time to calculate the number of trips he will make.
answer = x / c0","Solve the problem step by step:

Information from question:

trays_per_trip = c0
trays_table1 = c1
trays_table2 = c2

1. Add the number of trays from both tables to calculate the total number of trays.
total_trays = trays_table1 + trays_table2

2. Divide the total number of trays by the number of trays Henry can carry per trip to calculate the number of trips he will make.
trips = total_trays / trays_per_trip

answer = trips (rounded up to the nearest whole number if necessary)"
344," Jerry was helping the cafeteria workers pick up lunch trays, but he could only carry 8 trays at a time. If he had to pick up 9 trays from one table and 7 trays from another, how many trips will he make? ",2.0,2.0,2.0,2.0,,"{'c0': 8.0, 'c1': 9.0, 'c2': 7.0}","Jerry can only carry 8 trays at a time. He needs to pick up 9 trays from one table and 7 trays from another. That's a total of 9 + 7 = 16 trays. To figure out how many trips he needs to make, we divide the total number of trays by the number of trays he can carry in one trip: 16 ÷ 8 = 2. Jerry will need to make 2 trips. The answer is 2.",2.0,"Solve the problem step by step:

1. Add the number of trays from both tables to calculate the total number of trays. Let x be the total number of trays,
x = c1 + c2

2. Divide the total number of trays by the number of trays Jerry can carry at a time to calculate the number of trips he will make.
answer = x / c0","Solve the problem step by step:

Information from question:

trays_per_trip = c0
trays_table1 = c1
trays_table2 = c2

1. Add the number of trays from both tables to calculate the total number of trays.
total_trays = trays_table1 + trays_table2

2. Divide the total number of trays by the number of trays Jerry can carry per trip to calculate the number of trips he will make.
trips = total_trays / trays_per_trip

answer = trips (rounded up to the nearest whole number if necessary)"
347," A pet shelter had 17 puppies when another 55 were brought in. If 8 puppies a day are adopted, how long would it take for all of them to be adopted? ",9.0,9.0,9.0,8.0,9.0,"{'c0': 17.0, 'c1': 55.0, 'c2': 8.0}","The shelter started with 17 puppies and then 55 more were brought in, so they had a total of 17 + 55 = 72 puppies. If 8 puppies are adopted each day, it will take 72 / 8 = 9 days to adopt all of them. The answer is 9 days.",8.0,"Solve the problem step by step:

1. Add the number of puppies brought in to the number of puppies already in the shelter to calculate the total number of puppies. Let x be the total number of puppies,
x = c0 + c1

2. Subtract the number of puppies adopted each day from the total number of puppies to calculate the remaining number of puppies. Let y be the remaining number of puppies,
y = x - c2

3. Divide the remaining number of puppies by the number of puppies adopted each day to calculate the number of days it would take to adopt all the puppies.
answer = y / c2","Solve the problem step by step:

Information from question:

original_puppies = c0
new_puppies_brought_in = c1
puppies_adopted_per_day = c2

1. Add the number of new puppies brought in to the number of original puppies to calculate the total number of puppies. Let total_puppies be the total number of puppies,
total_puppies = original_puppies + new_puppies_brought_in

2. Divide the total number of puppies by the number of puppies adopted per day to calculate the number of days it would take to adopt all the puppies.
days_to_adopt = total_puppies / puppies_adopted_per_day

answer = days_to_adopt"
354," Jerry was helping the cafeteria workers pick up lunch trays, but he could only carry 8 trays at a time. If he had to pick up 9 trays from one table and 7 trays from another, how many trips will he make? ",2.0,2.0,2.0,2.0,,"{'c0': 8.0, 'c1': 9.0, 'c2': 7.0}","Jerry can only carry 8 trays at a time. He needs to pick up 9 trays from one table and 7 trays from another. That's a total of 9 + 7 = 16 trays. To figure out how many trips he needs to make, we divide the total number of trays by the number of trays he can carry in one trip: 16 ÷ 8 = 2. Jerry will need to make 2 trips. The answer is 2.",2.0,"Solve the problem step by step:

1. Add the number of trays from both tables to calculate the total number of trays. Let x be the total number of trays,
x = c1 + c2

2. Divide the total number of trays by the number of trays Jerry can carry at a time to calculate the number of trips he will make.
answer = x / c0","Solve the problem step by step:

Information from question:

trays_per_trip = c0
trays_table1 = c1
trays_table2 = c2

1. Add the number of trays from both tables to calculate the total number of trays.
total_trays = trays_table1 + trays_table2

2. Divide the total number of trays by the number of trays Jerry can carry per trip to calculate the number of trips he will make.
trips = total_trays / trays_per_trip

answer = trips (rounded up to the nearest whole number if necessary)"
357," A pet shelter had 17 puppies when another 55 were brought in. If 8 puppies a day are adopted, how long would it take for all of them to be adopted? ",9.0,9.0,9.0,8.0,9.0,"{'c0': 17.0, 'c1': 55.0, 'c2': 8.0}","The shelter started with 17 puppies and then 55 more were brought in, so they had a total of 17 + 55 = 72 puppies. If 8 puppies are adopted each day, it will take 72 / 8 = 9 days to adopt all of them. The answer is 9 days.",8.0,"Solve the problem step by step:

1. Add the number of puppies brought in to the number of puppies already in the shelter to calculate the total number of puppies. Let x be the total number of puppies,
x = c0 + c1

2. Subtract the number of puppies adopted each day from the total number of puppies to calculate the remaining number of puppies. Let y be the remaining number of puppies,
y = x - c2

3. Divide the remaining number of puppies by the number of puppies adopted each day to calculate the number of days it would take to adopt all the puppies.
answer = y / c2","Solve the problem step by step:

Information from question:

original_puppies = c0
new_puppies = c1
puppies_adopted_per_day = c2

1. Add the number of original puppies and the number of new puppies to calculate the total number of puppies. Let total_puppies be the total number of puppies,
total_puppies = original_puppies + new_puppies

2. Divide the total number of puppies by the number of puppies adopted per day to calculate the number of days it would take to adopt all the puppies.
days_to_adopt = total_puppies / puppies_adopted_per_day

answer = days_to_adopt"
