,question,answer,median_answer,response_answer,response_answer_arith,response_answer_var,mapping_arith,response,response_arith,response_var
251," There were 2 friends playing a video game online when 2 more players joined the game. If each player had 3 lives, how many lives did they have total? ",12,12,18,12,12,"{'c0': 2.0, 'c1': 2.0, 'c2': 3.0}","There were originally 2 friends playing, so they had 2 x 3 = 6 lives. When 2 more players joined, there were a total of 4 players, so they had 4 x 3 = 12 lives. In total, they had 6 + 12 = 18 lives. The answer is 18.","Solve the problem step by step:

1. Add the number of original players and the number of new players to calculate the total number of players. Let x be the total number of players,
x = c0 + c1

2. Multiply the number of lives each player has by the total number of players to calculate the total number of lives.
total lives = x * c2

3. Calculate the answer by substituting the value of x in the above equation.
answer = (c0 + c1) * c2","There were originally c0 friends playing. c1 more players joined, so there were c0 + c1 players in total. Each player had c2 lives, so the total number of lives is (c0 + c1) * c2. 
total_lives = (c0 + c1) * c2

The answer is total_lives."
255," At Tom's Restaurant a group with 2 adults and 5 children came in to eat. If each meal cost 8 dollars, how much was the bill? ",56,56,56,36,56,"{'c0': 2.0, 'c1': 5.0, 'c2': 8.0}","There were 2 adults and 5 children in the group, so a total of 7 people. Each meal cost 8 dollars, so the total bill would be 7 x 8 = 56 dollars. The answer is 56.","Solve the problem step by step:

1. Multiply the number of adults by the cost of each meal and the number of children by the cost of each child's meal. Let x be the total cost of the meals,
x = (c0 * c2) + (c1 * (c2/2))

2. Add the total cost of the meals to calculate the answer.
answer = x","The group had c0 adults and c1 children, so the total number of people is c0 + c1. If each meal costs c2 dollars, then the total cost of the meals is (c0 + c1) * c2 dollars. 

The answer is (c0 + c1) * c2."
277," Billy was putting his spare change into piles. He had 2 piles of quarters and 3 piles of dimes. If each pile had 4 coins in it, how many coins did he have total? ",20,20,320,20,20,"{'c0': 2.0, 'c1': 3.0, 'c2': 4.0}","Billy had 2 piles of quarters with 4 quarters in each pile, which is a total of 2 x 4 x 25 cents = 200 cents. He also had 3 piles of dimes with 4 dimes in each pile, which is a total of 3 x 4 x 10 cents = 120 cents. In total, he had 200 + 120 = 320 cents. The answer is 320 coins.","Solve the problem step by step:

1. Multiply the number of quarters in each pile by the number of piles of quarters. Let x be the total number of quarters,
x = c0 * c2

2. Multiply the number of dimes in each pile by the number of piles of dimes. Let y be the total number of dimes,
y = c1 * c2

3. Add the total number of quarters and the total number of dimes to calculate the answer.
answer = x + y","Billy had c0 piles of quarters, each with c2 quarters, so he had c0 * c2 quarters. 
quarters_total = c0 * c2

Billy also had c1 piles of dimes, each with c2 dimes, so he had c1 * c2 dimes. 
dimes_total = c1 * c2

In total, Billy had quarters_total + dimes_total coins. 
total_coins = quarters_total + dimes_total

The answer is total_coins."
313," A pet shelter had 9 puppies when another 12 were brought in. If 3 puppies a day are adopted, how long would it take for all of them to be adopted? ",7,7,7,6,7,"{'c0': 9.0, 'c1': 12.0, 'c2': 3.0}","The pet shelter started with 9 puppies and then 12 more were brought in, making a total of 9 + 12 = 21 puppies. If 3 puppies are adopted each day, it will take 21 / 3 = 7 days to adopt all of them. The answer is 7.","Solve the problem step by step:

1. Add the number of puppies brought in to the number of puppies already in the shelter to calculate the total number of puppies. Let x be the total number of puppies,
x = c0 + c1

2. Divide the remaining number of puppies by the number of puppies adopted per day to calculate the number of days it will take to adopt all the puppies. Let y be the number of days,
y = (x - c2) / c2

3. Round up the number of days to the nearest whole number to get the final answer.
answer = ceil(y)","The pet shelter had c0 puppies originally. c1 more puppies were brought in, so the total number of puppies is c0 + c1. 

If c2 puppies are adopted each day, then it will take (c0 + c1) / c2 days to adopt all the puppies. 

The answer is (c0 + c1) / c2."
317, Wendy's old washing machine could only wash 8 pieces of clothing at a time. If she had to wash 39 shirts and 33 sweaters how many loads would she have to do? ,9,9,9,9,,"{'c0': 8.0, 'c1': 39.0, 'c2': 33.0}","Wendy has 39 shirts and 33 sweaters, which is a total of 39 + 33 = 72 pieces of clothing. Her washing machine can only wash 8 pieces at a time, so she will need to do 72 / 8 = 9 loads. The answer is 9.","Solve the problem step by step:

1. Add the number of shirts and the number of sweaters to calculate the total number of clothing items. Let x be the total number of clothing items,
x = c1 + c2

2. Divide the total number of clothing items by the number of clothing items that can be washed at a time to calculate the number of loads needed.
answer = x / c0","Wendy's washing machine can wash c0 pieces of clothing at a time. She has c1 shirts and c2 sweaters to wash. 

To calculate the total number of pieces of clothing, we add c1 and c2. 
total_clothing = c1 + c2

To calculate the number of loads, we divide the total number of clothing by the washing machine's capacity. We can use integer division to get a whole number. 
num_loads = total_clothing // c0

If there are any remaining pieces of clothing that couldn't fit in a full load, Wendy would need to do an additional load. We can check if there is a remainder after the division. 
if total_clothing % c0 != 0:
    num_loads += 1

The answer is num_loads."
324," For Halloween Megan received 11 pieces of candy from neighbors and 5 pieces from her older sister. If she only ate 8 pieces a day, how long would the candy last her? ",2,2,2,0,2,"{'c0': 11.0, 'c1': 5.0, 'c2': 8.0}","Megan received 11 pieces of candy from neighbors and 5 pieces from her sister, so she had 11 + 5 = 16 pieces of candy. If she ate 8 pieces a day, the candy would last her 16 / 8 = 2 days. The answer is 2.","Solve the problem step by step:

1. Add the number of pieces of candy Megan received from her neighbors and her sister to calculate the total number of pieces of candy. Let x be the total number of pieces of candy,
x = c0 + c1

2. Subtract the number of pieces of candy Megan eats each day from the total number of pieces of candy to calculate the remaining number of pieces of candy. Let y be the remaining number of pieces of candy,
y = x - c2 * t

3. Solve for t, the number of days the candy will last by dividing the remaining number of pieces of candy by the number of pieces of candy Megan eats each day,
t = y / c2","Megan received c0 pieces of candy from neighbors and c1 pieces from her sister. So she has a total of c0 + c1 pieces of candy. 

If she eats c2 pieces a day, the candy will last her (c0 + c1) / c2 days. 

The answer is (c0 + c1) / c2."
326," There school's baseball team had 4 new players and 6 returning players. If the coach put them into groups with 5 players in each group, how many groups would there be? ",2,2,3,2,2,"{'c0': 4.0, 'c1': 6.0, 'c2': 5.0}","There are a total of 4 + 6 = 10 players. If they are put into groups of 5 players each, there will be 2 groups of 5 players and 1 group of 4 players. The answer is 3 groups.","Solve the problem step by step:

1. Add the number of new players and the number of returning players to calculate the total number of players. Let x be the total number of players,
x = c0 + c1

2. Divide the total number of players by the number of players in each group to calculate the number of groups.
answer = x / c2","The total number of players is c0 + c1. To find the number of groups, we need to divide the total number of players by the number of players in each group. 
number_of_groups = (c0 + c1) / c2

The answer is number_of_groups."
327," A pet shelter had 5 puppies when another 35 were brought in. If 8 puppies a day are adopted, how long would it take for all of them to be adopted? ",5,5,5,4,5,"{'c0': 5.0, 'c1': 35.0, 'c2': 8.0}","The shelter started with 5 puppies and then 35 more were brought in, so they had a total of 40 puppies. If 8 puppies are adopted each day, it will take 40 / 8 = 5 days to adopt all of them. The answer is 5 days.","Solve the problem step by step:

1. Add the number of puppies brought in to the number of puppies already in the shelter to calculate the total number of puppies. Let x be the total number of puppies,
x = c0 + c1

2. Subtract the number of puppies adopted each day from the total number of puppies to calculate the remaining number of puppies. Let y be the remaining number of puppies,
y = x - c2

3. Divide the remaining number of puppies by the number of puppies adopted each day to calculate the number of days it would take to adopt all the puppies.
answer = y / c2","The pet shelter originally had c0 puppies. c1 more puppies were brought in, so the total number of puppies is c0 + c1. 

If c2 puppies are adopted each day, then it will take (c0 + c1) / c2 days to adopt all the puppies. 

The answer is (c0 + c1) / c2."
329," Dave was helping the cafeteria workers pick up lunch trays, but he could only carry 9 trays at a time. If he had to pick up 17 trays from one table and 55 trays from another, how many trips will he make? ",8,8,8,8,,"{'c0': 9.0, 'c1': 17.0, 'c2': 55.0}",Dave can carry 9 trays at a time. He needs to pick up 17 trays from one table and 55 trays from another. So he needs to make (17 + 55) / 9 = 8 trips. The answer is 8.,"Solve the problem step by step:

1. Add the number of trays from both tables to calculate the total number of trays. Let x be the total number of trays,
x = c1 + c2

2. Divide the total number of trays by the number of trays Dave can carry at a time to calculate the number of trips he will make.
answer = x / c0","Dave can carry c0 trays at a time. He needs to pick up c1 trays from one table and c2 trays from another. So he will need to make at least 2 trips. 

On the first trip, he can carry c0 trays from one table. On the second trip, he can carry c0 trays from the other table. 

If c1 and c2 are both less than or equal to c0, then he can pick up all the trays in one trip. Otherwise, he will need to make more than 2 trips. 

The answer is either 2 or more, depending on the values of c0, c1, and c2."
334," Henry was helping the cafeteria workers pick up lunch trays, but he could only carry 9 trays at a time. If he had to pick up 29 trays from one table and 52 trays from another, how many trips will he make? ",9,9,9,9,10,"{'c0': 9.0, 'c1': 29.0, 'c2': 52.0}","Henry can carry 9 trays at a time. He needs to pick up 29 trays from one table and 52 trays from another. So in total, he needs to pick up 29 + 52 = 81 trays. To figure out how many trips he will make, we divide the total number of trays by the number of trays he can carry in one trip: 81 ������ 9 = 9. Henry will make 9 trips. ","Solve the problem step by step:

1. Add the number of trays from both tables to calculate the total number of trays. Let x be the total number of trays,
x = c1 + c2

2. Divide the total number of trays by the number of trays Henry can carry at a time to calculate the number of trips he will make.
answer = x / c0","Henry can carry c0 trays at a time. He needs to pick up c1 trays from one table and c2 trays from another. So he will need to make at least 2 trips. 

On the first trip, he can carry c0 trays from one table. So he will need to make ceil(c1/c0) trips to pick up all the trays from that table. 

On the second trip, he can carry c0 trays from the other table. So he will need to make ceil(c2/c0) trips to pick up all the trays from that table. 

Therefore, the total number of trips he will make is ceil(c1/c0) + ceil(c2/c0).

The answer is ceil(c1/c0) + ceil(c2/c0)."
344," Jerry was helping the cafeteria workers pick up lunch trays, but he could only carry 8 trays at a time. If he had to pick up 9 trays from one table and 7 trays from another, how many trips will he make? ",2,2,2,2,,"{'c0': 8.0, 'c1': 9.0, 'c2': 7.0}","Jerry can only carry 8 trays at a time. He needs to pick up 9 trays from one table and 7 trays from another. That's a total of 9 + 7 = 16 trays. To figure out how many trips he needs to make, we divide the total number of trays by the number of trays he can carry in one trip: 16 ������ 8 = 2. Jerry will need to make 2 trips. ","Solve the problem step by step:

1. Add the number of trays from both tables to calculate the total number of trays. Let x be the total number of trays,
x = c1 + c2

2. Divide the total number of trays by the number of trays Jerry can carry at a time to calculate the number of trips he will make.
answer = x / c0","Jerry can carry c0 trays at a time. He needs to pick up c1 trays from one table and c2 trays from another. So he will need to make at least 2 trips. 

On the first trip, he can carry c0 trays from one table. On the second trip, he can carry c0 trays from the other table. 

If c1 and c2 are both less than or equal to c0, then he can pick up all the trays in one trip. Otherwise, he will need to make more than 2 trips. 

The answer is either 2 or more, depending on the values of c0, c1, and c2."
347," A pet shelter had 17 puppies when another 55 were brought in. If 8 puppies a day are adopted, how long would it take for all of them to be adopted? ",9,9,9,8,9,"{'c0': 17.0, 'c1': 55.0, 'c2': 8.0}","The shelter started with 17 puppies and then 55 more were brought in, so they had a total of 17 + 55 = 72 puppies. If 8 puppies are adopted each day, it will take 72 / 8 = 9 days to adopt all of them. The answer is 9 days.","Solve the problem step by step:

1. Add the number of puppies brought in to the number of puppies already in the shelter to calculate the total number of puppies. Let x be the total number of puppies,
x = c0 + c1

2. Subtract the number of puppies adopted each day from the total number of puppies to calculate the remaining number of puppies. Let y be the remaining number of puppies,
y = x - c2

3. Divide the remaining number of puppies by the number of puppies adopted each day to calculate the number of days it would take to adopt all the puppies.
answer = y / c2","The pet shelter had c0 puppies originally. c1 more puppies were brought in, so the total number of puppies is c0 + c1. 

If c2 puppies are adopted each day, then it will take (c0 + c1) / c2 days to adopt all the puppies. 

The answer is (c0 + c1) / c2."
357," A pet shelter had 17 puppies when another 55 were brought in. If 8 puppies a day are adopted, how long would it take for all of them to be adopted? ",9,9,9,8,9,"{'c0': 17.0, 'c1': 55.0, 'c2': 8.0}","The shelter started with 17 puppies and then 55 more were brought in, so they had a total of 17 + 55 = 72 puppies. If 8 puppies are adopted each day, it will take 72 / 8 = 9 days to adopt all of them. The answer is 9 days.","Solve the problem step by step:

1. Add the number of puppies brought in to the number of puppies already in the shelter to calculate the total number of puppies. Let x be the total number of puppies,
x = c0 + c1

2. Subtract the number of puppies adopted each day from the total number of puppies to calculate the remaining number of puppies. Let y be the remaining number of puppies,
y = x - c2

3. Divide the remaining number of puppies by the number of puppies adopted each day to calculate the number of days it would take to adopt all the puppies.
answer = y / c2","The pet shelter had c0 puppies originally. c1 more puppies were brought in, so the total number of puppies is c0 + c1. 

If c2 puppies are adopted each day, then it will take (c0 + c1) / c2 days to adopt all the puppies. 

The answer is (c0 + c1) / c2."
360," A pet shelter had 8 puppies when another 19 were brought in. If 3 puppies a day are adopted, how long would it take for all of them to be adopted? ",9,9,9,8,9,"{'c0': 8.0, 'c1': 19.0, 'c2': 3.0}","The shelter started with 8 puppies and 19 more were brought in, so they had a total of 8 + 19 = 27 puppies. If 3 puppies are adopted each day, it will take 27 / 3 = 9 days to adopt all of them. The answer is 9 days.","Solve the problem step by step:

1. Add the number of puppies brought in to the number of puppies already in the shelter to calculate the total number of puppies. Let x be the total number of puppies,
x = c0 + c1

2. Divide the remaining number of puppies by the number of puppies adopted per day to calculate the number of days it will take to adopt all the puppies. Let y be the number of days,
y = (x - c2) / c2

3. Round up the number of days to the nearest whole number to get the final answer.
answer = ceil(y)","The pet shelter had c0 puppies originally. c1 more puppies were brought in, so the total number of puppies is c0 + c1. 

If c2 puppies are adopted each day, then it will take (c0 + c1) / c2 days to adopt all the puppies. 

The answer is (c0 + c1) / c2."
377," A pet shelter had 3 puppies when another 3 were brought in. If 3 puppies a day are adopted, how long would it take for all of them to be adopted? ",2,2,2,1,2,"{'c0': 3.0, 'c1': 3.0, 'c2': 3.0}","The shelter started with 3 puppies and then 3 more were brought in, so they had a total of 6 puppies. If 3 puppies are adopted each day, it will take 6 ������ 3 = 2 days to adopt all of them. ","Solve the problem step by step:

1. Add the number of puppies brought in to the number of puppies already in the shelter to calculate the total number of puppies. Let x be the total number of puppies,
x = c0 + c1

2. Subtract the number of puppies adopted each day from the total number of puppies to calculate the remaining number of puppies. Let y be the remaining number of puppies,
y = x - c2

3. Divide the remaining number of puppies by the number of puppies adopted each day to calculate the number of days it would take to adopt all the puppies.
answer = y / c2","The pet shelter had c0 puppies originally. c1 more puppies were brought in, so the total number of puppies is c0 + c1. 

If c2 puppies are adopted each day, then it will take (c0 + c1) / c2 days to adopt all the puppies. 

The answer is (c0 + c1) / c2."
386," A pet shelter had 2 puppies when another 34 were brought in. If 4 puppies a day are adopted, how long would it take for all of them to be adopted? ",9,9,9,8,9,"{'c0': 2.0, 'c1': 34.0, 'c2': 4.0}","The shelter started with 2 puppies and then 34 more were brought in, so they had a total of 2 + 34 = 36 puppies. If 4 puppies are adopted each day, it will take 36 / 4 = 9 days to adopt all of them. The answer is 9 days.","Solve the problem step by step:

1. Add the number of puppies brought in to the number of puppies already in the shelter to calculate the total number of puppies. Let x be the total number of puppies,
x = c0 + c1

2. Divide the remaining number of puppies by the number of puppies adopted per day to calculate the number of days it will take to adopt all the puppies. Let y be the number of days,
y = (x - c2) / c2

3. Round up the number of days to the nearest whole number to get the final answer.
answer = ceil(y)","The pet shelter had c0 puppies originally. c1 more puppies were brought in, so the total number of puppies is c0 + c1. 

If c2 puppies are adopted each day, then it will take (c0 + c1) / c2 days to adopt all the puppies. 

The answer is (c0 + c1) / c2."
394," Victor was helping the cafeteria workers pick up lunch trays, but he could only carry 7 trays at a time. If he had to pick up 23 trays from one table and 5 trays from another, how many trips will he make? ",4,4,4,4,5,"{'c0': 7.0, 'c1': 23.0, 'c2': 5.0}","Victor can carry 7 trays at a time. He needs to pick up 23 trays from one table and 5 trays from another. So in total, he needs to carry 23 + 5 = 28 trays. Since he can only carry 7 at a time, he will need to make 28 / 7 = 4 trips. The answer is 4.","Solve the problem step by step:

1. Add the number of trays from both tables to calculate the total number of trays. Let x be the total number of trays,
x = c1 + c2

2. Divide the total number of trays by the number of trays Victor can carry at a time to calculate the number of trips he will make.
answer = x / c0","Victor can only carry c0 trays at a time. He needs to pick up c1 trays from one table and c2 trays from another. So he will need to make at least two trips, one for each table. 

For the first table, he will need to make c1/c0 rounded up to the nearest whole number trips. 
trips_table1 = ceil(c1/c0)

For the second table, he will need to make c2/c0 rounded up to the nearest whole number trips. 
trips_table2 = ceil(c2/c0)

The total number of trips he will make is trips_table1 + trips_table2. 
total_trips = trips_table1 + trips_table2

The answer is total_trips."
403," There were 11 friends playing a video game online when 5 players quit. If each player left had 5 lives, how many lives did they have total? ",30,30,30,55,30,"{'c0': 11.0, 'c1': 5.0, 'c2': 5.0}","There were originally 11 friends playing. 5 players quit, so there were 11 - 5 = 6 players left. Each player had 5 lives, so the total number of lives was 6 x 5 = 30. The answer is 30.","Solve the problem step by step:

1. Multiply the number of players who quit by the number of lives each player had to calculate the total number of lives lost. Let x be the total number of lives lost,
x = c1 * c2

2. Multiply the number of players remaining by the number of lives each player had to calculate the total number of lives remaining. Let y be the total number of lives remaining,
y = (c0 - c1) * c2

3. Add the total number of lives lost and the total number of lives remaining to calculate the answer.
answer = x + y","After c1 players quit, there were c0 - c1 friends left playing. Each of them had c2 lives. So the total number of lives left is (c0 - c1) * c2. 
total_lives = (c0 - c1) * c2

The answer is total_lives."
414," There were 16 friends playing a video game online when 7 players quit. If each player left had 8 lives, how many lives did they have total? ",72,72,72,128,72,"{'c0': 16.0, 'c1': 7.0, 'c2': 8.0}","There were originally 16 friends playing. 7 players quit, so there were 16 - 7 = 9 players left. Each player had 8 lives, so 9 players x 8 lives each = 72 lives total. The answer is 72.","Solve the problem step by step:

1. Multiply the number of players who quit by the number of lives each player had to calculate the total number of lives lost. Let x be the total number of lives lost,
x = c1 * c2

2. Multiply the number of players remaining by the number of lives each player had to calculate the total number of lives remaining. Let y be the total number of lives remaining,
y = (c0 - c1) * c2

3. Add the total number of lives lost and the total number of lives remaining to calculate the answer.
answer = x + y","After c1 players quit, there were c0 - c1 friends left playing. Each of them had c2 lives. So the total number of lives is (c0 - c1) * c2. 
total_lives = (c0 - c1) * c2

The answer is total_lives."
420," There were 8 friends playing a video game online when 5 players quit. If each player left had 5 lives, how many lives did they have total? ",15,15,15,40,15,"{'c0': 8.0, 'c1': 5.0, 'c2': 5.0}","There were originally 8 friends playing. 5 players quit, so there were 8 - 5 = 3 players left. Each player had 5 lives, so the total number of lives left is 3 x 5 = 15. The answer is 15.","Solve the problem step by step:

1. Multiply the number of players who quit by the number of lives each player had to calculate the total number of lives lost. Let x be the total number of lives lost,
x = c1 * c2

2. Multiply the number of players remaining by the number of lives each player had to calculate the total number of lives remaining. Let y be the total number of lives remaining,
y = (c0 - c1) * c2

3. Add the total number of lives lost and the total number of lives remaining to calculate the answer.
answer = x + y","After c1 players quit, there were c0 - c1 friends left playing. Each of them had c2 lives. So the total number of lives left is (c0 - c1) * c2. 
total_lives = (c0 - c1) * c2

The answer is total_lives."
