,question,answer,response,tokens,logprobs,mapping,response_answer,equations,,,,,,,,,,
124," A teacher had c0 worksheets to grade. If she graded c1, but then another c2 were turned in, how many worksheets would she have to grade? ",49," The teacher had c0 worksheets to grade. If she graded c1, she would have c0-c1 worksheets left to grade. 
worksheets_left = c0 - c1

If another c2 were turned in, she would have worksheets_left + c2 worksheets to grade. 
worksheets_total = worksheets_left + c2

The answer is worksheets_total.","[' The', ' teacher', ' had', ' c', '0', ' works', 'he', 'ets', ' to', ' grade', '.', ' If', ' she', ' graded', ' c', '1', ',', ' she', ' would', ' have', ' c', '0', '-', 'c', '1', ' works', 'he', 'ets', ' left', ' to', ' grade', '.', ' ', '\n', 'works', 'he', 'ets', '_', 'left', ' =', ' c', '0', ' -', ' c', '1', '\n', '\n', 'If', ' another', ' c', '2', ' were', ' turned', ' in', ',', ' she', ' would', ' have', ' works', 'he', 'ets', '_', 'left', ' +', ' c', '2', ' works', 'he', 'ets', ' to', ' grade', '.', ' ', '\n', 'works', 'he', 'ets', '_', 'total', ' =', ' works', 'he', 'ets', '_', 'left', ' +', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' works', 'he', 'ets', '_', 'total', '.']","[-0.18398987, -0.0028586893000000003, -0.72587967, -0.00331267, -3.333313e-05, -0.0048966655, -0.00026838827999999996, -5.79217e-06, -0.46937853, -0.00014337121999999998, -0.07424804, -0.6933543999999999, -0.004054859, -0.014271919000000001, -3.2616e-05, -0.0006089402, -0.17149048, -0.20777388, -0.0014452788, -0.06254323, -0.00510615, -0.014166601000000001, -0.21736297000000002, -0.006036026000000001, -0.00012346054, -0.071522035, -0.00016805116, -1.2112103000000002e-05, -0.2520458, -0.28793523, -3.6550830000000005e-05, -0.00043104710000000003, -0.34881198, -0.0010042567, -0.197464, -0.018098515000000003, -7.4639065e-06, -0.00010736548999999999, -0.052127413000000004, -0.03484574, -0.00014206085, -0.00041351500000000004, -0.41574669999999997, -0.00073079305, -0.00012989782, -0.016874962, -0.0014469496, -0.9314528, -0.5485234999999999, -2.7490969000000003e-05, -0.00015100244, -0.033329736, -0.00013919983999999998, -0.0001970245, -0.00016304628, -0.04524842, -0.0004589541, -0.02159405, -0.48591639999999997, -0.00029176070000000003, -4.0040345e-06, -0.00012286357, -2.8138237999999996e-06, -0.0015394151, -1.6999666000000003e-05, -0.00010235965999999999, -0.007952183, -5.479163500000001e-05, -6.031526e-06, -0.064932294, -3.333313e-05, -0.06509317, -0.06272078, -1.7356348e-05, -0.39928959999999997, -0.0012589399, -5.3162735e-06, -2.8445576000000002e-05, -0.33253163, -0.0008513505, -0.00012238578, -0.00020811372, -5.5556293e-06, -5.419465700000001e-05, -5.460492e-07, -0.00016066021999999998, -2.4032974e-05, -2.9519388e-05, -0.009969852000000001, -0.0008218215, -0.00027840555, -0.00010569845, -9.7351025e-05, -0.00027363625, -7.937927e-06, -2.3360508e-06, -0.0006539692, -1.0444119e-05, -0.028905349]","{'c0': 38.0, 'c1': 4.0, 'c2': 15.0}",49,"['worksheets_left =  c0 - c1', 'worksheets_total =  worksheets_left + c2', 'answer = worksheets_total']",,,,,,,,,,1
125, In fourth grade there were c0 students at the start of the year. During the year c1 students left and c2 new students came to school. How many students were in fourth grade at the end? ,52," There were c0 students at the start of the year. c1 students left, so there were c0 - c1 students. 
students_left = c0 - c1

c2 new students came, so there were students_left + c2 students at the end of the year. 
students_end = students_left + c2

The answer is students_end.","[' There', ' were', ' c', '0', ' students', ' at', ' the', ' start', ' of', ' the', ' year', '.', ' c', '1', ' students', ' left', ',', ' so', ' there', ' were', ' c', '0', ' -', ' c', '1', ' students', '.', ' ', '\n', 'stud', 'ents', '_', 'left', ' =', ' c', '0', ' -', ' c', '1', '\n', '\n', 'c', '2', ' new', ' students', ' came', ',', ' so', ' there', ' were', ' students', '_', 'left', ' +', ' c', '2', ' students', ' at', ' the', ' end', ' of', ' the', ' year', '.', ' ', '\n', 'stud', 'ents', '_', 'end', ' =', ' students', '_', 'left', ' +', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' students', '_', 'end', '.']","[-1.0764067, -0.037612084000000004, -0.13556029, -0.00043975122, -0.012981296000000002, -0.18619421, -0.011593074, -0.14607728, -0.01872713, -0.03959941, -0.009092433, -0.055707503000000005, -0.9060022, -0.010133432000000001, -0.030127555, -0.0017474801, -0.52321637, -0.2307782, -0.35899198, -0.035371162000000005, -0.012377461000000001, -0.0021918763000000003, -0.46515357, -0.0007075915, -0.00023881793, -0.024602106000000002, -0.33067969999999997, -0.1489304, -0.0008531405499999999, -0.11585994000000001, -2.3675353000000002e-05, -0.00027589937, -0.102812074, -0.019900054, -0.00031048020000000004, -0.00044798221999999997, -0.009882383, -0.0013739509, -9.65175e-05, -0.0657064, -0.068044886, -0.39750403, -4.2511267000000004e-05, -0.11919081000000001, -6.373136e-05, -0.05498248, -0.616733, -0.0029735246, -0.05780042, -0.12030874, -0.05241908, -2.045765e-05, -7.937927e-06, -0.00045776297, -3.8103353e-05, -7.589251600000001e-05, -0.013866185000000001, -0.7842992, -3.5717305000000005e-05, -9.606849e-06, -0.41102895, -0.00040761274, -0.00022325604999999998, -0.0068590940000000005, -0.055650912000000004, -4.739975700000001e-05, -0.24953678, -1.6760310000000004e-05, -0.00010796247, -0.09309841, -0.0038940052, -0.00014957194999999998, -2.8326363000000003e-05, -6.8669196e-06, -0.00049634156, -5.3363005000000004e-05, -0.00030570905, -0.06939552, -0.0014281474, -0.00037410008, -4.2272848e-05, -0.00020775703999999999, -0.00014086876999999998, -5.0856816e-05, -3.883893e-06, -0.006416641000000001]","{'c0': 40.0, 'c1': 14.0, 'c2': 26.0}",52,"['students_left =  c0 - c1', 'students_end =  students_left + c2', 'answer = students_end']",,,,,,,,,,1
126," Wendy was playing a video game and had c0 lives. In a hard part of the game she lost c1 lives. If she got c2 more lives in the next level, how many lives would she have? ",74," Wendy started with c0 lives. After losing c1 lives, she had c0-c1 lives.
lives_lost = c0-c1

If she got c2 more lives in the next level, she would have lives_lost+c2 lives.
lives_gained = lives_lost+c2

The answer is lives_gained.","[' Wendy', ' started', ' with', ' c', '0', ' lives', '.', ' After', ' losing', ' c', '1', ' lives', ',', ' she', ' had', ' c', '0', '-', 'c', '1', ' lives', '.', '\n', 'l', 'ives', '_', 'lost', ' =', ' c', '0', '-', 'c', '1', '\n', '\n', 'If', ' she', ' got', ' c', '2', ' more', ' lives', ' in', ' the', ' next', ' level', ',', ' she', ' would', ' have', ' lives', '_', 'lost', '+', 'c', '2', ' lives', '.', '\n', 'l', 'ives', '_', 'g', 'ained', ' =', ' lives', '_', 'lost', '+', 'c', '2', '\n', '\n', 'The', ' answer', ' is', ' lives', '_', 'g', 'ained', '.']","[-0.3399839, -0.92554843, -0.067393675, -0.00034822334, -7.469949e-05, -0.001580606, -0.07349458, -1.0715184, -0.12020429, -0.00077058055, -0.00063965475, -0.14968354, -0.13177542, -0.010052334500000001, -0.06903341, -0.0020618397, -0.0045957873, -0.44054753, -0.01216868, -0.00052962045, -0.16342342, -0.12287221000000001, -0.70558715, -0.07066104000000001, -0.00029807871999999996, -0.0007905034, -0.29300457, -0.20026635, -0.00027077433, -0.0007309132, -0.5911643, -0.0010548538, -5.8487110000000005e-05, -0.02550045, -0.00833821, -0.81791544, -0.010819903, -0.16156906000000001, -2.1889093000000004e-05, -0.00024465634, -0.17012879, -0.0009820022000000001, -0.40127772, -0.0008263542499999999, -0.0014082697, -0.00026850656, -0.0024269642000000003, -0.048171055000000004, -0.0054159947, -0.0014383543, -0.023407076000000002, -4.859278e-05, -0.0016776229, -0.63727236, -0.00034035372999999996, -1.4259735500000002e-05, -0.008123904000000001, -0.06372382, -0.3517241, -0.29660627, -8.653179e-06, -0.0012249213, -0.038790103, -3.076318e-07, -0.04257714, -0.00038722055999999995, -4.2433903e-06, -2.6298881e-05, -0.47350499999999995, -6.373136e-05, -2.2159092999999997e-06, -0.0038709670000000003, -0.0012841838, -0.00017067656, -0.00022987354999999998, -0.00023357182, -5.6102934e-05, -2.7013197000000003e-05, -2.2126573000000002e-05, -6.661909399999999e-07, -0.17248365000000002]","{'c0': 43.0, 'c1': 8.0, 'c2': 39.0}",74,"['lives_lost =  c0-c1', 'lives_gained =  lives_lost+c2', 'answer = lives_gained']",,,,,,,,,,1
127," A book store had c0 books in the bargin bin. If they sold c1 books, but then put c2 more in the bin, how many books would be in the bin? ",11," There were c0 books in the bin. If they sold c1 books, then there would be c0 - c1 books. 
books_sold = c0 - c1

If they put c2 more in the bin, then there would be books_sold + c2 books. 
books_in_bin = books_sold + c2

The answer is books_in_bin.","[' There', ' were', ' c', '0', ' books', ' in', ' the', ' bin', '.', ' If', ' they', ' sold', ' c', '1', ' books', ',', ' then', ' there', ' would', ' be', ' c', '0', ' -', ' c', '1', ' books', '.', ' ', '\n', 'books', '_', 'sold', ' =', ' c', '0', ' -', ' c', '1', '\n', '\n', 'If', ' they', ' put', ' c', '2', ' more', ' in', ' the', ' bin', ',', ' then', ' there', ' would', ' be', ' books', '_', 'sold', ' +', ' c', '2', ' books', '.', ' ', '\n', 'books', '_', 'in', '_', 'bin', ' =', ' books', '_', 'sold', ' +', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' books', '_', 'in', '_', 'bin', '.']","[-1.0571223, -0.35279006, -0.2304997, -0.00027721156999999997, -0.039122276000000004, -0.45247919999999997, -0.00055997365, -0.8788119, -0.9344087, -1.1156958, -0.33080927, -0.0063795676, -3.0234640000000003e-05, -0.0029972575000000003, -0.22856799, -0.06336083, -1.3469857, -0.27752662, -0.24688335, -0.0049578827, -0.0011326642, -0.008156895, -0.6926572999999999, -0.00040773290000000004, -0.00045382626999999995, -0.031372525000000005, -0.9941521, -0.23711166, -0.00034607758, -0.24185705000000002, -0.00076175254, -0.23151198, -0.52128416, -0.00013919983999999998, -0.0005784640699999999, -0.022007257000000002, -0.00084276, -2.045765e-05, -0.047093134, -0.021060174, -0.819898, -0.0039071697, -0.26568216, -4.775551000000001e-05, -0.00020918753999999998, -0.017842786000000003, -0.24090555, -0.057400823000000004, -0.0006453796000000001, -0.0016748764, -0.3155745, -0.072080344, -0.025669836, -0.00014778474, -0.018467719, -2.0575926000000002e-05, -8.3404535e-05, -0.0008132310000000001, -6.8669196e-06, -8.2927705e-05, -0.050386243000000004, -0.5240005, -0.042827208000000005, -7.2245509999999995e-06, -0.09831619, -4.1918032e-05, -0.33234704, -0.0015656223000000001, -0.005274931, -0.0013494163, -0.0011287275000000001, -9.914290400000001e-05, -9.4729374e-05, -0.0003487011, -3.7863996000000004e-05, -3.1065356e-05, -0.09321886, -0.0020300627000000003, -0.0005976088000000001, -0.00013204545, -0.0013848128, -0.0034577628, -0.00010307304, -1.1753544e-05, -3.9411840000000004e-05, -2.0696069000000002e-05, -0.08079375]","{'c0': 4.0, 'c1': 3.0, 'c2': 10.0}",11,"['books_sold =  c0 - c1', 'books_in_bin =  books_sold + c2', 'answer = books_in_bin']",,,,,,,,,,1
128," At the arcade Cody won c0 tickets. If he spent c1 tickets on a beanie and later won c2 more tickets, how many would he have? ",30,"  At the arcade Cody won c0 tickets. If he spent c1 tickets on a beanie, he would have c0-c1 tickets. 
tickets_after_beanie = c0-c1

If he won c2 more tickets, he would have tickets_after_beanie + c2 tickets. 
tickets_now = tickets_after_beanie + c2

The answer is tickets_now.","[' ', ' At', ' the', ' arcade', ' Cody', ' won', ' c', '0', ' tickets', '.', ' If', ' he', ' spent', ' c', '1', ' tickets', ' on', ' a', ' bean', 'ie', ',', ' he', ' would', ' have', ' c', '0', '-', 'c', '1', ' tickets', '.', ' ', '\n', 't', 'ickets', '_', 'after', '_', 'bean', 'ie', ' =', ' c', '0', '-', 'c', '1', '\n', '\n', 'If', ' he', ' won', ' c', '2', ' more', ' tickets', ',', ' he', ' would', ' have', ' tickets', '_', 'after', '_', 'bean', 'ie', ' +', ' c', '2', ' tickets', '.', ' ', '\n', 't', 'ickets', '_', 'now', ' =', ' tickets', '_', 'after', '_', 'bean', 'ie', ' +', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' tickets', '_', 'now', '.']","[-1.1583495, -1.1940993, -0.050720666000000005, -0.6843429, -0.3812732, -0.13206698, -0.00017687635, -0.00019440286, -0.0003230018, -0.079455145, -0.9430233, -0.0063652330000000005, -0.017549755, -9.234426e-05, -0.0011811200000000001, -0.0052675610000000005, -0.008324027000000001, -0.0011457329, -0.017480547000000003, -1.6045058000000002e-05, -0.104515485, -0.15328809999999998, -0.0051715137, -0.035691082, -0.011047028, -0.0011881017, -0.34775126, -0.022615347, -0.00042723241, -0.008351131000000001, -0.2735661, -0.5464394, -0.00024179815999999998, -0.02558257, -0.000116546435, -9.711448400000001e-05, -0.5949221, -0.09767416, -0.4041083, -4.1678675e-05, -0.12001824400000001, -0.00016137547, -0.00044058848, -0.6427957999999999, -0.00052461185, -1.8310955e-05, -0.09745645, -0.058974333000000004, -0.20411061, -0.24481529999999999, -0.295825, -2.6180607000000004e-05, -5.562516000000001e-05, -0.046231747000000004, -0.0016734430000000002, -0.17156674, -0.012756634000000001, -0.0007306757, -0.004449692, -0.060562946000000006, -5.912312e-06, -7.937927e-06, -0.00021264646999999998, -0.00015469791999999998, -2.4543265e-06, -0.6621568, -0.0004130372, -1.7356348e-05, -0.0013404062, -0.48520409999999997, -0.051408924, -6.031526e-06, -0.27976856, -3.2906587e-06, -0.00054303755, -0.3747426, -0.01150721, -0.00026505041999999997, -6.1516675e-06, -1.7400123999999997e-06, -8.296486e-06, -9.4729374e-05, -6.827631999999999e-08, -0.0004576428, -5.729314600000001e-05, -8.4157e-06, -0.035417292, -0.002481217, -0.00077272824, -9.675685e-05, -0.00039079774, -0.0009577221399999999, -0.0006333338699999999, -2.3435998e-05, -0.003071335]","{'c0': 49.0, 'c1': 25.0, 'c2': 6.0}",30,"['tickets_after_beanie =  c0-c1', 'tickets_now =  tickets_after_beanie + c2', 'answer = tickets_now']",,,,,,,,,,1
129," For the school bake sale Bianca made c0 cupcakes. If she sold c1 of them and then made c2 more, how many cupcakes would she have? ",25," Bianca started with c0 cupcakes. If she sold c1 of them, she would have c0-c1 cupcakes.
cupcakes_sold = c0 - c1

Then she made c2 more, so she would have cupcakes_sold + c2 cupcakes.
cupcakes_made = cupcakes_sold + c2

The answer is cupcakes_made.","[' Bian', 'ca', ' started', ' with', ' c', '0', ' cup', 'cakes', '.', ' If', ' she', ' sold', ' c', '1', ' of', ' them', ',', ' she', ' would', ' have', ' c', '0', '-', 'c', '1', ' cup', 'cakes', '.', '\n', 'cup', 'cakes', '_', 'sold', ' =', ' c', '0', ' -', ' c', '1', '\n', '\n', 'Then', ' she', ' made', ' c', '2', ' more', ',', ' so', ' she', ' would', ' have', ' cup', 'cakes', '_', 'sold', ' +', ' c', '2', ' cup', 'cakes', '.', '\n', 'cup', 'cakes', '_', 'made', ' =', ' cup', 'cakes', '_', 'sold', ' +', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' cup', 'cakes', '_', 'made', '.']","[-0.32786447, -4.9187893000000005e-05, -0.7363126, -0.022174038, -0.00041709310000000003, -5.9321566000000005e-05, -0.001999365, -0.00015565252, -0.029549753, -0.8838334999999999, -0.011541335000000002, -0.002861081, -0.0001589913, -0.0027538477, -0.56187624, -0.0020123268, -0.07457556600000001, -0.20059264000000002, -0.019573355, -0.17948709999999998, -0.0047444785000000005, -0.004749329300000001, -0.45458889999999996, -0.013563866, -0.00013884035, -0.011306809000000001, -0.00018509990000000002, -0.44584966000000004, -0.58007336, -0.026576733, -0.0069018230000000005, -0.0012847800000000001, -0.03720456, -0.34984246, -0.00012977766, -0.0014203867, -0.47237873, -0.0008795683, -1.6402679e-05, -0.015109959000000001, -0.024372686, -0.82154477, -0.32900379999999996, -0.06684949999999999, -2.0935424000000002e-05, -0.00024513318, -0.001228981, -0.52598435, -0.08439651000000001, -0.023618821, -0.11873302000000001, -0.0015835927, -0.0077285413, -7.2672e-05, -6.0038692e-05, -0.00012322118, -0.013125442000000001, -2.7848590000000002e-05, -9.532728000000001e-05, -0.018322557, -0.00040308, -0.24648318, -0.6841566, -0.4458103, -0.0005519829, -0.0007634205399999999, -0.32940036, -0.0029588770000000004, -0.00015613029, -0.00012787033, -0.00019678608999999998, -3.97704e-05, -0.00018545937, -4.799487e-05, -6.814395000000001e-05, -0.0084564425, -0.0034169727, -0.00033379628, -0.00030344594, -0.00025574747, -0.0006107265, -2.1768952000000003e-05, -6.051553000000001e-05, -2.9636725000000002e-05, -0.050131705000000006]","{'c0': 14.0, 'c1': 6.0, 'c2': 17.0}",25,"['cupcakes_sold =  c0 - c1', 'cupcakes_made =  cupcakes_sold + c2', 'answer = cupcakes_made']",,,,,,,,,,1
130," Bianca had c0 coloring books. If she gave away c1 of them, but then bought c2 more, how many would she have total? ",59," Bianca had c0 coloring books. If she gave away c1 of them, she would have c0-c1 coloring books. 
coloring_books_given = c0 - c1

If she bought c2 more, she would have coloring_books_given + c2 coloring books. 
coloring_books_total = coloring_books_given + c2

The answer is coloring_books_total.","[' Bian', 'ca', ' had', ' c', '0', ' coloring', ' books', '.', ' If', ' she', ' gave', ' away', ' c', '1', ' of', ' them', ',', ' she', ' would', ' have', ' c', '0', '-', 'c', '1', ' coloring', ' books', '.', ' ', '\n', 'col', 'oring', '_', 'books', '_', 'given', ' =', ' c', '0', ' -', ' c', '1', '\n', '\n', 'If', ' she', ' bought', ' c', '2', ' more', ',', ' she', ' would', ' have', ' coloring', '_', 'books', '_', 'given', ' +', ' c', '2', ' coloring', ' books', '.', ' ', '\n', 'col', 'oring', '_', 'books', '_', 'total', ' =', ' coloring', '_', 'books', '_', 'given', ' +', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' coloring', '_', 'books', '_', 'total', '.']","[-0.15773959999999998, -3.2855354000000005e-05, -0.6684472, -0.007812999000000001, -9.055800000000001e-05, -0.00648419, -0.0014628879, -0.20305325, -0.73140734, -0.0026903728, -0.0025060726, -0.22670586, -5.7177684e-05, -0.0017908899, -0.42158356, -0.0008552863, -0.009990021, -0.3107003, -0.014986644, -0.05484187, -0.00294465, -0.0026809936, -0.5349166, -0.015702117, -0.00023714808, -0.2254911, -0.0033675707, -0.12784852, -0.44995567000000003, -0.0010935796000000001, -0.89908093, -0.00012906430000000002, -0.0063194046, -0.0026835627000000003, -0.007772752000000001, -0.046219885, -0.6278192, -0.00017151103999999998, -0.00018533925, -0.66069996, -0.0024044968, -1.4259735500000002e-05, -0.027390849000000002, -0.008771892, -0.7284433, -0.015422368, -0.24251324000000002, -7.3446926999999995e-06, -0.00024930925999999996, -0.044673216, -0.090598434, -0.0742612, -0.0013516861, -0.005166902, -0.032419473000000004, -0.00016531030999999998, -7.6964454e-05, -0.00063941634, -0.00011237507, -0.014393088, -8.984087000000001e-05, -0.00011213571999999999, -0.034766868, -0.0031598850000000003, -0.26952755, -0.13005108, -4.6921985e-05, -0.8187223, -9.490448999999999e-06, -0.00019153998, -0.00013395277999999998, -0.021401549000000002, -0.044543143, -0.00095975155, -0.00031381804999999996, -1.1753544e-05, -2.3078366e-05, -4.1918032e-05, -3.4048382e-05, -0.00076043844, -3.2735214e-05, -3.8103353e-05, -0.013409688000000001, -0.0009962613000000001, -0.0008255188599999999, -0.00014802223, -0.00043557796999999995, -0.00017568239, -8.638288e-05, -6.661909399999999e-07, -0.000107007865, -1.4974988000000002e-05, -0.010899986]","{'c0': 45.0, 'c1': 6.0, 'c2': 20.0}",59,"['coloring_books_given =  c0 - c1', 'coloring_books_total =  coloring_books_given + c2', 'answer = coloring_books_total']",,,,,,,,,,1
131," Zoe had c0 songs on her mp3 player. If she deleted c1 old songs from it and then added c2 new songs, how many songs does she have on her mp3 player? ",57," Zoe had c0 songs on her mp3 player. If she deleted c1 old songs from it and then added c2 new songs, she would have c0 - c1 + c2 songs on her mp3 player. 
songs_on_player = c0 - c1 + c2 

The answer is songs_on_player.","[' Zoe', ' had', ' c', '0', ' songs', ' on', ' her', ' mp', '3', ' player', '.', ' If', ' she', ' deleted', ' c', '1', ' old', ' songs', ' from', ' it', ' and', ' then', ' added', ' c', '2', ' new', ' songs', ',', ' she', ' would', ' have', ' c', '0', ' -', ' c', '1', ' +', ' c', '2', ' songs', ' on', ' her', ' mp', '3', ' player', '.', ' ', '\n', 's', 'ongs', '_', 'on', '_', 'player', ' =', ' c', '0', ' -', ' c', '1', ' +', ' c', '2', ' ', '\n', '\n', 'The', ' answer', ' is', ' songs', '_', 'on', '_', 'player', '.']","[-0.23204316, -0.5596304, -0.006376268, -6.122609e-05, -0.007861104, -0.71133125, -0.00020203409, -0.02301257, -0.00011666564999999999, -0.0060479, -0.06757241500000001, -0.70831287, -0.005012576, -0.019408526000000002, -2.2604345000000003e-05, -6.611553000000001e-05, -0.11993437, -0.00010987074999999999, -0.61818904, -0.004722261, -0.15832269999999998, -0.03439456, -9.222505000000001e-05, -8.4157e-06, -1.0204763e-05, -0.0017254481000000001, -0.0015107628, -0.0007031761, -0.18699886000000002, -0.06477477, -0.0055237496, -0.010263441, -0.034477595, -0.46928725, -0.00029855556, -0.0006434713, -0.0050389934, -0.00011714341999999999, -9.162713e-05, -0.005069128, -0.33123177, -0.0008313666299999999, -0.094164416, -2.0696069000000002e-05, -8.614446400000001e-05, -0.053139493, -0.42952478, -0.0008052355, -0.6058325, -1.022884e-06, -0.006895762000000001, -0.09389044, -5.7532503e-05, -0.5914325, -0.0045898575, -0.0002905667, -5.4432137000000005e-05, -0.0019095447, -0.00025777495, -0.00013204545, -0.00017568239, -6.432833000000001e-05, -8.399683400000002e-05, -0.6129726999999999, -1.1430257999999999e-06, -0.03469454, -0.00031632424, -0.00010176362, -0.00012214643, -0.00047076143999999996, -1.0561456000000002e-05, -1.9765537e-06, -5.9321566000000005e-05, -1.8073477000000003e-05, -0.020658676]","{'c0': 15.0, 'c1': 8.0, 'c2': 50.0}",57,"['songs_on_player =  c0 - c1 + c2', 'answer = songs_on_player']",,,,,,,,,,1
132," At the arcade Jerry won c0 tickets. If he spent c1 tickets on a beanie and later won c2 more tickets, how many would he have? ",49," Jerry had c0 tickets. He spent c1 tickets on a beanie. So he had c0 - c1 tickets. 
tickets_after_beanie = c0 - c1

He won c2 more tickets. So he had tickets_after_beanie + c2 tickets. 
tickets_now = tickets_after_beanie + c2

The answer is tickets_now.","[' Jerry', ' had', ' c', '0', ' tickets', '.', ' He', ' spent', ' c', '1', ' tickets', ' on', ' a', ' bean', 'ie', '.', ' So', ' he', ' had', ' c', '0', ' -', ' c', '1', ' tickets', '.', ' ', '\n', 't', 'ickets', '_', 'after', '_', 'bean', 'ie', ' =', ' c', '0', ' -', ' c', '1', '\n', '\n', 'He', ' won', ' c', '2', ' more', ' tickets', '.', ' So', ' he', ' had', ' tickets', '_', 'after', '_', 'bean', 'ie', ' +', ' c', '2', ' tickets', '.', ' ', '\n', 't', 'ickets', '_', 'now', ' =', ' tickets', '_', 'after', '_', 'bean', 'ie', ' +', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' tickets', '_', 'now', '.']","[-0.23292111000000001, -1.1518701, -0.013777406, -0.0002629028, -0.015045092000000001, -0.6508817, -0.6573112600000001, -0.28586015, -0.0008493221, -0.01064874, -0.15818879, -0.2629024, -0.075345196, -0.0012093481, -4.883026e-05, -0.281092, -0.36110854000000003, -0.24434419000000002, -0.26609677, -0.0021507768, -0.0038233383, -0.53692544, -0.00043987135999999996, -0.00045907334, -0.011545015, -0.5372869, -0.2728839, -0.00018509990000000002, -0.009130328, -6.897560000000001e-05, -9.592052000000001e-05, -0.35444012, -0.07119474, -0.21917997, -6.6949986e-05, -0.010484893, -0.0001941635, -0.0006248053, -0.009164616, -0.0004761286, -4.5016520000000007e-05, -0.033896968, -0.0017249703, -0.6224223999999999, -0.28360653, -2.9280032000000002e-05, -0.00017568239, -0.0823207, -0.018028842, -0.13365012, -0.06285515, -0.16613132, -0.20648439000000002, -0.0062137814, -1.2351458e-05, -2.1171965e-05, -0.00017306074999999998, -0.00035144386, -9.055464e-07, -0.0003639655, -1.5805701000000003e-05, -4.6684505e-05, -0.004173963, -0.13961132, -0.046931524, -2.6773841e-05, -0.11372683, -8.535841499999999e-06, -0.0017419852, -0.42389345, -0.023521487, -0.00018474413, -3.4089344e-06, -2.0966954e-06, -1.2351458e-05, -7.720381e-05, -1.8841804e-07, -6.730761400000001e-05, -1.2351458e-05, -2.045765e-05, -0.01767824, -0.00062456593, -9.4849514e-05, -7.2672e-05, -0.00021503064, -0.00051971956, -2.3556138e-05, -1.5925843e-05, -0.005832945]","{'c0': 4.0, 'c1': 2.0, 'c2': 47.0}",49,"['tickets_after_beanie =  c0 - c1', 'tickets_now =  tickets_after_beanie + c2', 'answer = tickets_now']",,,,,,,,,,1
133, A store had c0 oranges in a bin. If they threw away c1 of the old ones and put c2 new ones in the bin how many would be in the bin? ,60," The store had c0 oranges in the bin. They threw away c1 of the old ones and put c2 new ones in the bin. So there would be c0 - c1 + c2 oranges in the bin. 
oranges_in_bin = c0 - c1 + c2

The answer is oranges_in_bin.","[' The', ' store', ' had', ' c', '0', ' oranges', ' in', ' the', ' bin', '.', ' They', ' threw', ' away', ' c', '1', ' of', ' the', ' old', ' ones', ' and', ' put', ' c', '2', ' new', ' ones', ' in', ' the', ' bin', '.', ' So', ' there', ' would', ' be', ' c', '0', ' -', ' c', '1', ' +', ' c', '2', ' oranges', ' in', ' the', ' bin', '.', ' ', '\n', 'or', 'anges', '_', 'in', '_', 'bin', ' =', ' c', '0', ' -', ' c', '1', ' +', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' oranges', '_', 'in', '_', 'bin', '.']","[-1.1200315, -0.029203935, -0.42679608, -0.0046441713, -0.0001614947, -0.011745102, -0.8051813999999999, -0.34935156, -0.015203998000000002, -0.31463093000000003, -0.541276, -0.08148164000000001, -0.058059376, -5.479163500000001e-05, -0.0018148349, -0.5601811, -0.23707783000000002, -0.03380374, -0.0633247, -0.81721205, -0.028511852, -0.019538281, -0.0010386826, -0.0023375202, -0.0032580115, -0.030424783, -0.08726137, -0.0012089905, -0.33993143000000003, -0.6364561, -0.9706802, -0.3716809, -0.0051516816, -0.024007345000000003, -0.09737241, -0.49325928, -0.0011147612, -0.0004442849, -0.0035383934, -0.00022099297, -9.985534000000001e-05, -0.22633447, -0.10991994000000001, -0.003721448, -0.0036991325, -0.016493438000000003, -0.16630355, -0.002177837, -1.0361403, -2.8138237999999996e-06, -0.058927614, -0.29395893, -0.00012405471, -0.11821694, -0.0030971037, -0.00020883084999999998, -0.00015207719, -0.0031088826, -0.0009732934399999999, -3.237946e-05, -0.00020596984999999998, -0.00012942286, -2.7371756000000004e-05, -0.5721377, -0.032355998000000004, -0.00028985427, -0.00015577172999999998, -0.0007460621000000001, -0.00010784233, -0.0004212682, -2.2159092999999997e-06, -5.0856816e-05, -2.1291178e-05, -0.029904598]","{'c0': 31.0, 'c1': 9.0, 'c2': 38.0}",60,"['oranges_in_bin =  c0 - c1 + c2', 'answer = oranges_in_bin']",,,,,,,,,,1
