,question,answer,response,tokens,logprobs,mapping,response_answer
10," Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ",66.0, Oliver had to wash a total of 39 + 47 = 86 shirts. He only washed 20 of them. So he did not wash 86 - 20 = 66 shirts. The answer is 66.,"[' Oliver', ' had', ' to', ' wash', ' a', ' total', ' of', ' 39', ' +', ' 47', ' =', ' 86', ' shirts', '.', ' He', ' only', ' washed', ' 20', ' of', ' them', '.', ' So', ' he', ' did', ' not', ' wash', ' 86', ' -', ' 20', ' =', ' 66', ' shirts', '.', ' The', ' answer', ' is', ' 66', '.']","[-0.33262542, -0.29920779999999997, -0.031967547, -0.002362615, -0.5923400999999999, -0.0001754468, -0.0002433488, -0.28847432, -0.017317092000000003, -0.0006994787, -0.0009817638000000001, -0.0001589913, -0.005441644000000001, -0.23022422, -0.42565778, -0.20367955000000001, -0.006413943, -8.399683400000002e-05, -0.41786045, -0.0012318448, -0.8161284999999999, -0.034771252, -0.15731579, -0.46386164, -8.5429216e-05, -0.00026516683, -0.050333522000000006, -0.0036877044, -0.0005911678, -0.0005219864, -0.0011028883, -0.0023438542, -0.028020732000000003, -0.31442446, -3.9172486e-05, -1.2351458e-05, -7.231626000000001e-05, -0.03614075]",,66.0
11, For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? ,9.0, Wendy baked 4 cupcakes and 29 cookies. After the sale she had 24 pastries left. So she sold 4 + 29 - 24 = 9 pastries.,"[' Wendy', ' baked', ' 4', ' cup', 'cakes', ' and', ' 29', ' cookies', '.', ' After', ' the', ' sale', ' she', ' had', ' 24', ' past', 'ries', ' left', '.', ' So', ' she', ' sold', ' 4', ' +', ' 29', ' -', ' 24', ' =', ' 9', ' past', 'ries', '.']","[-0.5636023, -1.1653606, -0.40915972, -0.00018378950999999998, -0.00013335767999999998, -0.002464187, -0.0001643557, -5.037998e-05, -0.2843631, -1.3439275, -0.03153171, -9.21049e-05, -0.13705686, -0.016304642, -0.0075009153, -1.095571, -0.00039270601999999996, -0.79476565, -0.39166513000000003, -1.173613, -0.03790443, -0.5088609, -0.63985103, -0.60960865, -0.00055544183, -6.6829845e-05, -0.0100902645, -0.4437811, -0.004203292, -0.02044974, -2.2604345000000003e-05, -0.13508731000000002]",,9.0
12," While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? ",22.0, Debby took 24 pictures at the zoo and 12 at the museum. She later deleted 14 pictures. So she has 24 + 12 - 14 = 22 pictures from her vacation.,"[' Deb', 'by', ' took', ' 24', ' pictures', ' at', ' the', ' zoo', ' and', ' 12', ' at', ' the', ' museum', '.', ' She', ' later', ' deleted', ' 14', ' pictures', '.', ' So', ' she', ' has', ' 24', ' +', ' 12', ' -', ' 14', ' =', ' 22', ' pictures', ' from', ' her', ' vacation', '.']","[-0.2535892, -1.6402679e-05, -0.5768177999999999, -0.15524971, -0.009766029, -0.0057295900000000006, -4.5613506e-05, -0.0007062783000000001, -0.019533725000000002, -0.00012930272, -0.2816801, -1.6880450000000002e-05, -6.850158000000001e-05, -0.25766233, -1.1526643, -0.8095975, -0.0023020937, -0.00055090815, -0.59006864, -0.1443474, -0.4179398, -0.021155264, -0.7142639, -0.00969928, -0.0378437, -0.0006705523, -7.6605895e-05, -0.02045838, -0.18394607000000002, -0.00364553, -0.15239647, -0.6376607999999999, -0.0005393411000000001, -4.680184e-05, -0.0015930224]",,22.0
13," Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? ",2.0," Katie picked 3 tulips and 9 roses. She only used 10 of the flowers, so she had 3 + 9 - 10 = 2 extra flowers. The answer is 2.","[' Katie', ' picked', ' 3', ' tul', 'ips', ' and', ' 9', ' roses', '.', ' She', ' only', ' used', ' 10', ' of', ' the', ' flowers', ',', ' so', ' she', ' had', ' 3', ' +', ' 9', ' -', ' 10', ' =', ' 2', ' extra', ' flowers', '.', ' The', ' answer', ' is', ' 2', '.']","[-0.52535194, -0.38843649999999996, -0.6240825, -0.0024298318, -2.4543265e-06, -0.010125668, -5.7413286e-05, -5.026076500000001e-05, -0.595652, -1.203547, -0.6605873999999999, -0.005803747000000001, -1.0920954000000002e-05, -0.5174934999999999, -0.48690847000000004, -0.0030001279000000003, -0.69602853, -0.07837627, -0.22125866, -0.6950573999999999, -0.055243537, -0.0031742370000000003, -9.846204e-06, -0.00033307917, -0.00061347015, -0.030899372, -0.0024512205000000002, -0.012597993, -0.0021102184, -0.0049329665, -0.3935712, -0.000110467736, -2.0098154e-05, -0.00014492373, -0.0035646511000000003]",,2.0
14," Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? ",15.0," Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, she would have 46 - 40 = 6 math problems and 9 - 0 = 9 science problems for homework. The answer is 6 math problems and 9 science problems.","[' Fay', 'e', ' had', ' 46', ' math', ' problems', ' and', ' 9', ' science', ' problems', ' for', ' homework', '.', ' If', ' she', ' finished', ' 40', ' of', ' the', ' problems', ' at', ' school', ',', ' she', ' would', ' have', ' 46', ' -', ' 40', ' =', ' 6', ' math', ' problems', ' and', ' 9', ' -', ' 0', ' =', ' 9', ' science', ' problems', ' for', ' homework', '.', ' The', ' answer', ' is', ' 6', ' math', ' problems', ' and', ' 9', ' science', ' problems', '.']","[-0.13495307, -0.000861609, -0.33515584, -0.32785302, -0.039627694000000005, -0.011303976, -0.07184893, -1.6165199000000003e-05, -0.00027923906, -0.0011149996, -0.5121109500000001, -0.0003942557, -0.07162627, -0.63139606, -0.0033630247000000003, -0.016426848, -0.00060834415, -0.13116634, -0.011925198000000001, -0.0023529946, -0.16848674, -1.4259735500000002e-05, -0.002762276, -0.07920601000000001, -0.24948315000000001, -0.02199446, -0.27065256, -0.06281922, -0.00023309402999999998, -0.03961442, -0.0005321858000000001, -0.0046874066, -0.0003054706, -0.037195716000000004, -0.000106295425, -0.5074867, -0.15814899000000002, -0.0007828675399999999, -3.9531980000000006e-05, -0.0009246085, -0.002239067, -0.17708075, -1.1991961000000001e-05, -0.0035851090000000004, -0.5827745, -0.0006226567, -0.0018113712, -0.5927735, -0.8032762999999999, -0.005107828, -4.132011600000001e-05, -1.2622394999999999e-06, -0.00013645617999999998, -0.0004156626, -0.025109759000000002]",,6.0
15," Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? ",2.0," Amy had 4 music files and 21 video files, so she had a total of 25 files. If she deleted 23 files, then she would have 25 - 23 = 2 files left.","[' Amy', ' had', ' 4', ' music', ' files', ' and', ' 21', ' video', ' files', ',', ' so', ' she', ' had', ' a', ' total', ' of', ' 25', ' files', '.', ' If', ' she', ' deleted', ' 23', ' files', ',', ' then', ' she', ' would', ' have', ' 25', ' -', ' 23', ' =', ' 2', ' files', ' left', '.']","[-0.18651567, -0.35046855, -0.29284066000000003, -0.016189056, -0.0006318414, -0.019628547, -0.0001970245, -0.0005850234, -0.0004071359, -0.95002264, -0.60820913, -0.029373758000000003, -0.010089061, -0.42042559999999995, -7.136165e-05, -3.333313e-05, -0.40002364, -9.520714000000001e-05, -0.04157843, -0.32302025, -0.0026972473, -0.0045973426, -3.237946e-05, -0.6239473, -0.00028031382999999996, -0.7481800000000001, -0.016294101000000002, -0.018135961000000003, -0.027041176, -0.63013643, -0.012594915, -3.0473995000000003e-05, -0.10239143, -0.0031276566, -0.005528426, -0.4027887, -0.37613812]",,2.0
16," Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ",14.0," Ned started with 11 games. He bought 22 more. So he had 11 + 22 = 33 games. If 19 of them didn't work, then he had 33 - 19 = 14 good games.","[' Ned', ' started', ' with', ' 11', ' games', '.', ' He', ' bought', ' 22', ' more', '.', ' So', ' he', ' had', ' 11', ' +', ' 22', ' =', ' 33', ' games', '.', ' If', ' 19', ' of', ' them', ' didn', ""'t"", ' work', ',', ' then', ' he', ' had', ' 33', ' -', ' 19', ' =', ' 14', ' good', ' games', '.']","[-0.18665883, -0.6791685, -0.0230771, -0.009085456, -0.0015409667, -0.39010619999999996, -0.26142636, -0.01784855, -0.00041733152, -0.0078105363, -0.6907348999999999, -0.31433687, -0.67848146, -0.031001056000000003, -0.05385104600000001, -0.014150399000000001, -0.00053647824, -0.011745644000000001, -0.00014444596, -0.080230616, -0.10964774000000001, -1.2988013, -0.00043772557, -0.48761588, -0.18679151, -0.6149856, -1.8073477000000003e-05, -6.661909399999999e-07, -0.00045191801999999997, -0.3725496, -0.09190416, -0.23371458, -0.0013038795000000001, -8.8051806e-05, -0.00049789407, -0.0009147075499999999, -0.002050192, -0.43875298, -0.0003816121, -0.0137403635]",,14.0
17, Chloe was playing a trivia game. In the first round she scored 40 points and in the second round she scored 50 points. In the last round she lost 4 points. How many points did she have at the end of the game? ,86.0, Chloe started with 40 points. Then she had 50 points. In the last round she lost 4 points. So she had 50 - 4 = 46 points. The answer is 46.,"[' Chloe', ' started', ' with', ' 40', ' points', '.', ' Then', ' she', ' had', ' 50', ' points', '.', ' In', ' the', ' last', ' round', ' she', ' lost', ' 4', ' points', '.', ' So', ' she', ' had', ' 50', ' -', ' 4', ' =', ' 46', ' points', '.', ' The', ' answer', ' is', ' 46', '.']","[-0.39070183, -0.8172948999999999, -0.03618778, -0.0023528747000000003, -0.00021836942999999999, -0.20016046, -0.72552335, -0.0012582828, -0.3173747, -0.06608011, -0.6997974, -0.1439218, -0.8200172, -1.7119806e-05, -0.00032610405, -0.0007891911699999999, -0.22492573000000002, -0.0026521855, -6.539934e-05, -0.010267235000000001, -0.025775084, -0.031793220000000004, -0.15332444, -0.11406075, -0.0020777835, -0.00095318665, -0.0002419183, -0.035473984, -0.00023667030999999998, -0.3765771, -0.28786433, -0.43674105, -2.5225998000000003e-05, -4.601021399999999e-06, -7.636654e-05, -0.0073314607]",,46.0
18," At the arcade, Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. If he spent 7 of his tickets on a hat, how many tickets does Tom have left? ",50.0," Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. So he had 32 + 25 = 57 tickets. If he spent 7 of his tickets on a hat, then he has 57 - 7 = 50 tickets left.","[' Tom', ' won', ' 32', ' tickets', ' playing', "" '"", 'wh', 'ack', ' a', ' mole', ""'"", ' and', ' 25', ' tickets', ' playing', "" '"", 's', 'kee', ' ball', ""'."", ' So', ' he', ' had', ' 32', ' +', ' 25', ' =', ' 57', ' tickets', '.', ' If', ' he', ' spent', ' 7', ' of', ' his', ' tickets', ' on', ' a', ' hat', ',', ' then', ' he', ' has', ' 57', ' -', ' 7', ' =', ' 50', ' tickets', ' left', '.']","[-0.085801, -0.63038784, -0.016293436, -0.017885625000000002, -0.12521638000000002, -0.02994292, -0.0006182413, -3.476269600000001e-05, -0.0027326907, -3.142485e-05, -0.32271442, -0.0014056433000000001, -0.0018009221, -0.16082828, -7.4460135e-05, -0.001472557, -3.7983213e-05, -0.0002633787, -4.3586017000000006e-05, -0.029313363000000002, -0.28928578, -0.6141169, -0.23881538, -0.4185722, -0.069281936, -0.00019535558, -0.03225787, -0.00045561530000000003, -0.02532517, -0.5092384, -0.75460064, -0.0051968587, -0.029154962000000003, -0.000118333635, -0.70477855, -0.11399247500000001, -0.0019964983, -0.11040865, -0.008271922000000001, -5.8725527000000006e-05, -0.0008420438000000001, -0.7884623, -0.3468571, -0.41764793, -0.00015314727, -0.007858043, -0.0014718397, -0.013354717, -0.0006886232299999999, -0.042048536000000004, -0.4569377, -0.0010831992]",,50.0
19," Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many bad carrots did they have? ",25.0," Bianca picked 26 carrots and her mother picked 15 carrots. In total, they had 26 + 15 = 41 carrots. 16 of them were good, so that means 41 - 16 = 25 carrots were bad. The answer is 25.","[' Bian', 'ca', ' picked', ' 26', ' carrots', ' and', ' her', ' mother', ' picked', ' 15', ' carrots', '.', ' In', ' total', ',', ' they', ' had', ' 26', ' +', ' 15', ' =', ' 41', ' carrots', '.', ' 16', ' of', ' them', ' were', ' good', ',', ' so', ' that', ' means', ' 41', ' -', ' 16', ' =', ' 25', ' carrots', ' were', ' bad', '.', ' The', ' answer', ' is', ' 25', '.']","[-1.1179744, -0.00023202116, -0.7424294, -3.4642555e-05, -0.022717897, -0.64120096, -0.00031477172, -0.16389869999999998, -0.000924371, -5.20489e-05, -0.58492404, -0.3470659, -0.30409175, -1.5448071e-05, -0.07805768, -0.0039147646000000005, -0.12831795000000001, -0.029676475, -0.016782947, -8.924483e-05, -0.03259071, -0.000103910315, -0.0001536241, -6.873624e-05, -0.80101943, -0.03512302, -0.2975492, -8.296486e-06, -7.9112084e-05, -0.47407889999999997, -0.19866699000000002, -0.6745789999999999, -0.14996935, -0.06837466, -0.00023297390000000002, -3.595572e-05, -0.0008897084599999999, -0.00013013717, -0.50956273, -3.4287736000000006e-05, -2.2843700000000003e-05, -0.0001229837, -0.11686682, -7.481963e-05, -3.6482896999999998e-06, -0.00027864207999999996, -0.02364006]",,25.0
